paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
hands_00001,https://pubmed.ncbi.nlm.nih.gov/22776450/,Automatic prediction error responses to hands with unexpected laterality: an electrophysiological study.,"Stefanics G, Czigler I",NeuroImage,0.539,22776450,-1,-1
hands_00002,https://pubmed.ncbi.nlm.nih.gov/20393066/,Dissociable neural responses to hands and non-hand body parts in human left extrastriate visual cortex.,"Bracci S, Ietswaart M, Peelen MV, Cavina-Pratesi C",Journal of neurophysiology,0.508,20393066,-1,-1
hands_00003,https://pubmed.ncbi.nlm.nih.gov/22131379/,Closely overlapping responses to tools and hands in left lateral occipitotemporal cortex.,"Bracci S, Cavina-Pratesi C, Ietswaart M, Caramazza A, Peelen MV",Journal of neurophysiology,0.502,22131379,-1,-1
hands_00004,https://pubmed.ncbi.nlm.nih.gov/26344476/,Representational content of occipitotemporal and parietal tool areas.,"Bracci S, Cavina-Pratesi C, Connolly JD, Ietswaart M",Neuropsychologia,0.336,26344476,-1,-1
hands_00005,https://pubmed.ncbi.nlm.nih.gov/19961833/,Human rostral dorsal premotor cortex mediates graspability judgment of external objects by evaluating hand motor capability.,"Hirose S, Hagura N, Matsumura M, Naito E",Brain research,0.31,19961833,-1,-1
hands_00006,https://pubmed.ncbi.nlm.nih.gov/24116844/,Dynamic parieto-premotor network for mental image transformation revealed by simultaneous EEG and fMRI measurement.,"Sasaoka T, Mizuhara H, Inui T",Journal of cognitive neuroscience,0.281,24116844,-1,-1
hands_00007,https://pubmed.ncbi.nlm.nih.gov/21147233/,Right parietal dominance in spatial egocentric discrimination.,"Loayza FR, Fernandez-Seara MA, Aznarez-Sanado M, Pastor MA",NeuroImage,0.267,21147233,-1,-1
hands_00008,https://pubmed.ncbi.nlm.nih.gov/21030486/,Motor learning with augmented feedback: modality-dependent behavioral and neural  consequences.,"Ronsse R, Puttemans V, Coxon JP, Goble DJ, Wagemans J, Wenderoth N, Swinnen SP","Cerebral cortex (New York, N.Y. : 1991)",0.248,21030486,-1,-1
hands_00009,https://pubmed.ncbi.nlm.nih.gov/17888686/,Motor deactivation in the human cortex and basal ganglia.,"Marchand WR, Lee JN, Thatcher JW, Thatcher GW, Jensen C, Starr J",NeuroImage,0.238,17888686,-1,-1
hands_00010,https://pubmed.ncbi.nlm.nih.gov/18003884/,Human superior parietal lobule is involved in somatic perception of bimanual interaction with an external object.,"Naito E, Scheperjans F, Eickhoff SB, Amunts K, Roland PE, Zilles K, Ehrsson HH",Journal of neurophysiology,0.228,18003884,-1,-1
