paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
heard_00001,https://pubmed.ncbi.nlm.nih.gov/19046993/,Walk-related mimic word activates the extrastriate visual cortex in the human brain: an fMRI study.,Osaka N,Behavioural brain research,0.215,19046993,-1,-1
heard_00002,https://pubmed.ncbi.nlm.nih.gov/16055351/,Emotion and attention interactions in social cognition: brain regions involved in processing anger prosody.,"Sander D, Grandjean D, Pourtois G, Schwartz S, Seghier ML, Scherer KR, Vuilleumier P",NeuroImage,0.211,16055351,-1,-1
heard_00003,https://pubmed.ncbi.nlm.nih.gov/21994389/,The anterior insular cortex represents breaches of taste identity expectation.,"Veldhuizen MG, Douglas D, Aschenbrenner K, Gitelman DR, Small DM",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.21,21994389,-1,-1
heard_00004,https://pubmed.ncbi.nlm.nih.gov/12353242/,FMRI reveals brain regions mediating slow prosodic modulations in spoken sentences.,"Meyer M, Alter K, Friederici AD, Lohmann G, von Cramon DY",Human brain mapping,0.205,12353242,-1,-1
heard_00005,https://pubmed.ncbi.nlm.nih.gov/15734345/,Listening to talking faces: motor cortical activation during speech perception.,"Skipper JI, Nusbaum HC, Small SL",NeuroImage,0.193,15734345,-1,-1
heard_00006,https://pubmed.ncbi.nlm.nih.gov/19642886/,Functional overlap between regions involved in speech perception and in monitoring one's own voice during speech production.,"Zheng ZZ, Munhall KG, Johnsrude IS",Journal of cognitive neuroscience,0.179,19642886,-1,-1
heard_00007,https://pubmed.ncbi.nlm.nih.gov/18276163/,A selective representation of the meaning of actions in the auditory mirror system.,"Galati G, Committeri G, Spitoni G, Aprile T, Di Russo F, Pitzalis S, Pizzamiglio L",NeuroImage,0.17,18276163,-1,-1
heard_00008,https://pubmed.ncbi.nlm.nih.gov/26092220/,Feel the Noise: Relating Individual Differences in Auditory Imagery to the Structure and Function of Sensorimotor Systems.,"Lima CF, Lavan N, Evans S, Agnew Z, Halpern AR, Shanmugalingam P, Meekings S, Boebinger D, Ostarek M, McGettigan C, Warren JE, Scott SK","Cerebral cortex (New York, N.Y. : 1991)",0.162,26092220,-1,-1
heard_00009,https://pubmed.ncbi.nlm.nih.gov/20727651/,Neural mechanisms involved in the oral representation of percussion music: an fMRI study.,"Tsai CG, Chen CC, Chou TL, Chen JH",Brain and cognition,0.153,20727651,-1,-1
heard_00010,https://pubmed.ncbi.nlm.nih.gov/10407201/,The time course of the BOLD response in the human auditory cortex to acoustic stimuli of different duration.,"Jancke L, Buchanan T, Lutz K, Specht K, Mirzazade S, Shah NJ",Brain research. Cognitive brain research,0.152,10407201,-1,-1
heard_00011,https://pubmed.ncbi.nlm.nih.gov/17184978/,Emotional words induce enhanced brain activity in schizophrenic patients with auditory hallucinations.,"Sanjuan J, Lull JJ, Aguilar EJ, Marti-Bonmati L, Moratal D, Gonzalez JC, Robles M, Keshavan MS",Psychiatry research,0.15,17184978,-1,-1
heard_00012,https://pubmed.ncbi.nlm.nih.gov/14754865/,"Contributions of sensory input, auditory search and verbal comprehension to cortical activity during speech processing.","Giraud AL, Kell C, Thierfelder C, Sterzer P, Russ MO, Preibisch C, Kleinschmidt A","Cerebral cortex (New York, N.Y. : 1991)",0.147,14754865,-1,-1
heard_00013,https://pubmed.ncbi.nlm.nih.gov/23968840/,Individual Differences in Laughter Perception Reveal Roles for Mentalizing and Sensorimotor Systems in the Evaluation of Emotional Authenticity.,"McGettigan C, Walsh E, Jessop R, Agnew ZK, Sauter DA, Warren JE, Scott SK","Cerebral cortex (New York, N.Y. : 1991)",0.145,23968840,-1,-1
heard_00014,https://pubmed.ncbi.nlm.nih.gov/25309407/,Moving to music: effects of heard and imagined musical cues on movement-related brain activity.,"Schaefer RS, Morcom AM, Roberts N, Overy K",Frontiers in human neuroscience,0.14,25309407,-1,-1
heard_00015,https://pubmed.ncbi.nlm.nih.gov/19348727/,Two cortical mechanisms support the integration of visual and auditory speech: a  hypothesis and preliminary data.,"Okada K, Hickok G",Neuroscience letters,0.138,19348727,-1,-1
heard_00016,https://pubmed.ncbi.nlm.nih.gov/21755004/,Toward a brain-based theory of beauty.,"Ishizu T, Zeki S",PloS one,0.135,21755004,-1,-1
heard_00017,https://pubmed.ncbi.nlm.nih.gov/15219713/,A word expressing affective pain activates the anterior cingulate cortex in the human brain: an fMRI study.,"Osaka N, Osaka M, Morishita M, Kondo H, Fukuyama H",Behavioural brain research,0.13,15219713,-1,-1
heard_00018,https://pubmed.ncbi.nlm.nih.gov/18799604/,Responses to interaural time delay in human cortex.,"von Kriegstein K, Griffiths TD, Thompson SK, McAlpine D",Journal of neurophysiology,0.13,18799604,-1,-1
heard_00019,https://pubmed.ncbi.nlm.nih.gov/21962945/,Difficulty processing temporary syntactic ambiguities in Lewy body spectrum disorder.,"Grossman M, Gross RG, Moore P, Dreyfuss M, McMillan CT, Cook PA, Ash S, Siderowf A",Brain and language,0.127,21962945,-1,-1
heard_00020,https://pubmed.ncbi.nlm.nih.gov/12466452/,Adaptive changes in early and late blind: a FMRI study of verb generation to heard nouns.,"Burton H, Snyder AZ, Diamond JB, Raichle ME",Journal of neurophysiology,0.125,12466452,10.1152/jn.00129.2002,-1
heard_00021,https://pubmed.ncbi.nlm.nih.gov/15533557/,Dissociable patterns of brain activity during comprehension of rapid and syntactically complex speech: evidence from fMRI.,"Peelle JE, McMillan C, Moore P, Grossman M, Wingfield A",Brain and language,0.124,15533557,-1,-1
heard_00022,https://pubmed.ncbi.nlm.nih.gov/21745006/,"Does semantic context benefit speech understanding through ""top-down"" processes?  Evidence from time-resolved sparse fMRI.","Davis MH, Ford MA, Kherif F, Johnsrude IS",Journal of cognitive neuroscience,0.123,21745006,-1,-1
heard_00023,https://pubmed.ncbi.nlm.nih.gov/19539711/,Gaze-related mimic word activates the frontal eye field and related network in the human brain: an fMRI study.,"Osaka N, Osaka M",Neuroscience letters,0.122,19539711,-1,-1
heard_00024,https://pubmed.ncbi.nlm.nih.gov/22499797/,Finding and feeling the musical beat: striatal dissociations between detection and prediction of regularity.,"Grahn JA, Rowe JB","Cerebral cortex (New York, N.Y. : 1991)",0.122,22499797,-1,-1
heard_00025,https://pubmed.ncbi.nlm.nih.gov/15110007/,The brain network associated with acquiring semantic knowledge.,"Maguire EA, Frith CD",NeuroImage,0.121,15110007,-1,-1
heard_00026,https://pubmed.ncbi.nlm.nih.gov/20038434/,The functional organisation of the fronto-temporal language system: evidence from syntactic and semantic ambiguity.,"Rodd JM, Longe OA, Randall B, Tyler LK",Neuropsychologia,0.12,20038434,-1,-1
heard_00027,https://pubmed.ncbi.nlm.nih.gov/22490550/,Cerebral processing of voice gender studied using a continuous carryover FMRI design.,"Charest I, Pernet C, Latinus M, Crabbe F, Belin P","Cerebral cortex (New York, N.Y. : 1991)",0.12,22490550,-1,-1
heard_00028,https://pubmed.ncbi.nlm.nih.gov/26919234/,The Structural Correlates of Statistical Information Processing during Speech Perception.,"Deschamps I, Hasson U, Tremblay P",PloS one,0.117,26919234,-1,-1
heard_00029,https://pubmed.ncbi.nlm.nih.gov/11133789/,Separate neural subsystems within 'Wernicke's area'.,"Wise RJ, Scott SK, Blank SC, Mummery CJ, Murphy K, Warburton EA",Brain : a journal of neurology,0.116,11133789,-1,-1
heard_00030,https://pubmed.ncbi.nlm.nih.gov/12063136/,A comparison of bound and unbound audio-visual information processing in the human cerebral cortex.,"Olson IR, Gatenby JC, Gore JC",Brain research. Cognitive brain research,0.115,12063136,-1,-1
heard_00031,https://pubmed.ncbi.nlm.nih.gov/18930749/,"Modulation of motor and premotor cortices by actions, action words and action sentences.","Raposo A, Moss HE, Stamatakis EA, Tyler LK",Neuropsychologia,0.115,18930749,-1,-1
heard_00032,https://pubmed.ncbi.nlm.nih.gov/19176279/,Cortico-limbic response to personally challenging emotional stimuli after complete recovery from depression.,"Hooley JM, Gruber SA, Parker HA, Guillaumot J, Rogowska J, Yurgelun-Todd DA",Psychiatry research,0.115,19176279,-1,-1
heard_00033,https://pubmed.ncbi.nlm.nih.gov/15217392/,Prefrontal cortical involvement in verbal encoding strategies.,"Bor D, Cumming N, Scott CE, Owen AM",The European journal of neuroscience,0.114,15217392,-1,-1
heard_00034,https://pubmed.ncbi.nlm.nih.gov/22993261/,Selection of events in time enhances activity throughout early visual cortex.,"Swallow KM, Makovski T, Jiang YV",Journal of neurophysiology,0.113,22993261,-1,-1
heard_00035,https://pubmed.ncbi.nlm.nih.gov/21965440/,Mental addition in bilinguals: an FMRI study of task-related and performance-related activation.,"Lin JF, Imada T, Kuhl PK","Cerebral cortex (New York, N.Y. : 1991)",0.112,21965440,-1,-1
heard_00036,https://pubmed.ncbi.nlm.nih.gov/27916664/,Experience-dependent modulation of right anterior insula and sensorimotor regions as a function of noise-masked auditory feedback in singers and nonsingers.,"Kleber B, Friberg A, Zeitouni A, Zatorre R",NeuroImage,0.111,27916664,-1,-1
heard_00037,https://pubmed.ncbi.nlm.nih.gov/23804092/,The brain dynamics of rapid perceptual adaptation to adverse listening conditions.,"Erb J, Henry MJ, Eisner F, Obleser J",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.11,23804092,-1,-1
heard_00038,https://pubmed.ncbi.nlm.nih.gov/27157883/,The role of prosody and context in sarcasm comprehension: Behavioral and fMRI evidence.,"Matsui T, Nakamura T, Utsumi A, Sasaki AT, Koike T, Yoshida Y, Harada T, Tanabe HC, Sadato N",Neuropsychologia,0.11,27157883,-1,-1
heard_00039,https://pubmed.ncbi.nlm.nih.gov/15050561/,Awareness of muscular force during movement production: an fMRI study.,"de Graaf JB, Gallea C, Pailhous J, Anton JL, Roth M, Bonnard M",NeuroImage,0.107,15050561,-1,-1
heard_00040,https://pubmed.ncbi.nlm.nih.gov/15635062/,The neural mechanisms of speech comprehension: fMRI studies of semantic ambiguity.,"Rodd JM, Davis MH, Johnsrude IS","Cerebral cortex (New York, N.Y. : 1991)",0.105,15635062,-1,-1
heard_00041,https://pubmed.ncbi.nlm.nih.gov/16861335/,Visual cortex activation in bilingual blind individuals during use of native and  second language.,"Ofan RH, Zohary E","Cerebral cortex (New York, N.Y. : 1991)",0.105,16861335,-1,-1
heard_00042,https://pubmed.ncbi.nlm.nih.gov/18996100/,Neural correlates of acoustic reasoning.,"Fangmeier T, Knauff M",Brain research,0.105,18996100,-1,-1
heard_00043,https://pubmed.ncbi.nlm.nih.gov/12880904/,Medial temporal lobe activation during semantic language processing: fMRI findings in healthy left- and right-handers.,"Bartha L, Brenneis C, Schocke M, Trinka E, Koylu B, Trieb T, Kremser C, Jaschke W, Bauer G, Poewe W, Benke T",Brain research. Cognitive brain research,0.103,12880904,-1,-1
