paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
heart_00001,https://pubmed.ncbi.nlm.nih.gov/24768574/,The use of fMRI to detect neural responses to cognitive interference and planning: Evidence for a contribution of task related changes in heart rate?,"van 't Ent D, den Braber A, Rotgans E, de Geus EJ, de Munck JC",Journal of neuroscience methods,0.556,24768574,-1,-1
heart_00002,https://pubmed.ncbi.nlm.nih.gov/22227140/,Acupuncture--deep pain with an autonomic dimension?,"Beissner F, Deichmann R, Henke C, Bar KJ",NeuroImage,0.404,22227140,-1,-1
heart_00003,https://pubmed.ncbi.nlm.nih.gov/15652310/,Activity in the human brain predicting differential heart rate responses to emotional facial expressions.,"Critchley HD, Rotshtein P, Nagai Y, O'Doherty J, Mathias CJ, Dolan RJ",NeuroImage,0.394,15652310,-1,-1
heart_00004,https://pubmed.ncbi.nlm.nih.gov/25973923/,Slow breathing and hypoxic challenge: cardiorespiratory consequences and their central neural substrates.,"Critchley HD, Nicotra A, Chiesa PA, Nagai Y, Gray MA, Minati L, Bernardi L",PloS one,0.37,25973923,-1,-1
heart_00005,https://pubmed.ncbi.nlm.nih.gov/18028117/,A cardiac signature of emotionality.,"Koelsch S, Remppis A, Sammler D, Jentschke S, Mietchen D, Fritz T, Bonnemeier H, Siebel WA",The European journal of neuroscience,0.339,18028117,-1,-1
heart_00006,https://pubmed.ncbi.nlm.nih.gov/17291781/,Ventral medial prefrontal cortex and cardiovagal control in conscious humans.,"Wong SW, Masse N, Kimmerly DS, Menon RS, Shoemaker JK",NeuroImage,0.328,17291781,-1,-1
heart_00007,https://pubmed.ncbi.nlm.nih.gov/19426817/,BOLD signal in insula is differentially related to cardiac function during compassion meditation in experts vs. novices.,"Lutz A, Greischar LL, Perlman DM, Davidson RJ",NeuroImage,0.308,19426817,-1,-1
heart_00008,https://pubmed.ncbi.nlm.nih.gov/20838472/,What Physiological Changes and Cerebral Traces Tell Us about Adhesion to Fiction  During Theater-Watching?,"Metz-Lutz MN, Bressan Y, Heider N, Otzenberger H",Frontiers in human neuroscience,0.271,20838472,-1,-1
heart_00009,https://pubmed.ncbi.nlm.nih.gov/27261160/,Heart rate variability is associated with amygdala functional connectivity with MPFC across younger and older adults.,"Sakaki M, Yoo HJ, Nga L, Lee TH, Thayer JF, Mather M",NeuroImage,0.267,27261160,-1,-1
heart_00010,https://pubmed.ncbi.nlm.nih.gov/29253783/,Fear processing is differentially affected by lateralized stimulation of carotid  baroreceptors.,"Makovac E, Garfinkel S, Bassi A, Basile B, Macaluso E, Cercignani M, Calcagnini G, Mattei E, Mancini M, Agalliu D, Cortelli P, Caltagirone C, Critchley H, Bozzali M",Cortex; a journal devoted to the study of the nervous system and behavior,0.253,29253783,-1,-1
heart_00011,https://pubmed.ncbi.nlm.nih.gov/25080601/,Ventromedial prefrontal cortex lesions alter neural and physiological correlates  of anticipation.,"Motzkin JC, Philippi CL, Wolf RC, Baskaya MK, Koenigs M",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.242,25080601,-1,-1
heart_00012,https://pubmed.ncbi.nlm.nih.gov/17579718/,Modulation of emotional appraisal by false physiological feedback during fMRI.,"Gray MA, Harrison NA, Wiens S, Critchley HD",PloS one,0.232,17579718,-1,-1
heart_00013,https://pubmed.ncbi.nlm.nih.gov/23831279/,Heart rate variability and its neural correlates during emotional face processing in social anxiety disorder.,"Gaebler M, Daniels JK, Lamke JP, Fydrich T, Walter H",Biological psychology,0.231,23831279,-1,-1
heart_00014,https://pubmed.ncbi.nlm.nih.gov/16876130/,Human choline transporter gene variation is associated with corticolimbic reactivity and autonomic-cholinergic function.,"Neumann SA, Brown SM, Ferrell RE, Flory JD, Manuck SB, Hariri AR",Biological psychiatry,0.23,16876130,-1,-1
heart_00015,https://pubmed.ncbi.nlm.nih.gov/19505585/,High-frequency heart rate variability and cortico-striatal activity in men and women with social phobia.,"Ahs F, Sollers JJ 3rd, Furmark T, Fredrikson M, Thayer JF",NeuroImage,0.229,19505585,-1,-1
heart_00016,https://pubmed.ncbi.nlm.nih.gov/12821513/,Human cingulate cortex and autonomic control: converging neuroimaging and clinical evidence.,"Critchley HD, Mathias CJ, Josephs O, O'Doherty J, Zanini S, Dewar BK, Cipolotti L, Shallice T, Dolan RJ",Brain : a journal of neurology,0.217,12821513,-1,-1
heart_00017,https://pubmed.ncbi.nlm.nih.gov/19464376/,Vulnerability to simple faints is predicted by regional differences in brain anatomy.,"Beacher FD, Gray MA, Mathias CJ, Critchley HD",NeuroImage,0.209,19464376,-1,-1
heart_00018,https://pubmed.ncbi.nlm.nih.gov/20025979/,Power spectrum scale invariance quantifies limbic dysregulation in trait anxious  adults using fMRI: adapting methods optimized for characterizing autonomic dysregulation to neural dynamic time series,"Tolkunov D, Rubin D, Mujica-Parodi L",NeuroImage,0.207,20025979,-1,-1
heart_00019,https://pubmed.ncbi.nlm.nih.gov/22492047/,Encoding of sensory prediction errors in the human cerebellum.,"Schlerf J, Ivry RB, Diedrichsen J",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.184,22492047,-1,-1
heart_00020,https://pubmed.ncbi.nlm.nih.gov/15003765/,Cerebellar activation during leg withdrawal reflex conditioning: an fMRI study.,"Dimitrova A, Kolb FP, Elles HG, Maschke M, Gerwig M, Gizewski E, Timmann D",Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,0.178,15003765,-1,-1
heart_00021,https://pubmed.ncbi.nlm.nih.gov/19450692/,Modulation of spontaneous breathing via limbic/paralimbic-bulbar circuitry: an event-related fMRI study.,"Evans KC, Dougherty DD, Schmid AM, Scannell E, McCallister A, Benson H, Dusek JA, Lazar SW",NeuroImage,0.171,19450692,-1,-1
heart_00022,https://pubmed.ncbi.nlm.nih.gov/17560768/,The effect of doxapram on brain imaging in patients with panic disorder.,"Garakani A, Buchsbaum MS, Newmark RE, Goodman C, Aaronson CJ, Martinez JM, Torosjan Y, Chu KW, Gorman JM",European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,0.168,17560768,-1,-1
heart_00023,https://pubmed.ncbi.nlm.nih.gov/20802090/,Physical temperature effects on trust behavior: the role of insula.,"Kang Y, Williams LE, Clark MS, Gray JR, Bargh JA",Social cognitive and affective neuroscience,0.167,20802090,-1,-1
heart_00024,https://pubmed.ncbi.nlm.nih.gov/27310812/,Diminished Auditory Responses during NREM Sleep Correlate with the Hierarchy of Language Processing.,"Wilf M, Ramot M, Furman-Haran E, Arzi A, Levkovitz Y, Malach R",PloS one,0.161,27310812,-1,-1
heart_00025,https://pubmed.ncbi.nlm.nih.gov/26682467/,Alterations in Amygdala-Prefrontal Functional Connectivity Account for Excessive  Worry and Autonomic Dysregulation in Generalized Anxiety Disorder.,"Makovac E, Meeten F, Watson DR, Herman A, Garfinkel SN, D Critchley H, Ottaviani C",Biological psychiatry,0.157,26682467,-1,-1
heart_00026,https://pubmed.ncbi.nlm.nih.gov/21126593/,Stress-induced reduction in reward-related prefrontal cortex function.,"Ossewaarde L, Qin S, Van Marle HJ, van Wingen GA, Fernandez G, Hermans EJ",NeuroImage,0.156,21126593,-1,-1
heart_00027,https://pubmed.ncbi.nlm.nih.gov/27345596/,Neurobiological substrates of cognitive rigidity and autonomic inflexibility in generalized anxiety disorder.,"Ottaviani C, Watson DR, Meeten F, Makovac E, Garfinkel SN, Critchley HD",Biological psychology,0.153,27345596,-1,-1
heart_00028,https://pubmed.ncbi.nlm.nih.gov/19446647/,"'Negativity bias' in risk for depression and anxiety: brain-body fear circuitry correlates, 5-HTT-LPR and early life stress.","Williams LM, Gatt JM, Schofield PR, Olivieri G, Peduto A, Gordon E",NeuroImage,0.151,19446647,-1,-1
heart_00029,https://pubmed.ncbi.nlm.nih.gov/12208637/,Brain activation during script-driven imagery induced dissociative responses in PTSD: a functional magnetic resonance imaging investigation.,"Lanius RA, Williamson PC, Boksman K, Densmore M, Gupta M, Neufeld RW, Gati JS, Menon RS",Biological psychiatry,0.147,12208637,-1,-1
heart_00030,https://pubmed.ncbi.nlm.nih.gov/21677769/,Under pressure: response urgency modulates striatal and insula activity during decision-making under risk.,"Jones CL, Minati L, Harrison NA, Ward J, Critchley HD",PloS one,0.146,21677769,-1,-1
heart_00031,https://pubmed.ncbi.nlm.nih.gov/28598734/,Does Psychosocial Stress Impact Cognitive Reappraisal? Behavioral and Neural Evidence.,"Shermohammed M, Mehta PH, Zhang J, Brandes CM, Chang LJ, Somerville LH",Journal of cognitive neuroscience,0.145,28598734,-1,-1
heart_00032,https://pubmed.ncbi.nlm.nih.gov/27881783/,Multivariate Brain Prediction of Heart Rate and Skin Conductance Responses to Social Threat.,"Eisenbarth H, Chang LJ, Wager TD",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.143,27881783,-1,-1
heart_00033,https://pubmed.ncbi.nlm.nih.gov/15219587/,Functional subdivisions within anterior cingulate cortex and their relationship to autonomic nervous system function.,"Matthews SC, Paulus MP, Simmons AN, Nelesen RA, Dimsdale JE",NeuroImage,0.142,15219587,-1,-1
