paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
human_00001,https://pubmed.ncbi.nlm.nih.gov/18612463/,Can machines think? Interaction and perspective taking with robots investigated via fMRI.,"Krach S, Hegel F, Wrede B, Sagerer G, Binkofski F, Kircher T",PloS one,0.517,18612463,-1,-1
human_00002,https://pubmed.ncbi.nlm.nih.gov/22131970/,"The human likeness dimension of the ""uncanny valley hypothesis"": behavioral and functional MRI findings.","Cheetham M, Suter P, Jancke L",Frontiers in human neuroscience,0.484,22131970,-1,-1
human_00003,https://pubmed.ncbi.nlm.nih.gov/19788567/,Dissociable substrates for body motion and physical experience in the human action observation network.,"Cross ES, Hamilton AF, Kraemer DJ, Kelley WM, Grafton ST",The European journal of neuroscience,0.457,19788567,-1,-1
human_00004,https://pubmed.ncbi.nlm.nih.gov/27756546/,"Recognition of the semantics and kinematics of gestures: Neural responses to ""what"" and ""how""?","Dahan A, Reiner M",International journal of psychophysiology : official journal of the International Organization of Psychophysiology,0.413,27756546,-1,-1
human_00005,https://pubmed.ncbi.nlm.nih.gov/21955370/,An fMRI study of the social competition in healthy subjects.,"Polosan M, Baciu M, Cousin E, Perrone M, Pichat C, Bougerol T",Brain and cognition,0.411,21955370,-1,-1
human_00006,https://pubmed.ncbi.nlm.nih.gov/29362830/,Investigating the neural basis of basic human movement perception using multi-voxel pattern analysis.,"Ma F, Xu J, Li X, Wang P, Wang B, Liu B",Experimental brain research,0.386,29362830,-1,-1
human_00007,https://pubmed.ncbi.nlm.nih.gov/22446299/,Common representation of pain and negative emotion in the midbrain periaqueductal gray.,"Buhle JT, Kober H, Ochsner KN, Mende-Siedlecki P, Weber J, Hughes BL, Kross E, Atlas LY, McRae K, Wager TD",Social cognitive and affective neuroscience,0.364,22446299,-1,-1
human_00008,https://pubmed.ncbi.nlm.nih.gov/29218005/,Distributed Neural Activity Patterns during Human-to-Human Competition.,"Piva M, Zhang X, Noah JA, Chang SWC, Hirsch J",Frontiers in human neuroscience,0.364,29218005,-1,-1
human_00009,https://pubmed.ncbi.nlm.nih.gov/19429079/,Online mentalising investigated with functional MRI.,"Kircher T, Blumel I, Marjoram D, Lataster T, Krabbendam L, Weber J, van Os J, Krach S",Neuroscience letters,0.353,19429079,-1,-1
human_00010,https://pubmed.ncbi.nlm.nih.gov/16461904/,The brain differentiates human and non-human grammars: functional localization and structural connectivity.,"Friederici AD, Bahlmann J, Heim S, Schubotz RI, Anwander A",Proceedings of the National Academy of Sciences of the United States of America,0.347,16461904,-1,-1
human_00011,https://pubmed.ncbi.nlm.nih.gov/20657777/,Brain response to a humanoid robot in areas implicated in the perception of human emotional gestures.,"Chaminade T, Zecca M, Blakemore SJ, Takanishi A, Frith CD, Micera S, Dario P, Rizzolatti G, Gallese V, Umilta MA",PloS one,0.344,20657777,-1,-1
human_00012,https://pubmed.ncbi.nlm.nih.gov/29366950/,"Human behavioural discrimination of human, chimpanzee and macaque affective vocalisations is reflected by the neural response in the superior temporal sulcus.","Fritz T, Mueller K, Guha A, Gouws A, Levita L, Andrews TJ, Slocombe KE",Neuropsychologia,0.333,29366950,-1,-1
human_00013,https://pubmed.ncbi.nlm.nih.gov/17990302/,Precise discrimination of object position in the human pulvinar.,"Fischer J, Whitney D",Human brain mapping,0.328,17990302,-1,-1
human_00014,https://pubmed.ncbi.nlm.nih.gov/21515639/,The thing that should not be: predictive coding and the uncanny valley in perceiving human and humanoid robot actions.,"Saygin AP, Chaminade T, Ishiguro H, Driver J, Frith C",Social cognitive and affective neuroscience,0.318,21515639,-1,-1
human_00015,https://pubmed.ncbi.nlm.nih.gov/20398769/,How instructions modify perception: an fMRI study investigating brain areas involved in attributing human agency.,"Stanley J, Gowen E, Miall RC",NeuroImage,0.311,20398769,-1,-1
human_00016,https://pubmed.ncbi.nlm.nih.gov/23702412/,"Cytoarchitecture, probability maps and functions of the human frontal pole.","Bludau S, Eickhoff SB, Mohlberg H, Caspers S, Laird AR, Fox PT, Schleicher A, Zilles K, Amunts K",NeuroImage,0.309,23702412,-1,-1
human_00017,https://pubmed.ncbi.nlm.nih.gov/19933580/,Neuronal encoding of human kinematic invariants during action observation.,"Casile A, Dayan E, Caggiano V, Hendler T, Flash T, Giese MA","Cerebral cortex (New York, N.Y. : 1991)",0.302,19933580,-1,-1
human_00018,https://pubmed.ncbi.nlm.nih.gov/17126910/,Amygdala activation at 3T in response to human and avatar facial expressions of emotions.,"Moser E, Derntl B, Robinson S, Fink B, Gur RC, Grammer K",Journal of neuroscience methods,0.296,17126910,-1,-1
human_00019,https://pubmed.ncbi.nlm.nih.gov/24068813/,Distinct regions of right temporal cortex are associated with biological and human-agent motion: functional magnetic resonance imaging and neuropsychological  evidence.,"Han Z, Bi Y, Chen J, Chen Q, He Y, Caramazza A",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.287,24068813,-1,-1
human_00020,https://pubmed.ncbi.nlm.nih.gov/20600991/,It is not always tickling: distinct cerebral responses during perception of different laughter types.,"Szameitat DP, Kreifelts B, Alter K, Szameitat AJ, Sterr A, Grodd W, Wildgruber D",NeuroImage,0.28,20600991,-1,-1
human_00021,https://pubmed.ncbi.nlm.nih.gov/21898675/,Robotic movement preferentially engages the action observation network.,"Cross ES, Liepelt R, Hamilton AF, Parkinson J, Ramsey R, Stadler W, Prinz W",Human brain mapping,0.278,21898675,-1,-1
