paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
imagine_00001,https://pubmed.ncbi.nlm.nih.gov/24093010/,An fMRI study of affective perspective taking in individuals with psychopathy: imagining another in pain does not evoke empathy.,"Decety J, Chen C, Harenski C, Kiehl KA",Frontiers in human neuroscience,0.384,24093010,-1,-1
imagine_00002,https://pubmed.ncbi.nlm.nih.gov/18698355/,"A common anterior insula representation of disgust observation, experience and imagination shows divergent functional connectivity pathways.","Jabbi M, Bastiaansen J, Keysers C",PloS one,0.334,18698355,-1,-1
imagine_00003,https://pubmed.ncbi.nlm.nih.gov/22764247/,Functional parcellation of the lateral mesencephalus.,"Karachi C, Andre A, Bertasi E, Bardinet E, Lehericy S, Bernard FA",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.261,22764247,-1,-1
imagine_00004,https://pubmed.ncbi.nlm.nih.gov/18804514/,The role of amygdala during auditory verbal imagery of derogatory appraisals by others.,"Kim JW, Choi EA, Kim JJ, Jeong BS, Kim SE, Ki SW",Neuroscience letters,0.251,18804514,-1,-1
imagine_00005,https://pubmed.ncbi.nlm.nih.gov/21484956/,Communication with emblematic gestures: shared and distinct neural correlates of  expression and reception.,"Lindenberg R, Uhlig M, Scherfeld D, Schlaug G, Seitz RJ",Human brain mapping,0.22,21484956,-1,-1
imagine_00006,https://pubmed.ncbi.nlm.nih.gov/22465168/,The facilitating effect of clinical hypnosis on motor imagery: an fMRI study.,"Muller K, Bacht K, Schramm S, Seitz RJ",Behavioural brain research,0.22,22465168,-1,-1
imagine_00007,https://pubmed.ncbi.nlm.nih.gov/16140345/,Empathy examined through the neural mechanisms involved in imagining how I feel versus how you feel pain.,"Jackson PL, Brunet E, Meltzoff AN, Decety J",Neuropsychologia,0.217,16140345,-1,-1
imagine_00008,https://pubmed.ncbi.nlm.nih.gov/11053230/,Partially overlapping neural networks for real and imagined hand movements.,"Gerardin E, Sirigu A, Lehericy S, Poline JB, Gaymard B, Marsault C, Agid Y, Le Bihan D","Cerebral cortex (New York, N.Y. : 1991)",0.183,11053230,-1,-1
imagine_00009,https://pubmed.ncbi.nlm.nih.gov/27012986/,Changes in visual perspective influence brain activity patterns during cognitive  perspective-taking of other people's pain.,"Vistoli D, Achim AM, Lavoie MA, Jackson PL",Neuropsychologia,0.151,27012986,-1,-1
imagine_00010,https://pubmed.ncbi.nlm.nih.gov/19339611/,What is the position of an arm relative to the body? Neural correlates of body schema and body structural description.,"Corradi-Dell'Acqua C, Tomasino B, Fink GR",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.141,19339611,-1,-1
imagine_00011,https://pubmed.ncbi.nlm.nih.gov/15142959/,Mental visual synthesis is originated in the fronto-temporal network of the left  hemisphere.,"Yomogida Y, Sugiura M, Watanabe J, Akitsuki Y, Sassa Y, Sato T, Matsue Y, Kawashima R","Cerebral cortex (New York, N.Y. : 1991)",0.14,15142959,10.1093/cercor/bhh098,-1
imagine_00012,https://pubmed.ncbi.nlm.nih.gov/23333668/,Individual differences in neural regions functionally related to real and imagined stuttering.,"Wymbs NF, Ingham RJ, Ingham JC, Paolini KE, Grafton ST",Brain and language,0.133,23333668,10.1016/j.bandl.2012.11.013,-1
imagine_00013,https://pubmed.ncbi.nlm.nih.gov/24872562/,Value signals in the prefrontal cortex predict individual preferences across reward categories.,"Gross J, Woelbert E, Zimmermann J, Okamoto-Barth S, Riedl A, Goebel R",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.132,24872562,-1,-1
