paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
insula anterior_00001,https://pubmed.ncbi.nlm.nih.gov/26249369/,Differential functional brain network connectivity during visceral interoception  as revealed by independent component analysis of fMRI TIME-series.,"Jarrahi B, Mantini D, Balsters JH, Michels L, Kessler TM, Mehnert U, Kollias SS",Human brain mapping,0.195,26249369,-1,-1
insula anterior_00002,https://pubmed.ncbi.nlm.nih.gov/23673251/,Exposure to violence reduces empathetic responses to other's pain.,"Guo X, Zheng L, Wang H, Zhu L, Li J, Wang Q, Dienes Z, Yang Z",Brain and cognition,0.189,23673251,-1,-1
insula anterior_00003,https://pubmed.ncbi.nlm.nih.gov/24518753/,Mentalizing and the Role of the Posterior Superior Temporal Sulcus in Sharing Others' Embarrassment.,"Paulus FM, Muller-Pinzler L, Jansen A, Gazzola V, Krach S","Cerebral cortex (New York, N.Y. : 1991)",0.157,24518753,-1,-1
insula anterior_00004,https://pubmed.ncbi.nlm.nih.gov/24642509/,Altered intrinsic functional connectivity of the salience network in childhood absence epilepsy.,"Luo C, Yang T, Tu S, Deng J, Liu D, Li Q, Dong L, Goldberg I, Gong Q, Zhang D, An D, Zhou D, Yao D",Journal of the neurological sciences,0.154,24642509,-1,-1
insula anterior_00005,https://pubmed.ncbi.nlm.nih.gov/12147314/,Brain circuits involved in emotional learning in antisocial behavior and social phobia in humans.,"Veit R, Flor H, Erb M, Hermann C, Lotze M, Grodd W, Birbaumer N",Neuroscience letters,0.148,12147314,-1,-1
insula anterior_00006,https://pubmed.ncbi.nlm.nih.gov/22574285/,"Abnormal cortical sensorimotor activity during ""Target"" sound detection in subjects with acute acoustic trauma sequelae: an fMRI study.","Job A, Pons Y, Lamalle L, Jaillard A, Buck K, Segebarth C, Delon-Martin C",Brain and behavior,0.148,22574285,-1,-1
insula anterior_00007,https://pubmed.ncbi.nlm.nih.gov/16764897/,Us versus them: Political attitudes and party affiliation influence neural response to faces of presidential candidates.,"Kaplan JT, Freedman J, Iacoboni M",Neuropsychologia,0.145,16764897,-1,-1
insula anterior_00008,https://pubmed.ncbi.nlm.nih.gov/21320516/,Gender differences in the neural correlates of humor processing: implications for different processing modes.,"Kohn N, Kellermann T, Gur RC, Schneider F, Habel U",Neuropsychologia,0.143,21320516,-1,-1
insula anterior_00009,https://pubmed.ncbi.nlm.nih.gov/22200657/,Neural reactivity tracks fear generalization gradients.,"Greenberg T, Carlson JM, Cha J, Hajcak G, Mujica-Parodi LR",Biological psychology,0.141,22200657,-1,-1
insula anterior_00010,https://pubmed.ncbi.nlm.nih.gov/22347853/,Neural mechanisms underlying the induction and relief of perceptual curiosity.,"Jepma M, Verdonschot RG, van Steenbergen H, Rombouts SA, Nieuwenhuis S",Frontiers in behavioral neuroscience,0.137,22347853,-1,-1
insula anterior_00011,https://pubmed.ncbi.nlm.nih.gov/25101864/,Quantifying familial influences on brain activation during the monetary incentive delay task: An adolescent monozygotic twin study.,"Silverman MH, Krueger RF, Iacono WG, Malone SM, Hunt RH, Thomas KM",Biological psychology,0.136,25101864,-1,-1
insula anterior_00012,https://pubmed.ncbi.nlm.nih.gov/28095312/,Neural correlates of babyish adult face processing in men.,"Doi H, Morikawa M, Inadomi N, Aikawa K, Uetani M, Shinohara K",Neuropsychologia,0.135,28095312,-1,-1
insula anterior_00013,https://pubmed.ncbi.nlm.nih.gov/21414916/,Investigation of the neural control of cough and cough suppression in humans using functional brain imaging.,"Mazzone SB, Cole LJ, Ando A, Egan GF, Farrell MJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.134,21414916,-1,-1
insula anterior_00014,https://pubmed.ncbi.nlm.nih.gov/19184995/,Strength of prefrontal activation predicts intensity of suggestion-induced pain.,"Raij TT, Numminen J, Narvanen S, Hiltunen J, Hari R",Human brain mapping,0.133,19184995,10.1002/hbm.20716,-1
insula anterior_00015,https://pubmed.ncbi.nlm.nih.gov/16963184/,Placebo analgesia is accompanied by large reductions in pain-related brain activity in irritable bowel syndrome patients.,"Price DD, Craggs J, Verne GN, Perlstein WM, Robinson ME",Pain,0.132,16963184,-1,-1
insula anterior_00016,https://pubmed.ncbi.nlm.nih.gov/28551067/,The neural correlates of reciprocity are sensitive to prior experience of reciprocity.,"Caceda R, Prendes-Alvarez S, Hsu JJ, Tripathi SP, Kilts CD, James GA",Behavioural brain research,0.13,28551067,-1,-1
insula anterior_00017,https://pubmed.ncbi.nlm.nih.gov/19304843/,What motivates repayment? Neural correlates of reciprocity in the Trust Game.,"van den Bos W, van Dijk E, Westenberg M, Rombouts SA, Crone EA",Social cognitive and affective neuroscience,0.129,19304843,-1,-1
insula anterior_00018,https://pubmed.ncbi.nlm.nih.gov/16087353/,Effects of cognitive-behavioral therapy on brain activation in specific phobia.,"Straube T, Glauer M, Dilger S, Mentzel HJ, Miltner WH",NeuroImage,0.126,16087353,-1,-1
insula anterior_00019,https://pubmed.ncbi.nlm.nih.gov/25743635/,Auditory mismatch impairments are characterized by core neural dysfunctions in schizophrenia.,"Gaebler AJ, Mathiak K, Koten JW Jr, Konig AA, Koush Y, Weyer D, Depner C, Matentzoglu S, Edgar JC, Willmes K, Zvyagintsev M",Brain : a journal of neurology,0.126,25743635,-1,-1
insula anterior_00020,https://pubmed.ncbi.nlm.nih.gov/25613901/,Interoceptive awareness changes the posterior insula functional connectivity profile.,"Kuehn E, Mueller K, Lohmann G, Schuetz-Bosbach S",Brain structure & function,0.122,25613901,-1,-1
insula anterior_00021,https://pubmed.ncbi.nlm.nih.gov/16139812/,Neural mechanisms of automatic and direct processing of phobogenic stimuli in specific phobia.,"Straube T, Mentzel HJ, Miltner WH",Biological psychiatry,0.117,16139812,-1,-1
insula anterior_00022,https://pubmed.ncbi.nlm.nih.gov/17306235/,Here I am: the cortical correlates of visual self-recognition.,"Devue C, Collette F, Balteau E, Degueldre C, Luxen A, Maquet P, Bredart S",Brain research,0.117,17306235,-1,-1
insula anterior_00023,https://pubmed.ncbi.nlm.nih.gov/17715198/,Itch induced by a novel method leads to limbic deactivations a functional MRI study.,"Herde L, Forster C, Strupf M, Handwerker HO",Journal of neurophysiology,0.117,17715198,-1,-1
insula anterior_00024,https://pubmed.ncbi.nlm.nih.gov/23933447/,What makes Internet addicts continue playing online even when faced by severe negative consequences? Possible explanations from an fMRI study.,"Dong G, Hu Y, Lin X, Lu Q",Biological psychology,0.116,23933447,-1,-1
insula anterior_00025,https://pubmed.ncbi.nlm.nih.gov/19879365/,Neural mechanisms of the influence of popularity on adolescent ratings of music.,"Berns GS, Capra CM, Moore S, Noussair C",NeuroImage,0.115,19879365,-1,-1
insula anterior_00026,https://pubmed.ncbi.nlm.nih.gov/18854323/,Auditory verbal hallucinations predominantly activate the right inferior frontal  area.,"Sommer IE, Diederen KM, Blom JD, Willems A, Kushan L, Slotema K, Boks MP, Daalman K, Hoek HW, Neggers SF, Kahn RS",Brain : a journal of neurology,0.114,18854323,-1,-1
insula anterior_00027,https://pubmed.ncbi.nlm.nih.gov/20430103/,Nothing to fear? Neural systems supporting avoidance behavior in healthy youths.,"Schlund MW, Siegle GJ, Ladouceur CD, Silk JS, Cataldo MF, Forbes EE, Dahl RE, Ryan ND",NeuroImage,0.113,20430103,-1,-1
insula anterior_00028,https://pubmed.ncbi.nlm.nih.gov/22763169/,Dissecting the anticipation of aversion reveals dissociable neural networks.,"Grupe DW, Oathes DJ, Nitschke JB","Cerebral cortex (New York, N.Y. : 1991)",0.112,22763169,-1,-1
insula anterior_00029,https://pubmed.ncbi.nlm.nih.gov/26248899/,Dissociated neural effects of cortisol depending on threat escapability.,"Montoya ER, van Honk J, Bos PA, Terburg D",Human brain mapping,0.111,26248899,-1,-1
insula anterior_00030,https://pubmed.ncbi.nlm.nih.gov/26417673/,Neural basis of disgust perception in racial prejudice.,"Liu Y, Lin W, Xu P, Zhang D, Luo Y",Human brain mapping,0.109,26417673,-1,-1
insula anterior_00031,https://pubmed.ncbi.nlm.nih.gov/27447790/,Empathy for pain-related dorsolateral prefrontal activity is modulated by angry face perception.,"Enzi B, Amirie S, Brune M",Experimental brain research,0.107,27447790,-1,-1
insula anterior_00032,https://pubmed.ncbi.nlm.nih.gov/19776365/,Cerebral representation of the relief of itch by scratching.,"Vierow V, Fukuoka M, Ikoma A, Dorfler A, Handwerker HO, Forster C",Journal of neurophysiology,0.103,19776365,-1,-1
insula anterior_00033,https://pubmed.ncbi.nlm.nih.gov/21316468/,How specific is specific phobia? Different neural response patterns in two subtypes of specific phobia.,"Lueken U, Kruschwitz JD, Muehlhan M, Siegert J, Hoyer J, Wittchen HU",NeuroImage,0.103,21316468,-1,-1
insula anterior_00034,https://pubmed.ncbi.nlm.nih.gov/21559346/,Psychological and neural mechanisms of subjective time dilation.,"van Wassenhove V, Wittmann M, Craig AD, Paulus MP",Frontiers in neuroscience,0.102,21559346,-1,-1
insula anterior_00035,https://pubmed.ncbi.nlm.nih.gov/15777865/,A role for the brainstem in central sensitisation in humans. Evidence from functional magnetic resonance imaging.,"Zambreanu L, Wise RG, Brooks JC, Iannetti GD, Tracey I",Pain,0.101,15777865,-1,-1
insula anterior_00036,https://pubmed.ncbi.nlm.nih.gov/23804092/,The brain dynamics of rapid perceptual adaptation to adverse listening conditions.,"Erb J, Henry MJ, Eisner F, Obleser J",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.1,23804092,10.1523/JNEUROSCI.4596-12.2013,-1
