paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
integrative_00001,https://pubmed.ncbi.nlm.nih.gov/18023825/,Proprio-tactile integration for kinesthetic perception: an fMRI study.,"Kavounoudias A, Roll JP, Anton JL, Nazarian B, Roth M, Roll R",Neuropsychologia,0.342,18023825,-1,-1
integrative_00002,https://pubmed.ncbi.nlm.nih.gov/24427267/,The route to an integrative associative memory is influenced by emotion.,"Murray BD, Kensinger EA",PloS one,0.313,24427267,-1,-1
integrative_00003,https://pubmed.ncbi.nlm.nih.gov/24672018/,Integrative moral judgment: dissociating the roles of the amygdala and ventromedial prefrontal cortex.,"Shenhav A, Greene JD",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.222,24672018,-1,-1
integrative_00004,https://pubmed.ncbi.nlm.nih.gov/27757820/,Increased brain connectivity and activation after cognitive rehabilitation in Parkinson's disease: a randomized controlled trial.,"Diez-Cirarda M, Ojeda N, Pena J, Cabrera-Zubizarreta A, Lucas-Jimenez O, Gomez-Esteban JC, Gomez-Beldarrain MA, Ibarretxe-Bilbao N",Brain imaging and behavior,0.219,27757820,-1,-1
integrative_00005,https://pubmed.ncbi.nlm.nih.gov/21498055/,Neurological signs and morphological cerebral changes in schizophrenia: An analysis of NSS subscales in patients with first episode psychosis.,"Heuser M, Thomann PA, Essig M, Bachmann S, Schroder J",Psychiatry research,0.197,21498055,-1,-1
integrative_00006,https://pubmed.ncbi.nlm.nih.gov/20203196/,Audiovisual functional magnetic resonance imaging adaptation reveals multisensory integration effects in object-related sensory cortices.,"Doehrmann O, Weigelt S, Altmann CF, Kaiser J, Naumer MJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.188,20203196,-1,-1
integrative_00007,https://pubmed.ncbi.nlm.nih.gov/17990302/,Precise discrimination of object position in the human pulvinar.,"Fischer J, Whitney D",Human brain mapping,0.181,17990302,-1,-1
integrative_00008,https://pubmed.ncbi.nlm.nih.gov/18562019/,A combined [11C]diprenorphine PET study and fMRI study of acupuncture analgesia.,"Dougherty DD, Kong J, Webb M, Bonab AA, Fischman AJ, Gollub RL",Behavioural brain research,0.167,18562019,-1,-1
integrative_00009,https://pubmed.ncbi.nlm.nih.gov/23920009/,Functional somatotopy revealed across multiple cortical regions using a model of  complex motor task.,"Cunningham DA, Machado A, Yue GH, Carey JR, Plow EB",Brain research,0.162,23920009,-1,-1
integrative_00010,https://pubmed.ncbi.nlm.nih.gov/22039428/,Abnormal parietal function in conversion paresis.,"van Beilen M, de Jong BM, Gieteling EW, Renken R, Leenders KL",PloS one,0.159,22039428,-1,-1
