paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
interactions_00001,https://pubmed.ncbi.nlm.nih.gov/24682003/,The impact of stimulus valence and emotion regulation on sustained brain activation: task-rest switching in emotion.,"Lamke JP, Daniels JK, Dorfel D, Gaebler M, Abdel Rahman R, Hummel F, Erk S, Walter H",PloS one,0.422,24682003,-1,-1
interactions_00002,https://pubmed.ncbi.nlm.nih.gov/25979609/,Neuroticism modulates the effects of intranasal vasopressin treatment on the neural response to positive and negative social interactions.,"Feng C, DeMarco AC, Haroon E, Rilling JK",Neuropsychologia,0.385,25979609,-1,-1
interactions_00003,https://pubmed.ncbi.nlm.nih.gov/28951453/,Weak Higher-Order Interactions in Macroscopic Functional Networks of the Resting  Brain.,"Huang X, Xu K, Chu C, Jiang T, Yu S",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.361,28951453,-1,-1
interactions_00004,https://pubmed.ncbi.nlm.nih.gov/25911418/,In our own image? Emotional and neural processing differences when observing human-human vs human-robot interactions.,"Wang Y, Quadflieg S",Social cognitive and affective neuroscience,0.34,25911418,-1,-1
interactions_00005,https://pubmed.ncbi.nlm.nih.gov/28811259/,Should I trust you? Learning and memory of social interactions in dementia.,"Wong S, Irish M, O'Callaghan C, Kumfor F, Savage G, Hodges JR, Piguet O, Hornberger M",Neuropsychologia,0.334,28811259,-1,-1
interactions_00006,https://pubmed.ncbi.nlm.nih.gov/23202661/,Default distrust? An fMRI investigation of the neural development of trust and cooperation.,"Fett AK, Gromann PM, Giampietro V, Shergill SS, Krabbendam L",Social cognitive and affective neuroscience,0.332,23202661,-1,-1
interactions_00007,https://pubmed.ncbi.nlm.nih.gov/17475514/,A validated network of effective amygdala connectivity.,"Stein JL, Wiedholz LM, Bassett DS, Weinberger DR, Zink CF, Mattay VS, Meyer-Lindenberg A",NeuroImage,0.326,17475514,-1,-1
interactions_00008,https://pubmed.ncbi.nlm.nih.gov/23624492/,Long-range functional interactions of anterior insula and medial frontal cortex are differently modulated by visuospatial and inductive reasoning tasks.,"Ebisch SJ, Mantini D, Romanelli R, Tommasi M, Perrucci MG, Romani GL, Colom R, Saggino A",NeuroImage,0.311,23624492,-1,-1
interactions_00009,https://pubmed.ncbi.nlm.nih.gov/28970145/,Connectivity of the hippocampus and Broca's area during acquisition of a novel grammar.,"Kepinska O, de Rover M, Caspers J, Schiller NO",NeuroImage,0.303,28970145,-1,-1
interactions_00010,https://pubmed.ncbi.nlm.nih.gov/24911376/,Single-task fMRI overlap predicts concurrent multitasking interference.,"Nijboer M, Borst J, van Rijn H, Taatgen N",NeuroImage,0.301,24911376,-1,-1
