paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
invasive_00001,https://pubmed.ncbi.nlm.nih.gov/19264143/,Signal quality of simultaneously recorded invasive and non-invasive EEG.,"Ball T, Kern M, Mutschler I, Aertsen A, Schulze-Bonhage A",NeuroImage,0.801,19264143,-1,-1
invasive_00002,https://pubmed.ncbi.nlm.nih.gov/23313779/,Toward a minimally invasive brain-computer interface using a single subdural channel: a visual speller study.,"Zhang D, Song H, Xu R, Zhou W, Ling Z, Hong B",NeuroImage,0.35,23313779,-1,-1
invasive_00003,https://pubmed.ncbi.nlm.nih.gov/18801443/,The neural networks underlying auditory sensory gating.,"Mayer AR, Hanlon FM, Franco AR, Teshiba TM, Thoma RJ, Clark VP, Canive JM",NeuroImage,0.241,18801443,-1,-1
invasive_00004,https://pubmed.ncbi.nlm.nih.gov/24760013/,Influence of Anodal Transcranial Direct Current Stimulation (tDCS) over the Right Angular Gyrus on Brain Activity during Rest.,"Clemens B, Jung S, Mingoia G, Weyer D, Domahs F, Willmes K",PloS one,0.238,24760013,-1,-1
invasive_00005,https://pubmed.ncbi.nlm.nih.gov/19000769/,Dynamic causal models of steady-state responses.,"Moran RJ, Stephan KE, Seidenbecher T, Pape HC, Dolan RJ, Friston KJ",NeuroImage,0.22,19000769,-1,-1
invasive_00006,https://pubmed.ncbi.nlm.nih.gov/22266412/,Cortical thickness in primary sensorimotor cortex influences the effectiveness of paired associative stimulation.,"Conde V, Vollmann H, Sehm B, Taubert M, Villringer A, Ragert P",NeuroImage,0.213,22266412,-1,-1
invasive_00007,https://pubmed.ncbi.nlm.nih.gov/25797835/,Multimodal effective connectivity analysis reveals seizure focus and propagation  in musicogenic epilepsy.,"Klamer S, Rona S, Elshahabi A, Lerche H, Braun C, Honegger J, Erb M, Focke NK",NeuroImage,0.213,25797835,-1,-1
invasive_00008,https://pubmed.ncbi.nlm.nih.gov/18848896/,EEG source analysis of epileptiform activity using a 1 mm anisotropic hexahedra finite element head model.,"Rullmann M, Anwander A, Dannhauer M, Warfield SK, Duffy FH, Wolters CH",NeuroImage,0.195,18848896,-1,-1
invasive_00009,https://pubmed.ncbi.nlm.nih.gov/26891875/,Source modeling of ElectroCorticoGraphy (ECoG) data: Stability analysis and spatial filtering.,"Pascarella A, Todaro C, Clerc M, Serre T, Piana M",Journal of neuroscience methods,0.195,26891875,-1,-1
invasive_00010,https://pubmed.ncbi.nlm.nih.gov/12672539/,Haloperidol challenge in healthy male humans: a functional magnetic resonance imaging study.,"Brassen S, Tost H, Hoehn F, Weber-Fahr W, Klein S, Braus DF",Neuroscience letters,0.176,12672539,-1,-1
invasive_00011,https://pubmed.ncbi.nlm.nih.gov/25032963/,Decoding vigilance with NIRS.,"Bogler C, Mehnert J, Steinbrink J, Haynes JD",PloS one,0.166,25032963,-1,-1
invasive_00012,https://pubmed.ncbi.nlm.nih.gov/23128079/,Dynamic causal modelling of lateral interactions in the visual cortex.,"Pinotsis DA, Schwarzkopf DS, Litvak V, Rees G, Barnes G, Friston KJ",NeuroImage,0.164,23128079,-1,-1
invasive_00013,https://pubmed.ncbi.nlm.nih.gov/12122035/,Distributed cortical systems in visual short-term memory revealed by event-related functional magnetic resonance imaging.,"Munk MH, Linden DE, Muckli L, Lanfermann H, Zanella FE, Singer W, Goebel R","Cerebral cortex (New York, N.Y. : 1991)",0.158,12122035,-1,-1
invasive_00014,https://pubmed.ncbi.nlm.nih.gov/20035884/,"Distinct representations of phonemes, syllables, and supra-syllabic sequences in  the speech production network.","Peeva MG, Guenther FH, Tourville JA, Nieto-Castanon A, Anton JL, Nazarian B, Alario FX",NeuroImage,0.155,20035884,-1,-1
invasive_00015,https://pubmed.ncbi.nlm.nih.gov/23419940/,Functional brain imaging of multi-sensory vestibular processing during computerized dynamic posturography using near-infrared spectroscopy.,"Karim H, Fuhrman SI, Sparto P, Furman J, Huppert T",NeuroImage,0.147,23419940,-1,-1
invasive_00016,https://pubmed.ncbi.nlm.nih.gov/17123836/,Diffusion tensor studies dissociated two fronto-temporal pathways in the human memory system.,"Takahashi E, Ohki K, Kim DS",NeuroImage,0.14,17123836,-1,-1
invasive_00017,https://pubmed.ncbi.nlm.nih.gov/12611944/,Neural basis of visually guided head movements studied with fMRI.,"Petit L, Beauchamp MS",Journal of neurophysiology,0.139,12611944,-1,-1
invasive_00018,https://pubmed.ncbi.nlm.nih.gov/23603021/,"Modulating arithmetic fact retrieval: a single-blind, sham-controlled tDCS study  with repeated fMRI measurements.","Clemens B, Jung S, Zvyagintsev M, Domahs F, Willmes K",Neuropsychologia,0.133,23603021,-1,-1
invasive_00019,https://pubmed.ncbi.nlm.nih.gov/25284273/,Age-related increases in long-range connectivity in fetal functional neural connectivity networks in utero.,"Thomason ME, Grove LE, Lozon TA Jr, Vila AM, Ye Y, Nye MJ, Manning JH, Pappas A, Hernandez-Andrade E, Yeo L, Mody S, Berman S, Hassan SS, Romero R",Developmental cognitive neuroscience,0.133,25284273,-1,-1
invasive_00020,https://pubmed.ncbi.nlm.nih.gov/24510607/,Pupil diameter covaries with BOLD activity in human locus coeruleus.,"Murphy PR, O'Connell RG, O'Sullivan M, Robertson IH, Balsters JH",Human brain mapping,0.131,24510607,-1,-1
