paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
item_00001,https://pubmed.ncbi.nlm.nih.gov/19281849/,Dissecting medial temporal lobe contributions to item and associative memory formation.,"Qin S, Rijpkema M, Tendolkar I, Piekema C, Hermans EJ, Binder M, Petersson KM, Luo J, Fernandez G",NeuroImage,0.615,19281849,-1,-1
item_00002,https://pubmed.ncbi.nlm.nih.gov/17346988/,Item analysis in functional magnetic resonance imaging.,"Bedny M, Aguirre GK, Thompson-Schill SL",NeuroImage,0.55,17346988,-1,-1
item_00003,https://pubmed.ncbi.nlm.nih.gov/23474077/,Exploration of the mechanisms underlying the ISPC effect: evidence from behavioral and neuroimaging data.,"Grandjean J, D'Ostilio K, Fias W, Phillips C, Balteau E, Degueldre C, Luxen A, Maquet P, Salmon E, Collette F",Neuropsychologia,0.498,23474077,-1,-1
item_00004,https://pubmed.ncbi.nlm.nih.gov/19702458/,"Medial temporal lobe activity during source retrieval reflects information type,  not memory strength.","Diana RA, Yonelinas AP, Ranganath C",Journal of cognitive neuroscience,0.481,19702458,-1,-1
item_00005,https://pubmed.ncbi.nlm.nih.gov/23904464/,Effects of Age on Negative Subsequent Memory Effects Associated with the Encoding of Item and Item-Context Information.,"Mattson JT, Wang TH, de Chastelaine M, Rugg MD","Cerebral cortex (New York, N.Y. : 1991)",0.469,23904464,-1,-1
item_00006,https://pubmed.ncbi.nlm.nih.gov/12763194/,Distinct prefrontal cortex activity associated with item memory and source memory for visual shapes.,"Slotnick SD, Moo LR, Segal JB, Hart J Jr",Brain research. Cognitive brain research,0.432,12763194,-1,-1
item_00007,https://pubmed.ncbi.nlm.nih.gov/20146616/,Putting the pieces together: the role of dorsolateral prefrontal cortex in relational memory encoding.,"Blumenfeld RS, Parks CM, Yonelinas AP, Ranganath C",Journal of cognitive neuroscience,0.368,20146616,-1,-1
item_00008,https://pubmed.ncbi.nlm.nih.gov/18602483/,Neural networks for short-term memory for order differentiate high and low proficiency bilinguals.,"Majerus S, Belayachi S, De Smedt B, Leclercq AL, Martinez T, Schmidt C, Weekes B, Maquet P",NeuroImage,0.355,18602483,-1,-1
item_00009,https://pubmed.ncbi.nlm.nih.gov/24768119/,Working Memory in Schizophrenia: Behavioral and Neural Evidence for Reduced Susceptibility to Item-Specific Proactive Interference.,"Kaller CP, Loosli SV, Rahm B, Gossel A, Schieting S, Hornig T, Hennig J, Tebartz van Elst L, Weiller C, Katzev M",Biological psychiatry,0.349,24768119,-1,-1
item_00010,https://pubmed.ncbi.nlm.nih.gov/19786107/,Does the hippocampus mediate objective binding or subjective remembering?,Slotnick SD,NeuroImage,0.333,19786107,-1,-1
item_00011,https://pubmed.ncbi.nlm.nih.gov/22846335/,Adaptation to cognitive context and item information in the medial temporal lobes.,"Diana RA, Yonelinas AP, Ranganath C",Neuropsychologia,0.333,22846335,-1,-1
item_00012,https://pubmed.ncbi.nlm.nih.gov/10220229/,Learning-related neuronal responses in prefrontal cortex studied with functional  neuroimaging.,"Fletcher P, Buchel C, Josephs O, Friston K, Dolan R","Cerebral cortex (New York, N.Y. : 1991)",0.325,10220229,-1,-1
item_00013,https://pubmed.ncbi.nlm.nih.gov/16861334/,Frontoparietal network involved in successful retrieval from episodic memory. Spatial and temporal analyses using fMRI and ERP.,"Iidaka T, Matsumoto A, Nogawa J, Yamamoto Y, Sadato N","Cerebral cortex (New York, N.Y. : 1991)",0.325,16861334,-1,-1
item_00014,https://pubmed.ncbi.nlm.nih.gov/15987880/,Activation shift from medial to lateral temporal cortex associated with recency judgements following impoverished encoding.,"Konishi S, Asari T, Jimura K, Chikazoe J, Miyashita Y","Cerebral cortex (New York, N.Y. : 1991)",0.316,15987880,-1,-1
