paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
judgment_00001,https://pubmed.ncbi.nlm.nih.gov/24086531/,The neural mechanism of encountering misjudgment by the justice system.,"Cui Q, Zhang Q, Takahashi H",PloS one,0.748,24086531,-1,-1
judgment_00002,https://pubmed.ncbi.nlm.nih.gov/18241912/,Syntax in a native language still continues to develop in adults: honorification  judgment in Japanese.,"Momo K, Sakai H, Sakai KL",Brain and language,0.485,18241912,-1,-1
judgment_00003,https://pubmed.ncbi.nlm.nih.gov/25360099/,Neural substrates of similarity and rule-based strategies in judgment.,"von Helversen B, Karlsson L, Rasch B, Rieskamp J",Frontiers in human neuroscience,0.472,25360099,-1,-1
judgment_00004,https://pubmed.ncbi.nlm.nih.gov/21705060/,Age of acquisition effects on the functional organization of language in the adult brain.,"Mayberry RI, Chen JK, Witcher P, Klein D",Brain and language,0.461,21705060,-1,-1
judgment_00005,https://pubmed.ncbi.nlm.nih.gov/22384006/,Neural correlates of visual aesthetics--beauty as the coalescence of stimulus and internal state.,"Jacobs RH, Renken R, Cornelissen FW",PloS one,0.44,22384006,-1,-1
judgment_00006,https://pubmed.ncbi.nlm.nih.gov/19015093/,Individual differences in moral judgment competence influence neural correlates of socio-normative judgments.,"Prehn K, Wartenburger I, Meriau K, Scheibe C, Goodenough OR, Villringer A, van der Meer E, Heekeren HR",Social cognitive and affective neuroscience,0.423,19015093,-1,-1
judgment_00007,https://pubmed.ncbi.nlm.nih.gov/19018279/,The neural basis of object-context relationships on aesthetic judgment.,Kirk U,PloS one,0.42,19018279,-1,-1
judgment_00008,https://pubmed.ncbi.nlm.nih.gov/23373763/,The brain's specialized systems for aesthetic and perceptual judgment.,"Ishizu T, Zeki S",The European journal of neuroscience,0.41,23373763,-1,-1
judgment_00009,https://pubmed.ncbi.nlm.nih.gov/19620181/,Neural substrates of self-referential processing in Chinese Buddhists.,"Han S, Gu X, Mao L, Ge J, Wang G, Ma Y",Social cognitive and affective neuroscience,0.388,19620181,-1,-1
judgment_00010,https://pubmed.ncbi.nlm.nih.gov/25455744/,Functional relevance of the precuneus in verbal politeness.,"Ashizuka A, Mima T, Sawamoto N, Aso T, Oishi N, Sugihara G, Kawada R, Takahashi H, Murai T, Fukuyama H",Neuroscience research,0.386,25455744,-1,-1
judgment_00011,https://pubmed.ncbi.nlm.nih.gov/22143093/,Different roles of the posterior inferior frontal gyrus in Chinese character form judgment differences between literate and illiterate individuals.,"Wu J, Wang B, Yan T, Li X, Bao X, Guo Q",Brain research,0.384,22143093,-1,-1
judgment_00012,https://pubmed.ncbi.nlm.nih.gov/20967538/,Two forms of touch perception in the human brain.,"Spitoni GF, Galati G, Antonucci G, Haggard P, Pizzamiglio L",Experimental brain research,0.355,20967538,-1,-1
judgment_00013,https://pubmed.ncbi.nlm.nih.gov/17412720/,Neural resources associated with perceptual judgment across sensory modalities.,"Yang JN, Szeverenyi NM, Ts'o D","Cerebral cortex (New York, N.Y. : 1991)",0.347,17412720,-1,-1
judgment_00014,https://pubmed.ncbi.nlm.nih.gov/16372256/,Affective judgment and beneficial decision making: ventromedial prefrontal activity correlates with performance in the Iowa Gambling Task.,"Northoff G, Grimm S, Boeker H, Schmidt C, Bermpohl F, Heinzel A, Hell D, Boesiger P",Human brain mapping,0.343,16372256,-1,-1
judgment_00015,https://pubmed.ncbi.nlm.nih.gov/19507157/,Neurocognitive processes of the religious leader in Christians.,"Ge J, Gu X, Ji M, Han S",Human brain mapping,0.33,19507157,-1,-1
judgment_00016,https://pubmed.ncbi.nlm.nih.gov/15878602/,The cerebellum's involvement in the judgment of spatial orientation: a functional magnetic resonance imaging study.,"Lee TM, Liu HL, Hung KN, Pu J, Ng YB, Mak AK, Gao JH, Chan CC",Neuropsychologia,0.315,15878602,-1,-1
judgment_00017,https://pubmed.ncbi.nlm.nih.gov/24530270/,Dissociable neural systems for moral judgment of anti- and pro-social lying.,"Hayashi A, Abe N, Fujii T, Ito A, Ueno A, Koseki Y, Mugikura S, Takahashi S, Mori E",Brain research,0.305,24530270,-1,-1
judgment_00018,https://pubmed.ncbi.nlm.nih.gov/14755839/,Reciprocal modulation and attenuation in the prefrontal cortex: an fMRI study on  emotional-cognitive interaction.,"Northoff G, Heinzel A, Bermpohl F, Niese R, Pfennig A, Pascual-Leone A, Schlaug G",Human brain mapping,0.301,14755839,-1,-1
judgment_00019,https://pubmed.ncbi.nlm.nih.gov/24478672/,Primacy and recency effects as indices of the focus of attention.,"Morrison AB, Conway AR, Chein JM",Frontiers in human neuroscience,0.3,24478672,-1,-1
judgment_00020,https://pubmed.ncbi.nlm.nih.gov/22047730/,Reduced amygdala-orbitofrontal connectivity during moral judgments in youths with disruptive behavior disorders and psychopathic traits.,"Marsh AA, Finger EC, Fowler KA, Jurkowitz IT, Schechter JC, Yu HH, Pine DS, Blair RJ",Psychiatry research,0.298,22047730,-1,-1
judgment_00021,https://pubmed.ncbi.nlm.nih.gov/23327933/,'Like me?': ventromedial prefrontal cortex is sensitive to both personal relevance and self-similarity during social comparisons.,"Moore WE 3rd, Merchant JS, Kahn LE, Pfeifer JH",Social cognitive and affective neuroscience,0.295,23327933,-1,-1
judgment_00022,https://pubmed.ncbi.nlm.nih.gov/18030335/,The golden beauty: brain response to classical and renaissance sculptures.,"Di Dio C, Macaluso E, Rizzolatti G",PloS one,0.289,18030335,-1,-1
judgment_00023,https://pubmed.ncbi.nlm.nih.gov/18342544/,The neural basis of belief encoding and integration in moral judgment.,"Young L, Saxe R",NeuroImage,0.289,18342544,-1,-1
judgment_00024,https://pubmed.ncbi.nlm.nih.gov/15978553/,Neurobiological correlates of social conformity and independence during mental rotation.,"Berns GS, Chappelow J, Zink CF, Pagnoni G, Martin-Skurski ME, Richards J",Biological psychiatry,0.288,15978553,-1,-1
