paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
lateral prefrontal_00001,https://pubmed.ncbi.nlm.nih.gov/15217392/,Prefrontal cortical involvement in verbal encoding strategies.,"Bor D, Cumming N, Scott CE, Owen AM",The European journal of neuroscience,0.429,15217392,-1,-1
lateral prefrontal_00002,https://pubmed.ncbi.nlm.nih.gov/21571078/,Right fronto-parietal involvement in monitoring spatial trajectories.,"Vallesi A, Crescentini C",NeuroImage,0.298,21571078,-1,-1
lateral prefrontal_00003,https://pubmed.ncbi.nlm.nih.gov/14755839/,Reciprocal modulation and attenuation in the prefrontal cortex: an fMRI study on  emotional-cognitive interaction.,"Northoff G, Heinzel A, Bermpohl F, Niese R, Pfennig A, Pascual-Leone A, Schlaug G",Human brain mapping,0.288,14755839,-1,-1
lateral prefrontal_00004,https://pubmed.ncbi.nlm.nih.gov/9636217/,Functional organization of spatial and nonspatial working memory processing within the human lateral frontal cortex.,"Owen AM, Stern CE, Look RB, Tracey I, Rosen BR, Petrides M",Proceedings of the National Academy of Sciences of the United States of America,0.267,9636217,-1,-1
lateral prefrontal_00005,https://pubmed.ncbi.nlm.nih.gov/27208693/,Altered engagement of autobiographical memory networks in adult offspring of postnatally depressed mothers.,"Macdonald B, Murray L, Moutsiana C, Fearon P, Cooper PJ, Halligan SL, Johnstone T",Biological psychology,0.241,27208693,-1,-1
lateral prefrontal_00006,https://pubmed.ncbi.nlm.nih.gov/25048028/,Neural basis of anticipatory anxiety reappraisals.,"Yoshimura S, Okamoto Y, Yoshino A, Kobayakawa M, Machino A, Yamawaki S",PloS one,0.233,25048028,-1,-1
lateral prefrontal_00007,https://pubmed.ncbi.nlm.nih.gov/15808995/,Expanding the response space in chronic schizophrenia: the relevance of left prefrontal cortex.,"Ganesan V, Green RD, Hunter MD, Wilkinson ID, Spence SA",NeuroImage,0.228,15808995,-1,-1
lateral prefrontal_00008,https://pubmed.ncbi.nlm.nih.gov/12631562/,Dissociating the roles of the rostral anterior cingulate and the lateral prefrontal cortices in performing two tasks simultaneously or successively.,"Dreher JC, Grafman J","Cerebral cortex (New York, N.Y. : 1991)",0.222,12631562,-1,-1
lateral prefrontal_00009,https://pubmed.ncbi.nlm.nih.gov/20092582/,Motor foundations of higher cognition: similarities and differences in processing regular and violated perceptual sequences of different specificity.,"Bubic A, von Cramon DY, Schubotz RI",The European journal of neuroscience,0.221,20092582,-1,-1
lateral prefrontal_00010,https://pubmed.ncbi.nlm.nih.gov/25017192/,Parallel and serial processing in dual-tasking differentially involves mechanisms in the striatum and the lateral prefrontal cortex.,"Yildiz A, Beste C",Brain structure & function,0.205,25017192,-1,-1
