paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
learning_00001,https://pubmed.ncbi.nlm.nih.gov/19524051/,Neural bases of goal-directed implicit learning.,"Rostami M, Hosseini SM, Takahashi M, Sugiura M, Kawashima R",NeuroImage,0.683,19524051,-1,-1
learning_00002,https://pubmed.ncbi.nlm.nih.gov/16563803/,Differential hippocampal and prefrontal-striatal contributions to instance-based  and rule-based learning.,"Doeller CF, Opitz B, Krick CM, Mecklinger A, Reith W",NeuroImage,0.662,16563803,-1,-1
learning_00003,https://pubmed.ncbi.nlm.nih.gov/18823241/,Neural evidence of statistical learning: efficient detection of visual regularities without awareness.,"Turk-Browne NB, Scholl BJ, Chun MM, Johnson MK",Journal of cognitive neuroscience,0.657,18823241,-1,-1
learning_00004,https://pubmed.ncbi.nlm.nih.gov/20025982/,Learning second language vocabulary: neural dissociation of situation-based learning and text-based learning.,"Jeong H, Sugiura M, Sassa Y, Wakusawa K, Horie K, Sato S, Kawashima R",NeuroImage,0.618,20025982,-1,-1
learning_00005,https://pubmed.ncbi.nlm.nih.gov/19052210/,Dissociable prototype learning systems: evidence from brain imaging and behavior.,"Zeithamova D, Maddox WT, Schnyer DM",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.609,19052210,-1,-1
learning_00006,https://pubmed.ncbi.nlm.nih.gov/27845228/,Motor sequence learning-induced neural efficiency in functional brain connectivity.,"Karim HT, Huppert TJ, Erickson KI, Wollam ME, Sparto PJ, Sejdic E, VanSwearingen JM",Behavioural brain research,0.561,27845228,-1,-1
learning_00007,https://pubmed.ncbi.nlm.nih.gov/10220229/,Learning-related neuronal responses in prefrontal cortex studied with functional  neuroimaging.,"Fletcher P, Buchel C, Josephs O, Friston K, Dolan R","Cerebral cortex (New York, N.Y. : 1991)",0.553,10220229,-1,-1
learning_00008,https://pubmed.ncbi.nlm.nih.gov/22114261/,Functionally specific changes in resting-state sensorimotor networks after motor  learning.,"Vahdat S, Darainy M, Milner TE, Ostry DJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.547,22114261,-1,-1
learning_00009,https://pubmed.ncbi.nlm.nih.gov/14704217/,Regional brain activation during concurrent implicit and explicit sequence learning.,"Aizenstein HJ, Stenger VA, Cochran J, Clark K, Johnson M, Nebes RD, Carter CS","Cerebral cortex (New York, N.Y. : 1991)",0.539,14704217,-1,-1
learning_00010,https://pubmed.ncbi.nlm.nih.gov/27157884/,The involvement of the fronto-parietal brain network in oculomotor sequence learning using fMRI.,"Gonzalez CC, Billington J, Burke MR",Neuropsychologia,0.524,27157884,-1,-1
learning_00011,https://pubmed.ncbi.nlm.nih.gov/23558105/,Early visual learning induces long-lasting connectivity changes during rest in the human brain.,"Urner M, Schwarzkopf DS, Friston K, Rees G",NeuroImage,0.518,23558105,-1,-1
learning_00012,https://pubmed.ncbi.nlm.nih.gov/16039570/,Formal learning theory dissociates brain regions with different temporal integration.,"Glascher J, Buchel C",Neuron,0.512,16039570,-1,-1
learning_00013,https://pubmed.ncbi.nlm.nih.gov/24994972/,Opposing effects of dopamine antagonism in a motor sequence task-tiapride increases cortical excitability and impairs motor learning.,"Lissek S, Vallana GS, Schlaffke L, Lenz M, Dinse HR, Tegenthoff M",Frontiers in behavioral neuroscience,0.512,24994972,-1,-1
learning_00014,https://pubmed.ncbi.nlm.nih.gov/25331600/,The Role of Corticostriatal Systems in Speech Category Learning.,"Yi HG, Maddox WT, Mumford JA, Chandrasekaran B","Cerebral cortex (New York, N.Y. : 1991)",0.51,25331600,-1,-1
learning_00015,https://pubmed.ncbi.nlm.nih.gov/28320846/,Working Memory Load Strengthens Reward Prediction Errors.,"Collins AGE, Ciullo B, Frank MJ, Badre D",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.507,28320846,-1,-1
learning_00016,https://pubmed.ncbi.nlm.nih.gov/21094258/,TDCS guided using fMRI significantly accelerates learning to identify concealed objects.,"Clark VP, Coffman BA, Mayer AR, Weisend MP, Lane TD, Calhoun VD, Raybourn EM, Garcia CM, Wassermann EM",NeuroImage,0.504,21094258,-1,-1
