paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
life_00001,https://pubmed.ncbi.nlm.nih.gov/21590504/,"Neural activity, neural connectivity, and the processing of emotionally valenced  information in older adults: links with life satisfaction.","Waldinger RJ, Kensinger EA, Schulz MS","Cognitive, affective & behavioral neuroscience",0.397,21590504,10.3758/s13415-011-0039-9,-1
life_00002,https://pubmed.ncbi.nlm.nih.gov/17032778/,Neural correlates of epigenesis.,"Canli T, Qiu M, Omura K, Congdon E, Haas BW, Amin Z, Herrmann MJ, Constable RT, Lesch KP",Proceedings of the National Academy of Sciences of the United States of America,0.329,17032778,-1,-1
life_00003,https://pubmed.ncbi.nlm.nih.gov/29654876/,Multi-voxel pattern classification differentiates personally experienced event memories from secondhand event knowledge.,"Chow TE, Westphal AJ, Rissman J",NeuroImage,0.316,29654876,-1,-1
life_00004,https://pubmed.ncbi.nlm.nih.gov/23512932/,Neural correlates of the 'good life': eudaimonic well-being is associated with insular cortex volume.,"Lewis GJ, Kanai R, Rees G, Bates TC",Social cognitive and affective neuroscience,0.308,23512932,-1,-1
life_00005,https://pubmed.ncbi.nlm.nih.gov/21246665/,Cognitive appraisal and life stress moderate the effects of the 5-HTTLPR polymorphism on amygdala reactivity.,"Lemogne C, Gorwood P, Boni C, Pessiglione M, Lehericy S, Fossati P",Human brain mapping,0.293,21246665,-1,-1
life_00006,https://pubmed.ncbi.nlm.nih.gov/17190970/,Event frequency modulates the processing of daily life activities in human medial prefrontal cortex.,"Krueger F, Moll J, Zahn R, Heinecke A, Grafman J","Cerebral cortex (New York, N.Y. : 1991)",0.276,17190970,-1,-1
life_00007,https://pubmed.ncbi.nlm.nih.gov/25118701/,Impact of early life adversity on reward processing in young adults: EEG-fMRI results from a prospective study over 25 years.,"Boecker R, Holz NE, Buchmann AF, Blomeyer D, Plichta MM, Wolf I, Baumeister S, Meyer-Lindenberg A, Banaschewski T, Brandeis D, Laucht M",PloS one,0.273,25118701,-1,-1
life_00008,https://pubmed.ncbi.nlm.nih.gov/20685091/,fMRI BOLD responses to negative stimuli in the prefrontal cortex are dependent on levels of recent negative life stress in major depressive disorder.,"Hsu DT, Langenecker SA, Kennedy SE, Zubieta JK, Heitzeg MM",Psychiatry research,0.261,20685091,-1,-1
life_00009,https://pubmed.ncbi.nlm.nih.gov/28916500/,Early-Life stress modulates neural networks associated with habitual use of reappraisal.,"El Khawli E, Fan Y, Aust S, Wirth K, Bonke L, Stevense A, Herrera A, Metz S, Loayza A, Bajbouj M, Grimm S",Behavioural brain research,0.261,28916500,-1,-1
life_00010,https://pubmed.ncbi.nlm.nih.gov/24493842/,Increased involvement of the parahippocampal gyri in a sad mood predicts future depressive symptoms.,"Zamoscik V, Huffziger S, Ebner-Priemer U, Kuehner C, Kirsch P",Social cognitive and affective neuroscience,0.255,24493842,-1,-1
life_00011,https://pubmed.ncbi.nlm.nih.gov/24795442/,Life stress in adolescence predicts early adult reward-related brain function and alcohol dependence.,"Casement MD, Shaw DS, Sitnick SL, Musselman SC, Forbes EE",Social cognitive and affective neuroscience,0.242,24795442,-1,-1
life_00012,https://pubmed.ncbi.nlm.nih.gov/25071508/,Difference in brain activations during appreciating paintings and photographic analogs.,"Mizokami Y, Terao T, Hatano K, Hoaki N, Kohno K, Araki Y, Kodama K, Makino M, Izumi T, Shimomura T, Fujiki M, Kochiyama T",Frontiers in human neuroscience,0.239,25071508,-1,-1
