paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
light_00001,https://pubmed.ncbi.nlm.nih.gov/18043754/,"Brain responses to violet, blue, and green monochromatic light exposures in humans: prominent role of blue light and the brainstem.","Vandewalle G, Schmidt C, Albouy G, Sterpenich V, Darsaud A, Rauchs G, Berken PY, Balteau E, Degueldre C, Luxen A, Maquet P, Dijk DJ",PloS one,0.827,18043754,-1,-1
light_00002,https://pubmed.ncbi.nlm.nih.gov/21820647/,Abnormal hypothalamic response to light in seasonal affective disorder.,"Vandewalle G, Hebert M, Beaulieu C, Richard L, Daneault V, Garon ML, Leblanc J, Grandjean D, Maquet P, Schwartz S, Dumont M, Doyon J, Carrier J",Biological psychiatry,0.75,21820647,-1,-1
light_00003,https://pubmed.ncbi.nlm.nih.gov/17404390/,Wavelength-dependent modulation of brain responses to a working memory task by daytime light exposure.,"Vandewalle G, Gais S, Schabus M, Balteau E, Carrier J, Darsaud A, Sterpenich V, Albouy G, Dijk DJ, Maquet P","Cerebral cortex (New York, N.Y. : 1991)",0.741,17404390,-1,-1
light_00004,https://pubmed.ncbi.nlm.nih.gov/24616488/,Photic memory for executive brain responses.,"Chellappa SL, Ly JQ, Meyer C, Balteau E, Degueldre C, Luxen A, Phillips C, Cooper HM, Vandewalle G",Proceedings of the National Academy of Sciences of the United States of America,0.715,24616488,-1,-1
light_00005,https://pubmed.ncbi.nlm.nih.gov/23859643/,Blue light stimulates cognitive brain activity in visually blind individuals.,"Vandewalle G, Collignon O, Hull JT, Daneault V, Albouy G, Lepore F, Phillips C, Doyon J, Czeisler CA, Dumont M, Lockley SW, Carrier J",Journal of cognitive neuroscience,0.697,23859643,-1,-1
light_00006,https://pubmed.ncbi.nlm.nih.gov/20974959/,Spectral quality of light modulates emotional brain responses in humans.,"Vandewalle G, Schwartz S, Grandjean D, Wuillaume C, Balteau E, Degueldre C, Schabus M, Phillips C, Luxen A, Dijk DJ, Maquet P",Proceedings of the National Academy of Sciences of the United States of America,0.659,20974959,-1,-1
light_00007,https://pubmed.ncbi.nlm.nih.gov/27318214/,Bright-light intervention induces a dose-dependent increase in striatal response  to risk in healthy volunteers.,"Macoveanu J, Fisher PM, Madsen MK, Mc Mahon B, Knudsen GM, Siebner HR",NeuroImage,0.6,27318214,-1,-1
light_00008,https://pubmed.ncbi.nlm.nih.gov/27688202/,Cerebral neural correlates of differential melanopic photic stimulation in humans.,"Hung SM, Milea D, Rukmini AV, Najjar RP, Tan JH, Vienot F, Dubail M, Tow SLC, Aung T, Gooley JJ, Hsieh PJ",NeuroImage,0.525,27688202,-1,-1
light_00009,https://pubmed.ncbi.nlm.nih.gov/24439303/,Three-Week Bright-Light Intervention Has Dose-Related Effects on Threat-Related Corticolimbic Reactivity and Functional Coupling.,"Fisher PM, Madsen MK, Mc Mahon B, Holst KK, Andersen SB, Laursen HR, Hasholt LF, Siebner HR, Knudsen GM",Biological psychiatry,0.45,24439303,-1,-1
light_00010,https://pubmed.ncbi.nlm.nih.gov/18523591/,Fast visuomotor processing of redundant targets: the role of the right temporo-parietal junction.,"Mooshagian E, Kaplan J, Zaidel E, Iacoboni M",PloS one,0.398,18523591,-1,-1
