paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
lobes_00001,https://pubmed.ncbi.nlm.nih.gov/12589885/,A functional MRI study of high-level cognition. I. The game of chess.,"Atherton M, Zhuang J, Bart WM, Hu X, He S",Brain research. Cognitive brain research,0.449,12589885,10.1016/s0926-6410(02)00207-0,-1
lobes_00002,https://pubmed.ncbi.nlm.nih.gov/20815733/,Differential activity for animals and manipulable objects in the anterior temporal lobes.,"Anzellotti S, Mahon BZ, Schwarzbach J, Caramazza A",Journal of cognitive neuroscience,0.33,20815733,10.1162/jocn.2010.21567,-1
lobes_00003,https://pubmed.ncbi.nlm.nih.gov/25071527/,On the definition and interpretation of voice selective activation in the temporal cortex.,"Bethmann A, Brechmann A",Frontiers in human neuroscience,0.287,25071527,10.3389/fnhum.2014.00499,-1
lobes_00004,https://pubmed.ncbi.nlm.nih.gov/22209639/,Cortical thickness and folding deficits in conduct-disordered adolescents.,"Hyatt CJ, Haney-Caron E, Stevens MC",Biological psychiatry,0.275,22209639,10.1016/j.biopsych.2011.11.017,-1
lobes_00005,https://pubmed.ncbi.nlm.nih.gov/15970381/,Visual attention deficits in Alzheimer's disease: an fMRI study.,"Hao J, Li K, Li K, Zhang D, Wang W, Yang Y, Yan B, Shan B, Zhou X",Neuroscience letters,0.263,15970381,10.1016/j.neulet.2005.05.028,-1
lobes_00006,https://pubmed.ncbi.nlm.nih.gov/23933482/,Lateral temporal hyper-activation as a novel biomarker of mild cognitive impairment.,"Faraco CC, Puente AN, Brown C, Terry DP, Stephen Miller L",Neuropsychologia,0.256,23933482,-1,-1
lobes_00007,https://pubmed.ncbi.nlm.nih.gov/16150579/,Mathematically gifted male adolescents activate a unique brain network during mental rotation.,"O'Boyle MW, Cunnington R, Silk TJ, Vaughan D, Jackson G, Syngeniotis A, Egan GF",Brain research. Cognitive brain research,0.251,16150579,-1,-1
lobes_00008,https://pubmed.ncbi.nlm.nih.gov/20300635/,Cerebral asymmetries: complementary and independent processes.,"Badzakova-Trajkov G, Haberling IS, Roberts RP, Corballis MC",PloS one,0.243,20300635,-1,-1
lobes_00009,https://pubmed.ncbi.nlm.nih.gov/27242409/,Altered Brain Network in Amyotrophic Lateral Sclerosis: A Resting Graph Theory-Based Network Study at Voxel-Wise Level.,"Zhou C, Hu X, Hu J, Liang M, Yin X, Chen L, Zhang J, Wang J",Frontiers in neuroscience,0.231,27242409,-1,-1
lobes_00010,https://pubmed.ncbi.nlm.nih.gov/25596443/,Increased interhemispheric functional connectivity in college students with non-clinical depressive symptoms in resting state.,"Wei XH, Ren JL, Liu WH, Yang RM, Xu XD, Liu J, Guo YM, Yu S, Lai LS, Xie YQ, Jiang XQ",Neuroscience letters,0.22,25596443,-1,-1
lobes_00011,https://pubmed.ncbi.nlm.nih.gov/18691632/,The cortical modulation from the external cues during gait observation and imagination.,"Wang C, Wai Y, Weng Y, Yu J, Wang J",Neuroscience letters,0.216,18691632,10.1016/j.neulet.2008.07.084,-1
lobes_00012,https://pubmed.ncbi.nlm.nih.gov/25089021/,A structural MRI study of cortical thickness in depersonalisation disorder.,"Sierra M, Nestler S, Jay EL, Ecker C, Feng Y, David AS",Psychiatry research,0.215,25089021,10.1016/j.pscychresns.2014.06.007,-1
lobes_00013,https://pubmed.ncbi.nlm.nih.gov/21621558/,Novel claustrum activation observed during a visuomotor adaptation task using a viewing window paradigm.,"Baugh LA, Lawrence JM, Marotta JJ",Behavioural brain research,0.207,21621558,10.1016/j.bbr.2011.05.009,-1
lobes_00014,https://pubmed.ncbi.nlm.nih.gov/21168516/,"Patterns of brain reorganization subsequent to left fusiform damage: fMRI evidence from visual processing of words and pseudowords, faces and objects.","Tsapkini K, Vindiola M, Rapp B",NeuroImage,0.185,21168516,-1,-1
lobes_00015,https://pubmed.ncbi.nlm.nih.gov/16767772/,Influence of body segment position during in-phase and antiphase hand and foot movements: a kinematic and functional MRI study.,"Rocca MA, Gatti R, Agosta F, Tortorella P, Riboldi E, Broglia P, Filippi M",Human brain mapping,0.183,16767772,-1,-1
lobes_00016,https://pubmed.ncbi.nlm.nih.gov/18385328/,Dopamine depletion impairs frontostriatal functional connectivity during a set-shifting task.,"Nagano-Saito A, Leyton M, Monchi O, Goldberg YK, He Y, Dagher A",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.183,18385328,-1,-1
