paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
lobules_00001,https://pubmed.ncbi.nlm.nih.gov/21907811/,Functional topography of the cerebellum for motor and cognitive tasks: an fMRI study.,"Stoodley CJ, Valera EM, Schmahmann JD",NeuroImage,0.403,21907811,10.1016/j.neuroimage.2011.08.065,-1
lobules_00002,https://pubmed.ncbi.nlm.nih.gov/19850055/,Greater superior than inferior parietal lobule activation with increasing rotation angle during mental rotation: an fMRI study.,"Gogos A, Gavrilescu M, Davison S, Searle K, Adams J, Rossell SL, Bell R, Davis SR, Egan GF",Neuropsychologia,0.362,19850055,10.1016/j.neuropsychologia.2009.10.013,-1
lobules_00003,https://pubmed.ncbi.nlm.nih.gov/20393055/,Evidence of a novel somatopic map in the human neocerebellum during complex actions.,"Schlerf JE, Verstynen TD, Ivry RB, Spencer RM",Journal of neurophysiology,0.352,20393055,10.1152/jn.01117.2009,-1
lobules_00004,https://pubmed.ncbi.nlm.nih.gov/15195289/,Specific cerebellar activation during Braille reading in blind subjects.,"Gizewski ER, Timmann D, Forsting M",Human brain mapping,0.316,15195289,10.1002/hbm.20031,-1
lobules_00005,https://pubmed.ncbi.nlm.nih.gov/22617850/,Cerebellum and cognition: evidence for the encoding of higher order rules.,"Balsters JH, Whelan CD, Robertson IH, Ramnani N","Cerebral cortex (New York, N.Y. : 1991)",0.252,22617850,-1,-1
lobules_00006,https://pubmed.ncbi.nlm.nih.gov/20647004/,Sexual dimorphism and asymmetry in human cerebellum: an MRI-based morphometric study.,"Fan L, Tang Y, Sun B, Gong G, Chen ZJ, Lin X, Yu T, Li Z, Evans AC, Liu S",Brain research,0.24,20647004,-1,-1
lobules_00007,https://pubmed.ncbi.nlm.nih.gov/12702705/,Cerebellar responses evoked by nociceptive leg withdrawal reflex as revealed by event-related FMRI.,"Dimitrova A, Kolb FP, Elles HG, Maschke M, Forsting M, Diener HC, Timmann D",Journal of neurophysiology,0.233,12702705,-1,-1
lobules_00008,https://pubmed.ncbi.nlm.nih.gov/28192274/,Activity and connectivity of the cerebellum in trigeminal nociception.,"Mehnert J, Schulte L, Timmann D, May A",NeuroImage,0.23,28192274,-1,-1
lobules_00009,https://pubmed.ncbi.nlm.nih.gov/12353244/,Eyeblink-related areas in human cerebellum as shown by fMRI.,"Dimitrova A, Weber J, Maschke M, Elles HG, Kolb FP, Forsting M, Diener HC, Timmann D",Human brain mapping,0.228,12353244,-1,-1
lobules_00010,https://pubmed.ncbi.nlm.nih.gov/22133495/,Distinct critical cerebellar subregions for components of verbal working memory.,"Cooper FE, Grube M, Von Kriegstein K, Kumar S, English P, Kelly TP, Chinnery PF, Griffiths TD",Neuropsychologia,0.223,22133495,-1,-1
lobules_00011,https://pubmed.ncbi.nlm.nih.gov/27734308/,Functional MRI signal fluctuations highlight altered resting brain activity in Huntington's disease.,"Sarappa C, Salvatore E, Filla A, Cocozza S, Russo CV, Sacca F, Brunetti A, De Michele G, Quarantelli M",Brain imaging and behavior,0.189,27734308,-1,-1
lobules_00012,https://pubmed.ncbi.nlm.nih.gov/22659444/,Investigating function and connectivity of morphometric findings--exemplified on  cerebellar atrophy in spinocerebellar ataxia 17 (SCA17).,"Reetz K, Dogan I, Rolfs A, Binkofski F, Schulz JB, Laird AR, Fox PT, Eickhoff SB",NeuroImage,0.187,22659444,-1,-1
lobules_00013,https://pubmed.ncbi.nlm.nih.gov/16872743/,Neural correlates of a mystical experience in Carmelite nuns.,"Beauregard M, Paquette V",Neuroscience letters,0.182,16872743,-1,-1
