paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
mapping_00001,https://pubmed.ncbi.nlm.nih.gov/25747601/,Using data-driven model-brain mappings to constrain formal models of cognition.,"Borst JP, Nijboer M, Taatgen NA, van Rijn H, Anderson JR",PloS one,0.424,25747601,10.1371/journal.pone.0119673,-1
mapping_00002,https://pubmed.ncbi.nlm.nih.gov/19383937/,Connecting long distance: semantic distance in analogical reasoning modulates frontopolar cortex activity.,"Green AE, Kraemer DJ, Fugelsang JA, Gray JR, Dunbar KN","Cerebral cortex (New York, N.Y. : 1991)",0.412,19383937,-1,-1
mapping_00003,https://pubmed.ncbi.nlm.nih.gov/16525049/,Dissociating arbitrary stimulus-response mapping from movement planning during preparatory period: evidence from event-related functional magnetic resonance imaging.,"Cavina-Pratesi C, Valyear KF, Culham JC, Kohler S, Obhi SS, Marzi CA, Goodale MA",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.406,16525049,-1,-1
mapping_00004,https://pubmed.ncbi.nlm.nih.gov/26028185/,Neural correlates of the reverse Simon effect in the Hedge and Marsh task.,"Li H, Xia T, Wang L",Neuropsychologia,0.347,26028185,-1,-1
mapping_00005,https://pubmed.ncbi.nlm.nih.gov/18599316/,Mapping the connectivity with structural equation modeling in an fMRI study of shape-from-motion task.,"Zhuang J, Peltier S, He S, LaConte S, Hu X",NeuroImage,0.343,18599316,-1,-1
mapping_00006,https://pubmed.ncbi.nlm.nih.gov/20674749/,A Monte Carlo method for locally multivariate brain mapping.,"Bjornsdotter M, Rylander K, Wessberg J",NeuroImage,0.284,20674749,-1,-1
mapping_00007,https://pubmed.ncbi.nlm.nih.gov/25546484/,Intrinsic functional brain mapping in reconstructed 4D magnetic susceptibility (chi) data space.,"Chen Z, Calhoun V",Journal of neuroscience methods,0.282,25546484,-1,-1
mapping_00008,https://pubmed.ncbi.nlm.nih.gov/20423699/,An fMRI investigation of cognitive stages in reasoning by analogy.,"Krawczyk DC, McClelland MM, Donovan CM, Tillman GD, Maguire MJ",Brain research,0.274,20423699,-1,-1
mapping_00009,https://pubmed.ncbi.nlm.nih.gov/22766165/,The what and how components of cognitive control.,"De Baene W, Albers AM, Brass M",NeuroImage,0.267,22766165,-1,-1
mapping_00010,https://pubmed.ncbi.nlm.nih.gov/23892066/,A comprehensive neuropsychological mapping battery for functional magnetic resonance imaging.,"Karakas S, Baran Z, Ceylan AO, Tileylioglu E, Tali T, Karakas HM",International journal of psychophysiology : official journal of the International Organization of Psychophysiology,0.267,23892066,-1,-1
mapping_00011,https://pubmed.ncbi.nlm.nih.gov/27798136/,Predictive Brain Mechanisms in Sound-to-Meaning Mapping during Speech Processing.,"Lyu B, Ge J, Niu Z, Tan LH, Gao JH",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.264,27798136,10.1523/JNEUROSCI.0583-16.2016,-1
mapping_00012,https://pubmed.ncbi.nlm.nih.gov/27803655/,Sustained Effects of Acupuncture Stimulation Investigated with Centrality Mapping Analysis.,"Long X, Huang W, Napadow V, Liang F, Pleger B, Villringer A, Witt CM, Nierhaus T, Pach D",Frontiers in human neuroscience,0.261,27803655,10.3389/fnhum.2016.00510,-1
mapping_00013,https://pubmed.ncbi.nlm.nih.gov/16418844/,Brain activity during visuomotor behavior triggered by arbitrary and spatially constrained cues: an fMRI study in humans.,"Hanakawa T, Honda M, Zito G, Dimyan MA, Hallett M",Experimental brain research,0.254,16418844,10.1007/s00221-005-0336-z,-1
mapping_00014,https://pubmed.ncbi.nlm.nih.gov/24038518/,Reappraisal of the anatomical landmarks of motor and premotor cortical regions for image-guided brain navigation in TMS practice.,"Ahdab R, Ayache SS, Farhat WH, Mylius V, Schmidt S, Brugieres P, Lefaucheur JP",Human brain mapping,0.25,24038518,10.1002/hbm.22339,-1
mapping_00015,https://pubmed.ncbi.nlm.nih.gov/21448274/,Extensive cochleotopic mapping of human auditory cortical fields obtained with phase-encoding FMRI.,"Striem-Amit E, Hertz U, Amedi A",PloS one,0.249,21448274,-1,-1
mapping_00016,https://pubmed.ncbi.nlm.nih.gov/22623669/,Uncovering a context-specific connectional fingerprint of human dorsal premotor cortex.,"Moisa M, Siebner HR, Pohmann R, Thielscher A",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.248,22623669,-1,-1
mapping_00017,https://pubmed.ncbi.nlm.nih.gov/19004769/,Ventral and dorsal pathways for language.,"Saur D, Kreher BW, Schnell S, Kummerer D, Kellmeyer P, Vry MS, Umarova R, Musso M, Glauche V, Abel S, Huber W, Rijntjes M, Hennig J, Weiller C",Proceedings of the National Academy of Sciences of the United States of America,0.238,19004769,-1,-1
mapping_00018,https://pubmed.ncbi.nlm.nih.gov/27560515/,T2-Imaging to Assess Cerebral Oxygen Extraction Fraction in Carotid Occlusive Disease: Influence of Cerebral Autoregulation and Cerebral Blood Volume.,"Seiler A, Deichmann R, Pfeilschifter W, Hattingen E, Singer OC, Wagner M",PloS one,0.221,27560515,-1,-1
mapping_00019,https://pubmed.ncbi.nlm.nih.gov/23528239/,Susceptibility-based functional brain mapping by 3D deconvolution of an MR-phase  activation map.,"Chen Z, Liu J, Calhoun VD",Journal of neuroscience methods,0.219,23528239,-1,-1
mapping_00020,https://pubmed.ncbi.nlm.nih.gov/15784419/,The Talairach coordinate of a point in the MNI space: how to interpret it.,"Chau W, McIntosh AR",NeuroImage,0.216,15784419,-1,-1
mapping_00021,https://pubmed.ncbi.nlm.nih.gov/17449320/,fMRI of peripheral visual field representation.,"Stenbacka L, Vanni S",Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,0.211,17449320,-1,-1
mapping_00022,https://pubmed.ncbi.nlm.nih.gov/23645721/,Functional Connectivity and Brain Activation: A Synergistic Approach.,"Tomasi D, Wang R, Wang GJ, Volkow ND","Cerebral cortex (New York, N.Y. : 1991)",0.208,23645721,-1,-1
mapping_00023,https://pubmed.ncbi.nlm.nih.gov/26918586/,Fusiform Gyrus Laterality in Writing Systems with Different Mapping Principles: An Artificial Orthography Training Study.,"Hirshorn EA, Wrencher A, Durisko C, Moore MW, Fiez JA",Journal of cognitive neuroscience,0.206,26918586,-1,-1
mapping_00024,https://pubmed.ncbi.nlm.nih.gov/17997331/,A new device for tactile stimulation during fMRI.,"Dresel C, Parzinger A, Rimpau C, Zimmer C, Ceballos-Baumann AO, Haslinger B",NeuroImage,0.203,17997331,-1,-1
mapping_00025,https://pubmed.ncbi.nlm.nih.gov/27864079/,Temporal reliability of ultra-high field resting-state MRI for single-subject sensorimotor and language mapping.,"Branco P, Seixas D, Castro SL",NeuroImage,0.203,27864079,-1,-1
mapping_00026,https://pubmed.ncbi.nlm.nih.gov/21600637/,Brain networks associated with sublexical properties of Chinese characters.,"Yang J, Wang X, Shu H, Zevin JD",Brain and language,0.199,21600637,-1,-1
mapping_00027,https://pubmed.ncbi.nlm.nih.gov/27984788/,Disentangling meaning in the brain: Left temporal involvement in agreement processing.,"Mancini S, Quinones I, Molinaro N, Hernandez-Cabrera JA, Carreiras M",Cortex; a journal devoted to the study of the nervous system and behavior,0.194,27984788,-1,-1
mapping_00028,https://pubmed.ncbi.nlm.nih.gov/26178381/,Resting state connectivity of the bed nucleus of the stria terminalis at ultra-high field.,"Torrisi S, O'Connell K, Davis A, Reynolds R, Balderston N, Fudge JL, Grillon C, Ernst M",Human brain mapping,0.188,26178381,-1,-1
mapping_00029,https://pubmed.ncbi.nlm.nih.gov/26341544/,Patients with focal cerebellar lesions show reduced auditory cortex activation during silent reading.,"Moberget T, Hilland E, Andersson S, Lundar T, Due-Tonnessen BJ, Heldal A, Ivry RB, Endestad T",Brain and language,0.186,26341544,-1,-1
mapping_00030,https://pubmed.ncbi.nlm.nih.gov/16281283/,Vowel sound extraction in anterior superior temporal cortex.,"Obleser J, Boecker H, Drzezga A, Haslinger B, Hennenlotter A, Roettinger M, Eulitz C, Rauschecker JP",Human brain mapping,0.184,16281283,-1,-1
mapping_00031,https://pubmed.ncbi.nlm.nih.gov/26589804/,Don't watch where you're going: The neural correlates of decoupling eye and arm movements.,"Gorbet DJ, Sergio LE",Behavioural brain research,0.183,26589804,10.1016/j.bbr.2015.11.012,-1
mapping_00032,https://pubmed.ncbi.nlm.nih.gov/27780778/,Resting state connectivity of the human habenula at ultra-high field.,"Torrisi S, Nord CL, Balderston NL, Roiser JP, Grillon C, Ernst M",NeuroImage,0.182,27780778,10.1016/j.neuroimage.2016.10.034,-1
mapping_00033,https://pubmed.ncbi.nlm.nih.gov/26901052/,The Brain Network of Naming: A Lesson from Primary Progressive Aphasia.,"Migliaccio R, Boutet C, Valabregue R, Ferrieux S, Nogues M, Lehericy S, Dormont D, Levy R, Dubois B, Teichmann M",PloS one,0.179,26901052,-1,-1
mapping_00034,https://pubmed.ncbi.nlm.nih.gov/25658635/,How the brain processes different dimensions of argument structure complexity: evidence from fMRI.,"Meltzer-Asscher A, Mack JE, Barbieri E, Thompson CK",Brain and language,0.175,25658635,-1,-1
mapping_00035,https://pubmed.ncbi.nlm.nih.gov/12599278/,Distinct brain regions associated with syllable and phoneme.,"Siok WT, Jin Z, Fletcher P, Tan LH",Human brain mapping,0.173,12599278,-1,-1
mapping_00036,https://pubmed.ncbi.nlm.nih.gov/20083208/,A parallel framework for simultaneous EEG/fMRI analysis: methodology and simulation.,"Lei X, Qiu C, Xu P, Yao D",NeuroImage,0.172,20083208,-1,-1
mapping_00037,https://pubmed.ncbi.nlm.nih.gov/12391570/,Statistical parametric mapping of LORETA using high density EEG and individual MRI: application to mismatch negativities in schizophrenia.,"Park HJ, Kwon JS, Youn T, Pae JS, Kim JJ, Kim MS, Ha KS",Human brain mapping,0.17,12391570,-1,-1
mapping_00038,https://pubmed.ncbi.nlm.nih.gov/20602092/,Representing actions through their sound.,"Aglioti SM, Pazzaglia M",Experimental brain research,0.167,20602092,-1,-1
mapping_00039,https://pubmed.ncbi.nlm.nih.gov/19920057/,Neural systems for reading aloud: a multiparametric approach.,"Graves WW, Desai R, Humphries C, Seidenberg MS, Binder JR","Cerebral cortex (New York, N.Y. : 1991)",0.164,19920057,-1,-1
mapping_00040,https://pubmed.ncbi.nlm.nih.gov/23152865/,Determining the precise cerebral response to acupuncture: an improved FMRI study.,"Liu H, Xu J, Shan B, Li Y, Li L, Xue J, Nie B",PloS one,0.162,23152865,-1,-1
mapping_00041,https://pubmed.ncbi.nlm.nih.gov/18060812/,Probing overtly spoken language at sentential level: a comprehensive high-field BOLD-fMRI protocol reflecting everyday language demands.,"Foki T, Gartus A, Geissler A, Beisteiner R",NeuroImage,0.157,18060812,-1,-1
