paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
medial frontal_00001,https://pubmed.ncbi.nlm.nih.gov/11976394/,Role of the human medial frontal cortex in task switching: a combined fMRI and TMS study.,"Rushworth MF, Hadland KA, Paus T, Sipila PK",Journal of neurophysiology,0.25,11976394,-1,-1
medial frontal_00002,https://pubmed.ncbi.nlm.nih.gov/21520342/,The influence of emotional associations on the neural correlates of semantic priming.,"Sass K, Habel U, Sachs O, Huber W, Gauggel S, Kircher T",Human brain mapping,0.221,21520342,-1,-1
medial frontal_00003,https://pubmed.ncbi.nlm.nih.gov/20570244/,Assessments of function and biochemistry of the anterior cingulate cortex in schizophrenia.,"Reid MA, Stoeckel LE, White DM, Avsar KB, Bolding MS, Akella NS, Knowlton RC, den Hollander JA, Lahti AC",Biological psychiatry,0.216,20570244,-1,-1
medial frontal_00004,https://pubmed.ncbi.nlm.nih.gov/16421302/,Mental chronometry of working memory retrieval: a combined functional magnetic resonance imaging and event-related potentials approach.,"Bledowski C, Cohen Kadosh K, Wibral M, Rahm B, Bittner RA, Hoechstetter K, Scherg M, Maurer K, Goebel R, Linden DE",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.215,16421302,-1,-1
medial frontal_00005,https://pubmed.ncbi.nlm.nih.gov/25462691/,Conflict monitoring and error processing: new insights from simultaneous EEG-fMRI.,"Iannaccone R, Hauser TU, Staempfli P, Walitza S, Brandeis D, Brem S",NeuroImage,0.211,25462691,-1,-1
medial frontal_00006,https://pubmed.ncbi.nlm.nih.gov/17133385/,"Temporal lobe interictal epileptic discharges affect cerebral activity in ""default mode"" brain regions.","Laufs H, Hamandi K, Salek-Haddadi A, Kleinschmidt AK, Duncan JS, Lemieux L",Human brain mapping,0.203,17133385,-1,-1
medial frontal_00007,https://pubmed.ncbi.nlm.nih.gov/15275914/,Dissociable concurrent activity of lateral and medial frontal lobe during negative feedback processing.,"Jimura K, Konishi S, Miyashita Y",NeuroImage,0.195,15275914,-1,-1
medial frontal_00008,https://pubmed.ncbi.nlm.nih.gov/15882784/,Neural correlates of eye blinking; improved by simultaneous fMRI and EOG measurement.,"Yoon HW, Chung JY, Song MS, Park H",Neuroscience letters,0.192,15882784,10.1016/j.neulet.2005.01.077,-1
medial frontal_00009,https://pubmed.ncbi.nlm.nih.gov/25498920/,Medial frontal gyrus alterations in schizophrenia: Relationship with duration of  illness and executive dysfunction.,"Frascarelli M, Tognin S, Mirigliani A, Parente F, Buzzanca A, Torti MC, Tinelli E, Caramia F, Di Fabio F, Biondi M, Fusar-Poli P",Psychiatry research,0.188,25498920,10.1016/j.pscychresns.2014.10.017,-1
medial frontal_00010,https://pubmed.ncbi.nlm.nih.gov/27814457/,Functional connectivity during masked and unmasked face emotion processing in bipolar disorder.,"Tseng WL, Thomas LA, Harkins E, Stoddard J, Zarate CA Jr, Pine DS, Leibenluft E, Brotman MA",Psychiatry research. Neuroimaging,0.188,27814457,10.1016/j.pscychresns.2016.10.006,-1
medial frontal_00011,https://pubmed.ncbi.nlm.nih.gov/23778236/,The neural correlates of cognitive control in bipolar I disorder: an fMRI study of medial frontal cortex activation during a Go/No-go task.,"Welander-Vatn A, Jensen J, Otnaess MK, Agartz I, Server A, Melle I, Andreassen OA",Neuroscience letters,0.187,23778236,-1,-1
medial frontal_00012,https://pubmed.ncbi.nlm.nih.gov/16859648/,Common modules for processing invalidly cued events in the human cortex.,"Mattler U, Wustenberg T, Heinze HJ",Brain research,0.184,16859648,-1,-1
medial frontal_00013,https://pubmed.ncbi.nlm.nih.gov/17329129/,Phonological processing in relation to reading: an fMRI study in deaf readers.,"Aparicio M, Gounot D, Demont E, Metz-Lutz MN",NeuroImage,0.184,17329129,-1,-1
