paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
medial prefrontal_00001,https://pubmed.ncbi.nlm.nih.gov/26279209/,Observing accidental and intentional unusual actions is associated with different subregions of the medial frontal cortex.,"Desmet C, Brass M",NeuroImage,0.368,26279209,-1,-1
medial prefrontal_00002,https://pubmed.ncbi.nlm.nih.gov/27064387/,Medial Prefrontal and Anterior Insular Connectivity in Early Schizophrenia and Major Depressive Disorder: A Resting Functional MRI Evaluation of Large-Scale Brain Network Models.,"Penner J, Ford KA, Taylor R, Schaefer B, Theberge J, Neufeld RW, Osuch EA, Menon RS, Rajakumar N, Allman JM, Williamson PC",Frontiers in human neuroscience,0.344,27064387,-1,-1
medial prefrontal_00003,https://pubmed.ncbi.nlm.nih.gov/16171833/,Being with virtual others: Neural correlates of social interaction.,"Schilbach L, Wohlschlaeger AM, Kraemer NC, Newen A, Shah NJ, Fink GR, Vogeley K",Neuropsychologia,0.324,16171833,-1,-1
medial prefrontal_00004,https://pubmed.ncbi.nlm.nih.gov/20692648/,Reduced medial prefrontal cortex volume in adults reporting childhood emotional maltreatment.,"van Harmelen AL, van Tol MJ, van der Wee NJ, Veltman DJ, Aleman A, Spinhoven P, van Buchem MA, Zitman FG, Penninx BW, Elzinga BM",Biological psychiatry,0.258,20692648,-1,-1
medial prefrontal_00005,https://pubmed.ncbi.nlm.nih.gov/10751455/,Neural activity relating to generation and representation of galvanic skin conductance responses: a functional magnetic resonance imaging study.,"Critchley HD, Elliott R, Mathias CJ, Dolan RJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.213,10751455,-1,-1
medial prefrontal_00006,https://pubmed.ncbi.nlm.nih.gov/23314011/,How social is error observation? The neural mechanisms underlying the observation of human and machine errors.,"Desmet C, Deschrijver E, Brass M",Social cognitive and affective neuroscience,0.209,23314011,10.1093/scan/nst002,-1
medial prefrontal_00007,https://pubmed.ncbi.nlm.nih.gov/24040207/,Isn't it ironic? Neural correlates of irony comprehension in schizophrenia.,"Rapp AM, Langohr K, Mutschler DE, Klingberg S, Wild B, Erb M",PloS one,0.209,24040207,10.1371/journal.pone.0074224,-1
medial prefrontal_00008,https://pubmed.ncbi.nlm.nih.gov/12135971/,Neural correlates of self-reflection.,"Johnson SC, Baxter LC, Wilder LS, Pipe JG, Heiserman JE, Prigatano GP",Brain : a journal of neurology,0.207,12135971,10.1093/brain/awf181,-1
medial prefrontal_00009,https://pubmed.ncbi.nlm.nih.gov/17548160/,Differential engagement of anterior cingulate and adjacent medial frontal cortex  in adept meditators and non-meditators.,"Holzel BK, Ott U, Hempel H, Hackl A, Wolf K, Stark R, Vaitl D",Neuroscience letters,0.207,17548160,-1,-1
medial prefrontal_00010,https://pubmed.ncbi.nlm.nih.gov/23450237/,The influence of valence and decision difficulty on self-referential processing.,"Meffert H, Blanken L, Blair KS, White SF, Blair JR",Frontiers in human neuroscience,0.202,23450237,-1,-1
medial prefrontal_00011,https://pubmed.ncbi.nlm.nih.gov/23583742/,The role of serotonin in the neurocircuitry of negative affective bias: serotonergic modulation of the dorsal medial prefrontal-amygdala 'aversive amplification' circuit.,"Robinson OJ, Overstreet C, Allen PS, Letkiewicz A, Vytal K, Pine DS, Grillon C",NeuroImage,0.192,23583742,-1,-1
medial prefrontal_00012,https://pubmed.ncbi.nlm.nih.gov/21122817/,An fMRI investigation of empathy for 'social pain' and subsequent prosocial behavior.,"Masten CL, Morelli SA, Eisenberger NI",NeuroImage,0.189,21122817,10.1016/j.neuroimage.2010.11.060,-1
medial prefrontal_00013,https://pubmed.ncbi.nlm.nih.gov/18574518/,Dissociating medial frontal and posterior cingulate activity during self-reflection.,"Johnson MK, Raye CL, Mitchell KJ, Touryan SR, Greene EJ, Nolen-Hoeksema S",Social cognitive and affective neuroscience,0.186,18574518,10.1093/scan/nsl004,-1
medial prefrontal_00014,https://pubmed.ncbi.nlm.nih.gov/27148024/,A Neural Mechanism of Preference Shifting Under Zero Price Condition.,"Votinov M, Aso T, Fukuyama H, Mima T",Frontiers in human neuroscience,0.184,27148024,10.3389/fnhum.2016.00177,-1
medial prefrontal_00015,https://pubmed.ncbi.nlm.nih.gov/22287263/,Disentangling self- and fairness-related neural mechanisms involved in the ultimatum game: an fMRI study.,"Corradi-Dell'Acqua C, Civai C, Rumiati RI, Fink GR",Social cognitive and affective neuroscience,0.176,22287263,10.1093/scan/nss014,-1
medial prefrontal_00016,https://pubmed.ncbi.nlm.nih.gov/26197267/,Brain networks of affective mentalizing revealed by the tear effect: The integrative role of the medial prefrontal cortex and precuneus.,"Takahashi HK, Kitada R, Sasaki AT, Kawamichi H, Okazaki S, Kochiyama T, Sadato N",Neuroscience research,0.172,26197267,10.1016/j.neures.2015.07.005,-1
medial prefrontal_00017,https://pubmed.ncbi.nlm.nih.gov/23968840/,Individual Differences in Laughter Perception Reveal Roles for Mentalizing and Sensorimotor Systems in the Evaluation of Emotional Authenticity.,"McGettigan C, Walsh E, Jessop R, Agnew ZK, Sauter DA, Warren JE, Scott SK","Cerebral cortex (New York, N.Y. : 1991)",0.171,23968840,-1,-1
medial prefrontal_00018,https://pubmed.ncbi.nlm.nih.gov/23977239/,Default-mode network changes in Huntington's disease: an integrated MRI study of  functional connectivity and morphometry.,"Quarantelli M, Salvatore E, Giorgio SM, Filla A, Cervo A, Russo CV, Cocozza S, Massarelli M, Brunetti A, De Michele G",PloS one,0.171,23977239,-1,-1
medial prefrontal_00019,https://pubmed.ncbi.nlm.nih.gov/15050563/,Target dependency of brain mechanism involved in dispositional inference: a PET study.,"Sugiura M, Gotoh R, Okada K, Yamaguchi K, Itoh M, Fukuda H, Kawashima R",NeuroImage,0.17,15050563,-1,-1
medial prefrontal_00020,https://pubmed.ncbi.nlm.nih.gov/21075129/,Functional roles and cultural modulations of the medial prefrontal and parietal activity associated with causal attribution.,"Han S, Mao L, Qin J, Friederici AD, Ge J",Neuropsychologia,0.17,21075129,-1,-1
medial prefrontal_00021,https://pubmed.ncbi.nlm.nih.gov/26388760/,Neuroimaging of the joint Simon effect with believed biological and non-biological co-actors.,"Wen T, Hsieh S",Frontiers in human neuroscience,0.17,26388760,-1,-1
medial prefrontal_00022,https://pubmed.ncbi.nlm.nih.gov/24416347/,Childhood emotional maltreatment severity is associated with dorsal medial prefrontal cortex responsivity to social exclusion in young adults.,"van Harmelen AL, Hauber K, Gunther Moor B, Spinhoven P, Boon AE, Crone EA, Elzinga BM",PloS one,0.168,24416347,-1,-1
medial prefrontal_00023,https://pubmed.ncbi.nlm.nih.gov/19535615/,Neural correlates of observing pretend play in which one object is represented as another.,"Whitehead C, Marchant JL, Craik D, Frith CD",Social cognitive and affective neuroscience,0.163,19535615,-1,-1
medial prefrontal_00024,https://pubmed.ncbi.nlm.nih.gov/17433880/,Human cortical circuits for central executive function emerge by theta phase synchronization.,"Mizuhara H, Yamaguchi Y",NeuroImage,0.162,17433880,-1,-1
medial prefrontal_00025,https://pubmed.ncbi.nlm.nih.gov/20674286/,Dopaminergic modulation of the default mode network in Parkinson's disease.,"Delaveau P, Salgado-Pineda P, Fossati P, Witjas T, Azulay JP, Blin O",European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,0.162,20674286,-1,-1
medial prefrontal_00026,https://pubmed.ncbi.nlm.nih.gov/21167825/,Altered resting state networks in epileptic patients with generalized tonic-clonic seizures.,"Wang Z, Lu G, Zhang Z, Zhong Y, Jiao Q, Zhang Z, Tan Q, Tian L, Chen G, Liao W, Li K, Liu Y",Brain research,0.161,21167825,-1,-1
medial prefrontal_00027,https://pubmed.ncbi.nlm.nih.gov/15184035/,Abnormal ventral frontal response during performance of an affective go/no go task in patients with mania.,"Elliott R, Ogilvie A, Rubinsztein JS, Calderon G, Dolan RJ, Sahakian BJ",Biological psychiatry,0.157,15184035,-1,-1
medial prefrontal_00028,https://pubmed.ncbi.nlm.nih.gov/16281289/,Amygdala-prefrontal dissociation of subliminal and supraliminal fear.,"Williams LM, Liddell BJ, Kemp AH, Bryant RA, Meares RA, Peduto AS, Gordon E",Human brain mapping,0.156,16281289,-1,-1
medial prefrontal_00029,https://pubmed.ncbi.nlm.nih.gov/21383234/,Relationships between beta-amyloid and functional connectivity in different components of the default mode network in aging.,"Mormino EC, Smiljic A, Hayenga AO, Onami SH, Greicius MD, Rabinovici GD, Janabi M, Baker SL, Yen IV, Madison CM, Miller BL, Jagust WJ","Cerebral cortex (New York, N.Y. : 1991)",0.156,21383234,-1,-1
medial prefrontal_00030,https://pubmed.ncbi.nlm.nih.gov/19429079/,Online mentalising investigated with functional MRI.,"Kircher T, Blumel I, Marjoram D, Lataster T, Krabbendam L, Weber J, van Os J, Krach S",Neuroscience letters,0.155,19429079,-1,-1
medial prefrontal_00031,https://pubmed.ncbi.nlm.nih.gov/22038706/,Authenticity affects the recognition of emotions in speech: behavioral and fMRI evidence.,"Drolet M, Schubotz RI, Fischer J","Cognitive, affective & behavioral neuroscience",0.155,22038706,10.3758/s13415-011-0069-3,-1
medial prefrontal_00032,https://pubmed.ncbi.nlm.nih.gov/19853585/,Neural substrates of irony comprehension: A functional MRI study.,"Shibata M, Toyomura A, Itoh H, Abe J",Brain research,0.154,19853585,10.1016/j.brainres.2009.10.030,-1
medial prefrontal_00033,https://pubmed.ncbi.nlm.nih.gov/22403154/,Neuroimaging self-esteem: a fMRI study of individual differences in women.,"Frewen PA, Lundberg E, Brimson-Theberge M, Theberge J",Social cognitive and affective neuroscience,0.154,22403154,10.1093/scan/nss032,-1
medial prefrontal_00034,https://pubmed.ncbi.nlm.nih.gov/24086409/,Medial prefrontal cortex activation is commonly invoked by reputation of self and romantic partners.,"Kawamichi H, Sasaki AT, Matsunaga M, Yoshihara K, Takahashi HK, Tanabe HC, Sadato N",PloS one,0.152,24086409,-1,-1
medial prefrontal_00035,https://pubmed.ncbi.nlm.nih.gov/19242539/,Activation of anterior insula during self-reflection.,"Modinos G, Ormel J, Aleman A",PloS one,0.15,19242539,-1,-1
medial prefrontal_00036,https://pubmed.ncbi.nlm.nih.gov/23918599/,Did I turn off the gas? Reality monitoring of everyday actions.,"Brandt VC, Bergstrom ZM, Buda M, Henson RN, Simons JS","Cognitive, affective & behavioral neuroscience",0.15,23918599,-1,-1
medial prefrontal_00037,https://pubmed.ncbi.nlm.nih.gov/14573322/,Recovery and chronicity in anorexia nervosa: brain activity associated with differential outcomes.,"Uher R, Brammer MJ, Murphy T, Campbell IC, Ng VW, Williams SC, Treasure J",Biological psychiatry,0.148,14573322,-1,-1
