paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
mental states_00001,https://pubmed.ncbi.nlm.nih.gov/20226769/,Temporal pole activity during understanding other persons' mental states correlates with neuroticism trait.,"Jimura K, Konishi S, Asari T, Miyashita Y",Brain research,0.383,20226769,-1,-1
mental states_00002,https://pubmed.ncbi.nlm.nih.gov/24115202/,Functional activity and effective connectivity of the posterior medial prefrontal cortex during processing of incongruent mental states.,"Schuwerk T, Dohnel K, Sodian B, Keck IR, Rupprecht R, Sommer M",Human brain mapping,0.342,24115202,-1,-1
mental states_00003,https://pubmed.ncbi.nlm.nih.gov/23574585/,Common brain regions with distinct patterns of neural responses during mentalizing about groups and individuals.,"Contreras JM, Schirmer J, Banaji MR, Mitchell JP",Journal of cognitive neuroscience,0.313,23574585,-1,-1
mental states_00004,https://pubmed.ncbi.nlm.nih.gov/25140705/,The neural bases of directed and spontaneous mental state attributions to group agents.,"Jenkins AC, Dodell-Feder D, Saxe R, Knobe J",PloS one,0.297,25140705,-1,-1
mental states_00005,https://pubmed.ncbi.nlm.nih.gov/12948738/,"People thinking about thinking people. The role of the temporo-parietal junction  in ""theory of mind"".","Saxe R, Kanwisher N",NeuroImage,0.289,12948738,-1,-1
mental states_00006,https://pubmed.ncbi.nlm.nih.gov/16701214/,Dissociable medial prefrontal contributions to judgments of similar and dissimilar others.,"Mitchell JP, Macrae CN, Banaji MR",Neuron,0.284,16701214,-1,-1
mental states_00007,https://pubmed.ncbi.nlm.nih.gov/14683715/,"One brain, two selves.","Reinders AA, Nijenhuis ER, Paans AM, Korf J, Willemsen AT, den Boer JA",NeuroImage,0.273,14683715,-1,-1
mental states_00008,https://pubmed.ncbi.nlm.nih.gov/23107380/,Mentalising music in frontotemporal dementia.,"Downey LE, Blezat A, Nicholas J, Omar R, Golden HL, Mahoney CJ, Crutch SJ, Warren JD",Cortex; a journal devoted to the study of the nervous system and behavior,0.25,23107380,-1,-1
mental states_00009,https://pubmed.ncbi.nlm.nih.gov/27779908/,States of Mind: Characterizing the Neural Bases of Focus and Mind-wandering through Dynamic Functional Connectivity.,"Mooneyham BW, Mrazek MD, Mrazek AJ, Mrazek KL, Phillips DT, Schooler JW",Journal of cognitive neuroscience,0.249,27779908,-1,-1
mental states_00010,https://pubmed.ncbi.nlm.nih.gov/23887807/,Individual differences in anthropomorphic attributions and human brain structure.,"Cullen H, Kanai R, Bahrami B, Rees G",Social cognitive and affective neuroscience,0.237,23887807,-1,-1
mental states_00011,https://pubmed.ncbi.nlm.nih.gov/22586381/,How do we think machines think? An fMRI study of alleged competition with an artificial intelligence.,"Chaminade T, Rosset D, Da Fonseca D, Nazarian B, Lutcher E, Cheng G, Deruelle C",Frontiers in human neuroscience,0.232,22586381,10.3389/fnhum.2012.00103,-1
mental states_00012,https://pubmed.ncbi.nlm.nih.gov/20146607/,"Identifying the what, why, and how of an observed action: an fMRI study of mentalizing and mechanizing during action observation.","Spunt RP, Satpute AB, Lieberman MD",Journal of cognitive neuroscience,0.228,20146607,10.1162/jocn.2010.21446,-1
mental states_00013,https://pubmed.ncbi.nlm.nih.gov/24705200/,Classifying the wandering mind: Revealing the affective content of thoughts during task-free rest periods.,"Tusche A, Smallwood J, Bernhardt BC, Singer T",NeuroImage,0.228,24705200,-1,-1
mental states_00014,https://pubmed.ncbi.nlm.nih.gov/20534459/,Neural correlates of anchoring-and-adjustment during mentalizing.,"Tamir DI, Mitchell JP",Proceedings of the National Academy of Sciences of the United States of America,0.221,20534459,-1,-1
mental states_00015,https://pubmed.ncbi.nlm.nih.gov/26621704/,"Neural evidence that three dimensions organize mental state representation: Rationality, social impact, and valence.","Tamir DI, Thornton MA, Contreras JM, Mitchell JP",Proceedings of the National Academy of Sciences of the United States of America,0.22,26621704,-1,-1
mental states_00016,https://pubmed.ncbi.nlm.nih.gov/23716712/,Ongoing neural development of affective theory of mind in adolescence.,"Vetter NC, Weigelt S, Dohnel K, Smolka MN, Kliegel M",Social cognitive and affective neuroscience,0.199,23716712,-1,-1
mental states_00017,https://pubmed.ncbi.nlm.nih.gov/27575531/,Fluctuations of Attentional Networks and Default Mode Network during the Resting  State Reflect Variations in Cognitive States: Evidence from a Novel Resting-state Experience Sampling Method.,"Van Calster L, D'Argembeau A, Salmon E, Peters F, Majerus S",Journal of cognitive neuroscience,0.198,27575531,-1,-1
mental states_00018,https://pubmed.ncbi.nlm.nih.gov/24412433/,When a loved one feels unfamiliar: a case study on the neural basis of Capgras delusion.,"Thiel CM, Studte S, Hildebrandt H, Huster R, Weerda R",Cortex; a journal devoted to the study of the nervous system and behavior,0.195,24412433,-1,-1
mental states_00019,https://pubmed.ncbi.nlm.nih.gov/22649243/,Response of dorsomedial prefrontal cortex predicts altruistic behavior.,"Waytz A, Zaki J, Mitchell JP",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.191,22649243,-1,-1
mental states_00020,https://pubmed.ncbi.nlm.nih.gov/26301900/,Is the Medial Prefrontal Cortex Necessary for Theory of Mind?,"Otti A, Wohlschlaeger AM, Noll-Hussong M",PloS one,0.187,26301900,-1,-1
mental states_00021,https://pubmed.ncbi.nlm.nih.gov/20435051/,"Mental state attribution and the temporoparietal junction: an fMRI study comparing belief, emotion, and perception.","Zaitchik D, Walker C, Miller S, LaViolette P, Feczko E, Dickerson BC",Neuropsychologia,0.186,20435051,-1,-1
mental states_00022,https://pubmed.ncbi.nlm.nih.gov/19478034/,Mentalizing under uncertainty: dissociated neural responses to ambiguous and unambiguous mental state inferences.,"Jenkins AC, Mitchell JP","Cerebral cortex (New York, N.Y. : 1991)",0.178,19478034,-1,-1
mental states_00023,https://pubmed.ncbi.nlm.nih.gov/23770622/,Cognitive and affective theory of mind share the same local patterns of activity  in posterior temporal but not medial prefrontal cortex.,"Corradi-Dell'acqua C, Hofstetter C, Vuilleumier P",Social cognitive and affective neuroscience,0.177,23770622,-1,-1
mental states_00024,https://pubmed.ncbi.nlm.nih.gov/20888847/,Neurobiological correlates of theory of mind in psychosis proneness.,"Modinos G, Renken R, Shamay-Tsoory SG, Ormel J, Aleman A",Neuropsychologia,0.172,20888847,-1,-1
