paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
mg_00001,https://pubmed.ncbi.nlm.nih.gov/22470326/,Pregabalin effects on neural response to emotional faces.,"Aupperle RL, Tankersley D, Ravindran LN, Flagan T, Stein NR, Stein MB, Paulus MP",Frontiers in human neuroscience,0.425,22470326,-1,-1
mg_00002,https://pubmed.ncbi.nlm.nih.gov/19679384/,Neural correlates of traditional Chinese medicine induced advantageous risk-taking decision making.,"Lee TM, Guo LG, Shi HZ, Li YZ, Luo YJ, Sung CY, Chan CC, Lee TM",Brain and cognition,0.381,19679384,-1,-1
mg_00003,https://pubmed.ncbi.nlm.nih.gov/19680634/,Effects of MDMA on sociability and neural response to social threat and social reward.,"Bedi G, Phan KL, Angstadt M, de Wit H",Psychopharmacology,0.381,19680634,-1,-1
mg_00004,https://pubmed.ncbi.nlm.nih.gov/28220070/,Neural Correlates of Mirror Visual Feedback-Induced Performance Improvements: A Resting-State fMRI Study.,"Rjosk V, Lepsien J, Kaminski E, Hoff M, Sehm B, Steele CJ, Villringer A, Ragert P",Frontiers in human neuroscience,0.327,28220070,-1,-1
mg_00005,https://pubmed.ncbi.nlm.nih.gov/21168122/,Neural correlates of error monitoring modulated by atomoxetine in healthy volunteers.,"Graf H, Abler B, Freudenmann R, Beschoner P, Schaeffeler E, Spitzer M, Schwab M, Gron G",Biological psychiatry,0.316,21168122,-1,-1
mg_00006,https://pubmed.ncbi.nlm.nih.gov/25893641/,Acute effects of the designer drugs benzylpiperazine (BZP) and trifluoromethylphenylpiperazine (TFMPP) using functional magnetic resonance imaging (fMRI) and the Stroop task-a pilot study.,"Curley LE, Kydd RR, Robertson MC, Pillai A, McNair N, Lee H, Kirk IJ, Russell BR",Psychopharmacology,0.304,25893641,-1,-1
mg_00007,https://pubmed.ncbi.nlm.nih.gov/18524902/,Methylphenidate has differential effects on blood oxygenation level-dependent signal related to cognitive subprocesses of reversal learning.,"Dodds CM, Muller U, Clark L, van Loon A, Cools R, Robbins TW",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.288,18524902,-1,-1
mg_00008,https://pubmed.ncbi.nlm.nih.gov/24513025/,"Dissociable and common effects of methylphenidate, atomoxetine and citalopram on  response inhibition neural networks.","Nandam LS, Hester R, Bellgrove MA",Neuropsychologia,0.282,24513025,-1,-1
mg_00009,https://pubmed.ncbi.nlm.nih.gov/23690582/,Preventing Alzheimer's disease-related gray matter atrophy by B-vitamin treatment.,"Douaud G, Refsum H, de Jager CA, Jacoby R, Nichols TE, Smith SM, Smith AD",Proceedings of the National Academy of Sciences of the United States of America,0.28,23690582,-1,-1
mg_00010,https://pubmed.ncbi.nlm.nih.gov/23666554/,Differential responses to anticipation of reward after an acute dose of the designer drugs benzylpiperazine (BZP) and trifluoromethylphenylpiperazine (TFMPP) alone and in combination using functional,"Curley LE, Kydd RR, Kirk IJ, Russell BR",Psychopharmacology,0.267,23666554,-1,-1
mg_00011,https://pubmed.ncbi.nlm.nih.gov/23564211/,The role of P-glycoprotein in CNS antihistamine effects.,"Conen S, Theunissen EL, Vermeeren A, van Ruitenbeek P, Stiers P, Mehta MA, Toennes SW, Ramaekers JG",Psychopharmacology,0.248,23564211,-1,-1
mg_00012,https://pubmed.ncbi.nlm.nih.gov/19625385/,Memory encoding and dopamine in the aging brain: a psychopharmacological neuroimaging study.,"Morcom AM, Bullmore ET, Huppert FA, Lennox B, Praseedom A, Linnington H, Fletcher PC","Cerebral cortex (New York, N.Y. : 1991)",0.245,19625385,-1,-1
mg_00013,https://pubmed.ncbi.nlm.nih.gov/22446490/,Effect of paroxetine and bupropion on human resting brain perfusion: an arterial  spin labeling study.,"Viviani R, Abler B, Seeringer A, Stingl JC",NeuroImage,0.222,22446490,-1,-1
mg_00014,https://pubmed.ncbi.nlm.nih.gov/16228196/,Effects of ketamine on prefrontal and striatal regions in an overt verbal fluency task: a functional magnetic resonance imaging study.,"Fu CH, Abel KM, Allin MP, Gasston D, Costafreda SG, Suckling J, Williams SC, McGuire PK",Psychopharmacology,0.219,16228196,-1,-1
mg_00015,https://pubmed.ncbi.nlm.nih.gov/22451196/,Acute effects of single-dose aripiprazole and haloperidol on resting cerebral blood flow (rCBF) in the human brain.,"Handley R, Zelaya FO, Reinders AA, Marques TR, Mehta MA, O'Gorman R, Alsop DC, Taylor H, Johnston A, Williams S, McGuire P, Pariante CM, Kapur S, Dazzan P",Human brain mapping,0.219,22451196,-1,-1
mg_00016,https://pubmed.ncbi.nlm.nih.gov/23341872/,Pain facilitation brain regions activated by nalbuphine are revealed by pharmacological fMRI.,"Gear R, Becerra L, Upadhyay J, Bishop J, Wallin D, Pendse G, Levine J, Borsook D",PloS one,0.217,23341872,-1,-1
mg_00017,https://pubmed.ncbi.nlm.nih.gov/23142493/,Dopaminergic dysfunction in abstinent dexamphetamine users: results from a pharmacological fMRI study using a reward anticipation task and a methylphenidate challenge.,"Schouw ML, De Ruiter MB, Kaag AM, van den Brink W, Lindauer RJ, Reneman L",Drug and alcohol dependence,0.212,23142493,-1,-1
mg_00018,https://pubmed.ncbi.nlm.nih.gov/21359508/,Differential modulation of emotion processing brain regions by noradrenergic and  serotonergic antidepressants.,"Bruhl AB, Jancke L, Herwig U",Psychopharmacology,0.208,21359508,-1,-1
mg_00019,https://pubmed.ncbi.nlm.nih.gov/24302681/,The neurosteroids allopregnanolone and dehydroepiandrosterone modulate resting-state amygdala connectivity.,"Sripada RK, Welsh RC, Marx CE, Liberzon I",Human brain mapping,0.204,24302681,-1,-1
mg_00020,https://pubmed.ncbi.nlm.nih.gov/16839780/,Influence of the stress hormone cortisol on fear conditioning in humans: evidence for sex differences in the response of the prefrontal cortex.,"Stark R, Wolf OT, Tabbert K, Kagerer S, Zimmermann M, Kirsch P, Schienle A, Vaitl D",NeuroImage,0.2,16839780,-1,-1
mg_00021,https://pubmed.ncbi.nlm.nih.gov/26047963/,"The effect of flavanol-rich cocoa on cerebral perfusion in healthy older adults during conscious resting state: a placebo controlled, crossover, acute trial.","Lamport DJ, Pal D, Moutsiana C, Field DT, Williams CM, Spencer JP, Butler LT",Psychopharmacology,0.198,26047963,-1,-1
mg_00022,https://pubmed.ncbi.nlm.nih.gov/17767511/,Brain imaging of analgesic and antihyperalgesic effects of cyclooxygenase inhibition in an experimental human pain model: a functional MRI study.,"Maihofner C, Ringler R, Herrndobler F, Koppert W",The European journal of neuroscience,0.197,17767511,-1,-1
mg_00023,https://pubmed.ncbi.nlm.nih.gov/21967987/,Response perseveration in stimulant dependence is associated with striatal dysfunction and can be ameliorated by a D(2/3) receptor agonist.,"Ersche KD, Roiser JP, Abbott S, Craig KJ, Muller U, Suckling J, Ooi C, Shabbir SS, Clark L, Sahakian BJ, Fineberg NA, Merlo-Pich EV, Robbins TW, Bullmore ET",Biological psychiatry,0.189,21967987,-1,-1
mg_00024,https://pubmed.ncbi.nlm.nih.gov/19036981/,Modeling a negative response bias in the human amygdala by noradrenergic-glucocorticoid interactions.,"Kukolja J, Schlapfer TE, Keysers C, Klingmuller D, Maier W, Fink GR, Hurlemann R",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.188,19036981,-1,-1
mg_00025,https://pubmed.ncbi.nlm.nih.gov/15978846/,Effects of dopaminergic and serotonergic manipulation on emotional processing: a  pharmacological fMRI study.,"Takahashi H, Yahata N, Koeda M, Takano A, Asai K, Suhara T, Okubo Y",NeuroImage,0.186,15978846,-1,-1
mg_00026,https://pubmed.ncbi.nlm.nih.gov/24695721/,Nipping cue reactivity in the bud: baclofen prevents limbic activation elicited by subliminal drug cues.,"Young KA, Franklin TR, Roberts DC, Jagannathan K, Suh JJ, Wetherill RR, Wang Z, Kampman KM, O'Brien CP, Childress AR",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.18,24695721,-1,-1
mg_00027,https://pubmed.ncbi.nlm.nih.gov/22452559/,Nicotine effects on brain function during a visual oddball task: a comparison between conventional and EEG-informed fMRI analysis.,"Warbrick T, Mobascher A, Brinkmeyer J, Musso F, Stoecker T, Shah NJ, Fink GR, Winterer G",Journal of cognitive neuroscience,0.169,22452559,-1,-1
mg_00028,https://pubmed.ncbi.nlm.nih.gov/12672539/,Haloperidol challenge in healthy male humans: a functional magnetic resonance imaging study.,"Brassen S, Tost H, Hoehn F, Weber-Fahr W, Klein S, Braus DF",Neuroscience letters,0.165,12672539,-1,-1
mg_00029,https://pubmed.ncbi.nlm.nih.gov/25980483/,Common and distinct neural effects of risperidone and olanzapine during procedural learning in schizophrenia: a randomised longitudinal fMRI study.,"Kumari V, Ettinger U, Lee SE, Deuschl C, Anilkumar AP, Schmechtig A, Corr PJ, Ffytche DH, Williams SC",Psychopharmacology,0.165,25980483,-1,-1
mg_00030,https://pubmed.ncbi.nlm.nih.gov/27309348/,Distinct BOLD fMRI Responses of Capsaicin-Induced Thermal Sensation Reveal Pain-Related Brain Activation in Nonhuman Primates.,"Asad AB, Seah S, Baumgartner R, Feng D, Jensen A, Manigbas E, Henry B, Houghton A, Evelhoch JL, Derbyshire SW, Chin CL",PloS one,0.155,27309348,-1,-1
mg_00031,https://pubmed.ncbi.nlm.nih.gov/22828162/,Prediction of SSRI treatment response in major depression based on serotonin transporter interplay between median raphe nucleus and projection areas.,"Lanzenberger R, Kranz GS, Haeusler D, Akimova E, Savli M, Hahn A, Mitterhauser M, Spindelegger C, Philippe C, Fink M, Wadsak W, Karanikas G, Kasper S",NeuroImage,0.152,22828162,10.1016/j.neuroimage.2012.07.023,-1
mg_00032,https://pubmed.ncbi.nlm.nih.gov/25899791/,beta-Adrenoceptor blockade modulates fusiform gyrus activity to black versus white faces.,"Terbeck S, Kahane G, McTavish S, McCutcheon R, Hewstone M, Savulescu J, Chesterman LP, Cowen PJ, Norbury R",Psychopharmacology,0.143,25899791,10.1007/s00213-015-3929-7,-1
mg_00033,https://pubmed.ncbi.nlm.nih.gov/15260961/,Amphetamine modulates human incentive processing.,"Knutson B, Bjork JM, Fong GW, Hommer D, Mattay VS, Weinberger DR",Neuron,0.134,15260961,-1,-1
mg_00034,https://pubmed.ncbi.nlm.nih.gov/23907764/,Intranasal insulin increases regional cerebral blood flow in the insular cortex in men independently of cortisol manipulation.,"Schilling TM, Ferreira de Sa DS, Westerhausen R, Strelzyk F, Larra MF, Hallschmid M, Savaskan E, Oitzl MS, Busch HP, Naumann E, Schachinger H",Human brain mapping,0.129,23907764,-1,-1
mg_00035,https://pubmed.ncbi.nlm.nih.gov/12518293/,Ketamine and fMRI BOLD signal: distinguishing between effects mediated by change  in blood flow versus change in cognitive state.,"Abel KM, Allin MP, Kucharska-Pietura K, Andrew C, Williams S, David AS, Phillips ML",Human brain mapping,0.128,12518293,-1,-1
mg_00036,https://pubmed.ncbi.nlm.nih.gov/26079805/,Nicotinergic Modulation of Attention-Related Neural Activity Differentiates Polymorphisms of DRD2 and CHRNA4 Receptor Genes.,"Breckel TP, Giessing C, Gieseler A, Querbach S, Reuter M, Thiel CM",PloS one,0.128,26079805,-1,-1
mg_00037,https://pubmed.ncbi.nlm.nih.gov/16061398/,Neural responses to acute cocaine administration in the human brain detected by fMRI.,"Kufahl PR, Li Z, Risinger RC, Rainey CJ, Wu G, Bloom AS, Li SJ",NeuroImage,0.125,16061398,-1,-1
mg_00038,https://pubmed.ncbi.nlm.nih.gov/22006639/,Cholinergic blockade under working memory demands encountered by increased rehearsal strategies: evidence from fMRI in healthy subjects.,"Voss B, Thienel R, Reske M, Kellermann T, Sheldrick AJ, Halfter S, Radenbach K, Shah NJ, Habel U, Kircher TT",European archives of psychiatry and clinical neuroscience,0.125,22006639,-1,-1
