paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
middle occipital_00001,https://pubmed.ncbi.nlm.nih.gov/27130563/,Neural activity during object perception in schizophrenia patients is associated  with illness duration and affective symptoms.,"Stephan-Otto C, Siddi S, Cuevas Esteban J, Senior C, Garcia-Alvarez R, Cambra-Marti MR, Usall J, Brebion G",Schizophrenia research,0.42,27130563,-1,-1
middle occipital_00002,https://pubmed.ncbi.nlm.nih.gov/26808504/,A Voxel-Based Morphometric MRI Study in Young Adults with Borderline Personality  Disorder.,"Jin X, Zhong M, Yao S, Cao X, Tan C, Gan J, Zhu X, Yi J",PloS one,0.216,26808504,-1,-1
middle occipital_00003,https://pubmed.ncbi.nlm.nih.gov/25218951/,Similarities and differences in brain activation and functional connectivity in first and second language reading: evidence from Chinese learners of English.,"Cao F, Young Kim S, Liu Y, Liu L",Neuropsychologia,0.203,25218951,-1,-1
middle occipital_00004,https://pubmed.ncbi.nlm.nih.gov/16987673/,Traces of vocabulary acquisition in the brain: Evidence from covert object naming.,"Ellis AW, Burani C, Izura C, Bromiley A, Venneri A",NeuroImage,0.195,16987673,-1,-1
middle occipital_00005,https://pubmed.ncbi.nlm.nih.gov/26301900/,Is the Medial Prefrontal Cortex Necessary for Theory of Mind?,"Otti A, Wohlschlaeger AM, Noll-Hussong M",PloS one,0.18,26301900,-1,-1
middle occipital_00006,https://pubmed.ncbi.nlm.nih.gov/27474853/,Visual dorsal stream is associated with Chinese reading skills: A resting-state fMRI study.,"Qian Y, Bi Y, Wang X, Zhang YW, Bi HY",Brain and language,0.177,27474853,-1,-1
middle occipital_00007,https://pubmed.ncbi.nlm.nih.gov/27243614/,Memory-reliant Post-error Slowing Is Associated with Successful Learning and Fronto-occipital Activity.,"Schiffler BC, Almeida R, Granqvist M, Bengtsson SL",Journal of cognitive neuroscience,0.173,27243614,-1,-1
middle occipital_00008,https://pubmed.ncbi.nlm.nih.gov/11163375/,Perceptual specificity in visual object priming: functional magnetic resonance imaging evidence for a laterality difference in fusiform cortex.,"Koutstaal W, Wagner AD, Rotte M, Maril A, Buckner RL, Schacter DL",Neuropsychologia,0.167,11163375,-1,-1
middle occipital_00009,https://pubmed.ncbi.nlm.nih.gov/20036336/,The effect of Neuregulin 1 on neural correlates of episodic memory encoding and retrieval.,"Krug A, Markov V, Krach S, Jansen A, Zerres K, Eggermann T, Stocker T, Shah NJ, Nothen MM, Treutlein J, Rietschel M, Kircher T",NeuroImage,0.163,20036336,-1,-1
middle occipital_00010,https://pubmed.ncbi.nlm.nih.gov/27723821/,Abnormal Intrinsic Functional Hubs in Severe Male Obstructive Sleep Apnea: Evidence from a Voxel-Wise Degree Centrality Analysis.,"Li H, Li L, Shao Y, Gong H, Zhang W, Zeng X, Ye C, Nie S, Chen L, Peng D",PloS one,0.162,27723821,-1,-1
middle occipital_00011,https://pubmed.ncbi.nlm.nih.gov/20736069/,Spatial attention influences trial-by-trial relationships between response time and functional connectivity in the visual cortex.,"Prado J, Weissman DH",NeuroImage,0.155,20736069,-1,-1
middle occipital_00012,https://pubmed.ncbi.nlm.nih.gov/12672539/,Haloperidol challenge in healthy male humans: a functional magnetic resonance imaging study.,"Brassen S, Tost H, Hoehn F, Weber-Fahr W, Klein S, Braus DF",Neuroscience letters,0.154,12672539,-1,-1
middle occipital_00013,https://pubmed.ncbi.nlm.nih.gov/26696853/,Role of the Insula and Vestibular System in Patients with Chronic Subjective Dizziness: An fMRI Study Using Sound-Evoked Vestibular Stimulation.,"Indovina I, Riccelli R, Chiarella G, Petrolo C, Augimeri A, Giofre L, Lacquaniti F, Staab JP, Passamonti L",Frontiers in behavioral neuroscience,0.152,26696853,-1,-1
middle occipital_00014,https://pubmed.ncbi.nlm.nih.gov/26594629/,Autistic fluid intelligence: Increased reliance on visual functional connectivity with diminished modulation of coupling by task difficulty.,"Simard I, Luck D, Mottron L, Zeffiro TA, Soulieres I",NeuroImage. Clinical,0.15,26594629,-1,-1
middle occipital_00015,https://pubmed.ncbi.nlm.nih.gov/25109567/,Effect of orthography over neural regions in bilinguals: a view from neuroimaging.,Kumar U,Neuroscience letters,0.144,25109567,-1,-1
middle occipital_00016,https://pubmed.ncbi.nlm.nih.gov/25281309/,Neuronal substrates of Corsi Block span: Lesion symptom mapping analyses in relation to attentional competition and spatial bias.,"Chechlacz M, Rotshtein P, Humphreys GW",Neuropsychologia,0.133,25281309,-1,-1
middle occipital_00017,https://pubmed.ncbi.nlm.nih.gov/27957670/,Residual effects of emotion are reflected in enhanced visual activity after sleep.,"Bennion KA, Payne JD, Kensinger EA","Cognitive, affective & behavioral neuroscience",0.131,27957670,-1,-1
middle occipital_00018,https://pubmed.ncbi.nlm.nih.gov/20532166/,Dorsal visual pathway changes in patients with comitant extropia.,"Yan X, Lin X, Wang Q, Zhang Y, Chen Y, Song S, Jiang T",PloS one,0.128,20532166,-1,-1
middle occipital_00019,https://pubmed.ncbi.nlm.nih.gov/15567485/,Dominance of the left oblique view in activating the cortical network for face recognition.,"Kowatari Y, Yamamoto M, Takahashi T, Kansaku K, Kitazawa S, Ueno S, Yamane S",Neuroscience research,0.127,15567485,-1,-1
middle occipital_00020,https://pubmed.ncbi.nlm.nih.gov/21767899/,Adaptive influence of long term high altitude residence on spatial working memory: an fMRI study.,"Yan X, Zhang J, Gong Q, Weng X",Brain and cognition,0.126,21767899,-1,-1
middle occipital_00021,https://pubmed.ncbi.nlm.nih.gov/27501391/,Assessment of Cortical Dysfunction in Patients with Intermittent Exotropia: An fMRI Study.,"Li Q, Bai J, Zhang J, Gong Q, Liu L",PloS one,0.126,27501391,10.1371/journal.pone.0160806,-1
middle occipital_00022,https://pubmed.ncbi.nlm.nih.gov/22155331/,The neural correlates of gist-based true and false recognition.,"Gutchess AH, Schacter DL",NeuroImage,0.121,22155331,10.1016/j.neuroimage.2011.11.078,-1
middle occipital_00023,https://pubmed.ncbi.nlm.nih.gov/20619317/,Investigation of acupoint specificity by functional connectivity analysis based on graph theory.,"Ren Y, Bai L, Feng Y, Tian J, Li K",Neuroscience letters,0.119,20619317,10.1016/j.neulet.2010.06.091,-1
middle occipital_00024,https://pubmed.ncbi.nlm.nih.gov/17292628/,Dissociated brain organization for single-digit addition and multiplication.,"Zhou X, Chen C, Zang Y, Dong Q, Chen C, Qiao S, Gong Q",NeuroImage,0.117,17292628,-1,-1
middle occipital_00025,https://pubmed.ncbi.nlm.nih.gov/15246452/,Functional MRI study of a serial reaction time task in Huntington's disease.,"Kim JS, Reading SA, Brashers-Krug T, Calhoun VD, Ross CA, Pearlson GD",Psychiatry research,0.115,15246452,-1,-1
middle occipital_00026,https://pubmed.ncbi.nlm.nih.gov/22414993/,Neural correlates of temporal integration in face recognition: an fMRI study.,"Lee Y, Anaki D, Grady CL, Moscovitch M",NeuroImage,0.11,22414993,-1,-1
middle occipital_00027,https://pubmed.ncbi.nlm.nih.gov/29197501/,Intuitive physics ability in systemizers relies on differential use of the internalizing system and long-term spatial representations.,"Riekki T, Salmi J, Svedholm-Hakkinen AM, Lindeman M",Neuropsychologia,0.11,29197501,-1,-1
middle occipital_00028,https://pubmed.ncbi.nlm.nih.gov/25197013/,Neural mechanisms of smooth pursuit eye movements in schizotypy.,"Meyhofer I, Steffens M, Kasparbauer A, Grant P, Weber B, Ettinger U",Human brain mapping,0.109,25197013,-1,-1
middle occipital_00029,https://pubmed.ncbi.nlm.nih.gov/20403339/,Instruction dependent activation during optokinetic nystagmus (OKN) stimulation:  An FMRI study at 3T.,"Kashou NH, Leguire LE, Roberts CJ, Fogt N, Smith MA, Rogers GL",Brain research,0.107,20403339,-1,-1
middle occipital_00030,https://pubmed.ncbi.nlm.nih.gov/20085788/,Alteration of resting brain function by genetic variation in angiotensin converting enzyme in amnestic-type mild cognitive impairment of Chinese Han.,"Zhang Z, Deng L, Bai F, Shi Y, Yu H, Yuan Y, Wang K, Jiang T, Jia J, Zhang Z",Behavioural brain research,0.106,20085788,-1,-1
middle occipital_00031,https://pubmed.ncbi.nlm.nih.gov/20621984/,Top-down modulations in the visual form pathway revealed with dynamic causal modeling.,"Cardin V, Friston KJ, Zeki S","Cerebral cortex (New York, N.Y. : 1991)",0.106,20621984,-1,-1
middle occipital_00032,https://pubmed.ncbi.nlm.nih.gov/18692173/,Common neural circuitry supporting volitional saccades and its disruption in schizophrenia patients and relatives.,"Camchong J, Dyckman KA, Austin BP, Clementz BA, McDowell JE",Biological psychiatry,0.103,18692173,-1,-1
middle occipital_00033,https://pubmed.ncbi.nlm.nih.gov/16757182/,Neural correlates of artificial syntactic structure classification.,"Forkstam C, Hagoort P, Fernandez G, Ingvar M, Petersson KM",NeuroImage,0.102,16757182,-1,-1
middle occipital_00034,https://pubmed.ncbi.nlm.nih.gov/17283203/,Distinct and convergent visual processing of high and low spatial frequency information in faces.,"Rotshtein P, Vuilleumier P, Winston J, Driver J, Dolan R","Cerebral cortex (New York, N.Y. : 1991)",0.102,17283203,-1,-1
middle occipital_00035,https://pubmed.ncbi.nlm.nih.gov/22047726/,Neural response to eye contact and paroxetine treatment in generalized social anxiety disorder.,"Schneier FR, Pomplun M, Sy M, Hirsch J",Psychiatry research,0.102,22047726,-1,-1
middle occipital_00036,https://pubmed.ncbi.nlm.nih.gov/22937041/,Altered spontaneous activity in anisometropic amblyopia subjects: revealed by resting-state FMRI.,"Lin X, Ding K, Liu Y, Yan X, Song S, Jiang T",PloS one,0.102,22937041,-1,-1
middle occipital_00037,https://pubmed.ncbi.nlm.nih.gov/18330872/,Developmental differences of neurocognitive networks for phonological and semantic processing in Chinese word reading.,"Cao F, Peng D, Liu L, Jin Z, Fan N, Deng Y, Booth JR",Human brain mapping,0.101,18330872,-1,-1
middle occipital_00038,https://pubmed.ncbi.nlm.nih.gov/22848586/,Appearance matters: neural correlates of food choice and packaging aesthetics.,"Van der Laan LN, De Ridder DT, Viergever MA, Smeets PA",PloS one,0.101,22848586,-1,-1
middle occipital_00039,https://pubmed.ncbi.nlm.nih.gov/25762911/,Disrupted thalamic resting-state functional networks in schizophrenia.,"Wang HL, Rau CL, Li YM, Chen YP, Yu R",Frontiers in behavioral neuroscience,0.101,25762911,-1,-1
