paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
mm_00001,https://pubmed.ncbi.nlm.nih.gov/10656524/,Systematic approach to dipole localization of interictal EEG spikes in children with extratemporal lobe epilepsies.,"Ochi A, Otsubo H, Shirasawa A, Hunjan A, Sharma R, Bettings M, Rutka JT, Kamijo K, Yamazaki T, Wilson SB, Snead OC 3rd",Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,0.568,10656524,-1,-1
mm_00002,https://pubmed.ncbi.nlm.nih.gov/24821182/,Central pain processing in chronic chemotherapy-induced peripheral neuropathy: a  functional magnetic resonance imaging study.,"Boland EG, Selvarajah D, Hunter M, Ezaydi Y, Tesfaye S, Ahmedzai SH, Snowden JA, Wilkinson ID",PloS one,0.565,24821182,-1,-1
mm_00003,https://pubmed.ncbi.nlm.nih.gov/19426812/,Impact of serotonin transporter gene polymorphism on brain activation by colorectal distention.,"Fukudo S, Kanazawa M, Mizuno T, Hamaguchi T, Kano M, Watanabe S, Sagami Y, Shoji T, Endo Y, Hongo M, Itoyama Y, Yanai K, Tashiro M, Aoki M",NeuroImage,0.553,19426812,-1,-1
mm_00004,https://pubmed.ncbi.nlm.nih.gov/23892066/,A comprehensive neuropsychological mapping battery for functional magnetic resonance imaging.,"Karakas S, Baran Z, Ceylan AO, Tileylioglu E, Tali T, Karakas HM",International journal of psychophysiology : official journal of the International Organization of Psychophysiology,0.386,23892066,-1,-1
mm_00005,https://pubmed.ncbi.nlm.nih.gov/18424181/,Variability of BOLD response evoked by foot vibrotactile stimulation: influence of vibration amplitude and stimulus waveform.,"Siedentopf CM, Heubach K, Ischebeck A, Gallasch E, Fend M, Mottaghy FM, Koppelstaetter F, Haala IA, Krause BJ, Felber S, Gerstenbrand F, Golaszewski SM",NeuroImage,0.385,18424181,-1,-1
mm_00006,https://pubmed.ncbi.nlm.nih.gov/11955990/,Spatial congruence of neuronavigated transcranial magnetic stimulation and functional neuroimaging.,"Herwig U, Kolbel K, Wunderlich AP, Thielscher A, von Tiesenhausen C, Spitzer M, Schonfeldt-Lecuona C",Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,0.372,11955990,-1,-1
mm_00007,https://pubmed.ncbi.nlm.nih.gov/15808988/,Spatial resolution of fMRI in the human parasylvian cortex: comparison of somatosensory and auditory activation.,"Ozcan M, Baumgartner U, Vucurevic G, Stoeter P, Treede RD",NeuroImage,0.362,15808988,-1,-1
mm_00008,https://pubmed.ncbi.nlm.nih.gov/22815889/,Heterosexual men and women both show a hypothalamic response to the chemo-signal  androstadienone.,"Burke SM, Veltman DJ, Gerber J, Hummel T, Bakker J",PloS one,0.358,22815889,-1,-1
mm_00009,https://pubmed.ncbi.nlm.nih.gov/27430401/,Anticipatory reward processing among cocaine-dependent individuals with and without concurrent methadone-maintenance treatment: Relationship to treatment response.,"Yip SW, DeVito EE, Kober H, Worhunsky PD, Carroll KM, Potenza MN",Drug and alcohol dependence,0.306,27430401,-1,-1
mm_00010,https://pubmed.ncbi.nlm.nih.gov/12401562/,Simultaneous electroencephalography and functional magnetic resonance imaging of  primary and secondary somatosensory cortex in humans after electrical stimulation.,"Christmann C, Ruf M, Braus DF, Flor H",Neuroscience letters,0.301,12401562,-1,-1
