paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
motor imagery_00001,https://pubmed.ncbi.nlm.nih.gov/19540349/,Evaluation of the effective connectivity of supplementary motor areas during motor imagery using Granger causality mapping.,"Chen H, Yang Q, Liao W, Gong Q, Shen S",NeuroImage,0.592,19540349,-1,-1
motor imagery_00002,https://pubmed.ncbi.nlm.nih.gov/25446966/,Similarities between explicit and implicit motor imagery in mental rotation of hands: an EEG study.,"Osuagwu BA, Vuckovic A",Neuropsychologia,0.577,25446966,-1,-1
motor imagery_00003,https://pubmed.ncbi.nlm.nih.gov/24718311/,Effect of motor imagery in children with unilateral cerebral palsy: FMRI study.,"Chinier E, N'guyen S, Lignon G, Ter Minassian A, Richard I, Dinomais M",PloS one,0.551,24718311,-1,-1
motor imagery_00004,https://pubmed.ncbi.nlm.nih.gov/18387583/,Motor imagery: a window into the mechanisms and alterations of the motor system.,"de Lange FP, Roelofs K, Toni I",Cortex; a journal devoted to the study of the nervous system and behavior,0.539,18387583,-1,-1
motor imagery_00005,https://pubmed.ncbi.nlm.nih.gov/22698706/,Brain activation patterns of motor imagery reflect plastic changes associated with intensive shooting training.,"Baeck JS, Kim YT, Seo JH, Ryeom HK, Lee J, Choi SM, Woo M, Kim W, Kim JG, Chang Y",Behavioural brain research,0.531,22698706,-1,-1
motor imagery_00006,https://pubmed.ncbi.nlm.nih.gov/25150928/,Effector-independent brain activity during motor imagery of the upper and lower limbs: an fMRI study.,"Mizuguchi N, Nakata H, Kanosue K",Neuroscience letters,0.511,25150928,-1,-1
motor imagery_00007,https://pubmed.ncbi.nlm.nih.gov/23128080/,Activation of thalamus in motor imagery results from gating by hypnosis.,"Muller K, Bacht K, Prochnow D, Schramm S, Seitz RJ",NeuroImage,0.497,23128080,-1,-1
motor imagery_00008,https://pubmed.ncbi.nlm.nih.gov/22465168/,The facilitating effect of clinical hypnosis on motor imagery: an fMRI study.,"Muller K, Bacht K, Schramm S, Seitz RJ",Behavioural brain research,0.416,22465168,-1,-1
motor imagery_00009,https://pubmed.ncbi.nlm.nih.gov/16959501/,Posture influences motor imagery: an fMRI study.,"de Lange FP, Helmich RC, Toni I",NeuroImage,0.41,16959501,-1,-1
motor imagery_00010,https://pubmed.ncbi.nlm.nih.gov/17765211/,Cortical activation during motor imagery is reduced in Amyotrophic Lateral Sclerosis.,"Stanton BR, Williams VC, Leigh PN, Williams SC, Blain CR, Giampietro VP, Simmons A",Brain research,0.408,17765211,-1,-1
motor imagery_00011,https://pubmed.ncbi.nlm.nih.gov/14686911/,Effector-independent representations of simple and complex imagined finger movements: a combined fMRI and TMS study.,"Kuhtz-Buschbeck JP, Mahnkopf C, Holzknecht C, Siebner H, Ulmer S, Jansen O",The European journal of neuroscience,0.392,14686911,-1,-1
motor imagery_00012,https://pubmed.ncbi.nlm.nih.gov/17919932/,Preservation of motor programs in paraplegics as demonstrated by attempted and imagined foot movements.,"Hotz-Boendermaker S, Funk M, Summers P, Brugger P, Hepp-Reymond MC, Curt A, Kollias SS",NeuroImage,0.389,17919932,-1,-1
motor imagery_00013,https://pubmed.ncbi.nlm.nih.gov/28673767/,Diminished motor imagery capability in adults with motor impairment: An fMRI mental rotation study.,"Kashuk SR, Williams J, Thorpe G, Wilson PH, Egan GF",Behavioural brain research,0.376,28673767,-1,-1
motor imagery_00014,https://pubmed.ncbi.nlm.nih.gov/21655298/,Activation of the parieto-premotor network is associated with vivid motor imagery--a parametric FMRI study.,"Lorey B, Pilgramm S, Bischoff M, Stark R, Vaitl D, Kindermann S, Munzert J, Zentgraf K",PloS one,0.368,21655298,10.1371/journal.pone.0020368,-1
motor imagery_00015,https://pubmed.ncbi.nlm.nih.gov/25339893/,Activity of right premotor-parietal regions dependent upon imagined force level:  an fMRI study.,"Mizuguchi N, Nakata H, Kanosue K",Frontiers in human neuroscience,0.366,25339893,10.3389/fnhum.2014.00810,-1
motor imagery_00016,https://pubmed.ncbi.nlm.nih.gov/22476131/,Ventral and dorsal fiber systems for imagined and executed movement.,"Vry MS, Saur D, Rijntjes M, Umarova R, Kellmeyer P, Schnell S, Glauche V, Hamzei F, Weiller C",Experimental brain research,0.356,22476131,10.1007/s00221-012-3079-7,-1
motor imagery_00017,https://pubmed.ncbi.nlm.nih.gov/18592230/,Brain motor system function in a patient with complete spinal cord injury following extensive brain-computer interface training.,"Enzinger C, Ropele S, Fazekas F, Loitfelder M, Gorani F, Seifert T, Reiter G, Neuper C, Pfurtscheller G, Muller-Putz G",Experimental brain research,0.353,18592230,10.1007/s00221-008-1465-y,-1
motor imagery_00018,https://pubmed.ncbi.nlm.nih.gov/26452176/,Motor imagery of hand actions: Decoding the content of motor imagery from brain activity in frontal and parietal motor areas.,"Pilgramm S, de Haas B, Helm F, Zentgraf K, Stark R, Munzert J, Kruger B",Human brain mapping,0.341,26452176,-1,-1
motor imagery_00019,https://pubmed.ncbi.nlm.nih.gov/21126990/,Gait-related cerebral alterations in patients with Parkinson's disease with freezing of gait.,"Snijders AH, Leunissen I, Bakker M, Overeem S, Helmich RC, Bloem BR, Toni I",Brain : a journal of neurology,0.326,21126990,-1,-1
motor imagery_00020,https://pubmed.ncbi.nlm.nih.gov/21369855/,Reevaluating brain networks activated during mental imagery of finger movements using probabilistic Tensorial Independent Component Analysis (TICA).,"Sauvage C, Poirriez S, Manto M, Jissendi P, Habas C",Brain imaging and behavior,0.324,21369855,-1,-1
motor imagery_00021,https://pubmed.ncbi.nlm.nih.gov/29368208/,Comparison of brain activity between motor imagery and mental rotation of the hand tasks: a functional magnetic resonance imaging study.,"Hamada H, Matsuzawa D, Sutoh C, Hirano Y, Chakraborty S, Ito H, Tsuji H, Obata T, Shimizu E",Brain imaging and behavior,0.309,29368208,-1,-1
motor imagery_00022,https://pubmed.ncbi.nlm.nih.gov/23562793/,Brain activity during motor imagery of an action with an object: a functional magnetic resonance imaging study.,"Mizuguchi N, Nakata H, Hayashi T, Sakamoto M, Muraoka T, Uchida Y, Kanosue K",Neuroscience research,0.306,23562793,-1,-1
motor imagery_00023,https://pubmed.ncbi.nlm.nih.gov/26779003/,Effects of Stimulus Type and Strategy on Mental Rotation Network: An Activation Likelihood Estimation Meta-Analysis.,"Tomasino B, Gremese M",Frontiers in human neuroscience,0.304,26779003,-1,-1
motor imagery_00024,https://pubmed.ncbi.nlm.nih.gov/28762056/,Functional brain effects of hand disuse in patients with trapeziometacarpal joint osteoarthritis: executed and imagined movements.,"Gandola M, Bruno M, Zapparoli L, Saetta G, Rolandi E, De Santis A, Banfi G, Zerbi A, Sansone V, Paulesu E",Experimental brain research,0.294,28762056,-1,-1
motor imagery_00025,https://pubmed.ncbi.nlm.nih.gov/24232859/,Passive reading and motor imagery about hand actions and tool-use actions: an fMRI study.,"Yang J, Shu H",Experimental brain research,0.289,24232859,-1,-1
motor imagery_00026,https://pubmed.ncbi.nlm.nih.gov/19948224/,Your mind's hand: motor imagery of pointing movements with different accuracy.,"Lorey B, Pilgramm S, Walter B, Stark R, Munzert J, Zentgraf K",NeuroImage,0.288,19948224,-1,-1
motor imagery_00027,https://pubmed.ncbi.nlm.nih.gov/23319043/,Multimodal functional imaging of motor imagery using a novel paradigm.,"Burianova H, Marstaller L, Sowman P, Tesan G, Rich AN, Williams M, Savage G, Johnson BW",NeuroImage,0.285,23319043,-1,-1
