paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
motor premotor_00001,https://pubmed.ncbi.nlm.nih.gov/19776365/,Cerebral representation of the relief of itch by scratching.,"Vierow V, Fukuoka M, Ikoma A, Dorfler A, Handwerker HO, Forster C",Journal of neurophysiology,0.224,19776365,-1,-1
motor premotor_00002,https://pubmed.ncbi.nlm.nih.gov/23319043/,Multimodal functional imaging of motor imagery using a novel paradigm.,"Burianova H, Marstaller L, Sowman P, Tesan G, Rich AN, Williams M, Savage G, Johnson BW",NeuroImage,0.197,23319043,-1,-1
motor premotor_00003,https://pubmed.ncbi.nlm.nih.gov/15858164/,Motor control in basal ganglia circuits using fMRI and brain atlas approaches.,"Lehericy S, Bardinet E, Tremblay L, Van de Moortele PF, Pochon JB, Dormont D, Kim DS, Yelnik J, Ugurbil K","Cerebral cortex (New York, N.Y. : 1991)",0.182,15858164,-1,-1
motor premotor_00004,https://pubmed.ncbi.nlm.nih.gov/15990338/,Cortical intercorrelations of frontal area volumes in schizophrenia.,"Mitelman SA, Buchsbaum MS, Brickman AM, Shihabuddin L",NeuroImage,0.182,15990338,-1,-1
motor premotor_00005,https://pubmed.ncbi.nlm.nih.gov/17291724/,Violent persons with schizophrenia and comorbid disorders: a functional magnetic  resonance imaging study.,"Joyal CC, Putkonen A, Mancini-Marie A, Hodgins S, Kononen M, Boulay L, Pihlajamaki M, Soininen H, Stip E, Tiihonen J, Aronen HJ",Schizophrenia research,0.169,17291724,-1,-1
motor premotor_00006,https://pubmed.ncbi.nlm.nih.gov/14741110/,Somatotopic representation of action words in human motor and premotor cortex.,"Hauk O, Johnsrude I, Pulvermuller F",Neuron,0.164,14741110,-1,-1
motor premotor_00007,https://pubmed.ncbi.nlm.nih.gov/16380270/,Shared networks for auditory and motor processing in professional pianists: evidence from fMRI conjunction.,"Bangert M, Peschel T, Schlaug G, Rotte M, Drescher D, Hinrichs H, Heinze HJ, Altenmuller E",NeuroImage,0.156,16380270,-1,-1
motor premotor_00008,https://pubmed.ncbi.nlm.nih.gov/19558604/,Perceptual influence on bimanual coordination: an fMRI study.,"Muller K, Kleiser R, Mechsner F, Seitz RJ",The European journal of neuroscience,0.156,19558604,-1,-1
motor premotor_00009,https://pubmed.ncbi.nlm.nih.gov/18296073/,Proprioceptive head posture-related processing in human polysensory cortical areas.,"Fasold O, Heinau J, Trenner MU, Villringer A, Wenzel R",NeuroImage,0.147,18296073,-1,-1
motor premotor_00010,https://pubmed.ncbi.nlm.nih.gov/24155004/,The cerebral representation of scratching-induced pleasantness.,"Mochizuki H, Tanaka S, Morita T, Wasaka T, Sadato N, Kakigi R",Journal of neurophysiology,0.137,24155004,10.1152/jn.00374.2013,-1
