paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
musical_00001,https://pubmed.ncbi.nlm.nih.gov/29311776/,The Multiple-Demand System in the Novelty of Musical Improvisation: Evidence from an MRI Study on Composers.,"Lu J, Yang H, He H, Jeon S, Hou C, Evans AC, Yao D",Frontiers in neuroscience,0.767,29311776,10.3389/fnins.2017.00695,-1
musical_00002,https://pubmed.ncbi.nlm.nih.gov/20627131/,The neural substrates of musical memory revealed by fMRI and two semantic tasks.,"Groussard M, Rauchs G, Landeau B, Viader F, Desgranges B, Eustache F, Platel H",NeuroImage,0.727,20627131,10.1016/j.neuroimage.2010.07.013,-1
musical_00003,https://pubmed.ncbi.nlm.nih.gov/16624581/,Cognitive priming in sung and instrumental music: activation of inferior frontal  cortex.,"Tillmann B, Koelsch S, Escoffier N, Bigand E, Lalitte P, Friederici AD, von Cramon DY",NeuroImage,0.714,16624581,10.1016/j.neuroimage.2006.02.028,-1
musical_00004,https://pubmed.ncbi.nlm.nih.gov/14700729/,The effect of musical training on the neural correlates of math processing: a functional magnetic resonance imaging study in humans.,"Schmithorst VJ, Holland SK",Neuroscience letters,0.615,14700729,10.1016/j.neulet.2003.10.037,-1
musical_00005,https://pubmed.ncbi.nlm.nih.gov/19320551/,A multimodal neural network recruited by expertise with musical notation.,"Wong YK, Gauthier I",Journal of cognitive neuroscience,0.572,19320551,-1,-1
musical_00006,https://pubmed.ncbi.nlm.nih.gov/25127369/,The effects of musical practice on structural plasticity: the dynamics of grey matter changes.,"Groussard M, Viader F, Landeau B, Desgranges B, Eustache F, Platel H",Brain and cognition,0.539,25127369,-1,-1
musical_00007,https://pubmed.ncbi.nlm.nih.gov/21812560/,The bimusical brain is not two monomusical brains in one: evidence from musical affective processing.,"Wong PC, Chan AH, Roy A, Margulis EH",Journal of cognitive neuroscience,0.524,21812560,-1,-1
musical_00008,https://pubmed.ncbi.nlm.nih.gov/22832388/,Degree of musical expertise modulates higher order brain functioning.,"Oechslin MS, Van De Ville D, Lazeyras F, Hauert CA, James CE","Cerebral cortex (New York, N.Y. : 1991)",0.518,22832388,-1,-1
musical_00009,https://pubmed.ncbi.nlm.nih.gov/15850725/,Adults and children processing music: an fMRI study.,"Koelsch S, Fritz T, Schulze K, Alsop D, Schlaug G",NeuroImage,0.504,15850725,-1,-1
musical_00010,https://pubmed.ncbi.nlm.nih.gov/20957158/,When music and long-term memory interact: effects of musical expertise on functional and structural plasticity in the hippocampus.,"Groussard M, La Joie R, Rauchs G, Landeau B, Chetelat G, Viader F, Desgranges B, Eustache F, Platel H",PloS one,0.496,20957158,-1,-1
musical_00011,https://pubmed.ncbi.nlm.nih.gov/29163017/,Electrical Neuroimaging of Music Processing Reveals Mid-Latency Changes with Level of Musical Expertise.,"James CE, Oechslin MS, Michel CM, De Pretto M",Frontiers in neuroscience,0.49,29163017,-1,-1
musical_00012,https://pubmed.ncbi.nlm.nih.gov/25717289/,Resting-state functional connectivity and pitch identification ability in non-musicians.,"Hou J, Chen C, Dong Q",Frontiers in neuroscience,0.485,25717289,-1,-1
musical_00013,https://pubmed.ncbi.nlm.nih.gov/21676378/,Can you hear a difference? Neuronal correlates of melodic deviance processing in  children.,"Wehrum S, Dege F, Ott U, Walter B, Stippekohl B, Kagerer S, Schwarzer G, Vaitl D, Stark R",Brain research,0.475,21676378,-1,-1
musical_00014,https://pubmed.ncbi.nlm.nih.gov/14642491/,The musician's brain: functional imaging of amateurs and professionals during performance and imagery.,"Lotze M, Scheler G, Tan H-RM, Braun C, Birbaumer N",NeuroImage,0.473,14642491,-1,-1
musical_00015,https://pubmed.ncbi.nlm.nih.gov/29681804/,Neurophysiological Effects of Trait Empathy in Music Listening.,"Wallmark Z, Deblieck C, Iacoboni M",Frontiers in behavioral neuroscience,0.472,29681804,-1,-1
musical_00016,https://pubmed.ncbi.nlm.nih.gov/21356317/,Neuroplasticity of semantic representations for musical instruments in professional musicians.,"Hoenig K, Muller C, Herrnberger B, Sim EJ, Spitzer M, Ehret G, Kiefer M",NeuroImage,0.471,21356317,-1,-1
musical_00017,https://pubmed.ncbi.nlm.nih.gov/18301756/,Neural substrates of spontaneous musical performance: an FMRI study of jazz improvisation.,"Limb CJ, Braun AR",PloS one,0.467,18301756,-1,-1
musical_00018,https://pubmed.ncbi.nlm.nih.gov/25173956/,Music listening engages specific cortical regions within the temporal lobes: Differences between musicians and non-musicians.,"Angulo-Perkins A, Aube W, Peretz I, Barrios FA, Armony JL, Concha L",Cortex; a journal devoted to the study of the nervous system and behavior,0.438,25173956,-1,-1
musical_00019,https://pubmed.ncbi.nlm.nih.gov/14527597/,FMRI investigation of cross-cultural music comprehension.,"Morrison SJ, Demorest SM, Aylward EH, Cramer SC, Maravilla KR",NeuroImage,0.426,14527597,-1,-1
musical_00020,https://pubmed.ncbi.nlm.nih.gov/22116038/,"Large-scale brain networks emerge from dynamic processing of musical timbre, key  and rhythm.","Alluri V, Toiviainen P, Jaaskelainen IP, Glerean E, Sams M, Brattico E",NeuroImage,0.416,22116038,-1,-1
musical_00021,https://pubmed.ncbi.nlm.nih.gov/26500480/,An fMRI comparison of neural activity associated with recognition of familiar melodies in younger and older adults.,"Sikka R, Cuddy LL, Johnsrude IS, Vanstone AD",Frontiers in neuroscience,0.412,26500480,10.3389/fnins.2015.00356,-1
musical_00022,https://pubmed.ncbi.nlm.nih.gov/23163420/,Interacting cortical and basal ganglia networks underlying finding and tapping to the musical beat.,"Kung SJ, Chen JL, Zatorre RJ, Penhune VB",Journal of cognitive neuroscience,0.406,23163420,10.1162/jocn_a_00325,-1
musical_00023,https://pubmed.ncbi.nlm.nih.gov/19585590/,Tuning-in to the beat: Aesthetic appreciation of musical rhythms correlates with  a premotor activity boost.,"Kornysheva K, von Cramon DY, Jacobsen T, Schubotz RI",Human brain mapping,0.395,19585590,10.1002/hbm.20844,-1
musical_00024,https://pubmed.ncbi.nlm.nih.gov/27542722/,Neural networks for harmonic structure in music perception and action.,"Bianco R, Novembre G, Keller PE, Kim SG, Scharf F, Friederici AD, Villringer A, Sammler D",NeuroImage,0.384,27542722,10.1016/j.neuroimage.2016.08.025,-1
musical_00025,https://pubmed.ncbi.nlm.nih.gov/24790186/,Connecting to Create: Expertise in Musical Improvisation Is Associated with Increased Functional Connectivity between Premotor and Prefrontal Areas.,"Pinho AL, de Manzano O, Fransson P, Eriksson H, Ullen F",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.377,24790186,10.1523/JNEUROSCI.4769-13.2014,-1
musical_00026,https://pubmed.ncbi.nlm.nih.gov/24269803/,Capturing the musical brain with Lasso: Dynamic decoding of musical features from fMRI data.,"Toiviainen P, Alluri V, Brattico E, Wallentin M, Vuust P",NeuroImage,0.373,24269803,-1,-1
musical_00027,https://pubmed.ncbi.nlm.nih.gov/15939499/,Brain activation during music listening in individuals with or without prior music training.,"Seung Y, Kyong JS, Woo SH, Lee BT, Lee KM",Neuroscience research,0.371,15939499,-1,-1
musical_00028,https://pubmed.ncbi.nlm.nih.gov/26778996/,It's Sad but I Like It: The Neural Dissociation Between Musical Emotions and Liking in Experts and Laypersons.,"Brattico E, Bogert B, Alluri V, Tervaniemi M, Eerola T, Jacobsen T",Frontiers in human neuroscience,0.369,26778996,-1,-1
musical_00029,https://pubmed.ncbi.nlm.nih.gov/21755004/,Toward a brain-based theory of beauty.,"Ishizu T, Zeki S",PloS one,0.368,21755004,-1,-1
musical_00030,https://pubmed.ncbi.nlm.nih.gov/23732338/,Personality traits modulate neural responses to emotions expressed in music.,"Park M, Hennig-Fast K, Bao Y, Carl P, Poppel E, Welker L, Reiser M, Meindl T, Gutyrchik E",Brain research,0.364,23732338,-1,-1
musical_00031,https://pubmed.ncbi.nlm.nih.gov/12668222/,Activation of the inferior frontal cortex in musical priming.,"Tillmann B, Janata P, Bharucha JJ",Brain research. Cognitive brain research,0.363,12668222,-1,-1
musical_00032,https://pubmed.ncbi.nlm.nih.gov/24582901/,Differences between musicians and non-musicians in neuro-affective processing of  sadness and fear expressed in music.,"Park M, Gutyrchik E, Bao Y, Zaytseva Y, Carl P, Welker L, Poppel E, Reiser M, Blautzik J, Meindl T",Neuroscience letters,0.356,24582901,-1,-1
musical_00033,https://pubmed.ncbi.nlm.nih.gov/17466401/,Metabolic and electric brain patterns during pleasant and unpleasant emotions induced by music masterpieces.,"Flores-Gutierrez EO, Diaz JL, Barrios FA, Favila-Humara R, Guevara MA, del Rio-Portilla Y, Corsi-Cabrera M",International journal of psychophysiology : official journal of the International Organization of Psychophysiology,0.354,17466401,-1,-1
musical_00034,https://pubmed.ncbi.nlm.nih.gov/24069414/,Neural correlates of musical creativity: differences between high and low creative subjects.,"Villarreal MF, Cerquetti D, Caruso S, Schwarcz Lopez Aranguren V, Gerschcovich ER, Frega AL, Leiguarda RC",PloS one,0.354,24069414,-1,-1
musical_00035,https://pubmed.ncbi.nlm.nih.gov/24937544/,Behavioral and neural correlates of executive functioning in musicians and non-musicians.,"Zuk J, Benjamin C, Kenyon A, Gaab N",PloS one,0.35,24937544,-1,-1
musical_00036,https://pubmed.ncbi.nlm.nih.gov/16458860/,The emotional power of music: how music enhances the feeling of affective pictures.,"Baumgartner T, Lutz K, Schmidt CF, Jancke L",Brain research,0.343,16458860,-1,-1
musical_00037,https://pubmed.ncbi.nlm.nih.gov/14527571/,Brain changes after learning to read and play music.,"Stewart L, Henson R, Kampe K, Walsh V, Turner R, Frith U",NeuroImage,0.332,14527571,-1,-1
musical_00038,https://pubmed.ncbi.nlm.nih.gov/23810975/,From Vivaldi to Beatles and back: predicting lateralized brain responses to music.,"Alluri V, Toiviainen P, Lund TE, Wallentin M, Vuust P, Nandi AK, Ristaniemi T, Brattico E",NeuroImage,0.331,23810975,-1,-1
musical_00039,https://pubmed.ncbi.nlm.nih.gov/23019005/,Sensitivity to musical structure in the human brain.,"Fedorenko E, McDermott JH, Norman-Haignere S, Kanwisher N",Journal of neurophysiology,0.315,23019005,-1,-1
musical_00040,https://pubmed.ncbi.nlm.nih.gov/20156575/,"Similar cerebral networks in language, music and song perception.","Schon D, Gordon R, Campagne A, Magne C, Astesano C, Anton JL, Besson M",NeuroImage,0.313,20156575,-1,-1
musical_00041,https://pubmed.ncbi.nlm.nih.gov/22579645/,Brain correlates of musical and facial emotion recognition: evidence from the dementias.,"Hsieh S, Hornberger M, Piguet O, Hodges JR",Neuropsychologia,0.312,22579645,10.1016/j.neuropsychologia.2012.04.006,-1
musical_00042,https://pubmed.ncbi.nlm.nih.gov/23585888/,A beamformer analysis of MEG data reveals frontal generators of the musically elicited mismatch negativity.,"Lappe C, Steinstrater O, Pantev C",PloS one,0.305,23585888,10.1371/journal.pone.0061296,-1
musical_00043,https://pubmed.ncbi.nlm.nih.gov/21782960/,Goal-independent mechanisms for free response generation: creative and pseudo-random performance share neural substrates.,"de Manzano O, Ullen F",NeuroImage,0.286,21782960,10.1016/j.neuroimage.2011.07.016,-1
musical_00044,https://pubmed.ncbi.nlm.nih.gov/21385617/,The structural neuroanatomy of music emotion recognition: evidence from frontotemporal lobar degeneration.,"Omar R, Henley SM, Bartlett JW, Hailstone JC, Gordon E, Sauter DA, Frost C, Scott SK, Warren JD",NeuroImage,0.283,21385617,10.1016/j.neuroimage.2011.03.002,-1
