paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
network dmn_00001,https://pubmed.ncbi.nlm.nih.gov/28290076/,Brain functional connectivity in lung cancer population: an exploratory study.,"Simo M, Rifa-Ros X, Vaquero L, Ripolles P, Cayuela N, Jove J, Navarro A, Cardenal F, Bruna J, Rodriguez-Fornells A",Brain imaging and behavior,0.204,28290076,-1,-1
network dmn_00002,https://pubmed.ncbi.nlm.nih.gov/28214523/,Abnormal functional networks in resting-state of the sub-cortical chronic stroke  patients with hemiplegia.,"Zhang Y, Wang L, Yang J, Yan R, Zhang J, Sang L, Li P, Liu H, Qiu M",Brain research,0.195,28214523,-1,-1
network dmn_00003,https://pubmed.ncbi.nlm.nih.gov/22355129/,Rat brains also have a default mode network.,"Lu H, Zou Q, Gu H, Raichle ME, Stein EA, Yang Y",Proceedings of the National Academy of Sciences of the United States of America,0.15,22355129,-1,-1
network dmn_00004,https://pubmed.ncbi.nlm.nih.gov/25892719/,Reduced default mode network connectivity in schizophrenia patients.,"Pankow A, Deserno L, Walter M, Fydrich T, Bermpohl F, Schlagenhauf F, Heinz A",Schizophrenia research,0.134,25892719,-1,-1
network dmn_00005,https://pubmed.ncbi.nlm.nih.gov/23051900/,Mindfulness disposition and default-mode network connectivity in older adults.,"Shaurya Prakash R, De Leon AA, Klatt M, Malarkey W, Patterson B",Social cognitive and affective neuroscience,0.124,23051900,-1,-1
network dmn_00006,https://pubmed.ncbi.nlm.nih.gov/19549821/,Decoupling of the brain's default mode network during deep sleep.,"Horovitz SG, Braun AR, Carr WS, Picchioni D, Balkin TJ, Fukunaga M, Duyn JH",Proceedings of the National Academy of Sciences of the United States of America,0.121,19549821,-1,-1
network dmn_00007,https://pubmed.ncbi.nlm.nih.gov/24451655/,Effect of MAOA Genotype on Resting-State Networks in Healthy Participants.,"Clemens B, Voss B, Pawliczek C, Mingoia G, Weyer D, Repple J, Eggermann T, Zerres K, Reetz K, Habel U","Cerebral cortex (New York, N.Y. : 1991)",0.111,24451655,-1,-1
network dmn_00008,https://pubmed.ncbi.nlm.nih.gov/27132070/,Intrinsic functional connectivity predicts individual differences in distractibility.,"Poole VN, Robinson ME, Singleton O, DeGutis J, Milberg WP, McGlinchey RE, Salat DH, Esterman M",Neuropsychologia,0.111,27132070,-1,-1
network dmn_00009,https://pubmed.ncbi.nlm.nih.gov/25673851/,Differential magnetic resonance neurofeedback modulations across extrinsic (visual) and intrinsic (default-mode) nodes of the human cortex.,"Harmelech T, Friedman D, Malach R",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.11,25673851,-1,-1
network dmn_00010,https://pubmed.ncbi.nlm.nih.gov/26500517/,Distinct neural correlates for attention lapses in patients with schizophrenia and healthy participants.,"Phillips RC, Salo T, Carter CS",Frontiers in human neuroscience,0.11,26500517,-1,-1
