paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
nucleus_00001,https://pubmed.ncbi.nlm.nih.gov/25793883/,The subcortical cocktail problem; mixed signals from the subthalamic nucleus and  substantia nigra.,"de Hollander G, Keuken MC, Forstmann BU",PloS one,0.378,25793883,10.1371/journal.pone.0120572,-1
nucleus_00002,https://pubmed.ncbi.nlm.nih.gov/21640191/,Activation of the dentate nucleus in a verb generation task: A 7T MRI study.,"Thurling M, Kuper M, Stefanescu R, Maderwald S, Gizewski ER, Ladd ME, Timmann D",NeuroImage,0.374,21640191,10.1016/j.neuroimage.2011.05.045,-1
nucleus_00003,https://pubmed.ncbi.nlm.nih.gov/15294149/,Interaction between the human hippocampus and the caudate nucleus during route recognition.,"Voermans NC, Petersson KM, Daudey L, Weber B, Van Spaendonck KP, Kremer HP, Fernandez G",Neuron,0.345,15294149,10.1016/j.neuron.2004.07.009,-1
nucleus_00004,https://pubmed.ncbi.nlm.nih.gov/24741043/,Cannabis use is quantitatively associated with nucleus accumbens and amygdala abnormalities in young adult recreational users.,"Gilman JM, Kuster JK, Lee S, Lee MJ, Kim BW, Makris N, van der Kouwe A, Blood AJ, Breiter HC",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.307,24741043,10.1523/JNEUROSCI.4745-13.2014,-1
nucleus_00005,https://pubmed.ncbi.nlm.nih.gov/17121746/,Cortical activity in Parkinson's disease during executive processing depends on striatal involvement.,"Monchi O, Petrides M, Mejia-Constain B, Strafella AP",Brain : a journal of neurology,0.299,17121746,-1,-1
nucleus_00006,https://pubmed.ncbi.nlm.nih.gov/22319604/,Dorsal striatum and its limbic connectivity mediate abnormal anticipatory reward  processing in obesity.,"Nummenmaa L, Hirvonen J, Hannukainen JC, Immonen H, Lindroos MM, Salminen P, Nuutila P",PloS one,0.287,22319604,-1,-1
nucleus_00007,https://pubmed.ncbi.nlm.nih.gov/21081171/,Evidence for a motor and a non-motor domain in the human dentate nucleus--an fMRI study.,"Kuper M, Dimitrova A, Thurling M, Maderwald S, Roths J, Elles HG, Gizewski ER, Ladd ME, Diedrichsen J, Timmann D",NeuroImage,0.283,21081171,-1,-1
nucleus_00008,https://pubmed.ncbi.nlm.nih.gov/12160756/,A neural basis for social cooperation.,"Rilling J, Gutman D, Zeh T, Pagnoni G, Berns G, Kilts C",Neuron,0.275,12160756,-1,-1
nucleus_00009,https://pubmed.ncbi.nlm.nih.gov/15850746/,Amygdala and nucleus accumbens in responses to receipt and omission of gains in adults and adolescents.,"Ernst M, Nelson EE, Jazbec S, McClure EB, Monk CS, Leibenluft E, Blair J, Pine DS",NeuroImage,0.273,15850746,-1,-1
nucleus_00010,https://pubmed.ncbi.nlm.nih.gov/24510765/,Neural correlates of substance abuse: Reduced functional connectivity between areas underlying reward and cognitive control.,"Motzkin JC, Baskin-Sommers A, Newman JP, Kiehl KA, Koenigs M",Human brain mapping,0.273,24510765,-1,-1
