paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
objects_00001,https://pubmed.ncbi.nlm.nih.gov/20580845/,Action relationships concatenate representations of separate objects in the ventral visual system.,"Roberts KL, Humphreys GW",NeuroImage,0.755,20580845,10.1016/j.neuroimage.2010.05.044,-1
objects_00002,https://pubmed.ncbi.nlm.nih.gov/19583471/,The function of words: distinct neural correlates for words denoting differently  manipulable objects.,"Rueschemeyer SA, van Rooij D, Lindemann O, Willems RM, Bekkering H",Journal of cognitive neuroscience,0.648,19583471,10.1162/jocn.2009.21310,-1
objects_00003,https://pubmed.ncbi.nlm.nih.gov/23646167/,Neural correlates of the perception for novel objects.,"Zhang H, Liu J, Zhang Q",PloS one,0.602,23646167,10.1371/journal.pone.0062979,-1
objects_00004,https://pubmed.ncbi.nlm.nih.gov/10355678/,A functional neuroimaging study of the variables that generate category-specific  object processing differences.,"Moore CJ, Price CJ",Brain : a journal of neurology,0.596,10355678,10.1093/brain/122.5.943,-1
objects_00005,https://pubmed.ncbi.nlm.nih.gov/18801445/,Dissociable neural mechanisms for determining the perceived heaviness of objects  and the predicted weight of objects during lifting: an fMRI investigation of the  size-weight illusion.,"Chouinard PA, Large ME, Chang EC, Goodale MA",NeuroImage,0.59,18801445,-1,-1
objects_00006,https://pubmed.ncbi.nlm.nih.gov/23696692/,Extended self: spontaneous activation of medial prefrontal cortex by objects that are 'mine',"Kim K, Johnson MK",Social cognitive and affective neuroscience,0.539,23696692,-1,-1
objects_00007,https://pubmed.ncbi.nlm.nih.gov/19945445/,The impact of left hemisphere stroke on force control with familiar and novel objects: neuroanatomic substrates and relationship to apraxia.,"Dawson AM, Buxbaum LJ, Duff SV",Brain research,0.532,19945445,-1,-1
objects_00008,https://pubmed.ncbi.nlm.nih.gov/19815082/,"Static images of novel, moveable objects learned through touch activate visual area hMT+.","Chan JS, Simoes-Franklin C, Garavan H, Newell FN",NeuroImage,0.52,19815082,-1,-1
objects_00009,https://pubmed.ncbi.nlm.nih.gov/19932154/,Maintenance of real objects and their verbal designations in working memory.,"Kaiser S, Kopka ML, Rentrop M, Walther S, Kronmuller K, Olbrich R, Weisbrod M, Stippich C",Neuroscience letters,0.492,19932154,-1,-1
objects_00010,https://pubmed.ncbi.nlm.nih.gov/26918587/,Multisensory Part-based Representations of Objects in Human Lateral Occipital Cortex.,"Erdogan G, Chen Q, Garcea FE, Mahon BZ, Jacobs RA",Journal of cognitive neuroscience,0.491,26918587,-1,-1
objects_00011,https://pubmed.ncbi.nlm.nih.gov/26952886/,Neural correlates for aesthetic appraisal of pictograph and its referent: An fMRI study.,"Zhang W, Lai S, He X, Zhao X, Lai S",Behavioural brain research,0.441,26952886,-1,-1
objects_00012,https://pubmed.ncbi.nlm.nih.gov/18375148/,Repetition suppression in occipital-temporal visual areas is modulated by physical rather than semantic features of objects.,"Chouinard PA, Morrissey BF, Kohler S, Goodale MA",NeuroImage,0.436,18375148,-1,-1
objects_00013,https://pubmed.ncbi.nlm.nih.gov/10545400/,Perceptual differentiation and category effects in normal object recognition: a PET study.,"Gerlach C, Law I, Gade A, Paulson OB",Brain : a journal of neurology,0.431,10545400,-1,-1
objects_00014,https://pubmed.ncbi.nlm.nih.gov/19428389/,Neural adaptation for novel objects during dynamic articulation.,"Pyles JA, Grossman ED",Neuropsychologia,0.429,19428389,-1,-1
objects_00015,https://pubmed.ncbi.nlm.nih.gov/26439272/,Cortical Thickness in Fusiform Face Area Predicts Face and Object Recognition Performance.,"McGugin RW, Van Gulick AE, Gauthier I",Journal of cognitive neuroscience,0.423,26439272,-1,-1
