paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
orbital_00001,https://pubmed.ncbi.nlm.nih.gov/16112148/,Differential role of the orbital frontal lobe in emotional versus cognitive perspective-taking.,"Hynes CA, Baird AA, Grafton ST",Neuropsychologia,0.266,16112148,-1,-1
orbital_00002,https://pubmed.ncbi.nlm.nih.gov/16436686/,Fractionating attentional control using event-related fMRI.,"Hampshire A, Owen AM","Cerebral cortex (New York, N.Y. : 1991)",0.263,16436686,-1,-1
orbital_00003,https://pubmed.ncbi.nlm.nih.gov/16275930/,Personality predicts activity in reward and emotional regions associated with humor.,"Mobbs D, Hagan CC, Azim E, Menon V, Reiss AL",Proceedings of the National Academy of Sciences of the United States of America,0.25,16275930,-1,-1
orbital_00004,https://pubmed.ncbi.nlm.nih.gov/24439000/,"Hippocampal and orbital inferior frontal gray matter volume abnormalities and cognitive deficit in treatment-naive, first-episode patients with schizophrenia.","Guo X, Li J, Wang J, Fan X, Hu M, Shen Y, Chen H, Zhao J",Schizophrenia research,0.21,24439000,-1,-1
orbital_00005,https://pubmed.ncbi.nlm.nih.gov/16443204/,Intuitive interference in quantitative reasoning.,"Stavy R, Goel V, Critchley H, Dolan R",Brain research,0.208,16443204,-1,-1
orbital_00006,https://pubmed.ncbi.nlm.nih.gov/25632140/,Local morphology predicts functional organization of experienced value signals in the human orbitofrontal cortex.,"Li Y, Sescousse G, Amiez C, Dreher JC",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.206,25632140,-1,-1
orbital_00007,https://pubmed.ncbi.nlm.nih.gov/24657476/,Different association between intentionality competence and prefrontal volume in  left- and right-handers.,"Powell JL, Kemp GJ, Dunbar RI, Roberts N, Sluming V, Garcia-Finana M",Cortex; a journal devoted to the study of the nervous system and behavior,0.19,24657476,-1,-1
orbital_00008,https://pubmed.ncbi.nlm.nih.gov/15054061/,Auditory target detection in dichotic listening involves the orbitofrontal and hippocampal paralimbic belts.,"Pollmann S, Lepsien J, Hugdahl K, von Cramon DY","Cerebral cortex (New York, N.Y. : 1991)",0.183,15054061,-1,-1
orbital_00009,https://pubmed.ncbi.nlm.nih.gov/14960288/,Event-related functional magnetic resonance imaging of reward-related brain circuitry in children and adolescents.,"May JC, Delgado MR, Dahl RE, Stenger VA, Ryan ND, Fiez JA, Carter CS",Biological psychiatry,0.178,14960288,-1,-1
orbital_00010,https://pubmed.ncbi.nlm.nih.gov/11923438/,The neural correlates of moral sensitivity: a functional magnetic resonance imaging investigation of basic and moral emotions.,"Moll J, de Oliveira-Souza R, Eslinger PJ, Bramati IE, Mourao-Miranda J, Andreiuolo PA, Pessoa L",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.171,11923438,-1,-1
orbital_00011,https://pubmed.ncbi.nlm.nih.gov/19465009/,A comparison of brain activity evoked by single content and function words: an fMRI investigation of implicit word processing.,"Diaz MT, McCarthy G",Brain research,0.17,19465009,-1,-1
orbital_00012,https://pubmed.ncbi.nlm.nih.gov/16099179/,Left temporo-limbic and orbital dysfunction in schizophrenia during odor familiarity and hedonicity judgments.,"Plailly J, d'Amato T, Saoud M, Royet JP",NeuroImage,0.166,16099179,-1,-1
orbital_00013,https://pubmed.ncbi.nlm.nih.gov/25845747/,Decreased insular connectivity in drug-naive major depressive disorder at rest.,"Guo W, Liu F, Xiao C, Zhang Z, Liu J, Yu M, Zhang J, Zhao J",Journal of affective disorders,0.162,25845747,-1,-1
orbital_00014,https://pubmed.ncbi.nlm.nih.gov/26186732/,Brain Abnormalities in Congenital Fibrosis of the Extraocular Muscles Type 1: A Multimodal MRI Imaging Study.,"Miao W, Man F, Wu S, Lv B, Wang Z, Xian J, Sabel BA, He H, Jiao Y",PloS one,0.161,26186732,-1,-1
orbital_00015,https://pubmed.ncbi.nlm.nih.gov/21103010/,The Saccadic Re-Centering Bias is Associated with Activity Changes in the Human Superior Colliculus.,"Krebs RM, Schoenfeld MA, Boehler CN, Song AW, Woldorff MG",Frontiers in human neuroscience,0.155,21103010,-1,-1
orbital_00016,https://pubmed.ncbi.nlm.nih.gov/10858628/,Reduced anterior cingulate gyrus volume correlates with executive dysfunction in  men with first-episode schizophrenia.,"Szeszko PR, Bilder RM, Lencz T, Ashtari M, Goldman RS, Reiter G, Wu H, Lieberman JA",Schizophrenia research,0.149,10858628,-1,-1
orbital_00017,https://pubmed.ncbi.nlm.nih.gov/23217577/,Examining the effect of psychopathic traits on gray matter volume in a community  substance abuse sample.,"Cope LM, Shane MS, Segall JM, Nyalakanti PK, Stevens MC, Pearlson GD, Calhoun VD, Kiehl KA",Psychiatry research,0.147,23217577,-1,-1
orbital_00018,https://pubmed.ncbi.nlm.nih.gov/17950625/,Dissociated responses in the amygdala and orbitofrontal cortex to bottom-up and top-down components of emotional evaluation.,"Wright P, Albarracin D, Brown RD, Li H, He G, Liu Y",NeuroImage,0.146,17950625,-1,-1
orbital_00019,https://pubmed.ncbi.nlm.nih.gov/25240248/,Dissociation of functional and anatomical brain abnormalities in unaffected siblings of schizophrenia patients.,"Guo W, Song Y, Liu F, Zhang Z, Zhang J, Yu M, Liu J, Xiao C, Liu G, Zhao J",Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,0.143,25240248,-1,-1
