paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
parietal_00001,https://pubmed.ncbi.nlm.nih.gov/21799729/,Activation in a frontoparietal cortical network underlies individual differences  in the performance of an embedded figures task.,"Walter E, Dassonville P",PloS one,0.367,21799729,10.1371/journal.pone.0020742,-1
parietal_00002,https://pubmed.ncbi.nlm.nih.gov/16899645/,Coherent spontaneous activity identifies a hippocampal-parietal memory network.,"Vincent JL, Snyder AZ, Fox MD, Shannon BJ, Andrews JR, Raichle ME, Buckner RL",Journal of neurophysiology,0.342,16899645,10.1152/jn.00048.2006,-1
parietal_00003,https://pubmed.ncbi.nlm.nih.gov/22784605/,Parietal functional connectivity in numerical cognition.,"Park J, Park DC, Polk TA","Cerebral cortex (New York, N.Y. : 1991)",0.324,22784605,10.1093/cercor/bhs193,-1
parietal_00004,https://pubmed.ncbi.nlm.nih.gov/22063904/,Both left and right posterior parietal activations contribute to compensatory processes in normal aging.,"Huang CM, Polk TA, Goh JO, Park DC",Neuropsychologia,0.303,22063904,-1,-1
parietal_00005,https://pubmed.ncbi.nlm.nih.gov/28017920/,Common and distinct brain regions processing multisensory bodily signals for peripersonal space and body ownership.,"Grivaz P, Blanke O, Serino A",NeuroImage,0.302,28017920,-1,-1
parietal_00006,https://pubmed.ncbi.nlm.nih.gov/25147520/,The relative contributions of frontal and parietal cortex for generalized quantifier comprehension.,"Olm CA, McMillan CT, Spotorno N, Clark R, Grossman M",Frontiers in human neuroscience,0.294,25147520,-1,-1
parietal_00007,https://pubmed.ncbi.nlm.nih.gov/18165283/,Dissociated pathways for successful memory retrieval from the human parietal cortex: anatomical and functional connectivity analyses.,"Takahashi E, Ohki K, Kim DS","Cerebral cortex (New York, N.Y. : 1991)",0.293,18165283,-1,-1
parietal_00008,https://pubmed.ncbi.nlm.nih.gov/19523932/,Changes in cerebral activations during movement execution and imagery after parietal cortex TMS interleaved with 3T MRI.,"de Vries PM, de Jong BM, Bohning DE, Walker JA, George MS, Leenders KL",Brain research,0.291,19523932,-1,-1
parietal_00009,https://pubmed.ncbi.nlm.nih.gov/18649349/,Executive control of spatial attention shifts in the auditory compared to the visual modality.,"Krumbholz K, Nobis EA, Weatheritt RJ, Fink GR",Human brain mapping,0.28,18649349,-1,-1
parietal_00010,https://pubmed.ncbi.nlm.nih.gov/16122946/,Neural correlates of superior intelligence: stronger recruitment of posterior parietal cortex.,"Lee KH, Choi YY, Gray JR, Cho SH, Chae JH, Lee S, Kim K",NeuroImage,0.27,16122946,-1,-1
