paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
parieto_00001,https://pubmed.ncbi.nlm.nih.gov/22114283/,Decoding effector-dependent and effector-independent movement intentions from human parieto-frontal brain activity.,"Gallivan JP, McLean DA, Smith FW, Culham JC",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.491,22114283,-1,-1
parieto_00002,https://pubmed.ncbi.nlm.nih.gov/19300986/,Deriving angular displacement from optic flow: a fMRI study.,"Diekmann V, Jurgens R, Becker W",Experimental brain research,0.344,19300986,-1,-1
parieto_00003,https://pubmed.ncbi.nlm.nih.gov/12098493/,Common neural processing regions for dynamic and static stereopsis in human parieto-occipital cortices.,"Iwami T, Nishida Y, Hayashi O, Kimura M, Sakai M, Kani K, Ito R, Shiino A, Suzuki M",Neuroscience letters,0.306,12098493,-1,-1
parieto_00004,https://pubmed.ncbi.nlm.nih.gov/16087350/,Implementation of visuospatial cues in response selection.,"van Eimeren T, Wolbers T, Munchau A, Buchel C, Weiller C, Siebner HR",NeuroImage,0.275,16087350,-1,-1
parieto_00005,https://pubmed.ncbi.nlm.nih.gov/26484830/,Role of the human retrosplenial cortex/parieto-occipital sulcus in perspective priming.,"Sulpizio V, Committeri G, Lambrey S, Berthoz A, Galati G",NeuroImage,0.272,26484830,-1,-1
parieto_00006,https://pubmed.ncbi.nlm.nih.gov/25887261/,Developmental sex differences in resting state functional connectivity of amygdala sub-regions.,"Alarcon G, Cservenka A, Rudolph MD, Fair DA, Nagel BJ",NeuroImage,0.262,25887261,-1,-1
parieto_00007,https://pubmed.ncbi.nlm.nih.gov/28673767/,Diminished motor imagery capability in adults with motor impairment: An fMRI mental rotation study.,"Kashuk SR, Williams J, Thorpe G, Wilson PH, Egan GF",Behavioural brain research,0.253,28673767,-1,-1
parieto_00008,https://pubmed.ncbi.nlm.nih.gov/16750818/,Frontopolar cortex mediates abstract integration in analogy.,"Green AE, Fugelsang JA, Kraemer DJ, Shamosh NA, Dunbar KN",Brain research,0.232,16750818,-1,-1
parieto_00009,https://pubmed.ncbi.nlm.nih.gov/16966490/,The neural correlates of human working memory for haptically explored object orientations.,"Kaas AL, van Mier H, Goebel R","Cerebral cortex (New York, N.Y. : 1991)",0.232,16966490,-1,-1
parieto_00010,https://pubmed.ncbi.nlm.nih.gov/12427682/,Neural basis of mental scanning of a topographic representation built from a text.,"Mellet E, Bricogne S, Crivello F, Mazoyer B, Denis M, Tzourio-Mazoyer N","Cerebral cortex (New York, N.Y. : 1991)",0.215,12427682,-1,-1
parieto_00011,https://pubmed.ncbi.nlm.nih.gov/23530922/,Negative BOLD response in the hippocampus during short-term spatial memory retrieval.,"Nilsson J, Ferrier IN, Coventry K, Bester A, Finkelmeyer A",Journal of cognitive neuroscience,0.208,23530922,-1,-1
parieto_00012,https://pubmed.ncbi.nlm.nih.gov/16281284/,Identifying human parieto-insular vestibular cortex using fMRI and cytoarchitectonic mapping.,"Eickhoff SB, Weiss PH, Amunts K, Fink GR, Zilles K",Human brain mapping,0.201,16281284,-1,-1
parieto_00013,https://pubmed.ncbi.nlm.nih.gov/22066584/,The neural underpinings of simultanagnosia: disconnecting the visuospatial attention network.,"Chechlacz M, Rotshtein P, Hansen PC, Riddoch JM, Deb S, Humphreys GW",Journal of cognitive neuroscience,0.201,22066584,-1,-1
