paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
parkinson_00001,https://pubmed.ncbi.nlm.nih.gov/22561179/,Impaired comprehension of temporal connectives in Parkinson's disease--a neuroimaging study.,"Ye Z, Milenkova M, Mohammadi B, Kollewe K, Schrader C, Dengler R, Samii A, Munte TF",Neuropsychologia,0.433,22561179,10.1016/j.neuropsychologia.2012.04.004,-1
parkinson_00002,https://pubmed.ncbi.nlm.nih.gov/25627959/,The intrinsic resting state voice network in Parkinson's disease.,"New AB, Robin DA, Parkinson AL, Eickhoff CR, Reetz K, Hoffstaedter F, Mathys C, Sudmeyer M, Grefkes C, Larson CR, Ramig LO, Fox PT, Eickhoff SB",Human brain mapping,0.407,25627959,10.1002/hbm.22748,-1
parkinson_00003,https://pubmed.ncbi.nlm.nih.gov/23442226/,Attenuated neural response to gamble outcomes in drug-naive patients with Parkinson's disease.,"van der Vegt JP, Hulme OJ, Zittel S, Madsen KH, Weiss MM, Buhmann C, Bloem BR, Munchau A, Siebner HR",Brain : a journal of neurology,0.401,23442226,10.1093/brain/awt027,-1
parkinson_00004,https://pubmed.ncbi.nlm.nih.gov/27776130/,Central Pain Processing in Early-Stage Parkinson's Disease: A Laser Pain fMRI Study.,"Petschow C, Scheef L, Paus S, Zimmermann N, Schild HH, Klockgether T, Boecker H",PloS one,0.401,27776130,-1,-1
parkinson_00005,https://pubmed.ncbi.nlm.nih.gov/26173859/,Group comparison of spatiotemporal dynamics of intrinsic networks in Parkinson's  disease.,"Madhyastha TM, Askren MK, Zhang J, Leverenz JB, Montine TJ, Grabowski TJ",Brain : a journal of neurology,0.387,26173859,-1,-1
parkinson_00006,https://pubmed.ncbi.nlm.nih.gov/25212851/,Dopamine transporter SLC6A3 genotype affects cortico-striatal activity of set-shifts in Parkinson's disease.,"Habak C, Noreau A, Nagano-Saito A, Mejia-Constain B, Degroot C, Strafella AP, Chouinard S, Lafontaine AL, Rouleau GA, Monchi O",Brain : a journal of neurology,0.386,25212851,-1,-1
parkinson_00007,https://pubmed.ncbi.nlm.nih.gov/28486506/,An fMRI study into emotional processing in Parkinson's disease: Does increased medial prefrontal activation compensate for striatal dysfunction?,"Moonen AJH, Weiss PH, Wiesing M, Weidner R, Fink GR, Reijnders JSAM, Weber WM, Leentjens AFG",PloS one,0.384,28486506,-1,-1
parkinson_00008,https://pubmed.ncbi.nlm.nih.gov/25120418/,Longitudinal changes in task-evoked brain responses in Parkinson's disease patients with and without mild cognitive impairment.,"Ekman U, Eriksson J, Forsgren L, Domellof ME, Elgh E, Lundquist A, Nyberg L",Frontiers in neuroscience,0.357,25120418,-1,-1
parkinson_00009,https://pubmed.ncbi.nlm.nih.gov/11222456/,Event-related functional magnetic resonance imaging in Parkinson's disease before and after levodopa.,"Haslinger B, Erhard P, Kampfe N, Boecker H, Rummeny E, Schwaiger M, Conrad B, Ceballos-Baumann AO",Brain : a journal of neurology,0.334,11222456,-1,-1
parkinson_00010,https://pubmed.ncbi.nlm.nih.gov/15958505/,A functional MRI study of automatic movements in patients with Parkinson's disease.,"Wu T, Hallett M",Brain : a journal of neurology,0.331,15958505,-1,-1
parkinson_00011,https://pubmed.ncbi.nlm.nih.gov/19036762/,Temporal dynamics of basal ganglia under-recruitment in Parkinson's disease: transient caudate abnormalities during updating of working memory.,"Marklund P, Larsson A, Elgh E, Linder J, Riklund KA, Forsgren L, Nyberg L",Brain : a journal of neurology,0.329,19036762,-1,-1
parkinson_00012,https://pubmed.ncbi.nlm.nih.gov/27896064/,Executive attention networks show altered relationship with default mode network  in PD.,"Boord P, Madhyastha TM, Askren MK, Grabowski TJ",NeuroImage. Clinical,0.326,27896064,-1,-1
parkinson_00013,https://pubmed.ncbi.nlm.nih.gov/15843423/,Clinical deficits correlate with regional cerebral atrophy in progressive supranuclear palsy.,"Cordato NJ, Duggins AJ, Halliday GM, Morris JG, Pantelis C",Brain : a journal of neurology,0.324,15843423,-1,-1
parkinson_00014,https://pubmed.ncbi.nlm.nih.gov/21596771/,Dopamine agonists and risk: impulse control disorders in Parkinson's disease.,"Voon V, Gao J, Brezing C, Symmonds M, Ekanayake V, Fernandez H, Dolan RJ, Hallett M",Brain : a journal of neurology,0.321,21596771,-1,-1
parkinson_00015,https://pubmed.ncbi.nlm.nih.gov/17121746/,Cortical activity in Parkinson's disease during executive processing depends on striatal involvement.,"Monchi O, Petrides M, Mejia-Constain B, Strafella AP",Brain : a journal of neurology,0.314,17121746,-1,-1
parkinson_00016,https://pubmed.ncbi.nlm.nih.gov/19755518/,Impaired visual processing preceding image recognition in Parkinson's disease patients with visual hallucinations.,"Meppelink AM, de Jong BM, Renken R, Leenders KL, Cornelissen FW, van Laar T",Brain : a journal of neurology,0.305,19755518,-1,-1
parkinson_00017,https://pubmed.ncbi.nlm.nih.gov/17368575/,Compensatory cortical mechanisms in Parkinson's disease evidenced with fMRI during the performance of pre-learned sequential movements.,"Mallol R, Barros-Loscertales A, Lopez M, Belloch V, Parcet MA, Avila C",Brain research,0.301,17368575,-1,-1
