paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
pointing_00001,https://pubmed.ncbi.nlm.nih.gov/25562826/,Brain activity modulation during the production of imperative and declarative pointing.,"Committeri G, Cirillo S, Costantini M, Galati G, Romani GL, Aureli T",NeuroImage,0.815,25562826,10.1016/j.neuroimage.2014.12.064,-1
pointing_00002,https://pubmed.ncbi.nlm.nih.gov/21391262/,Mapping reflexive shifts of attention in eye-centered and hand-centered coordinate systems.,"Cazzato V, Macaluso E, Crostella F, Aglioti SM",Human brain mapping,0.493,21391262,10.1002/hbm.21202,-1
pointing_00003,https://pubmed.ncbi.nlm.nih.gov/18823242/,Recognizing threat: a simple geometric shape activates neural circuitry for threat detection.,"Larson CL, Aronoff J, Sarinopoulos IC, Zhu DC",Journal of cognitive neuroscience,0.486,18823242,10.1162/jocn.2009.21111,-1
pointing_00004,https://pubmed.ncbi.nlm.nih.gov/18534989/,Neurofunctional modulation of brain regions by the observation of pointing and grasping actions.,"Pierno AC, Tubaldi F, Turella L, Grossi P, Barachino L, Gallo P, Castiello U","Cerebral cortex (New York, N.Y. : 1991)",0.437,18534989,10.1093/cercor/bhn089,-1
pointing_00005,https://pubmed.ncbi.nlm.nih.gov/27939189/,Linking language to the visual world: Neural correlates of comprehending verbal reference to objects through pointing and visual cues.,"Peeters D, Snijders TM, Hagoort P, Ozyurek A",Neuropsychologia,0.399,27939189,-1,-1
pointing_00006,https://pubmed.ncbi.nlm.nih.gov/12805308/,"Functional organization of human intraparietal and frontal cortex for attending,  looking, and pointing.","Astafiev SV, Shulman GL, Stanley CM, Snyder AZ, Van Essen DC, Corbetta M",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.288,12805308,-1,-1
pointing_00007,https://pubmed.ncbi.nlm.nih.gov/24688464/,"Differential hippocampal and retrosplenial involvement in egocentric-updating, rotation, and allocentric processing during online spatial encoding: an fMRI study.","Gomez A, Cerles M, Rousset S, Remy C, Baciu M",Frontiers in human neuroscience,0.278,24688464,-1,-1
pointing_00008,https://pubmed.ncbi.nlm.nih.gov/23938766/,Remembering our origin: gender differences in spatial memory are reflected in gender differences in hippocampal lateralization.,"Persson J, Herlitz A, Engman J, Morell A, Sjolie D, Wikstrom J, Soderlund H",Behavioural brain research,0.276,23938766,-1,-1
pointing_00009,https://pubmed.ncbi.nlm.nih.gov/21823207/,"Look at me, I'll remember you: the perception of self-relevant social cues enhances memory and right hippocampal activity.","Conty L, Grezes J",Human brain mapping,0.273,21823207,-1,-1
pointing_00010,https://pubmed.ncbi.nlm.nih.gov/19129395/,Dynamic changes in brain activity during prism adaptation.,"Luaute J, Schwartz S, Rossetti Y, Spiridon M, Rode G, Boisson D, Vuilleumier P",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.26,19129395,-1,-1
pointing_00011,https://pubmed.ncbi.nlm.nih.gov/11832233/,"Topographical layout of hand, eye, calculation, and language-related areas in the human parietal lobe.","Simon O, Mangin JF, Cohen L, Le Bihan D, Dehaene S",Neuron,0.246,11832233,-1,-1
pointing_00012,https://pubmed.ncbi.nlm.nih.gov/19428423/,Where is your shoulder? Neural correlates of localizing others' body parts.,"Felician O, Anton JL, Nazarian B, Roth M, Roll JP, Romaiguere P",Neuropsychologia,0.242,19428423,-1,-1
pointing_00013,https://pubmed.ncbi.nlm.nih.gov/23028661/,Differential recruitment of brain networks following route and cartographic map learning of spatial environments.,"Zhang H, Copara M, Ekstrom AD",PloS one,0.171,23028661,-1,-1
pointing_00014,https://pubmed.ncbi.nlm.nih.gov/16650836/,Individual differences in the functional neuroanatomy of inhibitory control.,"Garavan H, Hester R, Murphy K, Fassbender C, Kelly C",Brain research,0.161,16650836,-1,-1
pointing_00015,https://pubmed.ncbi.nlm.nih.gov/17274965/,Intranasal trigeminal function in subjects with and without an intact sense of smell.,"Iannilli E, Gerber J, Frasnelli J, Hummel T",Brain research,0.159,17274965,-1,-1
pointing_00016,https://pubmed.ncbi.nlm.nih.gov/19167506/,"Commonalities in the neural mechanisms underlying automatic attentional shifts by gaze, gestures, and symbols.","Sato W, Kochiyama T, Uono S, Yoshikawa S",NeuroImage,0.154,19167506,-1,-1
pointing_00017,https://pubmed.ncbi.nlm.nih.gov/19948224/,Your mind's hand: motor imagery of pointing movements with different accuracy.,"Lorey B, Pilgramm S, Walter B, Stark R, Munzert J, Zentgraf K",NeuroImage,0.153,19948224,-1,-1
pointing_00018,https://pubmed.ncbi.nlm.nih.gov/28647598/,Functional brain networks during picture encoding and recognition in different odor contexts.,"Reichert JL, Ninaus M, Schuehly W, Hirschmann C, Bagga D, Schopf V",Behavioural brain research,0.147,28647598,-1,-1
pointing_00019,https://pubmed.ncbi.nlm.nih.gov/20300627/,The neural correlates of visuospatial perceptual and oculomotor extrapolation.,"Tibber M, Saygin AP, Grant S, Melmoth D, Rees G, Morgan M",PloS one,0.145,20300627,-1,-1
pointing_00020,https://pubmed.ncbi.nlm.nih.gov/27000301/,Mothers with depressive symptoms display differential brain activations when empathizing with infant faces.,"Lenzi D, Trentini C, Macaluso E, Graziano S, Speranza AM, Pantano P, Ammaniti M",Psychiatry research. Neuroimaging,0.141,27000301,-1,-1
pointing_00021,https://pubmed.ncbi.nlm.nih.gov/15033182/,The Danish PET/depression project: performance on Stroop's test linked to white matter lesions in the brain.,"Videbech P, Ravnkilde B, Gammelgaard L, Egander A, Clemmensen K, Rasmussen NA, Gjedde A, Rosenberg R",Psychiatry research,0.138,15033182,10.1016/j.pscychresns.2003.10.002,-1
pointing_00022,https://pubmed.ncbi.nlm.nih.gov/26765332/,Effects of Manganese Exposure on Olfactory Functions in Teenagers: A Pilot Study.,"Iannilli E, Gasparotti R, Hummel T, Zoni S, Benedetti C, Fedrighi C, Tang CY, Van Thriel C, Lucchini RG",PloS one,0.138,26765332,10.1371/journal.pone.0144783,-1
pointing_00023,https://pubmed.ncbi.nlm.nih.gov/21871533/,Neural activation during imitation of movements presented from four different perspectives: a functional magnetic resonance imaging study.,"Watanabe R, Watanabe S, Kuruma H, Murakami Y, Seno A, Matsuda T",Neuroscience letters,0.136,21871533,10.1016/j.neulet.2011.08.016,-1
pointing_00024,https://pubmed.ncbi.nlm.nih.gov/21655298/,Activation of the parieto-premotor network is associated with vivid motor imagery--a parametric FMRI study.,"Lorey B, Pilgramm S, Bischoff M, Stark R, Vaitl D, Kindermann S, Munzert J, Zentgraf K",PloS one,0.13,21655298,-1,-1
pointing_00025,https://pubmed.ncbi.nlm.nih.gov/22457500/,"Early binding of gaze, gesture, and emotion: neural time course and correlates.","Conty L, Dezecache G, Hugueville L, Grezes J",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.13,22457500,-1,-1
pointing_00026,https://pubmed.ncbi.nlm.nih.gov/17728454/,"Differential recruitment of the hippocampus, medial prefrontal cortex, and the human motion complex during path integration in humans.","Wolbers T, Wiener JM, Mallot HA, Buchel C",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.126,17728454,-1,-1
pointing_00027,https://pubmed.ncbi.nlm.nih.gov/16525800/,Precuneus is involved in allocentric spatial location encoding and recognition.,"Frings L, Wagner K, Quiske A, Schwarzwald R, Spreer J, Halsband U, Schulze-Bonhage A",Experimental brain research,0.124,16525800,-1,-1
pointing_00028,https://pubmed.ncbi.nlm.nih.gov/22170969/,Differential cortical activation during saccadic adaptation.,"Blurton SP, Raabe M, Greenlee MW",Journal of neurophysiology,0.124,22170969,-1,-1
pointing_00029,https://pubmed.ncbi.nlm.nih.gov/29311878/,Default Network Activity Is Associated with Better Performance in a Vigilance Task.,"Bogler C, Vowinkel A, Zhutovsky P, Haynes JD",Frontiers in human neuroscience,0.123,29311878,-1,-1
pointing_00030,https://pubmed.ncbi.nlm.nih.gov/20350183/,Task context and frontal lobe activation in the Stroop task.,"Floden D, Vallesi A, Stuss DT",Journal of cognitive neuroscience,0.122,20350183,-1,-1
pointing_00031,https://pubmed.ncbi.nlm.nih.gov/20696496/,Impact of changed positive and negative task-related brain activity on word-retrieval in aging.,"Meinzer M, Seeds L, Flaisch T, Harnish S, Cohen ML, McGregor K, Conway T, Benjamin M, Crosson B",Neurobiology of aging,0.12,20696496,10.1016/j.neurobiolaging.2010.06.020,-1
pointing_00032,https://pubmed.ncbi.nlm.nih.gov/23404563/,Explicit authenticity and stimulus features interact to modulate BOLD response induced by emotional speech.,"Drolet M, Schubotz RI, Fischer J","Cognitive, affective & behavioral neuroscience",0.119,23404563,10.3758/s13415-013-0151-0,-1
pointing_00033,https://pubmed.ncbi.nlm.nih.gov/25776218/,The neural correlates of sex differences in left-right confusion.,"Hjelmervik H, Westerhausen R, Hirnstein M, Specht K, Hausmann M",NeuroImage,0.119,25776218,10.1016/j.neuroimage.2015.02.066,-1
pointing_00034,https://pubmed.ncbi.nlm.nih.gov/24269573/,To create or to recall? Neural mechanisms underlying the generation of creative new ideas.,"Benedek M, Jauk E, Fink A, Koschutnig K, Reishofer G, Ebner F, Neubauer AC",NeuroImage,0.118,24269573,-1,-1
pointing_00035,https://pubmed.ncbi.nlm.nih.gov/24828649/,Functional fractionation of the stimulus-driven attention network.,"Han SW, Marois R",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.115,24828649,-1,-1
pointing_00036,https://pubmed.ncbi.nlm.nih.gov/28038366/,Brain networks underlying novel metaphor production.,"Beaty RE, Silvia PJ, Benedek M",Brain and cognition,0.111,28038366,-1,-1
pointing_00037,https://pubmed.ncbi.nlm.nih.gov/20956614/,Neural correlates of developing and adapting behavioral biases in speeded choice  reactions--an fMRI study on predictive motor coding.,"Eickhoff SB, Pomjanski W, Jakobs O, Zilles K, Langner R","Cerebral cortex (New York, N.Y. : 1991)",0.11,20956614,-1,-1
pointing_00038,https://pubmed.ncbi.nlm.nih.gov/21937025/,The synchronization of spontaneous BOLD activity predicts extraversion and neuroticism.,"Wei L, Duan X, Yang Y, Liao W, Gao Q, Ding JR, Zhang Z, Zeng W, Li Y, Lu G, Chen H",Brain research,0.11,21937025,-1,-1
pointing_00039,https://pubmed.ncbi.nlm.nih.gov/23983202/,"Action observers implicitly expect actors to act goal-coherently, even if they do not: an fMRI study.","Hrkac M, Wurm MF, Schubotz RI",Human brain mapping,0.11,23983202,-1,-1
pointing_00040,https://pubmed.ncbi.nlm.nih.gov/25913637/,Amyotrophic lateral sclerosis affects cortical and subcortical activity underlying motor inhibition and action monitoring.,"Mohammadi B, Kollewe K, Cole DM, Fellbrich A, Heldmann M, Samii A, Dengler R, Petri S, Munte TF, Kramer UM",Human brain mapping,0.11,25913637,-1,-1
pointing_00041,https://pubmed.ncbi.nlm.nih.gov/20876115/,Brain plasticity related to the consolidation of motor sequence learning and motor adaptation.,"Debas K, Carrier J, Orban P, Barakat M, Lungu O, Vandewalle G, Hadj Tahar A, Bellec P, Karni A, Ungerleider LG, Benali H, Doyon J",Proceedings of the National Academy of Sciences of the United States of America,0.107,20876115,-1,-1
pointing_00042,https://pubmed.ncbi.nlm.nih.gov/27746729/,"Broca Pars Triangularis Constitutes a ""Hub"" of the Language-Control Network during Simultaneous Language Translation.",Elmer S,Frontiers in human neuroscience,0.106,27746729,-1,-1
pointing_00043,https://pubmed.ncbi.nlm.nih.gov/27263508/,"Predictability of what or where reduces brain activity, but a bottleneck occurs when both are predictable.","Davis B, Hasson U",NeuroImage,0.103,27263508,-1,-1
pointing_00044,https://pubmed.ncbi.nlm.nih.gov/21259389/,Do we mind other minds when we mind other minds' actions? A functional magnetic resonance imaging study.,"Wurm MF, von Cramon DY, Schubotz RI",Human brain mapping,0.102,21259389,-1,-1
pointing_00045,https://pubmed.ncbi.nlm.nih.gov/24388797/,A combined effect of two Alzheimer's risk genes on medial temporal activity during executive attention in young adults.,"Green AE, Gray JR, Deyoung CG, Mhyre TR, Padilla R, Dibattista AM, William Rebeck G",Neuropsychologia,0.099,24388797,-1,-1
pointing_00046,https://pubmed.ncbi.nlm.nih.gov/25309380/,The neural basis of monitoring goal progress.,"Benn Y, Webb TL, Chang BP, Sun YH, Wilkinson ID, Farrow TF",Frontiers in human neuroscience,0.099,25309380,-1,-1
pointing_00047,https://pubmed.ncbi.nlm.nih.gov/19642881/,Effects of a body-oriented response measure on the neural substrate of imagined perspective rotations.,"Wraga M, Flynn CM, Boyle HK, Evans GC",Journal of cognitive neuroscience,0.096,19642881,-1,-1
pointing_00048,https://pubmed.ncbi.nlm.nih.gov/24662574/,Characterizing individual differences in functional connectivity using dual-regression and seed-based approaches.,"Smith DV, Utevsky AV, Bland AR, Clement N, Clithero JA, Harsch AE, McKell Carter R, Huettel SA",NeuroImage,0.096,24662574,-1,-1
pointing_00049,https://pubmed.ncbi.nlm.nih.gov/24828652/,Memory accumulation mechanisms in human cortex are independent of motor intentions.,"Sestieri C, Tosoni A, Mignogna V, McAvoy MP, Shulman GL, Corbetta M, Romani GL",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.096,24828652,-1,-1
pointing_00050,https://pubmed.ncbi.nlm.nih.gov/29354041/,Longitudinal Brain Development of Numerical Skills in Typically Developing Children and Children with Developmental Dyscalculia.,"McCaskey U, von Aster M, Maurer U, Martin E, O'Gorman Tuura R, Kucian K",Frontiers in human neuroscience,0.095,29354041,-1,-1
pointing_00051,https://pubmed.ncbi.nlm.nih.gov/18586370/,Pointing with the eyes: the role of gaze in communicating danger.,"Hadjikhani N, Hoge R, Snyder J, de Gelder B",Brain and cognition,0.092,18586370,10.1016/j.bandc.2008.01.008,-1
pointing_00052,https://pubmed.ncbi.nlm.nih.gov/16023376/,The rewards of music listening: response and physiological connectivity of the mesolimbic system.,"Menon V, Levitin DJ",NeuroImage,0.091,16023376,10.1016/j.neuroimage.2005.05.053,-1
pointing_00053,https://pubmed.ncbi.nlm.nih.gov/16473025/,Interactions between ego- and allocentric neuronal representations of space.,"Neggers SF, Van der Lubbe RH, Ramsey NF, Postma A",NeuroImage,0.09,16473025,10.1016/j.neuroimage.2005.12.028,-1
pointing_00054,https://pubmed.ncbi.nlm.nih.gov/23514930/,Structural network underlying visuospatial imagery in humans.,"Whittingstall K, Bernier M, Houde JC, Fortin D, Descoteaux M",Cortex; a journal devoted to the study of the nervous system and behavior,0.09,23514930,-1,-1
