paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
posterior anterior_00001,https://pubmed.ncbi.nlm.nih.gov/18778780/,Piecemeal recruitment of left-lateralized brain areas during reading: a spatio-functional account.,"Levy J, Pernet C, Treserras S, Boulanouar K, Berry I, Aubry F, Demonet JF, Celsis P",NeuroImage,0.231,18778780,-1,-1
posterior anterior_00002,https://pubmed.ncbi.nlm.nih.gov/21047495/,Using a self-organizing map algorithm to detect age-related changes in functional connectivity during rest in autism spectrum disorders.,"Wiggins JL, Peltier SJ, Ashinoff S, Weng SJ, Carrasco M, Welsh RC, Lord C, Monk CS",Brain research,0.221,21047495,-1,-1
posterior anterior_00003,https://pubmed.ncbi.nlm.nih.gov/23585519/,The Pathways for Intelligible Speech: Multivariate and Univariate Perspectives.,"Evans S, Kyong JS, Rosen S, Golestani N, Warren JE, McGettigan C, Mourao-Miranda J, Wise RJ, Scott SK","Cerebral cortex (New York, N.Y. : 1991)",0.202,23585519,-1,-1
posterior anterior_00004,https://pubmed.ncbi.nlm.nih.gov/28442537/,Age-Related Reversals in Neural Recruitment across Memory Retrieval Phases.,"Ford JH, Kensinger EA",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.195,28442537,-1,-1
posterior anterior_00005,https://pubmed.ncbi.nlm.nih.gov/22483790/,Load-dependent posterior-anterior shift in aging in complex visual selective attention situations.,"Ansado J, Monchi O, Ennabil N, Faure S, Joanette Y",Brain research,0.187,22483790,-1,-1
posterior anterior_00006,https://pubmed.ncbi.nlm.nih.gov/18692890/,Functional-anatomical organization of predicate metaphor processing.,"Chen E, Widick P, Chatterjee A",Brain and language,0.186,18692890,-1,-1
posterior anterior_00007,https://pubmed.ncbi.nlm.nih.gov/19288464/,Tuning of the visual word processing system: distinct developmental ERP and fMRI  effects.,"Brem S, Halder P, Bucher K, Summers P, Martin E, Brandeis D",Human brain mapping,0.176,19288464,-1,-1
posterior anterior_00008,https://pubmed.ncbi.nlm.nih.gov/12122035/,Distributed cortical systems in visual short-term memory revealed by event-related functional magnetic resonance imaging.,"Munk MH, Linden DE, Muckli L, Lanfermann H, Zanella FE, Singer W, Goebel R","Cerebral cortex (New York, N.Y. : 1991)",0.155,12122035,-1,-1
posterior anterior_00009,https://pubmed.ncbi.nlm.nih.gov/22488952/,Effects of age on prefrontal subregions and hippocampal volumes in young and middle-aged healthy humans.,"Wellington RL, Bilder RM, Napolitano B, Szeszko PR",Human brain mapping,0.14,22488952,-1,-1
posterior anterior_00010,https://pubmed.ncbi.nlm.nih.gov/15193595/,Cortical lateralization during verb generation: a combined ERP and fMRI study.,"Rowan A, Liegeois F, Vargha-Khadem F, Gadian D, Connelly A, Baldeweg T",NeuroImage,0.135,15193595,-1,-1
posterior anterior_00011,https://pubmed.ncbi.nlm.nih.gov/22422484/,Judging roughness by sight--a 7-Tesla fMRI study on responsivity of the primary somatosensory cortex during observed touch of self and others.,"Kuehn E, Trampel R, Mueller K, Turner R, Schutz-Bosbach S",Human brain mapping,0.133,22422484,-1,-1
posterior anterior_00012,https://pubmed.ncbi.nlm.nih.gov/17292628/,Dissociated brain organization for single-digit addition and multiplication.,"Zhou X, Chen C, Zang Y, Dong Q, Chen C, Qiao S, Gong Q",NeuroImage,0.132,17292628,-1,-1
posterior anterior_00013,https://pubmed.ncbi.nlm.nih.gov/19712703/,Differential dorsolateral prefrontal cortex activation during a verbal n-back task according to sensory modality.,"Rodriguez-Jimenez R, Avila C, Garcia-Navarro C, Bagney A, Aragon AM, Ventura-Campos N, Martinez-Gras I, Forn C, Ponce G, Rubio G, Jimenez-Arriero MA, Palomo T",Behavioural brain research,0.132,19712703,-1,-1
posterior anterior_00014,https://pubmed.ncbi.nlm.nih.gov/25613901/,Interoceptive awareness changes the posterior insula functional connectivity profile.,"Kuehn E, Mueller K, Lohmann G, Schuetz-Bosbach S",Brain structure & function,0.131,25613901,-1,-1
posterior anterior_00015,https://pubmed.ncbi.nlm.nih.gov/26488590/,A Neural Correlate of Strategic Exploration at the Onset of Adolescence.,"Kayser AS, Op de Macks Z, Dahl RE, Frank MJ",Journal of cognitive neuroscience,0.131,26488590,-1,-1
posterior anterior_00016,https://pubmed.ncbi.nlm.nih.gov/23485741/,Real-time imaging of brain areas involved in the generation of spontaneous skin sympathetic nerve activity at rest.,"James C, Henderson L, Macefield VG",NeuroImage,0.129,23485741,-1,-1
posterior anterior_00017,https://pubmed.ncbi.nlm.nih.gov/19052212/,The cortical dynamics of intelligible speech.,"Leff AP, Schofield TM, Stephan KE, Crinion JT, Friston KJ, Price CJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.128,19052212,-1,-1
posterior anterior_00018,https://pubmed.ncbi.nlm.nih.gov/28100739/,Action Categories in Lateral Occipitotemporal Cortex Are Organized Along Sociality and Transitivity.,"Wurm MF, Caramazza A, Lingnau A",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.127,28100739,-1,-1
posterior anterior_00019,https://pubmed.ncbi.nlm.nih.gov/15800024/,Serial and parallel processing in the human auditory cortex: a magnetoencephalographic study.,"Inui K, Okamoto H, Miki K, Gunji A, Kakigi R","Cerebral cortex (New York, N.Y. : 1991)",0.125,15800024,-1,-1
posterior anterior_00020,https://pubmed.ncbi.nlm.nih.gov/21813693/,Physical and perceptual factors shape the neural mechanisms that integrate audiovisual signals in speech comprehension.,"Lee H, Noppeney U",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.125,21813693,-1,-1
posterior anterior_00021,https://pubmed.ncbi.nlm.nih.gov/25392507/,Anatomical connections of the visual word form area.,"Bouhali F, Thiebaut de Schotten M, Pinel P, Poupon C, Mangin JF, Dehaene S, Cohen L",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.125,25392507,-1,-1
posterior anterior_00022,https://pubmed.ncbi.nlm.nih.gov/19457385/,Temporal summation of trigeminal pain in human anterior cingulate cortex.,"Obermann M, Pleger B, de Greiff A, Stude P, Kaube H, Diener HC, Katsarava Z",NeuroImage,0.123,19457385,-1,-1
posterior anterior_00023,https://pubmed.ncbi.nlm.nih.gov/22564748/,Developmental differences for word processing in the ventral stream.,"Olulade OA, Flowers DL, Napoliello EM, Eden GF",Brain and language,0.121,22564748,-1,-1
posterior anterior_00024,https://pubmed.ncbi.nlm.nih.gov/22261925/,Neural correlates of a single-session massage treatment.,"Sliz D, Smith A, Wiebking C, Northoff G, Hayley S",Brain imaging and behavior,0.117,22261925,-1,-1
posterior anterior_00025,https://pubmed.ncbi.nlm.nih.gov/11208666/,The role of the inferior parietal cortex in linking the tactile perception and manual construction of object shapes.,"Jancke L, Kleinschmidt A, Mirzazade S, Shah NJ, Freund HJ","Cerebral cortex (New York, N.Y. : 1991)",0.116,11208666,-1,-1
posterior anterior_00026,https://pubmed.ncbi.nlm.nih.gov/20219991/,The relationship of lyrics and tunes in the processing of unfamiliar songs: a functional magnetic resonance adaptation study.,"Sammler D, Baird A, Valabregue R, Clement S, Dupont S, Belin P, Samson S",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.116,20219991,-1,-1
posterior anterior_00027,https://pubmed.ncbi.nlm.nih.gov/20955802/,Impact of transient emotions on functional connectivity during subsequent resting state: a wavelet correlation approach.,"Eryilmaz H, Van De Ville D, Schwartz S, Vuilleumier P",NeuroImage,0.116,20955802,-1,-1
posterior anterior_00028,https://pubmed.ncbi.nlm.nih.gov/23158761/,Lower cognitive reserve in the aging human immunodeficiency virus-infected brain.,"Chang L, Holt JL, Yakupov R, Jiang CS, Ernst T",Neurobiology of aging,0.116,23158761,-1,-1
posterior anterior_00029,https://pubmed.ncbi.nlm.nih.gov/23447611/,The thalamus and brainstem act as key hubs in alterations of human brain network  connectivity induced by mild propofol sedation.,"Gili T, Saxena N, Diukova A, Murphy K, Hall JE, Wise RG",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.116,23447611,-1,-1
posterior anterior_00030,https://pubmed.ncbi.nlm.nih.gov/18819107/,Topographic analysis of individual activation patterns in medial frontal cortex in schizophrenia.,"Stern ER, Welsh RC, Fitzgerald KD, Taylor SF",Human brain mapping,0.115,18819107,-1,-1
posterior anterior_00031,https://pubmed.ncbi.nlm.nih.gov/24464423/,The cortical and cerebellar representation of the lumbar spine.,"Boendermaker B, Meier ML, Luechinger R, Humphreys BK, Hotz-Boendermaker S",Human brain mapping,0.112,24464423,10.1002/hbm.22451,-1
posterior anterior_00032,https://pubmed.ncbi.nlm.nih.gov/12713654/,Cerebral regions processing first- and higher-order motion in an opposed-direction discrimination task.,"Dupont P, Sary G, Peuskens H, Orban GA",The European journal of neuroscience,0.109,12713654,-1,-1
posterior anterior_00033,https://pubmed.ncbi.nlm.nih.gov/16367791/,Effector-independent voluntary timing: behavioural and neuroimaging evidence.,"Bengtsson SL, Ehrsson HH, Forssberg H, Ullen F",The European journal of neuroscience,0.109,16367791,-1,-1
posterior anterior_00034,https://pubmed.ncbi.nlm.nih.gov/17925295/,Que PASA? The posterior-anterior shift in aging.,"Davis SW, Dennis NA, Daselaar SM, Fleck MS, Cabeza R","Cerebral cortex (New York, N.Y. : 1991)",0.109,17925295,-1,-1
posterior anterior_00035,https://pubmed.ncbi.nlm.nih.gov/23453977/,Coping with task demand in aging using neural compensation and neural reserve triggers primarily intra-hemispheric-based neurofunctional reorganization.,"Ansado J, Monchi O, Ennabil N, Deslauriers J, Jubault T, Faure S, Joanette Y",Neuroscience research,0.108,23453977,-1,-1
posterior anterior_00036,https://pubmed.ncbi.nlm.nih.gov/19777578/,Resting state and task-induced deactivation: A methodological comparison in patients with schizophrenia and healthy controls.,"Mannell MV, Franco AR, Calhoun VD, Canive JM, Thoma RJ, Mayer AR",Human brain mapping,0.107,19777578,-1,-1
posterior anterior_00037,https://pubmed.ncbi.nlm.nih.gov/15054057/,Brain anatomy in Turner syndrome: evidence for impaired social and spatial-numerical networks.,"Molko N, Cachia A, Riviere D, Mangin JF, Bruandet M, LeBihan D, Cohen L, Dehaene S","Cerebral cortex (New York, N.Y. : 1991)",0.106,15054057,-1,-1
posterior anterior_00038,https://pubmed.ncbi.nlm.nih.gov/18252741/,Parietal mapping of visuomotor transformations during human tool grasping.,"Stark A, Zohary E","Cerebral cortex (New York, N.Y. : 1991)",0.104,18252741,-1,-1
posterior anterior_00039,https://pubmed.ncbi.nlm.nih.gov/20413450/,Automatic top-down processing explains common left occipito-temporal responses to visual words and objects.,"Kherif F, Josse G, Price CJ","Cerebral cortex (New York, N.Y. : 1991)",0.104,20413450,-1,-1
posterior anterior_00040,https://pubmed.ncbi.nlm.nih.gov/23238433/,Digit somatotopy in the human cerebellum: a 7T fMRI study.,"van der Zwaag W, Kusters R, Magill A, Gruetter R, Martuzzi R, Blanke O, Marques JP",NeuroImage,0.103,23238433,-1,-1
posterior anterior_00041,https://pubmed.ncbi.nlm.nih.gov/14683700/,Functional segregation of the temporal lobes into highly differentiated subsystems for auditory perception: an auditory rapid event-related fMRI-task.,"Specht K, Reul J",NeuroImage,0.102,14683700,-1,-1
posterior anterior_00042,https://pubmed.ncbi.nlm.nih.gov/21531384/,Exaggerated brain activation during emotion processing in unaffected siblings of  patients with schizophrenia.,"van Buuren M, Vink M, Rapcencu AE, Kahn RS",Biological psychiatry,0.102,21531384,-1,-1
posterior anterior_00043,https://pubmed.ncbi.nlm.nih.gov/23581683/,Activity patterns in the category-selective occipitotemporal cortex predict upcoming motor actions.,"Gallivan JP, Chapman CS, McLean DA, Flanagan JR, Culham JC",The European journal of neuroscience,0.102,23581683,-1,-1
posterior anterior_00044,https://pubmed.ncbi.nlm.nih.gov/23630602/,Explicating the face perception network with white matter connectivity.,"Pyles JA, Verstynen TD, Schneider W, Tarr MJ",PloS one,0.102,23630602,-1,-1
posterior anterior_00045,https://pubmed.ncbi.nlm.nih.gov/24358198/,Apnea-induced cortical BOLD-fMRI and peripheral sympathoneural firing response patterns of awake healthy humans.,"Kimmerly DS, Morris BL, Floras JS",PloS one,0.102,24358198,-1,-1
posterior anterior_00046,https://pubmed.ncbi.nlm.nih.gov/23887811/,Informatic parcellation of the network involved in the computation of subjective  value.,"Clithero JA, Rangel A",Social cognitive and affective neuroscience,0.1,23887811,-1,-1
