paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
posterior parietal_00001,https://pubmed.ncbi.nlm.nih.gov/12667852/,Functional MRI of brain activation evoked by intentional eye blinking.,"Kato M, Miyauchi S",NeuroImage,0.319,12667852,-1,-1
posterior parietal_00002,https://pubmed.ncbi.nlm.nih.gov/16122946/,Neural correlates of superior intelligence: stronger recruitment of posterior parietal cortex.,"Lee KH, Choi YY, Gray JR, Cho SH, Chae JH, Lee S, Kim K",NeuroImage,0.303,16122946,-1,-1
posterior parietal_00003,https://pubmed.ncbi.nlm.nih.gov/23386740/,Sex differences in the neural bases of social appraisals.,"Veroude K, Jolles J, Croiset G, Krabbendam L",Social cognitive and affective neuroscience,0.271,23386740,-1,-1
posterior parietal_00004,https://pubmed.ncbi.nlm.nih.gov/20926653/,Distinct frontoparietal networks set the stage for later perceptual identification priming and episodic recognition memory.,"Wimber M, Heinze HJ, Richardson-Klavehn A",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.252,20926653,-1,-1
posterior parietal_00005,https://pubmed.ncbi.nlm.nih.gov/15564587/,Control of attention shifts between vision and audition in human cortex.,"Shomstein S, Yantis S",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.245,15564587,-1,-1
posterior parietal_00006,https://pubmed.ncbi.nlm.nih.gov/12507726/,Parieto-frontal networks for clock drawing revealed with fMRI.,"Ino T, Asada T, Ito J, Kimura T, Fukuyama H",Neuroscience research,0.241,12507726,-1,-1
posterior parietal_00007,https://pubmed.ncbi.nlm.nih.gov/10982749/,Working memory of auditory localization.,"Martinkauppi S, Rama P, Aronen HJ, Korvenoja A, Carlson S","Cerebral cortex (New York, N.Y. : 1991)",0.24,10982749,-1,-1
posterior parietal_00008,https://pubmed.ncbi.nlm.nih.gov/11960893/,Posterior parietal cortex is implicated in continuous switching between verbal fluency tasks: an fMRI study with clinical implications.,"Gurd JM, Amunts K, Weiss PH, Zafiris O, Zilles K, Marshall JC, Fink GR",Brain : a journal of neurology,0.24,11960893,-1,-1
posterior parietal_00009,https://pubmed.ncbi.nlm.nih.gov/22956331/,"Distinct contributions of the caudate nucleus, rostral prefrontal cortex, and parietal cortex to the execution of instructed tasks.","Stocco A, Lebiere C, O'Reilly RC, Anderson JR","Cognitive, affective & behavioral neuroscience",0.221,22956331,-1,-1
posterior parietal_00010,https://pubmed.ncbi.nlm.nih.gov/16421302/,Mental chronometry of working memory retrieval: a combined functional magnetic resonance imaging and event-related potentials approach.,"Bledowski C, Cohen Kadosh K, Wibral M, Rahm B, Bittner RA, Hoechstetter K, Scherg M, Maurer K, Goebel R, Linden DE",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.22,16421302,-1,-1
posterior parietal_00011,https://pubmed.ncbi.nlm.nih.gov/17627848/,Distinct mechanisms of altered brain activation in patients with multiple sclerosis.,"Morgen K, Sammer G, Courtney SM, Wolters T, Melchior H, Blecker CR, Oschmann P, Kaps M, Vaitl D",NeuroImage,0.208,17627848,-1,-1
posterior parietal_00012,https://pubmed.ncbi.nlm.nih.gov/19109986/,Parietal modules for reaching.,"Blangero A, Menz MM, McNamara A, Binkofski F",Neuropsychologia,0.206,19109986,-1,-1
posterior parietal_00013,https://pubmed.ncbi.nlm.nih.gov/24636879/,Dissecting hemisphere-specific contributions to visual spatial imagery using parametric brain mapping.,"Bien N, Sack AT",NeuroImage,0.204,24636879,-1,-1
