paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
predictive_00001,https://pubmed.ncbi.nlm.nih.gov/28850882/,Tone-grammar association within words: Concurrent ERP and fMRI show rapid neural  pre-activation and involvement of left inferior frontal gyrus in pseudoword processing.,"Soderstrom P, Horne M, Mannfolk P, van Westen D, Roll M",Brain and language,0.523,28850882,-1,-1
predictive_00002,https://pubmed.ncbi.nlm.nih.gov/22993433/,Neurobiological mechanisms underlying the blocking effect in aversive learning.,"Eippert F, Gamer M, Buchel C",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.443,22993433,-1,-1
predictive_00003,https://pubmed.ncbi.nlm.nih.gov/11698133/,Activation during endogenous orienting of visual attention using symbolic pointers in the human parietal and frontal cortices: a functional magnetic resonance imaging study.,"Kato C, Matsuo K, Matsuzawa M, Moriya T, Glover GH, Nakai T",Neuroscience letters,0.403,11698133,-1,-1
predictive_00004,https://pubmed.ncbi.nlm.nih.gov/18822322/,Involvement of the left inferior frontal gyrus in predictive inference making.,"Jin H, Liu HL, Mo L, Fang SY, Zhang JX, Lin CD",International journal of psychophysiology : official journal of the International Organization of Psychophysiology,0.368,18822322,-1,-1
predictive_00005,https://pubmed.ncbi.nlm.nih.gov/16025290/,Cognitive influences on predictive saccadic tracking.,"Isotalo E, Lasker AG, Zee DS",Experimental brain research,0.341,16025290,-1,-1
predictive_00006,https://pubmed.ncbi.nlm.nih.gov/29428579/,Brain activations supporting linking of action phases in a sequential manual task.,"Safstrom D, Domellof E",NeuroImage,0.311,29428579,-1,-1
predictive_00007,https://pubmed.ncbi.nlm.nih.gov/21840405/,Remembering forward: neural correlates of memory and prediction in human motor adaptation.,"Scheidt RA, Zimbelman JL, Salowitz NM, Suminski AJ, Mosier KM, Houk J, Simo L",NeuroImage,0.309,21840405,-1,-1
predictive_00008,https://pubmed.ncbi.nlm.nih.gov/23933483/,Neural basis of auditory expectation within temporal cortex.,"Nazimek JM, Hunter MD, Hoskin R, Wilkinson I, Woodruff PW",Neuropsychologia,0.308,23933483,-1,-1
predictive_00009,https://pubmed.ncbi.nlm.nih.gov/18562599/,Individual differences in psychotic effects of ketamine are predicted by brain function measured under placebo.,"Honey GD, Corlett PR, Absalom AR, Lee M, Pomarol-Clotet E, Murray GK, McKenna PJ, Bullmore ET, Menon DK, Fletcher PC",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.305,18562599,-1,-1
predictive_00010,https://pubmed.ncbi.nlm.nih.gov/16565951/,Exploring predictive and reproducible modeling with the single-subject FIAC dataset.,"Chen X, Pereira F, Lee W, Strother S, Mitchell T",Human brain mapping,0.296,16565951,-1,-1
predictive_00011,https://pubmed.ncbi.nlm.nih.gov/27010386/,The Yin and the Yang of Prediction: An fMRI Study of Semantic Predictive Processing.,"Weber K, Lau EF, Stillerman B, Kuperberg GR",PloS one,0.293,27010386,-1,-1
predictive_00012,https://pubmed.ncbi.nlm.nih.gov/12812834/,The role of the human supplementary motor area in reactive motor operation.,"Toma K, Ozawa M, Matsuo K, Nakai T, Fukuyama H, Sato S",Neuroscience letters,0.29,12812834,-1,-1
predictive_00013,https://pubmed.ncbi.nlm.nih.gov/28060861/,Predicting the Multisensory Consequences of One's Own Action: BOLD Suppression in Auditory and Visual Cortices.,"Straube B, van Kemenade BM, Arikan BE, Fiehler K, Leube DT, Harris LR, Kircher T",PloS one,0.283,28060861,-1,-1
predictive_00014,https://pubmed.ncbi.nlm.nih.gov/20720125/,Implicit perceptual anticipation triggered by statistical learning.,"Turk-Browne NB, Scholl BJ, Johnson MK, Chun MM",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.281,20720125,-1,-1
predictive_00015,https://pubmed.ncbi.nlm.nih.gov/23010485/,Multivariate prediction of emerging psychosis in adolescents at high risk for schizophrenia.,"Shah J, Eack SM, Montrose DM, Tandon N, Miewald JM, Prasad KM, Keshavan MS",Schizophrenia research,0.275,23010485,-1,-1
predictive_00016,https://pubmed.ncbi.nlm.nih.gov/21715629/,Prediction of reading skill several years later depends on age and brain region:  implications for developmental models of reading.,"McNorgan C, Alvarez A, Bhullar A, Gayda J, Booth JR",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.268,21715629,-1,-1
predictive_00017,https://pubmed.ncbi.nlm.nih.gov/23948629/,Neural response to emotional stimuli associated with successful antidepressant treatment and behavioral activation.,"Rizvi SJ, Salomons TV, Konarski JZ, Downar J, Giacobbe P, McIntyre RS, Kennedy SH",Journal of affective disorders,0.255,23948629,-1,-1
predictive_00018,https://pubmed.ncbi.nlm.nih.gov/25261745/,A structural distance effect for backward anaphora in Broca's area: an fMRI study.,"Matchin W, Sprouse J, Hickok G",Brain and language,0.25,25261745,-1,-1
predictive_00019,https://pubmed.ncbi.nlm.nih.gov/26961945/,Different Roles of Direct and Indirect Frontoparietal Pathways for Individual Working Memory Capacity.,"Ekman M, Fiebach CJ, Melzer C, Tittgemeyer M, Derrfuss J",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.232,26961945,-1,-1
predictive_00020,https://pubmed.ncbi.nlm.nih.gov/16014866/,Mistaking a house for a face: neural correlates of misperception in healthy humans.,"Summerfield C, Egner T, Mangels J, Hirsch J","Cerebral cortex (New York, N.Y. : 1991)",0.228,16014866,-1,-1
predictive_00021,https://pubmed.ncbi.nlm.nih.gov/24293138/,Predictive models of resting state networks for assessment of altered functional  connectivity in mild cognitive impairment.,"Jiang X, Zhu D, Li K, Zhang T, Wang L, Shen D, Guo L, Liu T",Brain imaging and behavior,0.227,24293138,-1,-1
predictive_00022,https://pubmed.ncbi.nlm.nih.gov/12165364/,Correlation of cerebral blood flow and treatment effects of repetitive transcranial magnetic stimulation in depressed patients.,"Mottaghy FM, Keller CE, Gangitano M, Ly J, Thall M, Parker JA, Pascual-Leone A",Psychiatry research,0.226,12165364,-1,-1
predictive_00023,https://pubmed.ncbi.nlm.nih.gov/19846472/,Neural correlates of the spatial and expectancy components of endogenous and stimulus-driven orienting of attention in the Posner task.,"Doricchi F, Macci E, Silvetti M, Macaluso E","Cerebral cortex (New York, N.Y. : 1991)",0.225,19846472,-1,-1
predictive_00024,https://pubmed.ncbi.nlm.nih.gov/27881783/,Multivariate Brain Prediction of Heart Rate and Skin Conductance Responses to Social Threat.,"Eisenbarth H, Chang LJ, Wager TD",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.225,27881783,-1,-1
predictive_00025,https://pubmed.ncbi.nlm.nih.gov/22114283/,Decoding effector-dependent and effector-independent movement intentions from human parieto-frontal brain activity.,"Gallivan JP, McLean DA, Smith FW, Culham JC",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.223,22114283,-1,-1
