paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
preference_00001,https://pubmed.ncbi.nlm.nih.gov/28129051/,Mere Exposure: Preference Change for Novel Drinks Reflected in Human Ventral Tegmental Area.,"Ballard IC, Hennigan K, McClure SM",Journal of cognitive neuroscience,0.552,28129051,-1,-1
preference_00002,https://pubmed.ncbi.nlm.nih.gov/24662580/,Prefrontal mechanisms in preference and non-preference-based judgments.,"Foo JC, Haji T, Sakai K",NeuroImage,0.501,24662580,-1,-1
preference_00003,https://pubmed.ncbi.nlm.nih.gov/21722656/,"Magical ideation, creativity, handedness, and cerebral asymmetries: a combined behavioural and fMRI study.","Badzakova-Trajkov G, Haberling IS, Corballis MC",Neuropsychologia,0.423,21722656,-1,-1
preference_00004,https://pubmed.ncbi.nlm.nih.gov/25409934/,Strong rightward lateralization of the dorsal attentional network in left-handers with right sighting-eye: An evolutionary advantage.,"Petit L, Zago L, Mellet E, Jobard G, Crivello F, Joliot M, Mazoyer B, Tzourio-Mazoyer N",Human brain mapping,0.415,25409934,-1,-1
preference_00005,https://pubmed.ncbi.nlm.nih.gov/27148024/,A Neural Mechanism of Preference Shifting Under Zero Price Condition.,"Votinov M, Aso T, Fukuyama H, Mima T",Frontiers in human neuroscience,0.412,27148024,-1,-1
preference_00006,https://pubmed.ncbi.nlm.nih.gov/25510195/,Is the whole the sum of its parts? Configural processing of headless bodies in the right fusiform gyrus.,"Soria Bauser D, Suchan B",Behavioural brain research,0.402,25510195,-1,-1
preference_00007,https://pubmed.ncbi.nlm.nih.gov/20188190/,'Do I like this person?' A network analysis of midline cortex during a social preference task.,"Chen AC, Welsh RC, Liberzon I, Taylor SF",NeuroImage,0.398,20188190,-1,-1
preference_00008,https://pubmed.ncbi.nlm.nih.gov/21130888/,How choice modifies preference: neural correlates of choice justification.,"Qin J, Kimel S, Kitayama S, Wang X, Yang X, Han S",NeuroImage,0.369,21130888,-1,-1
preference_00009,https://pubmed.ncbi.nlm.nih.gov/23664619/,Social manipulation of preference in the human brain.,"Izuma K, Adolphs R",Neuron,0.343,23664619,-1,-1
preference_00010,https://pubmed.ncbi.nlm.nih.gov/17284191/,"Selectivity of human retinotopic visual cortex to S-cone-opponent, L/M-cone-opponent and achromatic stimulation.","Mullen KT, Dumoulin SO, McMahon KL, de Zubicaray GI, Hess RF",The European journal of neuroscience,0.336,17284191,-1,-1
preference_00011,https://pubmed.ncbi.nlm.nih.gov/11306631/,Predictability modulates human brain response to reward.,"Berns GS, McClure SM, Pagnoni G, Montague PR",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.334,11306631,-1,-1
preference_00012,https://pubmed.ncbi.nlm.nih.gov/21549201/,Cultural influences on neural basis of intergroup empathy.,"Cheon BK, Im DM, Harada T, Kim JS, Mathur VA, Scimeca JM, Parrish TB, Park HW, Chiao JY",NeuroImage,0.333,21549201,-1,-1
