paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
premotor_00001,https://pubmed.ncbi.nlm.nih.gov/14527579/,"Auditory what, where, and when: a sensory somatotopy in lateral premotor cortex.","Schubotz RI, von Cramon DY, Lohmann G",NeuroImage,0.424,14527579,-1,-1
premotor_00002,https://pubmed.ncbi.nlm.nih.gov/11240114/,"Functional organization of the lateral premotor cortex: fMRI reveals different regions activated by anticipation of object properties, location and speed.","Schubotz RI, von Cramon DY",Brain research. Cognitive brain research,0.386,11240114,-1,-1
premotor_00003,https://pubmed.ncbi.nlm.nih.gov/20932914/,Effective connectivity analysis demonstrates involvement of premotor cortex during speech perception.,"Osnes B, Hugdahl K, Specht K",NeuroImage,0.358,20932914,-1,-1
premotor_00004,https://pubmed.ncbi.nlm.nih.gov/12527103/,Premotor cortex in observing erroneous action: an fMRI study.,"Manthey S, Schubotz RI, von Cramon DY",Brain research. Cognitive brain research,0.334,12527103,-1,-1
premotor_00005,https://pubmed.ncbi.nlm.nih.gov/16154456/,Premotor activations in response to visually presented single letters depend on the hand used to write: a study on left-handers.,"Longcamp M, Anton JL, Roth M, Velay JL",Neuropsychologia,0.323,16154456,-1,-1
premotor_00006,https://pubmed.ncbi.nlm.nih.gov/9114263/,Multiple nonprimary motor areas in the human cortex.,"Fink GR, Frackowiak RS, Pietrzyk U, Passingham RE",Journal of neurophysiology,0.312,9114263,-1,-1
premotor_00007,https://pubmed.ncbi.nlm.nih.gov/25955655/,Cerebral activations related to writing and drawing with each hand.,"Potgieser AR, van der Hoorn A, de Jong BM",PloS one,0.31,25955655,-1,-1
premotor_00008,https://pubmed.ncbi.nlm.nih.gov/23249347/,Increased facilitatory connectivity from the pre-SMA to the left dorsal premotor  cortex during pseudoword repetition.,"Hartwigsen G, Saur D, Price CJ, Baumgaertner A, Ulmer S, Siebner HR",Journal of cognitive neuroscience,0.292,23249347,-1,-1
premotor_00009,https://pubmed.ncbi.nlm.nih.gov/12875920/,Differential activity in the premotor cortex subdivisions in humans during mental calculation and verbal rehearsal tasks: a functional magnetic resonance imaging study.,"Hanakawa T, Honda M, Okada T, Fukuyama H, Shibasaki H",Neuroscience letters,0.285,12875920,-1,-1
premotor_00010,https://pubmed.ncbi.nlm.nih.gov/26510637/,Seeing biological actions in 3D: An fMRI study.,"Jastorff J, Abdollahi RO, Fasano F, Orban GA",Human brain mapping,0.279,26510637,-1,-1
premotor_00011,https://pubmed.ncbi.nlm.nih.gov/25339747/,The importance of premotor cortex for supporting speech production after left capsular-putaminal damage.,"Seghier ML, Bagdasaryan J, Jung DE, Price CJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.274,25339747,-1,-1
