paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
preparatory_00001,https://pubmed.ncbi.nlm.nih.gov/19397862/,"Attention, intention, and strategy in preparatory control.","Ruge H, Braver T, Meiran N",Neuropsychologia,0.456,19397862,-1,-1
preparatory_00002,https://pubmed.ncbi.nlm.nih.gov/21976392/,Neural processes of preparatory control for stop signal inhibition.,"Hu S, Li CS",Human brain mapping,0.353,21976392,10.1002/hbm.21399,-1
preparatory_00003,https://pubmed.ncbi.nlm.nih.gov/17889835/,Preparatory neural activity predicts performance on a conflict task.,"Stern ER, Wager TD, Egner T, Hirsch J, Mangels JA",Brain research,0.35,17889835,-1,-1
preparatory_00004,https://pubmed.ncbi.nlm.nih.gov/17596416/,Frontoparietal activation with preparation for antisaccades.,"Brown MR, Vilis T, Everling S",Journal of neurophysiology,0.343,17596416,-1,-1
preparatory_00005,https://pubmed.ncbi.nlm.nih.gov/17258912/,Preparatory allocation of attention and adjustments in conflict processing.,"Luks TL, Simpson GV, Dale CL, Hough MG",NeuroImage,0.299,17258912,-1,-1
preparatory_00006,https://pubmed.ncbi.nlm.nih.gov/16380271/,Self-initiated movements in chronic prefrontal traumatic brain injury: an event-related functional MRI study.,"Wiese H, Tonnes C, de Greiff A, Nebel K, Diener HC, Stude P",NeuroImage,0.297,16380271,-1,-1
preparatory_00007,https://pubmed.ncbi.nlm.nih.gov/17913907/,Preparatory activity in occipital cortex in early blind humans predicts auditory  perceptual performance.,"Stevens AA, Snodgrass M, Schwartz D, Weaver K",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.286,17913907,-1,-1
preparatory_00008,https://pubmed.ncbi.nlm.nih.gov/16162854/,Evidence for separate perceptual reactivation and search processes during remembering.,"Wheeler ME, Shulman GL, Buckner RL, Miezin FM, Velanova K, Petersen SE","Cerebral cortex (New York, N.Y. : 1991)",0.276,16162854,-1,-1
preparatory_00009,https://pubmed.ncbi.nlm.nih.gov/19285142/,Left posterior parietal cortex participates in both task preparation and episodic retrieval.,"Phillips JS, Velanova K, Wolk DA, Wheeler ME",NeuroImage,0.275,19285142,-1,-1
preparatory_00010,https://pubmed.ncbi.nlm.nih.gov/23103518/,Preparatory patterns of neural activity predict visual category search speed.,"Soon CS, Namburi P, Chee MW",NeuroImage,0.267,23103518,-1,-1
preparatory_00011,https://pubmed.ncbi.nlm.nih.gov/16243051/,A functional MRI study of preparatory signals for spatial location and objects.,"Corbetta M, Tansy AP, Stanley CM, Astafiev SV, Snyder AZ, Shulman GL",Neuropsychologia,0.251,16243051,-1,-1
preparatory_00012,https://pubmed.ncbi.nlm.nih.gov/25324216/,Uncertainty during pain anticipation: The adaptive value of preparatory processes.,"Seidel EM, Pfabigan DM, Hahn A, Sladky R, Grahl A, Paul K, Kraus C, Kublbock M, Kranz GS, Hummer A, Lanzenberger R, Windischberger C, Lamm C",Human brain mapping,0.244,25324216,-1,-1
preparatory_00013,https://pubmed.ncbi.nlm.nih.gov/22763169/,Dissecting the anticipation of aversion reveals dissociable neural networks.,"Grupe DW, Oathes DJ, Nitschke JB","Cerebral cortex (New York, N.Y. : 1991)",0.241,22763169,-1,-1
preparatory_00014,https://pubmed.ncbi.nlm.nih.gov/16525049/,Dissociating arbitrary stimulus-response mapping from movement planning during preparatory period: evidence from event-related functional magnetic resonance imaging.,"Cavina-Pratesi C, Valyear KF, Culham JC, Kohler S, Obhi SS, Marzi CA, Goodale MA",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.229,16525049,-1,-1
preparatory_00015,https://pubmed.ncbi.nlm.nih.gov/18184777/,Reduced brainstem inhibition during anticipated pelvic visceral pain correlates with enhanced brain response to the visceral stimulus in women with irritable bowel syndrome.,"Berman SM, Naliboff BD, Suyenobu B, Labus JS, Stains J, Ohning G, Kilpatrick L, Bueller JA, Ruby K, Jarcho J, Mayer EA",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.228,18184777,-1,-1
