paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
primary_00001,https://pubmed.ncbi.nlm.nih.gov/17336547/,Mapping the spinal and supraspinal pathways of dynamic mechanical allodynia in the human trigeminal system using cardiac-gated fMRI.,"Mainero C, Zhang WT, Kumar A, Rosen BR, Sorensen AG",NeuroImage,0.411,17336547,-1,-1
primary_00002,https://pubmed.ncbi.nlm.nih.gov/24412399/,Cluster-extent based thresholding in fMRI analyses: pitfalls and recommendations.,"Woo CW, Krishnan A, Wager TD",NeuroImage,0.408,24412399,-1,-1
primary_00003,https://pubmed.ncbi.nlm.nih.gov/26384774/,Cortical thickness in adults with agenesis of the corpus callosum.,"Beaule V, Tremblay S, Lafleur LP, Tremblay S, Lassonde M, Lepage JF, Theoret H",Neuropsychologia,0.313,26384774,-1,-1
primary_00004,https://pubmed.ncbi.nlm.nih.gov/22537316/,Phantom digit somatotopy: a functional magnetic resonance imaging study in forearm amputees.,"Bjorkman A, Weibull A, Olsrud J, Ehrsson HH, Rosen B, Bjorkman-Burtscher IM",The European journal of neuroscience,0.281,22537316,-1,-1
primary_00005,https://pubmed.ncbi.nlm.nih.gov/11739262/,Spectral and temporal processing in human auditory cortex.,"Hall DA, Johnsrude IS, Haggard MP, Palmer AR, Akeroyd MA, Summerfield AQ","Cerebral cortex (New York, N.Y. : 1991)",0.269,11739262,-1,-1
primary_00006,https://pubmed.ncbi.nlm.nih.gov/23650536/,Task-free functional MRI in cervical dystonia reveals multi-network changes that  partially normalize with botulinum toxin.,"Delnooz CC, Pasman JW, Beckmann CF, van de Warrenburg BP",PloS one,0.264,23650536,-1,-1
primary_00007,https://pubmed.ncbi.nlm.nih.gov/17538952/,Functional cortical changes of the sensorimotor network are associated with clinical recovery in multiple sclerosis.,"Mezzapesa DM, Rocca MA, Rodegher M, Comi G, Filippi M",Human brain mapping,0.262,17538952,-1,-1
primary_00008,https://pubmed.ncbi.nlm.nih.gov/19344776/,Genotype-phenotype interactions in primary dystonias revealed by differential changes in brain structure.,"Draganski B, Schneider SA, Fiorio M, Kloppel S, Gambarin M, Tinazzi M, Ashburner J, Bhatia KP, Frackowiak RS",NeuroImage,0.254,19344776,-1,-1
primary_00009,https://pubmed.ncbi.nlm.nih.gov/16150613/,Functional imaging of stress urinary incontinence.,"Di Gangi Herms AM, Veit R, Reisenauer C, Herms A, Grodd W, Enck P, Stenzl A, Birbaumer N",NeuroImage,0.237,16150613,-1,-1
primary_00010,https://pubmed.ncbi.nlm.nih.gov/18412133/,A cross-modal system linking primary auditory and visual cortices: evidence from  intrinsic fMRI connectivity analysis.,"Eckert MA, Kamdar NV, Chang CE, Beckmann CF, Greicius MD, Menon V",Human brain mapping,0.237,18412133,-1,-1
primary_00011,https://pubmed.ncbi.nlm.nih.gov/12390981/,Changes of non-affected upper limb cortical representation in paraplegic patients as assessed by fMRI.,"Curt A, Alkadhi H, Crelier GR, Boendermaker SH, Hepp-Reymond MC, Kollias SS",Brain : a journal of neurology,0.235,12390981,-1,-1
