paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
ratings_00001,https://pubmed.ncbi.nlm.nih.gov/27791015/,"Overdrinking, swallowing inhibition, and regional brain responses prior to swallowing.","Saker P, Farrell MJ, Egan GF, McKinley MJ, Denton DA",Proceedings of the National Academy of Sciences of the United States of America,0.369,27791015,10.1073/pnas.1613929113,-1
ratings_00002,https://pubmed.ncbi.nlm.nih.gov/25671502/,Social norms shift behavioral and neural responses to foods.,"Nook EC, Zaki J",Journal of cognitive neuroscience,0.368,25671502,10.1162/jocn_a_00795,-1
ratings_00003,https://pubmed.ncbi.nlm.nih.gov/21875780/,The insula-claustrum region and delusions in schizophrenia.,"Cascella NG, Gerner GJ, Fieldstone SC, Sawa A, Schretlen DJ",Schizophrenia research,0.322,21875780,10.1016/j.schres.2011.08.004,-1
ratings_00004,https://pubmed.ncbi.nlm.nih.gov/24795436/,The neural correlates of emotion alignment in social interaction.,"Prehn K, Korn CW, Bajbouj M, Klann-Delius G, Menninghaus W, Jacobs AM, Heekeren HR",Social cognitive and affective neuroscience,0.313,24795436,10.1093/scan/nsu066,-1
ratings_00005,https://pubmed.ncbi.nlm.nih.gov/25681681/,The emotion potential of words and passages in reading Harry Potter--an fMRI study.,"Hsu CT, Jacobs AM, Citron FM, Conrad M",Brain and language,0.306,25681681,10.1016/j.bandl.2015.01.011,-1
ratings_00006,https://pubmed.ncbi.nlm.nih.gov/20004364/,Anhedonia and emotional experience in schizophrenia: neural and behavioral indicators.,"Dowd EC, Barch DM",Biological psychiatry,0.286,20004364,10.1016/j.biopsych.2009.10.020,-1
ratings_00007,https://pubmed.ncbi.nlm.nih.gov/23576810/,Neural correlates of effective and ineffective mood induction.,"Kohn N, Falkenberg I, Kellermann T, Eickhoff SB, Gur RC, Habel U",Social cognitive and affective neuroscience,0.251,23576810,10.1093/scan/nst055,-1
ratings_00008,https://pubmed.ncbi.nlm.nih.gov/23825408/,Ventromedial prefrontal cortex encodes emotional value.,"Winecoff A, Clithero JA, Carter RM, Bergman SR, Wang L, Huettel SA",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.251,23825408,10.1523/JNEUROSCI.4317-12.2013,-1
ratings_00009,https://pubmed.ncbi.nlm.nih.gov/19162048/,Predicting judged similarity of natural categories from their neural representations.,"Weber M, Thompson-Schill SL, Osherson D, Haxby J, Parsons L",Neuropsychologia,0.246,19162048,10.1016/j.neuropsychologia.2008.12.029,-1
ratings_00010,https://pubmed.ncbi.nlm.nih.gov/17548799/,"The spatiotemporal dynamics of autobiographical memory: neural correlates of recall, emotional intensity, and reliving.","Daselaar SM, Rice HJ, Greenberg DL, Cabeza R, LaBar KS, Rubin DC","Cerebral cortex (New York, N.Y. : 1991)",0.244,17548799,10.1093/cercor/bhm048,-1
