paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
reactions_00001,https://pubmed.ncbi.nlm.nih.gov/19957268/,The neural correlates of sex differences in emotional reactivity and emotion regulation.,"Domes G, Schulze L, Bottger M, Grossmann A, Hauenstein K, Wirtz PH, Heinrichs M, Herpertz SC",Human brain mapping,0.344,19957268,10.1002/hbm.20903,-1
reactions_00002,https://pubmed.ncbi.nlm.nih.gov/15652310/,Activity in the human brain predicting differential heart rate responses to emotional facial expressions.,"Critchley HD, Rotshtein P, Nagai Y, O'Doherty J, Mathias CJ, Dolan RJ",NeuroImage,0.288,15652310,10.1016/j.neuroimage.2004.10.013,-1
reactions_00003,https://pubmed.ncbi.nlm.nih.gov/24647945/,Neural control of vascular reactions: impact of emotion and attention.,"Okon-Singer H, Mehnert J, Hoyer J, Hellrung L, Schaare HL, Dukart J, Villringer A",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.288,24647945,10.1523/JNEUROSCI.0747-13.2014,-1
reactions_00004,https://pubmed.ncbi.nlm.nih.gov/21554961/,Dissociable brain networks involved in development of fairness considerations: understanding intentionality behind unfairness.,"Guroglu B, van den Bos W, van Dijk E, Rombouts SA, Crone EA",NeuroImage,0.274,21554961,10.1016/j.neuroimage.2011.04.032,-1
reactions_00005,https://pubmed.ncbi.nlm.nih.gov/27261927/,Neural correlates of retaliatory and prosocial reactions to social exclusion: Associations with chronic peer rejection.,"Will GJ, Crone EA, van Lier PA, Guroglu B",Developmental cognitive neuroscience,0.271,27261927,10.1016/j.dcn.2016.05.004,-1
reactions_00006,https://pubmed.ncbi.nlm.nih.gov/29487519/,Financial Incentives Differentially Regulate Neural Processing of Positive and Negative Emotions during Value-Based Decision-Making.,"Farrell AM, Goh JOS, White BJ",Frontiers in human neuroscience,0.221,29487519,10.3389/fnhum.2018.00058,-1
reactions_00007,https://pubmed.ncbi.nlm.nih.gov/23752131/,Culture and its neurofunctional correlates when death is in mind.,"Graupmann V, Peres I, Michaely T, Meindl T, Frey D, Reiser M, Poppel E, Fehse K, Gutyrchik E",Neuroscience letters,0.197,23752131,10.1016/j.neulet.2013.05.062,-1
reactions_00008,https://pubmed.ncbi.nlm.nih.gov/24647435/,Localizing evoked cortical activity associated with balance reactions: does the anterior cingulate play a role?,"Marlin A, Mochizuki G, Staines WR, McIlroy WE",Journal of neurophysiology,0.178,24647435,10.1152/jn.00511.2013,-1
reactions_00009,https://pubmed.ncbi.nlm.nih.gov/16023376/,The rewards of music listening: response and physiological connectivity of the mesolimbic system.,"Menon V, Levitin DJ",NeuroImage,0.173,16023376,10.1016/j.neuroimage.2005.05.053,-1
reactions_00010,https://pubmed.ncbi.nlm.nih.gov/29632476/,Heightened Salience of Anger and Aggression in Female Adolescents With Borderline Personality Disorder-A Script-Based fMRI Study.,"Krauch M, Ueltzhoffer K, Brunner R, Kaess M, Hensel S, Herpertz SC, Bertsch K",Frontiers in behavioral neuroscience,0.16,29632476,10.3389/fnbeh.2018.00057,-1
