paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
readers_00001,https://pubmed.ncbi.nlm.nih.gov/27540763/,When transparency is opaque: Effects of diacritic marks and vowel letters on dyslexic Hebrew readers.,"Weiss Y, Katzir T, Bitan T",Cortex; a journal devoted to the study of the nervous system and behavior,0.777,27540763,10.1016/j.cortex.2016.07.017,-1
readers_00002,https://pubmed.ncbi.nlm.nih.gov/23359269/,Lexical processing in deaf readers: an FMRI investigation of reading proficiency.,"Corina DP, Lawyer LA, Hauser P, Hirshorn E",PloS one,0.663,23359269,10.1371/journal.pone.0054696,-1
readers_00003,https://pubmed.ncbi.nlm.nih.gov/16620890/,Evidence for a dysfunction of left posterior reading areas in German dyslexic readers.,"Kronbichler M, Hutzler F, Staffen W, Mair A, Ladurner G, Wimmer H",Neuropsychologia,0.625,16620890,10.1016/j.neuropsychologia.2006.03.010,-1
readers_00004,https://pubmed.ncbi.nlm.nih.gov/11095716/,Disruption of the neural response to rapid acoustic stimuli in dyslexia: evidence from functional MRI.,"Temple E, Poldrack RA, Protopapas A, Nagarajan S, Salz T, Tallal P, Merzenich MM, Gabrieli JD",Proceedings of the National Academy of Sciences of the United States of America,0.611,11095716,10.1073/pnas.240461697,-1
readers_00005,https://pubmed.ncbi.nlm.nih.gov/20854914/,Neuroimaging reveals dual routes to reading in simultaneous proficient readers of two orthographies.,"Das T, Padakannaya P, Pugh KR, Singh NC",NeuroImage,0.604,20854914,10.1016/j.neuroimage.2010.09.022,-1
readers_00006,https://pubmed.ncbi.nlm.nih.gov/18495180/,Modifying the brain activation of poor readers during sentence comprehension with extended remedial instruction: a longitudinal study of neuroplasticity.,"Meyler A, Keller TA, Cherkassky VL, Gabrieli JD, Just MA",Neuropsychologia,0.586,18495180,10.1016/j.neuropsychologia.2008.03.012,-1
readers_00007,https://pubmed.ncbi.nlm.nih.gov/23747332/,Mapping the reading circuitry for skilled deaf readers: an fMRI study of semantic and phonological processing.,"Emmorey K, Weisberg J, McCullough S, Petrich JA",Brain and language,0.586,23747332,10.1016/j.bandl.2013.05.001,-1
readers_00008,https://pubmed.ncbi.nlm.nih.gov/24795604/,A cross-linguistic evaluation of script-specific effects on fMRI lateralization in late second language readers.,"Koyama MS, Stein JF, Stoodley CJ, Hansen PC",Frontiers in human neuroscience,0.572,24795604,10.3389/fnhum.2014.00249,-1
readers_00009,https://pubmed.ncbi.nlm.nih.gov/24124929/,"Disruption of Functional Networks in Dyslexia: A Whole-Brain, Data-Driven Analysis of Connectivity.","Finn ES, Shen X, Holahan JM, Scheinost D, Lacadie C, Papademetris X, Shaywitz SE, Shaywitz BA, Constable RT",Biological psychiatry,0.541,24124929,10.1016/j.biopsych.2013.08.031,-1
readers_00010,https://pubmed.ncbi.nlm.nih.gov/20650450/,A dual-route perspective on poor reading in a regular orthography: an fMRI study.,"Wimmer H, Schurz M, Sturm D, Richlan F, Klackl J, Kronbichler M, Ladurner G",Cortex; a journal devoted to the study of the nervous system and behavior,0.537,20650450,10.1016/j.cortex.2010.06.004,-1
readers_00011,https://pubmed.ncbi.nlm.nih.gov/17317678/,Brain activation during sentence comprehension among good and poor readers.,"Meyler A, Keller TA, Cherkassky VL, Lee D, Hoeft F, Whitfield-Gabrieli S, Gabrieli JD, Just MA","Cerebral cortex (New York, N.Y. : 1991)",0.491,17317678,10.1093/cercor/bhm006,-1
readers_00012,https://pubmed.ncbi.nlm.nih.gov/21051084/,Individual differences in the neural basis of causal inferencing.,"Prat CS, Mason RA, Just MA",Brain and language,0.482,21051084,10.1016/j.bandl.2010.08.004,-1
readers_00013,https://pubmed.ncbi.nlm.nih.gov/25058010/,Brain bases of reading fluency in typical reading and impaired fluency in dyslexia.,"Christodoulou JA, Del Tufo SN, Lymberis J, Saxler PK, Ghosh SS, Triantafyllou C, Whitfield-Gabrieli S, Gabrieli JD",PloS one,0.474,25058010,10.1371/journal.pone.0100552,-1
readers_00014,https://pubmed.ncbi.nlm.nih.gov/25071509/,Visual processing of multiple elements in the dyslexic brain: evidence for a superior parietal dysfunction.,"Lobier MA, Peyrin C, Pichat C, Le Bas JF, Valdois S",Frontiers in human neuroscience,0.452,25071509,10.3389/fnhum.2014.00479,-1
readers_00015,https://pubmed.ncbi.nlm.nih.gov/23938321/,Cerebral mechanisms for different second language writing systems.,"Koyama MS, Stein JF, Stoodley CJ, Hansen PC",Neuropsychologia,0.442,23938321,10.1016/j.neuropsychologia.2013.08.002,-1
readers_00016,https://pubmed.ncbi.nlm.nih.gov/18725239/,Differential effects of orthographic and phonological consistency in cortex for children with and without reading impairment.,"Bolger DJ, Minas J, Burman DD, Booth JR",Neuropsychologia,0.428,18725239,10.1016/j.neuropsychologia.2008.07.024,-1
readers_00017,https://pubmed.ncbi.nlm.nih.gov/21148612/,Exploring the neural dynamics underpinning individual differences in sentence comprehension.,"Prat CS, Just MA","Cerebral cortex (New York, N.Y. : 1991)",0.401,21148612,10.1093/cercor/bhq241,-1
readers_00018,https://pubmed.ncbi.nlm.nih.gov/17636558/,Developmental dyslexia: gray matter abnormalities in the occipitotemporal cortex.,"Kronbichler M, Wimmer H, Staffen W, Hutzler F, Mair A, Ladurner G",Human brain mapping,0.396,17636558,10.1002/hbm.20425,-1
readers_00019,https://pubmed.ncbi.nlm.nih.gov/27448530/,The neural underpinnings of reading skill in deaf adults.,"Emmorey K, McCullough S, Weisberg J",Brain and language,0.395,27448530,10.1016/j.bandl.2016.06.007,-1
readers_00020,https://pubmed.ncbi.nlm.nih.gov/20600985/,Early emergence of deviant frontal fMRI activity for phonological processes in poor beginning readers.,"Bach S, Brandeis D, Hofstetter C, Martin E, Richardson U, Brem S",NeuroImage,0.371,20600985,10.1016/j.neuroimage.2010.06.039,-1
readers_00021,https://pubmed.ncbi.nlm.nih.gov/28715717/,"Reading network in dyslexia: Similar, yet different.","Waldie KE, Wilson AJ, Roberts RP, Moreau D",Brain and language,0.366,28715717,10.1016/j.bandl.2017.07.004,-1
readers_00022,https://pubmed.ncbi.nlm.nih.gov/26708521/,Neural correlates of audiotactile phonetic processing in early-blind readers: an  fMRI study.,"Pishnamazi M, Nojaba Y, Ganjgahi H, Amousoltani A, Oghabian MA",Experimental brain research,0.356,26708521,10.1007/s00221-015-4515-2,-1
readers_00023,https://pubmed.ncbi.nlm.nih.gov/25671315/,The magical activation of left amygdala when reading Harry Potter: an fMRI study  on how descriptions of supra-natural events entertain and enchant.,"Hsu CT, Jacobs AM, Altmann U, Conrad M",PloS one,0.325,25671315,10.1371/journal.pone.0118179,-1
readers_00024,https://pubmed.ncbi.nlm.nih.gov/23270676/,Role of the superior parietal lobules in letter-identity processing within strings: FMRI evidence from skilled and dyslexic readers.,"Reilhac C, Peyrin C, Demonet JF, Valdois S",Neuropsychologia,0.309,23270676,10.1016/j.neuropsychologia.2012.12.010,-1
readers_00025,https://pubmed.ncbi.nlm.nih.gov/27012502/,Chinese Character and English Word processing in children's ventral occipitotemporal cortex: fMRI evidence for script invariance.,"Krafnick AJ, Tan LH, Flowers DL, Luetje MM, Napoliello EM, Siok WT, Perfetti C, Eden GF",NeuroImage,0.304,27012502,10.1016/j.neuroimage.2016.03.021,-1
readers_00026,https://pubmed.ncbi.nlm.nih.gov/25169986/,Resting-State and Task-Based Functional Brain Connectivity in Developmental Dyslexia.,"Schurz M, Wimmer H, Richlan F, Ludersdorfer P, Klackl J, Kronbichler M","Cerebral cortex (New York, N.Y. : 1991)",0.291,25169986,10.1093/cercor/bhu184,-1
readers_00027,https://pubmed.ncbi.nlm.nih.gov/19770045/,Why do children make mirror errors in reading? Neural correlates of mirror invariance in the visual word form area.,"Dehaene S, Nakamura K, Jobert A, Kuroki C, Ogawa S, Cohen L",NeuroImage,0.284,19770045,10.1016/j.neuroimage.2009.09.024,-1
readers_00028,https://pubmed.ncbi.nlm.nih.gov/24351976/,Orthographic Dependency in the Neural Correlates of Reading: Evidence from Audiovisual Integration in English Readers.,"Holloway ID, van Atteveldt N, Blomert L, Ansari D","Cerebral cortex (New York, N.Y. : 1991)",0.279,24351976,10.1093/cercor/bht347,-1
readers_00029,https://pubmed.ncbi.nlm.nih.gov/26197049/,Increased Resting-State Functional Connectivity in the Cingulo-Opercular Cognitive-Control Network after Intervention in Children with Reading Difficulties.,"Horowitz-Kraus T, Toro-Serey C, DiFrancesco M",PloS one,0.275,26197049,10.1371/journal.pone.0133762,-1
readers_00030,https://pubmed.ncbi.nlm.nih.gov/17196834/,Top-down processes during auditory phoneme categorization in dyslexia: a PET study.,"Dufor O, Serniclaes W, Sprenger-Charolles L, Demonet JF",NeuroImage,0.253,17196834,10.1016/j.neuroimage.2006.10.034,-1
readers_00031,https://pubmed.ncbi.nlm.nih.gov/16639742/,Late acquisition of literacy in a native language.,"Abutalebi J, Keim R, Brambati SM, Tettamanti M, Cappa SF, De Bleser R, Perani D",Human brain mapping,0.237,16639742,10.1002/hbm.20240,-1
readers_00032,https://pubmed.ncbi.nlm.nih.gov/24116838/,Effects of literacy in early visual and occipitotemporal areas of Chinese and French readers.,"Szwed M, Qiao E, Jobert A, Dehaene S, Cohen L",Journal of cognitive neuroscience,0.228,24116838,10.1162/jocn_a_00499,-1
readers_00033,https://pubmed.ncbi.nlm.nih.gov/17611124/,On sense and reference: examining the functional neuroanatomy of referential processing.,"Nieuwland MS, Petersson KM, Van Berkum JJ",NeuroImage,0.227,17611124,10.1016/j.neuroimage.2007.05.048,-1
readers_00034,https://pubmed.ncbi.nlm.nih.gov/23400699/,Experimental induction of reading difficulties in normal readers provides novel insights into the neurofunctional mechanisms of visual word recognition.,"Heim S, Weidner R, von Overheidt AC, Tholen N, Grande M, Amunts K",Brain structure & function,0.227,23400699,10.1007/s00429-013-0509-7,-1
readers_00035,https://pubmed.ncbi.nlm.nih.gov/23933473/,The activation of modality-specific representations during discourse processing.,"Kurby CA, Zacks JM",Brain and language,0.222,23933473,10.1016/j.bandl.2013.07.003,-1
readers_00036,https://pubmed.ncbi.nlm.nih.gov/28290075/,Audio-visual speech perception in adult readers with dyslexia: an fMRI study.,"Russeler J, Ye Z, Gerth I, Szycik GR, Munte TF",Brain imaging and behavior,0.221,28290075,10.1007/s11682-017-9694-y,-1
readers_00037,https://pubmed.ncbi.nlm.nih.gov/29459284/,Prefrontal mediation of the reading network predicts intervention response in dyslexia.,"Aboud KS, Barquero LA, Cutting LE",Cortex; a journal devoted to the study of the nervous system and behavior,0.205,29459284,10.1016/j.cortex.2018.01.009,-1
readers_00038,https://pubmed.ncbi.nlm.nih.gov/20633659/,Cognitive levels of performance account for hemispheric lateralisation effects in dyslexic and normally reading children.,"Heim S, Grande M, Meffert E, Eickhoff SB, Schreiber H, Kukolja J, Shah NJ, Huber W, Amunts K",NeuroImage,0.204,20633659,10.1016/j.neuroimage.2010.07.009,-1
readers_00039,https://pubmed.ncbi.nlm.nih.gov/17274024/,Evidence for neural accommodation to a writing system following learning.,"Liu Y, Dunlap S, Fiez J, Perfetti C",Human brain mapping,0.19,17274024,10.1002/hbm.20356,-1
readers_00040,https://pubmed.ncbi.nlm.nih.gov/18391194/,A structural-functional basis for dyslexia in the cortex of Chinese readers.,"Siok WT, Niu Z, Jin Z, Perfetti CA, Tan LH",Proceedings of the National Academy of Sciences of the United States of America,0.179,18391194,10.1073/pnas.0801750105,-1
readers_00041,https://pubmed.ncbi.nlm.nih.gov/20061325/,Deviant processing of letters and speech sounds as proximate cause of reading failure: a functional magnetic resonance imaging study of dyslexic children.,"Blau V, Reithler J, van Atteveldt N, Seitz J, Gerretsen P, Goebel R, Blomert L",Brain : a journal of neurology,0.174,20061325,10.1093/brain/awp308,-1
readers_00042,https://pubmed.ncbi.nlm.nih.gov/19457391/,Left premotor cortex and allophonic speech perception in dyslexia: a PET study.,"Dufor O, Serniclaes W, Sprenger-Charolles L, Demonet JF",NeuroImage,0.172,19457391,10.1016/j.neuroimage.2009.01.035,-1
readers_00043,https://pubmed.ncbi.nlm.nih.gov/19288464/,Tuning of the visual word processing system: distinct developmental ERP and fMRI  effects.,"Brem S, Halder P, Bucher K, Summers P, Martin E, Brandeis D",Human brain mapping,0.169,19288464,10.1002/hbm.20751,-1
readers_00044,https://pubmed.ncbi.nlm.nih.gov/26017384/,Language differences in the brain network for reading in naturalistic story reading and lexical decision.,"Wang X, Yang J, Yang J, Mencl WE, Shu H, Zevin JD",PloS one,0.16,26017384,10.1371/journal.pone.0124388,-1
readers_00045,https://pubmed.ncbi.nlm.nih.gov/25109567/,Effect of orthography over neural regions in bilinguals: a view from neuroimaging.,Kumar U,Neuroscience letters,0.155,25109567,10.1016/j.neulet.2014.07.053,-1
readers_00046,https://pubmed.ncbi.nlm.nih.gov/26621710/,Universal brain signature of proficient reading: Evidence from four contrasting languages.,"Rueckl JG, Paz-Alonso PM, Molfese PJ, Kuo WJ, Bick A, Frost SJ, Hancock R, Wu DH, Mencl WE, Dunabeitia JA, Lee JR, Oliver M, Zevin JD, Hoeft F, Carreiras M, Tzeng OJ, Pugh KR, Frost R",Proceedings of the National Academy of Sciences of the United States of America,0.149,26621710,10.1073/pnas.1509321112,-1
readers_00047,https://pubmed.ncbi.nlm.nih.gov/18182174/,Reading normal and degraded words: contribution of the dorsal and ventral visual  pathways.,"Cohen L, Dehaene S, Vinckier F, Jobert A, Montavont A",NeuroImage,0.143,18182174,10.1016/j.neuroimage.2007.11.036,-1
readers_00048,https://pubmed.ncbi.nlm.nih.gov/23727320/,Print-specific multimodal brain activation in kindergarten improves prediction of reading skills in second grade.,"Bach S, Richardson U, Brandeis D, Martin E, Brem S",NeuroImage,0.14,23727320,10.1016/j.neuroimage.2013.05.062,-1
readers_00049,https://pubmed.ncbi.nlm.nih.gov/23400116/,'Cost in transliteration': the neurocognitive processing of Romanized writing.,"Rao C, Mathur A, Singh NC",Brain and language,0.136,23400116,10.1016/j.bandl.2012.12.004,-1
readers_00050,https://pubmed.ncbi.nlm.nih.gov/19781648/,Unconsciously deciphering handwriting: subliminal invariance for handwritten words in the visual word form area.,"Qiao E, Vinckier F, Szwed M, Naccache L, Valabregue R, Dehaene S, Cohen L",NeuroImage,0.135,19781648,10.1016/j.neuroimage.2009.09.034,-1
readers_00051,https://pubmed.ncbi.nlm.nih.gov/26335996/,Identification of the regions involved in phonological assembly using a novel paradigm.,"Twomey T, Waters D, Price CJ, Kherif F, Woll B, MacSweeney M",Brain and language,0.129,26335996,10.1016/j.bandl.2015.07.013,-1
readers_00052,https://pubmed.ncbi.nlm.nih.gov/29061700/,Development of the Visual Word Form Area Requires Visual Experience: Evidence from Blind Braille Readers.,"Kim JS, Kanjlia S, Merabet LB, Bedny M",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.127,29061700,10.1523/JNEUROSCI.0997-17.2017,-1
readers_00053,https://pubmed.ncbi.nlm.nih.gov/17329129/,Phonological processing in relation to reading: an fMRI study in deaf readers.,"Aparicio M, Gounot D, Demont E, Metz-Lutz MN",NeuroImage,0.125,17329129,10.1016/j.neuroimage.2006.12.046,-1
readers_00054,https://pubmed.ncbi.nlm.nih.gov/29366948/,"Neural representations for newly learned words are modulated by overnight consolidation, reading skill, and age.","Landi N, Malins JG, Frost SJ, Magnuson JS, Molfese P, Ryherd K, Rueckl JG, Mencl WE, Pugh KR",Neuropsychologia,0.125,29366948,10.1016/j.neuropsychologia.2018.01.011,-1
readers_00055,https://pubmed.ncbi.nlm.nih.gov/17035046/,Implicit learning deficits in dyslexic adults: an fMRI study.,"Menghini D, Hagberg GE, Caltagirone C, Petrosini L, Vicari S",NeuroImage,0.124,17035046,10.1016/j.neuroimage.2006.08.024,-1
readers_00056,https://pubmed.ncbi.nlm.nih.gov/22281240/,Individual differences in skilled adult readers reveal dissociable patterns of neural activity associated with component processes of reading.,"Welcome SE, Joanisse MF",Brain and language,0.121,22281240,10.1016/j.bandl.2011.12.011,-1
readers_00057,https://pubmed.ncbi.nlm.nih.gov/20117764/,Unification of sentence processing via ear and eye: an fMRI study.,"Braze D, Mencl WE, Tabor W, Pugh KR, Constable RT, Fulbright RK, Magnuson JS, Van Dyke JA, Shankweiler DP",Cortex; a journal devoted to the study of the nervous system and behavior,0.12,20117764,10.1016/j.cortex.2009.11.005,-1
readers_00058,https://pubmed.ncbi.nlm.nih.gov/25392507/,Anatomical connections of the visual word form area.,"Bouhali F, Thiebaut de Schotten M, Pinel P, Poupon C, Mangin JF, Dehaene S, Cohen L",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.12,25392507,10.1523/JNEUROSCI.4918-13.2014,-1
readers_00059,https://pubmed.ncbi.nlm.nih.gov/22284615/,The role of left inferior frontal gyrus in explicit and implicit semantic processing.,"Huang J, Zhu Z, Zhang JX, Wu M, Chen HC, Wang S",Brain research,0.119,22284615,10.1016/j.brainres.2011.11.060,-1
readers_00060,https://pubmed.ncbi.nlm.nih.gov/26093237/,The neural basis of the Machiavellians' decision making in fair and unfair situations.,"Bereczkei T, Papp P, Kincses P, Bodrogi B, Perlaki G, Orsi G, Deak A",Brain and cognition,0.117,26093237,10.1016/j.bandc.2015.05.006,-1
readers_00061,https://pubmed.ncbi.nlm.nih.gov/22564748/,Developmental differences for word processing in the ventral stream.,"Olulade OA, Flowers DL, Napoliello EM, Eden GF",Brain and language,0.116,22564748,10.1016/j.bandl.2012.04.003,-1
readers_00062,https://pubmed.ncbi.nlm.nih.gov/24513232/,The activation of theory of mind network differentiates between point-to-self and point-to-other verbal jokes: an fMRI study.,"Feng S, Ye X, Mao L, Yue X",Neuroscience letters,0.116,24513232,10.1016/j.neulet.2014.01.059,-1
readers_00063,https://pubmed.ncbi.nlm.nih.gov/29020645/,Neural correlates of the lexicality effect in children.,"Weiss Y, Booth JR",Brain and language,0.116,29020645,10.1016/j.bandl.2017.09.006,-1
readers_00064,https://pubmed.ncbi.nlm.nih.gov/15006649/,Attention to single letters activates left extrastriate cortex.,"Flowers DL, Jones K, Noble K, VanMeter J, Zeffiro TA, Wood FB, Eden GF",NeuroImage,0.115,15006649,10.1016/j.neuroimage.2003.10.002,-1
readers_00065,https://pubmed.ncbi.nlm.nih.gov/16126414/,Phonological processing in Chinese-English bilingual biscriptals: an fMRI study.,"Tham WW, Rickard Liow SJ, Rajapakse JC, Choong Leong T, Ng SE, Lim WE, Ho LG",NeuroImage,0.114,16126414,10.1016/j.neuroimage.2005.06.057,-1
readers_00066,https://pubmed.ncbi.nlm.nih.gov/18778780/,Piecemeal recruitment of left-lateralized brain areas during reading: a spatio-functional account.,"Levy J, Pernet C, Treserras S, Boulanouar K, Berry I, Aubry F, Demonet JF, Celsis P",NeuroImage,0.111,18778780,10.1016/j.neuroimage.2008.08.008,-1
readers_00067,https://pubmed.ncbi.nlm.nih.gov/23043968/,Cortical basis for dichotic pitch perception in developmental dyslexia.,"Partanen M, Fitzpatrick K, Madler B, Edgell D, Bjornson B, Giaschi DE",Brain and language,0.111,23043968,10.1016/j.bandl.2012.09.002,-1
readers_00068,https://pubmed.ncbi.nlm.nih.gov/22815229/,Reading acquisition reorganizes the phonological awareness network only in alphabetic writing systems.,"Brennan C, Cao F, Pedroarena-Leal N, McNorgan C, Booth JR",Human brain mapping,0.11,22815229,10.1002/hbm.22147,-1
readers_00069,https://pubmed.ncbi.nlm.nih.gov/23291725/,Can skilled readers perform a second task in parallel? A functional connectivity  MRI study.,"Newman AJ, Kenny S, Saint-Aubin J, Klein RM",Brain and language,0.109,23291725,10.1016/j.bandl.2012.11.009,-1
readers_00070,https://pubmed.ncbi.nlm.nih.gov/26188258/,Many ways to read your vowels--Neural processing of diacritics and vowel letters  in Hebrew.,"Weiss Y, Katzir T, Bitan T",NeuroImage,0.109,26188258,10.1016/j.neuroimage.2015.07.029,-1
readers_00071,https://pubmed.ncbi.nlm.nih.gov/17610823/,Hierarchical coding of letter strings in the ventral stream: dissecting the inner organization of the visual word-form system.,"Vinckier F, Dehaene S, Jobert A, Dubus JP, Sigman M, Cohen L",Neuron,0.106,17610823,10.1016/j.neuron.2007.05.031,-1
readers_00072,https://pubmed.ncbi.nlm.nih.gov/27592331/,"Dough, tough, cough, rough: A ""fast"" fMRI localizer of component processes in reading.","Malins JG, Gumkowski N, Buis B, Molfese P, Rueckl JG, Frost SJ, Pugh KR, Morris R, Mencl WE",Neuropsychologia,0.105,27592331,10.1016/j.neuropsychologia.2016.08.027,-1
readers_00073,https://pubmed.ncbi.nlm.nih.gov/18255103/,Broca's area plays a role in syntactic processing during Chinese reading comprehension.,"Wang S, Zhu Z, Zhang JX, Wang Z, Xiao Z, Xiang H, Chen HC",Neuropsychologia,0.104,18255103,10.1016/j.neuropsychologia.2007.12.020,-1
readers_00074,https://pubmed.ncbi.nlm.nih.gov/20884357/,A test of the role of the medial temporal lobe in single-word decoding.,"Osipowicz K, Rickards T, Shah A, Sharan A, Sperling M, Kahn W, Tracy J",NeuroImage,0.104,20884357,10.1016/j.neuroimage.2010.09.049,-1
readers_00075,https://pubmed.ncbi.nlm.nih.gov/24098280/,Unimodal and multimodal regions for logographic language processing in left ventral occipitotemporal cortex.,"Deng Y, Wu Q, Weng X",Frontiers in human neuroscience,0.104,24098280,10.3389/fnhum.2013.00619,-1
readers_00076,https://pubmed.ncbi.nlm.nih.gov/24795593/,Brain activation during phonological and semantic processing of Chinese characters in deaf signers.,"Li Y, Peng D, Liu L, Booth JR, Ding G",Frontiers in human neuroscience,0.104,24795593,10.3389/fnhum.2014.00211,-1
readers_00077,https://pubmed.ncbi.nlm.nih.gov/21741484/,The neural correlates of strategic reading comprehension: cognitive control and discourse comprehension.,"Moss J, Schunn CD, Schneider W, McNamara DS, Vanlehn K",NeuroImage,0.103,21741484,10.1016/j.neuroimage.2011.06.034,-1
readers_00078,https://pubmed.ncbi.nlm.nih.gov/22361167/,The role of the left anterior temporal lobe in exception word reading: reconciling patient and neuroimaging findings.,"Wilson MA, Joubert S, Ferre P, Belleville S, Ansaldo AI, Joanette Y, Rouleau I, Brambati SM",NeuroImage,0.101,22361167,10.1016/j.neuroimage.2012.02.009,-1
readers_00079,https://pubmed.ncbi.nlm.nih.gov/22869007/,Distinctive neural signatures for negative sentences in Hindi: an fMRI study.,"Kumar U, Padakannaya P, Mishra RK, Khetrapal CL",Brain imaging and behavior,0.099,22869007,10.1007/s11682-012-9198-8,-1
readers_00080,https://pubmed.ncbi.nlm.nih.gov/24412399/,Cluster-extent based thresholding in fMRI analyses: pitfalls and recommendations.,"Woo CW, Krishnan A, Wager TD",NeuroImage,0.099,24412399,10.1016/j.neuroimage.2013.12.058,-1
readers_00081,https://pubmed.ncbi.nlm.nih.gov/24936406/,Distinct neural signatures of cognitive subtypes of dyslexia with and without phonological deficits.,"van Ermingen-Marbach M, Grande M, Pape-Neumann J, Sass K, Heim S",NeuroImage. Clinical,0.098,24936406,10.1016/j.nicl.2013.03.010,-1
