paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
recognition task_00001,https://pubmed.ncbi.nlm.nih.gov/24675159/,Involvement of the human medial temporal lobe in a visual discrimination task.,"Lech RK, Suchan B",Behavioural brain research,0.245,24675159,-1,-1
recognition task_00002,https://pubmed.ncbi.nlm.nih.gov/15450788/,Functional differences among those high and low on a trait measure of psychopathy.,"Gordon HL, Baird AA, End A",Biological psychiatry,0.23,15450788,-1,-1
recognition task_00003,https://pubmed.ncbi.nlm.nih.gov/21640981/,Prefrontal cortex recruitment during naturalistic remote memory: a factorial block-event fMRI study.,"Detour J, Danion JM, Gounot D, Marrer C, Foucher JR",Brain research,0.224,21640981,-1,-1
recognition task_00004,https://pubmed.ncbi.nlm.nih.gov/20603219/,Neural correlates of real-world route learning.,"Schinazi VR, Epstein RA",NeuroImage,0.22,20603219,-1,-1
recognition task_00005,https://pubmed.ncbi.nlm.nih.gov/21699922/,Neural networks associated with the speed-accuracy tradeoff: evidence from the response signal method.,"Blumen HM, Gazes Y, Habeck C, Kumar A, Steffener J, Rakitin BC, Stern Y",Behavioural brain research,0.202,21699922,-1,-1
recognition task_00006,https://pubmed.ncbi.nlm.nih.gov/26110112/,Disruption of caudate working memory activation in chronic blast-related traumatic brain injury.,"Newsome MR, Durgerian S, Mourany L, Scheibel RS, Lowe MJ, Beall EB, Koenig KA, Parsons M, Troyanskaya M, Reece C, Wilde E, Fischer BL, Jones SE, Agarwal R, Levin HS, Rao SM",NeuroImage. Clinical,0.198,26110112,-1,-1
recognition task_00007,https://pubmed.ncbi.nlm.nih.gov/16757006/,Effects of aging on recognition of intentionally and incidentally stored words: an fMRI study.,"van der Veen FM, Nijhuis FA, Tisserand DJ, Backes WH, Jolles J",Neuropsychologia,0.197,16757006,-1,-1
recognition task_00008,https://pubmed.ncbi.nlm.nih.gov/20146606/,Combining functional neuroimaging with off-line brain stimulation: modulation of  task-related activity in language areas.,"Andoh J, Paus T",Journal of cognitive neuroscience,0.196,20146606,-1,-1
recognition task_00009,https://pubmed.ncbi.nlm.nih.gov/16001111/,"A functional MRI study of the effects of bromocriptine, a dopamine receptor agonist, on component processes of working memory.","Gibbs SE, D'Esposito M",Psychopharmacology,0.188,16001111,-1,-1
recognition task_00010,https://pubmed.ncbi.nlm.nih.gov/16080160/,Cognitive processing in Chinese literate and illiterate subjects: an fMRI study.,"Li G, Cheung RT, Gao JH, Lee TM, Tan LH, Fox PT, Jack CR Jr, Yang ES",Human brain mapping,0.164,16080160,-1,-1
