paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
recognition_00001,https://pubmed.ncbi.nlm.nih.gov/16400158/,Not all false memories are created equal: the neural basis of false recognition.,"Garoff-Eaton RJ, Slotnick SD, Schacter DL","Cerebral cortex (New York, N.Y. : 1991)",0.546,16400158,-1,-1
recognition_00002,https://pubmed.ncbi.nlm.nih.gov/15670688/,Dorsolateral prefrontal cortex involvement in memory post-retrieval monitoring revealed in both item and associative recognition tests.,"Achim AM, Lepage M",NeuroImage,0.47,15670688,-1,-1
recognition_00003,https://pubmed.ncbi.nlm.nih.gov/21811450/,True and false recognition memories of odors induce distinct neural signatures.,"Royet JP, Morin-Audebrand L, Cerf-Ducastel B, Haase L, Issanchou S, Murphy C, Fonlupt P, Sulmont-Rosse C, Plailly J",Frontiers in human neuroscience,0.464,21811450,-1,-1
recognition_00004,https://pubmed.ncbi.nlm.nih.gov/15722212/,The interfering effect of related events on recognition memory discriminability:  a functional magnetic resonance imaging study.,"Lepage M, Blondin F, Achim AM, Menear M, Brodeur M",Brain research. Cognitive brain research,0.453,15722212,-1,-1
recognition_00005,https://pubmed.ncbi.nlm.nih.gov/16814264/,Associative memory encoding and recognition in schizophrenia: an event-related fMRI study.,"Lepage M, Montoya A, Pelletier M, Achim AM, Menear M, Lal S",Biological psychiatry,0.423,16814264,-1,-1
recognition_00006,https://pubmed.ncbi.nlm.nih.gov/15716157/,The neural origins of specific and general memory: the role of the fusiform cortex.,"Garoff RJ, Slotnick SD, Schacter DL",Neuropsychologia,0.421,15716157,-1,-1
recognition_00007,https://pubmed.ncbi.nlm.nih.gov/21036183/,Multisensory perception of action in posterior temporal and parietal cortices.,"James TW, VanDerKlok RM, Stevenson RA, James KH",Neuropsychologia,0.419,21036183,-1,-1
recognition_00008,https://pubmed.ncbi.nlm.nih.gov/21513918/,The functional correlates of face perception and recognition of emotional facial  expressions as evidenced by fMRI.,"Jehna M, Neuper C, Ischebeck A, Loitfelder M, Ropele S, Langkammer C, Ebner F, Fuchs S, Schmidt R, Fazekas F, Enzinger C",Brain research,0.416,21513918,-1,-1
recognition_00009,https://pubmed.ncbi.nlm.nih.gov/15953711/,Age-related reorganization of encoding networks directly influences subsequent recognition memory.,"Tisserand DJ, McIntosh AR, van der Veen FM, Backes WH, Jolles J",Brain research. Cognitive brain research,0.405,15953711,-1,-1
recognition_00010,https://pubmed.ncbi.nlm.nih.gov/26040980/,Neurobiological mechanisms associated with facial affect recognition deficits after traumatic brain injury.,"Neumann D, McDonald BC, West J, Keiski MA, Wang Y",Brain imaging and behavior,0.395,26040980,-1,-1
recognition_00011,https://pubmed.ncbi.nlm.nih.gov/29737489/,Functional neural correlates of facial affect recognition impairment following TBI.,"Rigon A, Voss MW, Turkstra LS, Mutlu B, Duff MC",Brain imaging and behavior,0.395,29737489,10.1007/s11682-018-9889-x,-1
recognition_00012,https://pubmed.ncbi.nlm.nih.gov/12880794/,The human action recognition system and its relationship to Broca's area: an fMRI study.,"Hamzei F, Rijntjes M, Dettmers C, Glauche V, Weiller C, Buchel C",NeuroImage,0.392,12880794,10.1016/s1053-8119(03)00087-9,-1
recognition_00013,https://pubmed.ncbi.nlm.nih.gov/20503114/,Gender differences in brain activation during encoding and recognition of male and female faces.,"Ino T, Nakai R, Azuma T, Kimura T, Fukuyama H",Brain imaging and behavior,0.384,20503114,10.1007/s11682-009-9085-0,-1
recognition_00014,https://pubmed.ncbi.nlm.nih.gov/20488673/,Parietal cortex and episodic memory retrieval in schizophrenia.,"Lepage M, Pelletier M, Achim A, Montoya A, Menear M, Lal S",Psychiatry research,0.382,20488673,-1,-1
