paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
relevance_00001,https://pubmed.ncbi.nlm.nih.gov/16343950/,Semantic relevance explains category effects in medial fusiform gyri.,"Mechelli A, Sartori G, Orlandi P, Price CJ",NeuroImage,0.599,16343950,-1,-1
relevance_00002,https://pubmed.ncbi.nlm.nih.gov/20041155/,Is our self nothing but reward? Neuronal overlap and distinction between reward and personal relevance and its relation to human personality.,"Enzi B, de Greck M, Prosch U, Tempelmann C, Northoff G",PloS one,0.512,20041155,-1,-1
relevance_00003,https://pubmed.ncbi.nlm.nih.gov/22422804/,Transient and sustained neural responses to death-related linguistic cues.,"Shi Z, Han S",Social cognitive and affective neuroscience,0.373,22422804,-1,-1
relevance_00004,https://pubmed.ncbi.nlm.nih.gov/28527316/,Effects of contextual relevance on pragmatic inference during conversation: An fMRI study.,"Feng W, Wu Y, Jan C, Yu H, Jiang X, Zhou X",Brain and language,0.342,28527316,-1,-1
relevance_00005,https://pubmed.ncbi.nlm.nih.gov/26732764/,The Effect of Disruption of Prefrontal Cortical Function with Transcranial Magnetic Stimulation on Visual Working Memory.,"Lorenc ES, Lee TG, Chen AJ, D'Esposito M",Frontiers in systems neuroscience,0.304,26732764,-1,-1
relevance_00006,https://pubmed.ncbi.nlm.nih.gov/20162606/,Decreased neuronal activity in reward circuitry of pathological gamblers during processing of personal relevant stimuli.,"de Greck M, Enzi B, Prosch U, Gantman A, Tempelmann C, Northoff G",Human brain mapping,0.298,20162606,-1,-1
relevance_00007,https://pubmed.ncbi.nlm.nih.gov/24453318/,Reward-related activity in ventral striatum is action contingent and modulated by behavioral relevance.,"FitzGerald TH, Schwartenbeck P, Dolan RJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.276,24453318,-1,-1
relevance_00008,https://pubmed.ncbi.nlm.nih.gov/20122966/,The brain's relevance detection network operates independently of stimulus modality.,"Scharpf KR, Wendt J, Lotze M, Hamm AO",Behavioural brain research,0.262,20122966,-1,-1
relevance_00009,https://pubmed.ncbi.nlm.nih.gov/23346054/,Lateralized interactive social content and valence processing within the human amygdala.,"Vrticka P, Sander D, Vuilleumier P",Frontiers in human neuroscience,0.258,23346054,-1,-1
relevance_00010,https://pubmed.ncbi.nlm.nih.gov/23684863/,Everyday conversation requires cognitive inference: neural bases of comprehending implicated meanings in conversations.,"Jang G, Yoon SA, Lee SE, Park H, Kim J, Ko JH, Park HJ",NeuroImage,0.249,23684863,-1,-1
relevance_00011,https://pubmed.ncbi.nlm.nih.gov/17003078/,Dissociation of stimulus relevance and saliency factors during shifts of visuospatial attention.,"Indovina I, Macaluso E","Cerebral cortex (New York, N.Y. : 1991)",0.236,17003078,10.1093/cercor/bhl081,-1
relevance_00012,https://pubmed.ncbi.nlm.nih.gov/15852379/,Attentional modulation of perceptual grouping in human visual cortex: functional  MRI studies.,"Han S, Jiang Y, Mao L, Humphreys GW, Gu H",Human brain mapping,0.226,15852379,10.1002/hbm.20119,-1
relevance_00013,https://pubmed.ncbi.nlm.nih.gov/28806599/,Resting state functional connectivity of the anterior striatum and prefrontal cortex predicts reading performance in school-age children.,"Alcauter S, Garcia-Mondragon L, Gracia-Tabuenca Z, Moreno MB, Ortiz JJ, Barrios FA",Brain and language,0.205,28806599,10.1016/j.bandl.2017.07.007,-1
