paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
response selection_00001,https://pubmed.ncbi.nlm.nih.gov/18976640/,Neural evidence of a role for spatial response selection in the learning of spatial sequences.,"Schwarb H, Schumacher EH",Brain research,0.537,18976640,-1,-1
response selection_00002,https://pubmed.ncbi.nlm.nih.gov/10729350/,What and when: parallel and convergent processing in motor control.,"Sakai K, Hikosaka O, Takino R, Miyauchi S, Nielsen M, Tamada T",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.518,10729350,-1,-1
response selection_00003,https://pubmed.ncbi.nlm.nih.gov/17223091/,Selection and maintenance of stimulus-response rules during preparation and performance of a spatial choice-reaction task.,"Schumacher EH, Cole MW, D'Esposito M",Brain research,0.447,17223091,-1,-1
response selection_00004,https://pubmed.ncbi.nlm.nih.gov/19362298/,On the selection of words and oral motor responses: evidence of a response-independent fronto-parietal network.,"Tremblay P, Gracco VL",Cortex; a journal devoted to the study of the nervous system and behavior,0.434,19362298,-1,-1
response selection_00005,https://pubmed.ncbi.nlm.nih.gov/25017192/,Parallel and serial processing in dual-tasking differentially involves mechanisms in the striatum and the lateral prefrontal cortex.,"Yildiz A, Beste C",Brain structure & function,0.433,25017192,-1,-1
response selection_00006,https://pubmed.ncbi.nlm.nih.gov/17071112/,Neural mechanisms for response selection: comparing selection of responses and items from working memory.,"Hester R, D'Esposito M, Cole MW, Garavan H",NeuroImage,0.372,17071112,-1,-1
response selection_00007,https://pubmed.ncbi.nlm.nih.gov/16087350/,Implementation of visuospatial cues in response selection.,"van Eimeren T, Wolbers T, Munchau A, Buchel C, Weiller C, Siebner HR",NeuroImage,0.307,16087350,-1,-1
response selection_00008,https://pubmed.ncbi.nlm.nih.gov/20080076/,Language and its interacting components: the right hemisphere hypothesis in derivational morphology.,"Marangolo P, Piras F",Brain research,0.303,20080076,-1,-1
response selection_00009,https://pubmed.ncbi.nlm.nih.gov/18692142/,Functional MRI investigation of verbal selection mechanisms in lateral prefrontal cortex.,"Nagel IE, Schumacher EH, Goebel R, D'Esposito M",NeuroImage,0.287,18692142,-1,-1
response selection_00010,https://pubmed.ncbi.nlm.nih.gov/15219600/,From facial cue to dinner for two: the neural substrates of personal choice.,"Turk DJ, Banfield JF, Walling BR, Heatherton TF, Grafton ST, Handy TC, Gazzaniga MS, Macrae CN",NeuroImage,0.262,15219600,-1,-1
response selection_00011,https://pubmed.ncbi.nlm.nih.gov/18827897/,Practice induces function-specific changes in brain activity.,"van Raalten TR, Ramsey NF, Duyn J, Jansma JM",PloS one,0.261,18827897,-1,-1
response selection_00012,https://pubmed.ncbi.nlm.nih.gov/17850833/,Meta-analysis of Go/No-go tasks demonstrating that fMRI activation associated with response inhibition is task-dependent.,"Simmonds DJ, Pekar JJ, Mostofsky SH",Neuropsychologia,0.259,17850833,-1,-1
response selection_00013,https://pubmed.ncbi.nlm.nih.gov/19427089/,The neural basis of cognitive control: response selection and inhibition.,"Goghari VM, MacDonald AW 3rd",Brain and cognition,0.254,19427089,-1,-1
response selection_00014,https://pubmed.ncbi.nlm.nih.gov/23843526/,Amodal processing in human prefrontal cortex.,"Tamber-Rosenau BJ, Dux PE, Tombu MN, Asplund CL, Marois R",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.246,23843526,-1,-1
response selection_00015,https://pubmed.ncbi.nlm.nih.gov/15193603/,Resolving dual-task interference: an fMRI study.,Jiang Y,NeuroImage,0.239,15193603,-1,-1
response selection_00016,https://pubmed.ncbi.nlm.nih.gov/15989935/,Sustained involvement of a frontal-parietal network for spatial response selection with practice of a spatial choice-reaction task.,"Schumacher EH, Hendricks MJ, D'Esposito M",Neuropsychologia,0.239,15989935,-1,-1
response selection_00017,https://pubmed.ncbi.nlm.nih.gov/18678469/,An fMRI study of working memory in first-degree unaffected relatives of schizophrenia patients.,"Meda SA, Bhattarai M, Morris NA, Astur RS, Calhoun VD, Mathalon DH, Kiehl KA, Pearlson GD",Schizophrenia research,0.239,18678469,-1,-1
response selection_00018,https://pubmed.ncbi.nlm.nih.gov/21976411/,Modeling conflict and error in the medial frontal cortex.,"Mayer AR, Teshiba TM, Franco AR, Ling J, Shane MS, Stephen JM, Jung RE",Human brain mapping,0.235,21976411,-1,-1
response selection_00019,https://pubmed.ncbi.nlm.nih.gov/25199464/,"Distinct neural networks for target feature versus dimension changes in visual search, as revealed by EEG and fMRI.","Becker SI, Grubert A, Dux PE",NeuroImage,0.235,25199464,-1,-1
response selection_00020,https://pubmed.ncbi.nlm.nih.gov/21458503/,Behavioural and neural effects of diazepam on a rule-guided response selection task.,"Munoz-Torres Z, Armony JL, Trejo-Martinez D, Conde R, Corsi-Cabrera M",Neuroscience research,0.221,21458503,-1,-1
response selection_00021,https://pubmed.ncbi.nlm.nih.gov/16256375/,Tracking the subprocesses of decision-based action in the human frontal lobes.,"Rahm B, Opwis K, Kaller CP, Spreer J, Schwarzwald R, Seifritz E, Halsband U, Unterrainer JM",NeuroImage,0.206,16256375,-1,-1
response selection_00022,https://pubmed.ncbi.nlm.nih.gov/14766185/,"Selection, integration, and conflict monitoring; assessing the nature and generality of prefrontal cognitive control mechanisms.","Badre D, Wagner AD",Neuron,0.195,14766185,-1,-1
response selection_00023,https://pubmed.ncbi.nlm.nih.gov/17016713/,Lorazepam dose-dependently decreases risk-taking related activation in limbic areas.,"Arce E, Miller DA, Feinstein JS, Stein MB, Paulus MP",Psychopharmacology,0.191,17016713,-1,-1
response selection_00024,https://pubmed.ncbi.nlm.nih.gov/23154092/,Frontoparietal attentional network activation differs between smokers and nonsmokers during affective cognition.,"Froeliger B, Modlin LA, Kozink RV, Wang L, Garland EL, Addicott MA, McClernon FJ",Psychiatry research,0.189,23154092,-1,-1
response selection_00025,https://pubmed.ncbi.nlm.nih.gov/26151104/,Auditory intensity processing: Categorization versus comparison.,"Angenstein N, Brechmann A",NeuroImage,0.189,26151104,-1,-1
response selection_00026,https://pubmed.ncbi.nlm.nih.gov/21656217/,The interplay of cue modality and response latency in brain areas supporting crossmodal motor preparation: an event-related fMRI study.,"Fatima Z, McIntosh AR",Experimental brain research,0.182,21656217,-1,-1
response selection_00027,https://pubmed.ncbi.nlm.nih.gov/25914635/,Neural mechanisms of goal-directed behavior: outcome-based response selection is  associated with increased functional coupling of the angular gyrus.,"Zwosta K, Ruge H, Wolfensteller U",Frontiers in human neuroscience,0.182,25914635,-1,-1
response selection_00028,https://pubmed.ncbi.nlm.nih.gov/16150611/,Dissociating response selection and conflict in the medial frontal surface.,"Lau H, Rogers RD, Passingham RE",NeuroImage,0.181,16150611,-1,-1
response selection_00029,https://pubmed.ncbi.nlm.nih.gov/10349031/,An fMRI study of Stroop word-color interference: evidence for cingulate subregions subserving multiple distributed attentional systems.,"Peterson BS, Skudlarski P, Gatenby JC, Zhang H, Anderson AW, Gore JC",Biological psychiatry,0.177,10349031,-1,-1
response selection_00030,https://pubmed.ncbi.nlm.nih.gov/17178412/,Isolation of a central bottleneck of information processing with time-resolved FMRI.,"Dux PE, Ivanoff J, Asplund CL, Marois R",Neuron,0.172,17178412,-1,-1
response selection_00031,https://pubmed.ncbi.nlm.nih.gov/19699719/,Top-down and bottom-up modulation of brain structures involved in auditory discrimination.,"Diekhof EK, Biedermann F, Ruebsamen R, Gruber O",Brain research,0.17,19699719,-1,-1
response selection_00032,https://pubmed.ncbi.nlm.nih.gov/20452443/,Prior auditory information shapes visual category-selectivity in ventral occipito-temporal cortex.,"Adam R, Noppeney U",NeuroImage,0.169,20452443,-1,-1
response selection_00033,https://pubmed.ncbi.nlm.nih.gov/25647338/,Visual Information Shapes the Dynamics of Corticobasal Ganglia Pathways during Response Selection and Inhibition.,"Jahfari S, Waldorp L, Ridderinkhof KR, Scholte HS",Journal of cognitive neuroscience,0.165,25647338,-1,-1
response selection_00034,https://pubmed.ncbi.nlm.nih.gov/21515388/,Preparatory activity and connectivity in dorsal anterior cingulate cortex for cognitive control.,"Schulz KP, Bedard AC, Czarnecki R, Fan J",NeuroImage,0.163,21515388,-1,-1
