paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
rest_00001,https://pubmed.ncbi.nlm.nih.gov/24682003/,The impact of stimulus valence and emotion regulation on sustained brain activation: task-rest switching in emotion.,"Lamke JP, Daniels JK, Dorfel D, Gaebler M, Abdel Rahman R, Hummel F, Erk S, Walter H",PloS one,0.422,24682003,-1,-1
rest_00002,https://pubmed.ncbi.nlm.nih.gov/24904338/,Decreasing ventromedial prefrontal cortex deactivation in risky decision making after simulated microgravity: effects of -6 degrees head-down tilt bed rest.,"Rao LL, Zhou Y, Liang ZY, Rao H, Zheng R, Sun Y, Tan C, Xiao Y, Tian ZQ, Chen XP, Wang CH, Bai YQ, Chen SG, Li S",Frontiers in behavioral neuroscience,0.415,24904338,-1,-1
rest_00003,https://pubmed.ncbi.nlm.nih.gov/15907297/,Functional integration in schizophrenia: too little or too much? Preliminary results on fMRI data.,"Foucher JR, Vidailhet P, Chanraud S, Gounot D, Grucker D, Pins D, Damsa C, Danion JM",NeuroImage,0.411,15907297,-1,-1
rest_00004,https://pubmed.ncbi.nlm.nih.gov/27423254/,Effects of a spaceflight analog environment on brain connectivity and behavior.,"Cassady K, Koppelmans V, Reuter-Lorenz P, De Dios Y, Gadd N, Wood S, Castenada RR, Kofman I, Bloomberg J, Mulavara A, Seidler R",NeuroImage,0.407,27423254,-1,-1
rest_00005,https://pubmed.ncbi.nlm.nih.gov/24830839/,Anticipatory processes in brain state switching - Evidence from a novel cued-switching task implicating default mode and salience networks.,"Sidlauskaite J, Wiersema JR, Roeyers H, Krebs RM, Vassena E, Fias W, Brass M, Achten E, Sonuga-Barke E",NeuroImage,0.398,24830839,-1,-1
rest_00006,https://pubmed.ncbi.nlm.nih.gov/21232578/,Are emotions associated with activity during rest or interoception? An exploratory fMRI study in healthy subjects.,"Wiebking C, de Greck M, Duncan NW, Heinzel A, Tempelmann C, Northoff G",Neuroscience letters,0.386,21232578,-1,-1
rest_00007,https://pubmed.ncbi.nlm.nih.gov/25240323/,Neural substrates of rumination tendency in non-depressed individuals.,"Piguet C, Desseilles M, Sterpenich V, Cojan Y, Bertschy G, Vuilleumier P",Biological psychology,0.358,25240323,-1,-1
rest_00008,https://pubmed.ncbi.nlm.nih.gov/21151779/,The influence of rest period instructions on the default mode network.,"Benjamin C, Lieberman DA, Chang M, Ofen N, Whitfield-Gabrieli S, Gabrieli JD, Gaab N",Frontiers in human neuroscience,0.356,21151779,-1,-1
rest_00009,https://pubmed.ncbi.nlm.nih.gov/25271132/,Spatial and temporal functional connectivity changes between resting and attentive states.,"Bray S, Arnold AE, Levy RM, Iaria G",Human brain mapping,0.348,25271132,-1,-1
rest_00010,https://pubmed.ncbi.nlm.nih.gov/25293364/,Differential lateralization of hippocampal connectivity reflects features of recent context and ongoing demands: an examination of immediate post-task activity.,"Hartzell JF, Tobia MJ, Davis B, Cashdollar NM, Hasson U",Human brain mapping,0.336,25293364,-1,-1
