paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
retention_00001,https://pubmed.ncbi.nlm.nih.gov/23124719/,Resting state functional connectivity of the hippocampus associated with neurocognitive function in left temporal lobe epilepsy.,"Holmes M, Folley BS, Sonmezturk HH, Gore JC, Kang H, Abou-Khalil B, Morgan VL",Human brain mapping,0.581,23124719,-1,-1
retention_00002,https://pubmed.ncbi.nlm.nih.gov/10666552/,Replication and further studies of neural mechanisms of spatial mnemonic processing in humans.,"Zarahn E, Aguirre G, D'Esposito M",Brain research. Cognitive brain research,0.509,10666552,-1,-1
retention_00003,https://pubmed.ncbi.nlm.nih.gov/12122035/,Distributed cortical systems in visual short-term memory revealed by event-related functional magnetic resonance imaging.,"Munk MH, Linden DE, Muckli L, Lanfermann H, Zanella FE, Singer W, Goebel R","Cerebral cortex (New York, N.Y. : 1991)",0.476,12122035,-1,-1
retention_00004,https://pubmed.ncbi.nlm.nih.gov/17928441/,The neural bases of the short-term storage of verbal information are anatomically variable across individuals.,"Feredoes E, Tononi G, Postle BR",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.386,17928441,-1,-1
retention_00005,https://pubmed.ncbi.nlm.nih.gov/15787715/,The neural correlate of very-long-term picture priming.,"Meister IG, Weidemann J, Foltys H, Brand H, Willmes K, Krings T, Thron A, Topper R, Boroojerdi B",The European journal of neuroscience,0.363,15787715,-1,-1
retention_00006,https://pubmed.ncbi.nlm.nih.gov/22359276/,Interleaved practice enhances skill learning and the functional connectivity of fronto-parietal networks.,"Lin CH, Chiang MC, Knowlton BJ, Iacoboni M, Udompholkul P, Wu AD",Human brain mapping,0.309,22359276,-1,-1
retention_00007,https://pubmed.ncbi.nlm.nih.gov/20725908/,Implicit sequence-specific motor learning after subcortical stroke is associated  with increased prefrontal brain activations: an fMRI study.,"Meehan SK, Randhawa B, Wessel B, Boyd LA",Human brain mapping,0.301,20725908,-1,-1
retention_00008,https://pubmed.ncbi.nlm.nih.gov/22584226/,Age related differences in the neural substrates of motor sequence learning after interleaved and repetitive practice.,"Lin CH, Chiang MC, Wu AD, Iacoboni M, Udompholkul P, Yazdanshenas O, Knowlton BJ",NeuroImage,0.297,22584226,-1,-1
retention_00009,https://pubmed.ncbi.nlm.nih.gov/29483284/,Challenge to Promote Change: The Neural Basis of the Contextual Interference Effect in Young and Older Adults.,"Pauwels L, Chalavi S, Gooijers J, Maes C, Albouy G, Sunaert S, Swinnen SP",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.289,29483284,-1,-1
retention_00010,https://pubmed.ncbi.nlm.nih.gov/22652306/,Contrasting visual working memory for verbal and non-verbal material with multivariate analysis of fMRI.,"Habeck C, Rakitin B, Steffener J, Stern Y",Brain research,0.282,22652306,-1,-1
retention_00011,https://pubmed.ncbi.nlm.nih.gov/23071546/,MRI-based volumetry correlates of autobiographical memory in Alzheimer's disease.,"Philippi N, Noblet V, Botzung A, Despres O, Renard F, Sfikas G, Cretin B, Kremer S, Manning L, Blanc F",PloS one,0.256,23071546,10.1371/journal.pone.0046200,-1
retention_00012,https://pubmed.ncbi.nlm.nih.gov/25757996/,Compensatory motor network connectivity is associated with motor sequence learning after subcortical stroke.,"Wadden KP, Woodward TS, Metzak PD, Lavigne KM, Lakhani B, Auriat AM, Boyd LA",Behavioural brain research,0.254,25757996,10.1016/j.bbr.2015.02.054,-1
retention_00013,https://pubmed.ncbi.nlm.nih.gov/23729474/,Storage of a naturally acquired conditioned response is impaired in patients with cerebellar degeneration.,"Thieme A, Thurling M, Galuba J, Burciu RG, Goricke S, Beck A, Aurich V, Wondzinski E, Siebler M, Gerwig M, Bracha V, Timmann D",Brain : a journal of neurology,0.243,23729474,10.1093/brain/awt107,-1
retention_00014,https://pubmed.ncbi.nlm.nih.gov/17150984/,Nonvisual codes and nonvisual brain areas support visual working memory.,"Postle BR, Hamidi M","Cerebral cortex (New York, N.Y. : 1991)",0.237,17150984,-1,-1
retention_00015,https://pubmed.ncbi.nlm.nih.gov/16413797/,Distraction-spanning sustained activity during delayed recognition of locations.,Postle BR,NeuroImage,0.228,16413797,-1,-1
retention_00016,https://pubmed.ncbi.nlm.nih.gov/18635157/,Pretreatment brain activation during stroop task is associated with outcomes in cocaine-dependent patients.,"Brewer JA, Worhunsky PD, Carroll KM, Rounsaville BJ, Potenza MN",Biological psychiatry,0.222,18635157,-1,-1
retention_00017,https://pubmed.ncbi.nlm.nih.gov/18510447/,Structural and metabolic correlates of episodic memory in relation to the depth of encoding in normal aging.,"Kalpouzos G, Chetelat G, Landeau B, Clochon P, Viader F, Eustache F, Desgranges B",Journal of cognitive neuroscience,0.214,18510447,-1,-1
retention_00018,https://pubmed.ncbi.nlm.nih.gov/25700951/,Cortical networks dynamically emerge with the interplay of slow and fast oscillations for memory of a natural scene.,"Mizuhara H, Sato N, Yamaguchi Y",NeuroImage,0.213,25700951,-1,-1
retention_00019,https://pubmed.ncbi.nlm.nih.gov/23739982/,Characterizing functional integrity: intraindividual brain signal variability predicts memory performance in patients with medial temporal lobe epilepsy.,"Protzner AB, Kovacevic N, Cohn M, McAndrews MP",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.201,23739982,-1,-1
retention_00020,https://pubmed.ncbi.nlm.nih.gov/25078102/,Baseline frontostriatal-limbic connectivity predicts reward-based memory formation.,"Hamann JM, Dayan E, Hummel FC, Cohen LG",Human brain mapping,0.199,25078102,-1,-1
retention_00021,https://pubmed.ncbi.nlm.nih.gov/21621549/,The impact of overnight consolidation upon memory for emotional and neutral encoding contexts.,"Lewis PA, Cairney S, Manning L, Critchley HD",Neuropsychologia,0.198,21621549,10.1016/j.neuropsychologia.2011.05.009,-1
retention_00022,https://pubmed.ncbi.nlm.nih.gov/24899709/,"Effects of resveratrol on memory performance, hippocampal functional connectivity, and glucose metabolism in healthy older adults.","Witte AV, Kerti L, Margulies DS, Floel A",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.195,24899709,10.1523/JNEUROSCI.0385-14.2014,-1
retention_00023,https://pubmed.ncbi.nlm.nih.gov/26106552/,Functional connectivity underlying postural motor adaptation in people with multiple sclerosis.,"Fling BW, Gera Dutta G, Horak FB",NeuroImage. Clinical,0.19,26106552,-1,-1
retention_00024,https://pubmed.ncbi.nlm.nih.gov/21263037/,Brain structure correlates of individual differences in the acquisition and inhibition of conditioned fear.,"Hartley CA, Fischl B, Phelps EA","Cerebral cortex (New York, N.Y. : 1991)",0.184,21263037,-1,-1
retention_00025,https://pubmed.ncbi.nlm.nih.gov/21276432/,fMRI correlates of working memory: specific posterior representation sites for motion and position information.,"Umla-Runge K, Zimmer HD, Krick CM, Reith W",Brain research,0.18,21276432,-1,-1
retention_00026,https://pubmed.ncbi.nlm.nih.gov/25266592/,Regional amyloid burden and intrinsic connectivity networks in cognitively normal elderly subjects.,"Lim HK, Nebes R, Snitz B, Cohen A, Mathis C, Price J, Weissfeld L, Klunk W, Aizenstein HJ",Brain : a journal of neurology,0.18,25266592,-1,-1
retention_00027,https://pubmed.ncbi.nlm.nih.gov/24456394/,Attention biases visual activity in visual short-term memory.,"Kuo BC, Stokes MG, Murray AM, Nobre AC",Journal of cognitive neuroscience,0.177,24456394,-1,-1
retention_00028,https://pubmed.ncbi.nlm.nih.gov/15820629/,"An event-related fMRI study of the neural networks underlying the encoding, maintenance, and retrieval phase in a delayed-match-to-sample task.","Habeck C, Rakitin BC, Moeller J, Scarmeas N, Zarahn E, Brown T, Stern Y",Brain research. Cognitive brain research,0.175,15820629,-1,-1
retention_00029,https://pubmed.ncbi.nlm.nih.gov/21376126/,Brain-behavior correlates of optimizing learning through interleaved practice.,"Lin CH, Knowlton BJ, Chiang MC, Iacoboni M, Udompholkul P, Wu AD",NeuroImage,0.16,21376126,-1,-1
retention_00030,https://pubmed.ncbi.nlm.nih.gov/25988227/,Not all declarative memories are created equal: Fast Mapping as a direct route to cortical declarative representations.,"Merhav M, Karni A, Gilboa A",NeuroImage,0.157,25988227,-1,-1
retention_00031,https://pubmed.ncbi.nlm.nih.gov/21704307/,An initial study of neural responses to monetary incentives as related to treatment outcome in cocaine dependence.,"Jia Z, Worhunsky PD, Carroll KM, Rounsaville BJ, Stevens MC, Pearlson GD, Potenza MN",Biological psychiatry,0.153,21704307,-1,-1
retention_00032,https://pubmed.ncbi.nlm.nih.gov/25146374/,Cross-Modal Decoding of Neural Patterns Associated with Working Memory: Evidence  for Attention-Based Accounts of Working Memory.,"Majerus S, Cowan N, Peters F, Van Calster L, Phillips C, Schrouff J","Cerebral cortex (New York, N.Y. : 1991)",0.153,25146374,-1,-1
retention_00033,https://pubmed.ncbi.nlm.nih.gov/22564480/,Creativity and the brain: uncovering the neural signature of conceptual expansion.,"Abraham A, Pieritz K, Thybusch K, Rutter B, Kroger S, Schweckendiek J, Stark R, Windmann S, Hermann C",Neuropsychologia,0.152,22564480,-1,-1
retention_00034,https://pubmed.ncbi.nlm.nih.gov/24619090/,Water diffusion reveals networks that modulate multiregional morphological plasticity after repetitive brain stimulation.,"Abe M, Fukuyama H, Mima T",Proceedings of the National Academy of Sciences of the United States of America,0.152,24619090,-1,-1
retention_00035,https://pubmed.ncbi.nlm.nih.gov/29705066/,Manipulating memory efficacy affects the behavioral and neural profiles of deterministic learning and decision-making.,"Tremel JJ, Ortiz DM, Fiez JA",Neuropsychologia,0.152,29705066,-1,-1
retention_00036,https://pubmed.ncbi.nlm.nih.gov/21349335/,Neural mechanisms of semantic interference and false recognition in short-term memory.,"Atkins AS, Reuter-Lorenz PA",NeuroImage,0.132,21349335,-1,-1
retention_00037,https://pubmed.ncbi.nlm.nih.gov/28871031/,Angular Gyrus Involvement at Encoding and Retrieval Is Associated with Durable But Less Specific Memories.,"van der Linden M, Berkers RMWJ, Morris RGM, Fernandez G",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.12,28871031,-1,-1
retention_00038,https://pubmed.ncbi.nlm.nih.gov/20974158/,Keeping time in your sleep: overnight consolidation of temporal rhythm.,"Lewis PA, Couch TJ, Walker MP",Neuropsychologia,0.112,20974158,-1,-1
retention_00039,https://pubmed.ncbi.nlm.nih.gov/24302373/,fMRI and sleep correlates of the age-related impairment in motor memory consolidation.,"Fogel SM, Albouy G, Vien C, Popovicci R, King BR, Hoge R, Jbabdi S, Benali H, Karni A, Maquet P, Carrier J, Doyon J",Human brain mapping,0.112,24302373,-1,-1
retention_00040,https://pubmed.ncbi.nlm.nih.gov/22206809/,Brain activation during spatial updating and attentive tracking of moving targets.,"Jahn G, Wendt J, Lotze M, Papenmeier F, Huff M",Brain and cognition,0.111,22206809,-1,-1
retention_00041,https://pubmed.ncbi.nlm.nih.gov/20421978/,Simultaneous EEG-fMRI during a working memory task: modulations in low and high frequency bands.,"Michels L, Bucher K, Luchinger R, Klaver P, Martin E, Jeanmonod D, Brandeis D",PloS one,0.108,20421978,10.1371/journal.pone.0010298,-1
retention_00042,https://pubmed.ncbi.nlm.nih.gov/23578576/,Neural correlates of testing effects in vocabulary learning.,"van den Broek GS, Takashima A, Segers E, Fernandez G, Verhoeven L",NeuroImage,0.107,23578576,10.1016/j.neuroimage.2013.03.071,-1
