paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
retrosplenial cortex_00001,https://pubmed.ncbi.nlm.nih.gov/19783410/,Retrosplenial cortex connectivity in schizophrenia.,"Bluhm RL, Miller J, Lanius RA, Osuch EA, Boksman K, Neufeld RW, Theberge J, Schaefer B, Williamson PC",Psychiatry research,0.442,19783410,-1,-1
retrosplenial cortex_00002,https://pubmed.ncbi.nlm.nih.gov/17298595/,Retrosplenial and hippocampal brain regions in human navigation: complementary functional contributions to the formation and use of cognitive maps.,"Iaria G, Chen JK, Guariglia C, Ptito A, Petrides M",The European journal of neuroscience,0.346,17298595,-1,-1
retrosplenial cortex_00003,https://pubmed.ncbi.nlm.nih.gov/16718653/,Analysis of intersubject variability in activation: an application to the incidental episodic retrieval during recognition test.,"Sugiura M, Friston KJ, Willmes K, Shah NJ, Zilles K, Fink GR",Human brain mapping,0.319,16718653,-1,-1
retrosplenial cortex_00004,https://pubmed.ncbi.nlm.nih.gov/18793658/,Developmental topographical disorientation: case one.,"Iaria G, Bogod N, Fox CJ, Barton JJ",Neuropsychologia,0.226,18793658,-1,-1
retrosplenial cortex_00005,https://pubmed.ncbi.nlm.nih.gov/11287379/,The neural correlates of person familiarity. A functional magnetic resonance imaging study with clinical implications.,"Shah NJ, Marshall JC, Zafiris O, Schwab A, Zilles K, Markowitsch HJ, Fink GR",Brain : a journal of neurology,0.216,11287379,-1,-1
retrosplenial cortex_00006,https://pubmed.ncbi.nlm.nih.gov/17123070/,Cortical activation to indoor versus outdoor scenes: an fMRI study.,"Henderson JM, Larson CL, Zhu DC",Experimental brain research,0.212,17123070,-1,-1
retrosplenial cortex_00007,https://pubmed.ncbi.nlm.nih.gov/15982787/,Age differences in the neural systems supporting human allocentric spatial navigation.,"Moffat SD, Elkins W, Resnick SM",Neurobiology of aging,0.211,15982787,-1,-1
retrosplenial cortex_00008,https://pubmed.ncbi.nlm.nih.gov/26484830/,Role of the human retrosplenial cortex/parieto-occipital sulcus in perspective priming.,"Sulpizio V, Committeri G, Lambrey S, Berthoz A, Galati G",NeuroImage,0.209,26484830,-1,-1
retrosplenial cortex_00009,https://pubmed.ncbi.nlm.nih.gov/17606317/,Full scenes produce more activation than close-up scenes and scene-diagnostic objects in parahippocampal and retrosplenial cortex: an fMRI study.,"Henderson JM, Larson CL, Zhu DC",Brain and cognition,0.197,17606317,-1,-1
retrosplenial cortex_00010,https://pubmed.ncbi.nlm.nih.gov/17644222/,Altered neural network supporting declarative long-term memory in mild cognitive  impairment.,"Poettrich K, Weiss PH, Werner A, Lux S, Donix M, Gerber J, von Kummer R, Fink GR, Holthoff VA",Neurobiology of aging,0.172,17644222,-1,-1
retrosplenial cortex_00011,https://pubmed.ncbi.nlm.nih.gov/18973817/,Cortical midline involvement in autobiographical memory.,"Summerfield JJ, Hassabis D, Maguire EA",NeuroImage,0.167,18973817,-1,-1
