paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
risk taking_00001,https://pubmed.ncbi.nlm.nih.gov/29408323/,Individual differences in risk-taking tendencies modulate the neural processing of risky and ambiguous decision-making in adolescence.,"Blankenstein NE, Schreuders E, Peper JS, Crone EA, van Duijvenvoorde ACK",NeuroImage,0.548,29408323,-1,-1
risk taking_00002,https://pubmed.ncbi.nlm.nih.gov/26342184/,Buffering effect of positive parent-child relationships on adolescent risk taking: A longitudinal neuroimaging investigation.,"Qu Y, Fuligni AJ, Galvan A, Telzer EH",Developmental cognitive neuroscience,0.545,26342184,-1,-1
risk taking_00003,https://pubmed.ncbi.nlm.nih.gov/23245219/,Ventral striatum activation to prosocial rewards predicts longitudinal declines in adolescent risk taking.,"Telzer EH, Fuligni AJ, Lieberman MD, Galvan A",Developmental cognitive neuroscience,0.497,23245219,-1,-1
risk taking_00004,https://pubmed.ncbi.nlm.nih.gov/22675289/,Decreasing ventromedial prefrontal cortex activity during sequential risk-taking: an FMRI investigation of the balloon analog risk task.,"Schonberg T, Fox CR, Mumford JA, Congdon E, Trepel C, Poldrack RA",Frontiers in neuroscience,0.485,22675289,-1,-1
risk taking_00005,https://pubmed.ncbi.nlm.nih.gov/24795443/,The quality of adolescents' peer relationships modulates neural sensitivity to risk taking.,"Telzer EH, Fuligni AJ, Lieberman MD, Miernicki ME, Galvan A",Social cognitive and affective neuroscience,0.479,24795443,-1,-1
risk taking_00006,https://pubmed.ncbi.nlm.nih.gov/19679384/,Neural correlates of traditional Chinese medicine induced advantageous risk-taking decision making.,"Lee TM, Guo LG, Shi HZ, Li YZ, Luo YJ, Sung CY, Chan CC, Lee TM",Brain and cognition,0.473,19679384,-1,-1
risk taking_00007,https://pubmed.ncbi.nlm.nih.gov/23707590/,Risk-taking and social exclusion in adolescence: neural mechanisms underlying peer influences on decision-making.,"Peake SJ, Dishion TJ, Stormshak EA, Moore WE, Pfeifer JH",NeuroImage,0.473,23707590,-1,-1
risk taking_00008,https://pubmed.ncbi.nlm.nih.gov/23163412/,Meaningful family relationships: neurocognitive buffers of adolescent risk taking.,"Telzer EH, Fuligni AJ, Lieberman MD, Galvan A",Journal of cognitive neuroscience,0.465,23163412,-1,-1
risk taking_00009,https://pubmed.ncbi.nlm.nih.gov/12948701/,Increased activation in the right insula during risk-taking decision making is related to harm avoidance and neuroticism.,"Paulus MP, Rogalsky C, Simmons A, Feinstein JS, Stein MB",NeuroImage,0.448,12948701,-1,-1
risk taking_00010,https://pubmed.ncbi.nlm.nih.gov/26052943/,"Risk-Taking Behavior in a Computerized Driving Task: Brain Activation Correlates  of Decision-Making, Outcome, and Peer Influence in Male Adolescents.","Vorobyev V, Kwon MS, Moe D, Parkkola R, Hamalainen H",PloS one,0.447,26052943,-1,-1
risk taking_00011,https://pubmed.ncbi.nlm.nih.gov/25759470/,Mothers know best: redirecting adolescent reward sensitivity toward safe behavior during risk taking.,"Telzer EH, Ichien NT, Qu Y",Social cognitive and affective neuroscience,0.426,25759470,-1,-1
risk taking_00012,https://pubmed.ncbi.nlm.nih.gov/28392763/,Activation in Context: Differential Conclusions Drawn from Cross-Sectional and Longitudinal Analyses of Adolescents' Cognitive Control-Related Neural Activity.,"McCormick EM, Qu Y, Telzer EH",Frontiers in human neuroscience,0.418,28392763,-1,-1
risk taking_00013,https://pubmed.ncbi.nlm.nih.gov/23376698/,The effects of poor quality sleep on brain function and risk taking in adolescence.,"Telzer EH, Fuligni AJ, Lieberman MD, Galvan A",NeuroImage,0.417,23376698,-1,-1
risk taking_00014,https://pubmed.ncbi.nlm.nih.gov/18582578/,Neural correlates of voluntary and involuntary risk taking in the human brain: an fMRI Study of the Balloon Analog Risk Task (BART).,"Rao H, Korczykowski M, Pluta J, Hoang A, Detre JA",NeuroImage,0.404,18582578,-1,-1
risk taking_00015,https://pubmed.ncbi.nlm.nih.gov/17016713/,Lorazepam dose-dependently decreases risk-taking related activation in limbic areas.,"Arce E, Miller DA, Feinstein JS, Stein MB, Paulus MP",Psychopharmacology,0.397,17016713,-1,-1
risk taking_00016,https://pubmed.ncbi.nlm.nih.gov/24796655/,Adolescent risk-taking and resting state functional connectivity.,"DeWitt SJ, Aslan S, Filbey FM",Psychiatry research,0.396,24796655,-1,-1
risk taking_00017,https://pubmed.ncbi.nlm.nih.gov/26500486/,How the risky features of previous selection affect subsequent decision-making: evidence from behavioral and fMRI measures.,"Dong G, Zhang Y, Xu J, Lin X, Du X",Frontiers in neuroscience,0.388,26500486,10.3389/fnins.2015.00364,-1
risk taking_00018,https://pubmed.ncbi.nlm.nih.gov/23245222/,Behavioral and neural correlates of loss aversion and risk avoidance in adolescents and adults.,"Barkley-Levenson EE, Van Leijenhorst L, Galvan A",Developmental cognitive neuroscience,0.377,23245222,10.1016/j.dcn.2012.09.007,-1
risk taking_00019,https://pubmed.ncbi.nlm.nih.gov/18842666/,Sex-related differences in neural activity during risk taking: an fMRI study.,"Lee TM, Chan CC, Leung AW, Fox PT, Gao JH","Cerebral cortex (New York, N.Y. : 1991)",0.375,18842666,-1,-1
risk taking_00020,https://pubmed.ncbi.nlm.nih.gov/25989852/,Individual variation in the neural processes of motor decisions in the stop signal task: the influence of novelty seeking and harm avoidance personality traits.,"Hu J, Lee D, Hu S, Zhang S, Chao H, Li CS",Brain structure & function,0.366,25989852,-1,-1
risk taking_00021,https://pubmed.ncbi.nlm.nih.gov/26434803/,Adolescent neurodevelopment of cognitive control and risk-taking in negative family contexts.,"McCormick EM, Qu Y, Telzer EH",NeuroImage,0.342,26434803,-1,-1
