paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
rostral_00001,https://pubmed.ncbi.nlm.nih.gov/20156841/,Specialization of the rostral prefrontal cortex for distinct analogy processes.,"Volle E, Gilbert SJ, Benoit RG, Burgess PW","Cerebral cortex (New York, N.Y. : 1991)",0.335,20156841,-1,-1
rostral_00002,https://pubmed.ncbi.nlm.nih.gov/16611823/,Medial frontal cortex activity and loss-related responses to errors.,"Taylor SF, Martis B, Fitzgerald KD, Welsh RC, Abelson JL, Liberzon I, Himle JA, Gehring WJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.288,16611823,-1,-1
rostral_00003,https://pubmed.ncbi.nlm.nih.gov/22992491/,Rostral-caudal gradients of abstraction revealed by multi-variate pattern analysis of working memory.,"Nee DE, Brown JW",NeuroImage,0.288,22992491,-1,-1
rostral_00004,https://pubmed.ncbi.nlm.nih.gov/12566282/,Rostral anterior cingulate cortex dysfunction during error processing in schizophrenia.,"Laurens KR, Ngan ET, Bates AT, Kiehl KA, Liddle PF",Brain : a journal of neurology,0.273,12566282,-1,-1
rostral_00005,https://pubmed.ncbi.nlm.nih.gov/16418844/,Brain activity during visuomotor behavior triggered by arbitrary and spatially constrained cues: an fMRI study in humans.,"Hanakawa T, Honda M, Zito G, Dimyan MA, Hallett M",Experimental brain research,0.273,16418844,-1,-1
rostral_00006,https://pubmed.ncbi.nlm.nih.gov/17652462/,The representation of blinking movement in cingulate motor areas: a functional magnetic resonance imaging study.,"Hanakawa T, Dimyan MA, Hallett M","Cerebral cortex (New York, N.Y. : 1991)",0.272,17652462,-1,-1
rostral_00007,https://pubmed.ncbi.nlm.nih.gov/17548160/,Differential engagement of anterior cingulate and adjacent medial frontal cortex  in adept meditators and non-meditators.,"Holzel BK, Ott U, Hempel H, Hackl A, Wolf K, Stark R, Vaitl D",Neuroscience letters,0.261,17548160,-1,-1
rostral_00008,https://pubmed.ncbi.nlm.nih.gov/19589603/,Rostral anterior cingulate cortex activity mediates the relationship between the  depressive symptoms and the medial prefrontal cortex activity.,"Yoshimura S, Okamoto Y, Onoda K, Matsunaga M, Ueda K, Suzuki S, Shigetoyamawaki",Journal of affective disorders,0.26,19589603,-1,-1
rostral_00009,https://pubmed.ncbi.nlm.nih.gov/19501653/,Medial prefrontal cortex and right insula activity predict plasma ACTH response to trauma recall.,"King AP, Abelson JL, Britton JC, Phan KL, Taylor SF, Liberzon I",NeuroImage,0.258,19501653,10.1016/j.neuroimage.2009.05.088,-1
rostral_00010,https://pubmed.ncbi.nlm.nih.gov/15813952/,Involvement of rostral prefrontal cortex in selection between stimulus-oriented and stimulus-independent thought.,"Gilbert SJ, Frith CD, Burgess PW",The European journal of neuroscience,0.248,15813952,10.1111/j.1460-9568.2005.03981.x,-1
rostral_00011,https://pubmed.ncbi.nlm.nih.gov/16087350/,Implementation of visuospatial cues in response selection.,"van Eimeren T, Wolbers T, Munchau A, Buchel C, Weiller C, Siebner HR",NeuroImage,0.24,16087350,-1,-1
rostral_00012,https://pubmed.ncbi.nlm.nih.gov/22956331/,"Distinct contributions of the caudate nucleus, rostral prefrontal cortex, and parietal cortex to the execution of instructed tasks.","Stocco A, Lebiere C, O'Reilly RC, Anderson JR","Cognitive, affective & behavioral neuroscience",0.233,22956331,-1,-1
rostral_00013,https://pubmed.ncbi.nlm.nih.gov/21481335/,Impaired hierarchical control within the lateral prefrontal cortex in schizophrenia.,"Barbalat G, Chambon V, Domenech PJ, Ody C, Koechlin E, Franck N, Farrer C",Biological psychiatry,0.222,21481335,-1,-1
rostral_00014,https://pubmed.ncbi.nlm.nih.gov/21352923/,A gateway system in rostral PFC? Evidence from biasing attention to perceptual information and internal representations.,"Henseler I, Kruger S, Dechent P, Gruber O",NeuroImage,0.221,21352923,-1,-1
rostral_00015,https://pubmed.ncbi.nlm.nih.gov/21371485/,The role of rostral prefrontal cortex in prospective memory: a voxel-based lesion study.,"Volle E, Gonen-Yaacovi G, Costello Ade L, Gilbert SJ, Burgess PW",Neuropsychologia,0.221,21371485,-1,-1
rostral_00016,https://pubmed.ncbi.nlm.nih.gov/20347878/,"Intrinsic functional connectivity of the periaqueductal gray, a resting fMRI study.","Kong J, Tu PC, Zyloney C, Su TP",Behavioural brain research,0.213,20347878,-1,-1
rostral_00017,https://pubmed.ncbi.nlm.nih.gov/23201367/,Cortical and subcortical responses to high and low effective placebo treatments.,"Geuter S, Eippert F, Hindi Attar C, Buchel C",NeuroImage,0.213,23201367,-1,-1
rostral_00018,https://pubmed.ncbi.nlm.nih.gov/21640191/,Activation of the dentate nucleus in a verb generation task: A 7T MRI study.,"Thurling M, Kuper M, Stefanescu R, Maderwald S, Gizewski ER, Ladd ME, Timmann D",NeuroImage,0.212,21640191,-1,-1
rostral_00019,https://pubmed.ncbi.nlm.nih.gov/16055352/,Neural dynamics of error processing in medial frontal cortex.,"Mars RB, Coles MG, Grol MJ, Holroyd CB, Nieuwenhuis S, Hulstijn W, Toni I",NeuroImage,0.21,16055352,-1,-1
rostral_00020,https://pubmed.ncbi.nlm.nih.gov/25451474/,"Creating external reminders for delayed intentions: dissociable influence on ""task-positive"" and ""task-negative"" brain networks.","Landsiedel J, Gilbert SJ",NeuroImage,0.205,25451474,-1,-1
