paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
rotation_00001,https://pubmed.ncbi.nlm.nih.gov/17532647/,The functional role of dorso-lateral premotor cortex during mental rotation: an event-related fMRI study separating cognitive processing steps using a novel task paradigm.,"Lamm C, Windischberger C, Moser E, Bauer H",NeuroImage,0.691,17532647,-1,-1
rotation_00002,https://pubmed.ncbi.nlm.nih.gov/17336947/,Distinct neural correlates underlying two- and three-dimensional mental rotations using three-dimensional objects.,"Kawamichi H, Kikuchi Y, Noriuchi M, Senoo A, Ueno S",Brain research,0.65,17336947,-1,-1
rotation_00003,https://pubmed.ncbi.nlm.nih.gov/25150630/,Template based rotation: A method for functional connectivity analysis with a priori templates.,"Schultz AP, Chhatwal JP, Huijbers W, Hedden T, van Dijk KR, McLaren DG, Ward AM, Wigman S, Sperling RA",NeuroImage,0.528,25150630,-1,-1
rotation_00004,https://pubmed.ncbi.nlm.nih.gov/17346989/,Mental rotation and object categorization share a common network of prefrontal and dorsal and ventral regions of posterior cortex.,"Schendan HE, Stern CE",NeuroImage,0.517,17346989,-1,-1
rotation_00005,https://pubmed.ncbi.nlm.nih.gov/11900744/,Mental rotation versus invariant features in object perception from different viewpoints: an fMRI study.,"Vanrie J, Beatse E, Wagemans J, Sunaert S, Van Hecke P",Neuropsychologia,0.492,11900744,-1,-1
rotation_00006,https://pubmed.ncbi.nlm.nih.gov/17409251/,The cortical representation of objects rotating in depth.,"Weigelt S, Kourtzi Z, Kohler A, Singer W, Muckli L",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.48,17409251,-1,-1
rotation_00007,https://pubmed.ncbi.nlm.nih.gov/18702586/,Functional neuroanatomy of mental rotation.,"Milivojevic B, Hamm JP, Corballis MC",Journal of cognitive neuroscience,0.478,18702586,-1,-1
rotation_00008,https://pubmed.ncbi.nlm.nih.gov/19850055/,Greater superior than inferior parietal lobule activation with increasing rotation angle during mental rotation: an fMRI study.,"Gogos A, Gavrilescu M, Davison S, Searle K, Adams J, Rossell SL, Bell R, Davis SR, Egan GF",Neuropsychologia,0.454,19850055,-1,-1
rotation_00009,https://pubmed.ncbi.nlm.nih.gov/15850736/,Trial pacing in mental rotation tasks.,"Seurinck R, Vingerhoets G, Vandemaele P, Deblaere K, Achten E",NeuroImage,0.452,15850736,-1,-1
rotation_00010,https://pubmed.ncbi.nlm.nih.gov/15949519/,Imagined rotations of self versus objects: an fMRI study.,"Wraga M, Shephard JM, Church JA, Inati S, Kosslyn SM",Neuropsychologia,0.444,15949519,-1,-1
rotation_00011,https://pubmed.ncbi.nlm.nih.gov/28011171/,Mental rotation task specifically modulates functional connectivity strength of intrinsic brain activity in low frequency domains: A maximum uncertainty linear discriminant analysis.,"Gao M, Zhang D, Wang Z, Liang B, Cai Y, Gao Z, Li J, Chang S, Jiao B, Huang R, Liu M",Behavioural brain research,0.433,28011171,-1,-1
rotation_00012,https://pubmed.ncbi.nlm.nih.gov/16935007/,Modulation of neural activity by angle of rotation during imagined spatial transformations.,"Keehner M, Guerin SA, Miller MB, Turk DJ, Hegarty M",NeuroImage,0.385,16935007,-1,-1
rotation_00013,https://pubmed.ncbi.nlm.nih.gov/17997284/,Effects of cross-sex hormones on cerebral activation during language and mental rotation: An fMRI study in transsexuals.,"Sommer IE, Cohen-Kettenis PT, van Raalten T, Vd Veer AJ, Ramsey LE, Gooren LJ, Kahn RS, Ramsey NF",European neuropsychopharmacology : the journal of the European College of Neuropsychopharmacology,0.38,17997284,-1,-1
rotation_00014,https://pubmed.ncbi.nlm.nih.gov/18033768/,Where vision meets memory: prefrontal-posterior networks for visual object constancy during categorization and recognition.,"Schendan HE, Stern CE","Cerebral cortex (New York, N.Y. : 1991)",0.379,18033768,-1,-1
rotation_00015,https://pubmed.ncbi.nlm.nih.gov/25446966/,Similarities between explicit and implicit motor imagery in mental rotation of hands: an EEG study.,"Osuagwu BA, Vuckovic A",Neuropsychologia,0.348,25446966,-1,-1
rotation_00016,https://pubmed.ncbi.nlm.nih.gov/22564482/,Mirrored or identical--is the role of visual perception underestimated in the mental rotation process of 3D-objects?: a combined fMRI-eye tracking-study.,"Paschke K, Jordan K, Wustenberg T, Baudewig J, Leo Muller J",Neuropsychologia,0.345,22564482,-1,-1
