paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
rt_00001,https://pubmed.ncbi.nlm.nih.gov/26318935/,"Reaction time-related activity reflecting periodic, task-specific cognitive control.","Barber AD, Pekar JJ, Mostofsky SH",Behavioural brain research,0.791,26318935,-1,-1
rt_00002,https://pubmed.ncbi.nlm.nih.gov/28348952/,Radiation-induced abnormal cortical thickness in patients with nasopharyngeal carcinoma after radiotherapy.,"Lin J, Lv X, Niu M, Liu L, Chen J, Xie F, Zhong M, Qiu S, Li L, Huang R",NeuroImage. Clinical,0.768,28348952,-1,-1
rt_00003,https://pubmed.ncbi.nlm.nih.gov/21835249/,Removing the effect of response time on brain activity reveals developmental differences in conflict processing in the posterior medial prefrontal cortex.,"Carp J, Fitzgerald KD, Taylor SF, Weissman DH",NeuroImage,0.65,21835249,-1,-1
rt_00004,https://pubmed.ncbi.nlm.nih.gov/15811551/,Activation of the precuneus is related to reduced reaction time in serial reaction time tasks.,"Oishi K, Toma K, Bagarinao ET, Matsuo K, Nakai T, Chihara K, Fukuyama H",Neuroscience research,0.624,15811551,-1,-1
rt_00005,https://pubmed.ncbi.nlm.nih.gov/24904992/,Interpreting response time effects in functional imaging studies.,"Taylor JS, Rastle K, Davis MH",NeuroImage,0.619,24904992,-1,-1
rt_00006,https://pubmed.ncbi.nlm.nih.gov/19165335/,BOLD correlates of trial-by-trial reaction time variability in gray and white matter: a multi-study fMRI analysis.,"Yarkoni T, Barch DM, Gray JR, Conturo TE, Braver TS",PloS one,0.588,19165335,-1,-1
rt_00007,https://pubmed.ncbi.nlm.nih.gov/23613739/,Neural congruency effects in the multi-source interference task vanish in healthy youth after controlling for conditional differences in mean RT.,"Kim K, Carp J, Fitzgerald KD, Taylor SF, Weissman DH",PloS one,0.568,23613739,-1,-1
rt_00008,https://pubmed.ncbi.nlm.nih.gov/11532885/,Neural correlates of dual task interference can be dissociated from those of divided attention: an fMRI study.,"Herath P, Klingberg T, Young J, Amunts K, Roland P","Cerebral cortex (New York, N.Y. : 1991)",0.53,11532885,-1,-1
rt_00009,https://pubmed.ncbi.nlm.nih.gov/23149023/,Behavioral regulation in methamphetamine abusers: an fMRI study.,"Salo R, Fassbender C, Buonocore MH, Ursu S",Psychiatry research,0.522,23149023,-1,-1
rt_00010,https://pubmed.ncbi.nlm.nih.gov/23638070/,The congruency effect in the posterior medial frontal cortex is more consistent with time on task than with response conflict.,"Weissman DH, Carp J",PloS one,0.504,23638070,-1,-1
