paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
saccades_00001,https://pubmed.ncbi.nlm.nih.gov/17717657/,"Neural activation associated with corrective saccades during tasks with fixation, pursuit and saccades.","Haller S, Fasler D, Ohlendorf S, Radue EW, Greenlee MW",Experimental brain research,0.852,17717657,10.1007/s00221-007-1077-y,-1
saccades_00002,https://pubmed.ncbi.nlm.nih.gov/15110020/,The encoding of saccadic eye movements within human posterior parietal cortex.,"Konen CS, Kleiser R, Wittsack HJ, Bremmer F, Seitz RJ",NeuroImage,0.642,15110020,10.1016/j.neuroimage.2003.12.039,-1
saccades_00003,https://pubmed.ncbi.nlm.nih.gov/27391390/,An fMRI Investigation of Preparatory Set in the Human Cerebral Cortex and Superior Colliculus for Pro- and Anti-Saccades.,"Furlan M, Smith AT, Walker R",PloS one,0.638,27391390,-1,-1
saccades_00004,https://pubmed.ncbi.nlm.nih.gov/20084170/,High-field FMRI reveals brain activation patterns underlying saccade execution in the human superior colliculus.,"Krebs RM, Woldorff MG, Tempelmann C, Bodammer N, Noesselt T, Boehler CN, Scheich H, Hopf JM, Duzel E, Heinze HJ, Schoenfeld MA",PloS one,0.633,20084170,-1,-1
saccades_00005,https://pubmed.ncbi.nlm.nih.gov/18797855/,Cortical and cerebellar activation induced by reflexive and voluntary saccades.,"Schraa-Tam CK, van Broekhoven P, van der Geest JN, Frens MA, Smits M, van der Lugt A",Experimental brain research,0.613,18797855,-1,-1
saccades_00006,https://pubmed.ncbi.nlm.nih.gov/15108303/,Activation of cerebellar hemispheres in spatial memorization of saccadic eye movements: an fMRI study.,"Nitschke MF, Binkofski F, Buccino G, Posse S, Erdmann C, Kompf D, Seitz RJ, Heide W",Human brain mapping,0.59,15108303,-1,-1
saccades_00007,https://pubmed.ncbi.nlm.nih.gov/12595178/,Differential cortical activation during voluntary and reflexive saccades in man.,"Mort DJ, Perry RJ, Mannan SK, Hodgson TL, Anderson E, Quest R, McRobbie D, McBride A, Husain M, Kennard C",NeuroImage,0.548,12595178,-1,-1
saccades_00008,https://pubmed.ncbi.nlm.nih.gov/11050027/,The neurology of saccades and covert shifts in spatial attention: an event-related fMRI study.,"Perry RJ, Zeki S",Brain : a journal of neurology,0.516,11050027,10.1093/brain/123.11.2273,-1
saccades_00009,https://pubmed.ncbi.nlm.nih.gov/23867736/,Differential roles of the frontal and parietal cortices in the control of saccades.,"Bender J, Tark KJ, Reuter B, Kathmann N, Curtis CE",Brain and cognition,0.514,23867736,10.1016/j.bandc.2013.06.005,-1
saccades_00010,https://pubmed.ncbi.nlm.nih.gov/11285015/,Activation of frontoparietal cortices during memorized triple-step sequences of saccadic eye movements: an fMRI study.,"Heide W, Binkofski F, Seitz RJ, Posse S, Nitschke MF, Freund HJ, Kompf D",The European journal of neuroscience,0.459,11285015,10.1046/j.0953-816x.2001.01472.x,-1
