paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
schizophrenia_00001,https://pubmed.ncbi.nlm.nih.gov/25477799/,Functional connectivity density alterations in schizophrenia.,"Zhuo C, Zhu J, Qin W, Qu H, Ma X, Tian H, Xu Q, Yu C",Frontiers in behavioral neuroscience,0.604,25477799,-1,-1
schizophrenia_00002,https://pubmed.ncbi.nlm.nih.gov/16530393/,Language lateralization in unmedicated patients during an acute episode of schizophrenia: a functional MRI study.,"Weiss EM, Hofer A, Golaszewski S, Siedentopf C, Felber S, Fleischhacker WW",Psychiatry research,0.584,16530393,-1,-1
schizophrenia_00003,https://pubmed.ncbi.nlm.nih.gov/26510167/,Associations between polygenic risk for schizophrenia and brain function during probabilistic learning in healthy individuals.,"Lancaster TM, Ihssen N, Brindley LM, Tansey KE, Mantripragada K, O'Donovan MC, Owen MJ, Linden DE",Human brain mapping,0.58,26510167,-1,-1
schizophrenia_00004,https://pubmed.ncbi.nlm.nih.gov/23403412/,Semantic association fMRI impairments represent a potential schizophrenia biomarker.,"Jamadar SD, Pearlson GD, O'Neil KM, Assaf M",Schizophrenia research,0.569,23403412,-1,-1
schizophrenia_00005,https://pubmed.ncbi.nlm.nih.gov/15949653/,Prefrontal functioning during context processing in schizophrenia and major depression: an event-related fMRI study.,"Holmes AJ, MacDonald A 3rd, Carter CS, Barch DM, Andrew Stenger V, Cohen JD",Schizophrenia research,0.566,15949653,-1,-1
schizophrenia_00006,https://pubmed.ncbi.nlm.nih.gov/20869846/,Altered engagement of attention and default networks during target detection in schizophrenia.,"Hasenkamp W, James GA, Boshoven W, Duncan E",Schizophrenia research,0.534,20869846,-1,-1
schizophrenia_00007,https://pubmed.ncbi.nlm.nih.gov/22678652/,Perceived patient-parent relationships and neural representation of parents in schizophrenia.,"Choi SH, Lee SH, Park HJ, Chun JW, Kang JI, Kim JJ",European archives of psychiatry and clinical neuroscience,0.519,22678652,-1,-1
schizophrenia_00008,https://pubmed.ncbi.nlm.nih.gov/16814986/,Deficit in schizophrenia to recruit the striatum in implicit learning: a functional magnetic resonance imaging investigation.,"Reiss JP, Campbell DW, Leslie WD, Paulus MP, Ryner LN, Polimeni JO, Foot BJ, Sareen J",Schizophrenia research,0.513,16814986,-1,-1
schizophrenia_00009,https://pubmed.ncbi.nlm.nih.gov/21144498/,An anterior-to-posterior shift in midline cortical activity in schizophrenia during self-reflection.,"Holt DJ, Cassidy BS, Andrews-Hanna JR, Lee SM, Coombs G, Goff DC, Gabrieli JD, Moran JM",Biological psychiatry,0.51,21144498,-1,-1
schizophrenia_00010,https://pubmed.ncbi.nlm.nih.gov/12738340/,Brain activation patterns during a selective attention test-a functional MRI study in healthy volunteers and patients with schizophrenia.,"Weiss EM, Golaszewski S, Mottaghy FM, Hofer A, Hausmann A, Kemmler G, Kremser C, Brinkhoff C, Felber SR, Fleischhacker WW",Psychiatry research,0.502,12738340,-1,-1
