paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
schizophrenic_00001,https://pubmed.ncbi.nlm.nih.gov/12714175/,Impairment in basal limbic function in schizophrenia during affect recognition.,"Hempel A, Hempel E, Schonknecht P, Stippich C, Schroder J",Psychiatry research,0.57,12714175,-1,-1
schizophrenic_00002,https://pubmed.ncbi.nlm.nih.gov/18335036/,Origins of spatial working memory deficits in schizophrenia: an event-related FMRI and near-infrared spectroscopy study.,"Lee J, Folley BS, Gore J, Park S",PloS one,0.55,18335036,-1,-1
schizophrenic_00003,https://pubmed.ncbi.nlm.nih.gov/25774979/,The neuroanatomical basis of panic disorder and social phobia in schizophrenia: a voxel based morphometric study.,"Picado M, Carmona S, Hoekzema E, Pailhez G, Berge D, Mane A, Fauquet J, Hilferty J, Moreno A, Cortizo R, Vilarroya O, Bulbena A",PloS one,0.513,25774979,-1,-1
schizophrenic_00004,https://pubmed.ncbi.nlm.nih.gov/22174900/,Convergent evidence from multimodal imaging reveals amygdala abnormalities in schizophrenic patients and their first-degree relatives.,"Tian L, Meng C, Yan H, Zhao Q, Liu Q, Yan J, Han Y, Yuan H, Wang L, Yue W, Zhang Y, Li X, Zhu C, He Y, Zhang D",PloS one,0.453,22174900,-1,-1
schizophrenic_00005,https://pubmed.ncbi.nlm.nih.gov/15135157/,Functional magnetic resonance imaging in schizophrenia: cortical response to motor stimulation.,"Rogowska J, Gruber SA, Yurgelun-Todd DA",Psychiatry research,0.399,15135157,-1,-1
schizophrenic_00006,https://pubmed.ncbi.nlm.nih.gov/18818053/,Abnormal brain response during the auditory emotional processing in schizophrenic patients with chronic auditory hallucinations.,"Kang JI, Kim JJ, Seok JH, Chun JW, Lee SK, Park HJ",Schizophrenia research,0.385,18818053,-1,-1
schizophrenic_00007,https://pubmed.ncbi.nlm.nih.gov/23867921/,Irony comprehension and context processing in schizophrenia during remission--a functional MRI study.,"Varga E, Simon M, Tenyi T, Schnell Z, Hajnal A, Orsi G, Doczi T, Komoly S, Janszky J, Furedi R, Hamvas E, Fekete S, Herold R",Brain and language,0.381,23867921,-1,-1
schizophrenic_00008,https://pubmed.ncbi.nlm.nih.gov/15488397/,Real-time neural activity and connectivity in healthy individuals and schizophrenia patients.,"Ioannides AA, Poghosyan V, Dammers J, Streit M",NeuroImage,0.378,15488397,-1,-1
schizophrenic_00009,https://pubmed.ncbi.nlm.nih.gov/12165379/,Differential amygdala response during facial recognition in patients with schizophrenia: an fMRI study.,"Kosaka H, Omori M, Murata T, Iidaka T, Yamada H, Okada T, Takahashi T, Sadato N, Itoh H, Yonekura Y, Wada Y",Schizophrenia research,0.376,12165379,-1,-1
schizophrenic_00010,https://pubmed.ncbi.nlm.nih.gov/24135773/,Shifted neuronal balance during stimulus-response integration in schizophrenia: an fMRI study.,"Cieslik EC, Muller VI, Kellermann TS, Grefkes C, Halfter S, Eickhoff SB",Brain structure & function,0.356,24135773,-1,-1
schizophrenic_00011,https://pubmed.ncbi.nlm.nih.gov/12165380/,Procedural learning in schizophrenia: a functional magnetic resonance imaging investigation.,"Kumari V, Gray JA, Honey GD, Soni W, Bullmore ET, Williams SC, Ng VW, Vythelingum GN, Simmons A, Suckling J, Corr PJ, Sharma T",Schizophrenia research,0.352,12165380,-1,-1
schizophrenic_00012,https://pubmed.ncbi.nlm.nih.gov/19097861/,Reduced fronto-temporal connectivity is associated with frontal gray matter density reduction and neuropsychological deficit in schizophrenia.,"Spoletini I, Cherubini A, Di Paola M, Banfi G, Rusch N, Martinotti G, Bria P, Rubino IA, Siracusano A, Caltagirone C, Spalletta G",Schizophrenia research,0.338,19097861,-1,-1
schizophrenic_00013,https://pubmed.ncbi.nlm.nih.gov/19327402/,Understanding why patients with schizophrenia do not perceive the hollow-mask illusion using dynamic causal modelling.,"Dima D, Roiser JP, Dietrich DE, Bonnemann C, Lanfermann H, Emrich HM, Dillo W",NeuroImage,0.335,19327402,-1,-1
schizophrenic_00014,https://pubmed.ncbi.nlm.nih.gov/12814586/,Sustained attention impairment correlates to gray matter decreases in first episode neuroleptic-naive schizophrenic patients.,"Salgado-Pineda P, Baeza I, Perez-Gomez M, Vendrell P, Junque C, Bargallo N, Bernardo M",NeuroImage,0.32,12814586,-1,-1
schizophrenic_00015,https://pubmed.ncbi.nlm.nih.gov/17855057/,Blunted activation in right ventrolateral prefrontal cortex during motor response inhibition in schizophrenia.,"Kaladjian A, Jeanningros R, Azorin JM, Grimault S, Anton JL, Mazzola-Pomietto P",Schizophrenia research,0.307,17855057,-1,-1
schizophrenic_00016,https://pubmed.ncbi.nlm.nih.gov/21095105/,Correlated structural and functional brain abnormalities in the default mode network in schizophrenia patients.,"Salgado-Pineda P, Fakra E, Delaveau P, McKenna PJ, Pomarol-Clotet E, Blin O",Schizophrenia research,0.296,21095105,-1,-1
schizophrenic_00017,https://pubmed.ncbi.nlm.nih.gov/21840407/,Cortico-striatal disconnection within the cingulo-opercular network in schizophrenia revealed by intrinsic functional connectivity analysis: a resting fMRI study.,"Tu PC, Hsieh JC, Li CT, Bai YM, Su TP",NeuroImage,0.292,21840407,-1,-1
schizophrenic_00018,https://pubmed.ncbi.nlm.nih.gov/15099600/,Working memory capacity in schizophrenia: a parametric fMRI study.,"Jansma JM, Ramsey NF, van der Wee NJ, Kahn RS",Schizophrenia research,0.282,15099600,-1,-1
schizophrenic_00019,https://pubmed.ncbi.nlm.nih.gov/18234477/,Neural bases of different cognitive strategies for facial affect processing in schizophrenia.,"Fakra E, Salgado-Pineda P, Delaveau P, Hariri AR, Blin O",Schizophrenia research,0.281,18234477,-1,-1
