paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
selective_00001,https://pubmed.ncbi.nlm.nih.gov/21813690/,Mirror-image sensitivity and invariance in object and scene processing pathways.,"Dilks DD, Julian JB, Kubilius J, Spelke ES, Kanwisher N",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.374,21813690,-1,-1
selective_00002,https://pubmed.ncbi.nlm.nih.gov/18985133/,Emotional modulation of body-selective visual areas.,"Peelen MV, Atkinson AP, Andersson F, Vuilleumier P",Social cognitive and affective neuroscience,0.361,18985133,-1,-1
selective_00003,https://pubmed.ncbi.nlm.nih.gov/23647514/,Tool selectivity in left occipitotemporal cortex develops without vision.,"Peelen MV, Bracci S, Lu X, He C, Caramazza A, Bi Y",Journal of cognitive neuroscience,0.36,23647514,-1,-1
selective_00004,https://pubmed.ncbi.nlm.nih.gov/28321607/,It's in the eye of the beholder: selective attention to drink properties during tasting influences brain activation in gustatory and reward regions.,"van Rijn I, de Graaf C, Smeets PAM",Brain imaging and behavior,0.339,28321607,-1,-1
selective_00005,https://pubmed.ncbi.nlm.nih.gov/27102544/,Automaticity and localisation of concurrents predicts colour area activity in grapheme-colour synaesthesia.,"Gould van Praag CD, Garfinkel S, Ward J, Bor D, Seth AK",Neuropsychologia,0.336,27102544,-1,-1
selective_00006,https://pubmed.ncbi.nlm.nih.gov/26831102/,Selective memory retrieval of auditory what and auditory where involves the ventrolateral prefrontal cortex.,"Kostopoulos P, Petrides M",Proceedings of the National Academy of Sciences of the United States of America,0.314,26831102,-1,-1
selective_00007,https://pubmed.ncbi.nlm.nih.gov/15295012/,Selectivity for the human body in the fusiform gyrus.,"Peelen MV, Downing PE",Journal of neurophysiology,0.313,15295012,-1,-1
selective_00008,https://pubmed.ncbi.nlm.nih.gov/16418844/,Brain activity during visuomotor behavior triggered by arbitrary and spatially constrained cues: an fMRI study in humans.,"Hanakawa T, Honda M, Zito G, Dimyan MA, Hallett M",Experimental brain research,0.313,16418844,-1,-1
selective_00009,https://pubmed.ncbi.nlm.nih.gov/23984945/,Robust selectivity for faces in the human amygdala in the absence of expressions.,"Mende-Siedlecki P, Verosky SC, Turk-Browne NB, Todorov A",Journal of cognitive neuroscience,0.312,23984945,-1,-1
selective_00010,https://pubmed.ncbi.nlm.nih.gov/19620621/,The selectivity and functional connectivity of the anterior temporal lobes.,"Simmons WK, Reddish M, Bellgowan PS, Martin A","Cerebral cortex (New York, N.Y. : 1991)",0.309,19620621,-1,-1
selective_00011,https://pubmed.ncbi.nlm.nih.gov/23425892/,Person- and Place-Selective Neural Substrates for Entity-Specific Semantic Access.,"Fairhall SL, Anzellotti S, Ubaldi S, Caramazza A","Cerebral cortex (New York, N.Y. : 1991)",0.301,23425892,-1,-1
