paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
self report_00001,https://pubmed.ncbi.nlm.nih.gov/27921216/,Neural correlates of rumination in adolescents with remitted major depressive disorder and healthy controls.,"Burkhouse KL, Jacobs RH, Peters AT, Ajilore O, Watkins ER, Langenecker SA","Cognitive, affective & behavioral neuroscience",0.255,27921216,-1,-1
self report_00002,https://pubmed.ncbi.nlm.nih.gov/26497912/,Experience of negative emotions in Parkinson's disease: An fMRI investigation.,"Schienle A, Ille R, Wabnegger A",Neuroscience letters,0.229,26497912,-1,-1
self report_00003,https://pubmed.ncbi.nlm.nih.gov/21738725/,Cognitive control in adolescence: neural underpinnings and relation to self-report behaviors.,"Andrews-Hanna JR, Mackiewicz Seghete KL, Claus ED, Burgess GC, Ruzic L, Banich MT",PloS one,0.225,21738725,-1,-1
self report_00004,https://pubmed.ncbi.nlm.nih.gov/15946863/,Attention and emotion: does rating emotion alter neural responses to amusing and  sad films?,"Hutcherson CA, Goldin PR, Ochsner KN, Gabrieli JD, Barrett LF, Gross JJ",NeuroImage,0.19,15946863,-1,-1
self report_00005,https://pubmed.ncbi.nlm.nih.gov/24099849/,Talking about social conflict in the MRI scanner: neural correlates of being empathized with.,"Seehausen M, Kazzer P, Bajbouj M, Heekeren HR, Jacobs AM, Klann-Delius G, Menninghaus W, Prehn K",NeuroImage,0.189,24099849,-1,-1
self report_00006,https://pubmed.ncbi.nlm.nih.gov/27880789/,Targeting Ruminative Thinking in Adolescents at Risk for Depressive Relapse: Rumination-Focused Cognitive Behavior Therapy in a Pilot Randomized Controlled Trial with Resting State fMRI.,"Jacobs RH, Watkins ER, Peters AT, Feldhaus CG, Barba A, Carbray J, Langenecker SA",PloS one,0.176,27880789,-1,-1
self report_00007,https://pubmed.ncbi.nlm.nih.gov/20162603/,Interest in politics modulates neural activity in the amygdala and ventral striatum.,"Gozzi M, Zamboni G, Krueger F, Grafman J",Human brain mapping,0.169,20162603,-1,-1
self report_00008,https://pubmed.ncbi.nlm.nih.gov/22230946/,"Fighting food temptations: the modulating effects of short-term cognitive reappraisal, suppression and up-regulation on mesocorticolimbic activity related  to appetitive motivation.","Siep N, Roefs A, Roebroeck A, Havermans R, Bonte M, Jansen A",NeuroImage,0.161,22230946,-1,-1
self report_00009,https://pubmed.ncbi.nlm.nih.gov/22553018/,Prefrontal contributions to metacognition in perceptual decision making.,"Fleming SM, Huijgen J, Dolan RJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.155,22553018,-1,-1
self report_00010,https://pubmed.ncbi.nlm.nih.gov/12644355/,Neural circuitry underlying voluntary suppression of sadness.,"Levesque J, Eugene F, Joanette Y, Paquette V, Mensour B, Beaudoin G, Leroux JM, Bourgouin P, Beauregard M",Biological psychiatry,0.146,12644355,-1,-1
