paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
sensitivity_00001,https://pubmed.ncbi.nlm.nih.gov/23840558/,Reward sensitivity is associated with brain activity during erotic stimulus processing.,"Costumero V, Barros-Loscertales A, Bustamante JC, Ventura-Campos N, Fuentes P, Rosell-Negre P, Avila C",PloS one,0.501,23840558,-1,-1
sensitivity_00002,https://pubmed.ncbi.nlm.nih.gov/26071623/,Neural correlates of anxiety sensitivity in panic disorder: A functional magnetic resonance imaging study.,"Poletti S, Radaelli D, Cucchi M, Ricci L, Vai B, Smeraldi E, Benedetti F",Psychiatry research,0.458,26071623,-1,-1
sensitivity_00003,https://pubmed.ncbi.nlm.nih.gov/23408389/,Uncertainty in visual and auditory series is coded by modality-general and modality-specific neural systems.,"Nastase S, Iacovella V, Hasson U",Human brain mapping,0.396,23408389,-1,-1
sensitivity_00004,https://pubmed.ncbi.nlm.nih.gov/26772873/,Inferior frontal cortex activity is modulated by reward sensitivity and performance variability.,"Fuentes-Claramonte P, Avila C, Rodriguez-Pujadas A, Costumero V, Ventura-Campos N, Bustamante JC, Rosell-Negre P, Barros-Loscertales A",Biological psychology,0.393,26772873,-1,-1
sensitivity_00005,https://pubmed.ncbi.nlm.nih.gov/28488021/,Striatal reward sensitivity predicts therapy-related neural changes in alcohol addiction.,"Becker A, Gerchen MF, Kirsch M, Hoffmann S, Kiefer F, Kirsch P",European archives of psychiatry and clinical neuroscience,0.391,28488021,-1,-1
sensitivity_00006,https://pubmed.ncbi.nlm.nih.gov/26515905/,The quest for the best: The impact of different EPI sequences on the sensitivity  of random effect fMRI group analyses.,"Kirilina E, Lutti A, Poser BA, Blankenburg F, Weiskopf N",NeuroImage,0.385,26515905,-1,-1
sensitivity_00007,https://pubmed.ncbi.nlm.nih.gov/19682587/,Improved shimming for fMRI specifically optimizing the local BOLD sensitivity.,"Balteau E, Hutton C, Weiskopf N",NeuroImage,0.352,19682587,-1,-1
sensitivity_00008,https://pubmed.ncbi.nlm.nih.gov/25183886/,Increased Moral Sensitivity for Outgroup Perpetrators Harming Ingroup Members.,"Molenberghs P, Gapp J, Wang B, Louis WR, Decety J","Cerebral cortex (New York, N.Y. : 1991)",0.349,25183886,-1,-1
sensitivity_00009,https://pubmed.ncbi.nlm.nih.gov/25875640/,"Reward sensitivity modulates brain activity in the prefrontal cortex, ACC and striatum during task switching.","Fuentes-Claramonte P, Avila C, Rodriguez-Pujadas A, Ventura-Campos N, Bustamante JC, Costumero V, Rosell-Negre P, Barros-Loscertales A",PloS one,0.348,25875640,-1,-1
sensitivity_00010,https://pubmed.ncbi.nlm.nih.gov/26067832/,Decoding Accuracy in Supplementary Motor Cortex Correlates with Perceptual Sensitivity to Tactile Roughness.,"Kim J, Chung YG, Park JY, Chung SC, Wallraven C, Bulthoff HH, Kim SP",PloS one,0.335,26067832,-1,-1
sensitivity_00011,https://pubmed.ncbi.nlm.nih.gov/12077201/,"The spatiotemporal dynamics of illusory contour processing: combined high-density electrical mapping, source analysis, and functional magnetic resonance imaging.","Murray MM, Wylie GR, Higgins BA, Javitt DC, Schroeder CE, Foxe JJ",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.33,12077201,-1,-1
sensitivity_00012,https://pubmed.ncbi.nlm.nih.gov/22516588/,Cortical thickness correlates of pain and temperature sensitivity.,"Erpelding N, Moayedi M, Davis KD",Pain,0.33,22516588,-1,-1
sensitivity_00013,https://pubmed.ncbi.nlm.nih.gov/27838595/,Lower neighborhood quality in adolescence predicts higher mesolimbic sensitivity  to reward anticipation in adulthood.,"Gonzalez MZ, Allen JP, Coan JA",Developmental cognitive neuroscience,0.328,27838595,-1,-1
sensitivity_00014,https://pubmed.ncbi.nlm.nih.gov/19349231/,Investigating the benefits of multi-echo EPI for fMRI at 7 T.,"Poser BA, Norris DG",NeuroImage,0.321,19349231,-1,-1
sensitivity_00015,https://pubmed.ncbi.nlm.nih.gov/19674084/,The fusiform face area and occipital face area show sensitivity to spatial relations in faces.,"Rhodes G, Michie PT, Hughes ME, Byatt G",The European journal of neuroscience,0.321,19674084,-1,-1
sensitivity_00016,https://pubmed.ncbi.nlm.nih.gov/17174987/,The neural processing of moral sensitivity to issues of justice and care.,"Robertson D, Snarey J, Ousley O, Harenski K, DuBois Bowman F, Gilkey R, Kilts C",Neuropsychologia,0.295,17174987,-1,-1
sensitivity_00017,https://pubmed.ncbi.nlm.nih.gov/22887826/,Diagnosing different binge-eating disorders based on reward-related brain activation patterns.,"Weygandt M, Schaefer A, Schienle A, Haynes JD",Human brain mapping,0.289,22887826,-1,-1
sensitivity_00018,https://pubmed.ncbi.nlm.nih.gov/18342542/,Classification images reveal the information sensitivity of brain voxels in fMRI.,"Smith FW, Muckli L, Brennan D, Pernet C, Smith ML, Belin P, Gosselin F, Hadley DM, Cavanagh J, Schyns PG",NeuroImage,0.28,18342542,-1,-1
sensitivity_00019,https://pubmed.ncbi.nlm.nih.gov/28411527/,Development of sensitivity versus specificity for print in the visual word form area.,"Centanni TM, King LW, Eddy MD, Whitfield-Gabrieli S, Gabrieli JDE",Brain and language,0.272,28411527,-1,-1
sensitivity_00020,https://pubmed.ncbi.nlm.nih.gov/24583185/,Glucose-induced inhibition of the appetitive brain response to visual food cues in polycystic ovary syndrome patients.,"Van Vugt DA, Krzemien A, Alsaadi H, Frank TC, Reid RL",Brain research,0.271,24583185,-1,-1
sensitivity_00021,https://pubmed.ncbi.nlm.nih.gov/20395549/,Brain sensitivity to print emerges when children learn letter-speech sound correspondences.,"Brem S, Bach S, Kucian K, Guttorm TK, Martin E, Lyytinen H, Brandeis D, Richardson U",Proceedings of the National Academy of Sciences of the United States of America,0.267,20395549,-1,-1
