paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
sensory motor_00001,https://pubmed.ncbi.nlm.nih.gov/23891645/,A piece of the action: modulation of sensory-motor regions by action idioms and metaphors.,"Desai RH, Conant LL, Binder JR, Park H, Seidenberg MS",NeuroImage,0.485,23891645,-1,-1
sensory motor_00002,https://pubmed.ncbi.nlm.nih.gov/25750259/,Concept Representation Reflects Multimodal Abstraction: A Framework for Embodied  Semantics.,"Fernandino L, Binder JR, Desai RH, Pendl SL, Humphries CJ, Gross WL, Conant LL, Seidenberg MS","Cerebral cortex (New York, N.Y. : 1991)",0.485,25750259,-1,-1
sensory motor_00003,https://pubmed.ncbi.nlm.nih.gov/19348727/,Two cortical mechanisms support the integration of visual and auditory speech: a  hypothesis and preliminary data.,"Okada K, Hickok G",Neuroscience letters,0.418,19348727,-1,-1
sensory motor_00004,https://pubmed.ncbi.nlm.nih.gov/17709121/,A parietal-temporal sensory-motor integration area for the human vocal tract: evidence from an fMRI study of skilled musicians.,"Pa J, Hickok G",Neuropsychologia,0.363,17709121,-1,-1
sensory motor_00005,https://pubmed.ncbi.nlm.nih.gov/21471398/,Integration of sensory and motor representations of single fingers in the human cerebellum.,"Wiestler T, McGonigle DJ, Diedrichsen J",Journal of neurophysiology,0.351,21471398,-1,-1
sensory motor_00006,https://pubmed.ncbi.nlm.nih.gov/21932266/,Functionally distinct regions for spatial processing and sensory motor integration in the planum temporale.,"Isenberg AL, Vaden KI Jr, Saberi K, Muftuler LT, Hickok G",Human brain mapping,0.332,21932266,-1,-1
sensory motor_00007,https://pubmed.ncbi.nlm.nih.gov/24623776/,The time course of task-specific memory consolidation effects in resting state networks.,"Sami S, Robertson EM, Miall RC",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.326,24623776,-1,-1
sensory motor_00008,https://pubmed.ncbi.nlm.nih.gov/15271588/,Functional lateralization of the sensorimotor cortex in patients with schizophrenia: effects of treatment with olanzapine.,"Bertolino A, Blasi G, Caforio G, Latorre V, De Candia M, Rubino V, Callicott JH, Mattay VS, Bellomo A, Scarabino T, Weinberger DR, Nardini M",Biological psychiatry,0.32,15271588,-1,-1
sensory motor_00009,https://pubmed.ncbi.nlm.nih.gov/25019676/,Brain representations for acquiring and recalling visual-motor adaptations.,"Bedard P, Sanes JN",NeuroImage,0.303,25019676,-1,-1
sensory motor_00010,https://pubmed.ncbi.nlm.nih.gov/10400975/,Movement-related cerebellar activation in the absence of sensory input.,"Weeks RA, Gerloff C, Honda M, Dalakas MC, Hallett M",Journal of neurophysiology,0.298,10400975,-1,-1
sensory motor_00011,https://pubmed.ncbi.nlm.nih.gov/24465577/,Motor imagery learning modulates functional connectivity of multiple brain systems in resting state.,"Zhang H, Long Z, Ge R, Xu L, Jin Z, Yao L, Liu Y",PloS one,0.295,24465577,-1,-1
sensory motor_00012,https://pubmed.ncbi.nlm.nih.gov/19569071/,Mapping the pathways of information processing from sensation to action in four distinct sensorimotor tasks.,"Ivanoff J, Branning P, Marois R",Human brain mapping,0.284,19569071,-1,-1
sensory motor_00013,https://pubmed.ncbi.nlm.nih.gov/25681159/,Involvement of the Motor System in Comprehension of Non-Literal Action Language:  A Meta-Analysis Study.,"Yang J, Shu H",Brain topography,0.256,25681159,-1,-1
sensory motor_00014,https://pubmed.ncbi.nlm.nih.gov/15652307/,Cerebral activation using a MR-compatible piezoelectric actuator with adjustable  vibration frequencies and in vivo wave propagation control.,"Gizewski ER, Koeze O, Uffmann K, de Greiff A, Ladd ME, Forsting M",NeuroImage,0.244,15652307,-1,-1
sensory motor_00015,https://pubmed.ncbi.nlm.nih.gov/14627638/,Experience-dependent activation patterns in human brain during visual-motor associative learning.,"Eliassen JC, Souza T, Sanes JN",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.243,14627638,-1,-1
sensory motor_00016,https://pubmed.ncbi.nlm.nih.gov/27734301/,Right sensory-motor functional networks subserve action observation therapy in aphasia.,"Gili T, Fiori V, De Pasquale G, Sabatini U, Caltagirone C, Marangolo P",Brain imaging and behavior,0.235,27734301,-1,-1
sensory motor_00017,https://pubmed.ncbi.nlm.nih.gov/19925191/,Cognitive and motor loops of the human cerebro-cerebellar system.,"Salmi J, Pallesen KJ, Neuvonen T, Brattico E, Korvenoja A, Salonen O, Carlson S",Journal of cognitive neuroscience,0.233,19925191,-1,-1
sensory motor_00018,https://pubmed.ncbi.nlm.nih.gov/22674273/,Gray matter density of auditory association cortex relates to knowledge of sound  concepts in primary progressive aphasia.,"Bonner MF, Grossman M",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.229,22674273,-1,-1
sensory motor_00019,https://pubmed.ncbi.nlm.nih.gov/25411452/,Brain activity associated with illusory correlations in animal phobia.,"Wiemer J, Schulz SM, Reicherts P, Glotzbach-Schoon E, Andreatta M, Pauli P",Social cognitive and affective neuroscience,0.222,25411452,-1,-1
sensory motor_00020,https://pubmed.ncbi.nlm.nih.gov/21653723/,The organization of the human cerebral cortex estimated by intrinsic functional connectivity.,"Yeo BT, Krienen FM, Sepulcre J, Sabuncu MR, Lashkari D, Hollinshead M, Roffman JL, Smoller JW, Zollei L, Polimeni JR, Fischl B, Liu H, Buckner RL",Journal of neurophysiology,0.218,21653723,-1,-1
sensory motor_00021,https://pubmed.ncbi.nlm.nih.gov/19068489/,Grasping ideas with the motor system: semantic somatotopy in idiom comprehension.,"Boulenger V, Hauk O, Pulvermuller F","Cerebral cortex (New York, N.Y. : 1991)",0.217,19068489,10.1093/cercor/bhn217,-1
sensory motor_00022,https://pubmed.ncbi.nlm.nih.gov/17644414/,fMRI at 7 T: whole-brain coverage and signal advantages even infratentorially?,"Gizewski ER, de Greiff A, Maderwald S, Timmann D, Forsting M, Ladd ME",NeuroImage,0.209,17644414,-1,-1
