paper_name,paper_url,Title,Author,Journal,Loading,PMID,Doi,download_status
sequences_00001,https://pubmed.ncbi.nlm.nih.gov/20858544/,"FMRI investigation of cross-modal interactions in beat perception: audition primes vision, but not vice versa.","Grahn JA, Henry MJ, McAuley JD",NeuroImage,0.643,20858544,-1,-1
sequences_00002,https://pubmed.ncbi.nlm.nih.gov/23448522/,Individual sequence representations in the medial temporal lobe.,"Kalm K, Davis MH, Norris D",Journal of cognitive neuroscience,0.571,23448522,-1,-1
sequences_00003,https://pubmed.ncbi.nlm.nih.gov/11549616/,Human cortical networks for new and familiar sequences of saccades.,"Grosbras MH, Leonards U, Lobel E, Poline JB, LeBihan D, Berthoz A","Cerebral cortex (New York, N.Y. : 1991)",0.553,11549616,-1,-1
sequences_00004,https://pubmed.ncbi.nlm.nih.gov/15128413/,Dissociating brain regions controlling the temporal and ordinal structure of learned movement sequences.,"Bengtsson SL, Ehrsson HH, Forssberg H, Ullen F",The European journal of neuroscience,0.494,15128413,-1,-1
sequences_00005,https://pubmed.ncbi.nlm.nih.gov/12948698/,Cortical mechanisms for acquisition and performance of bimanual motor sequences.,"De Weerd P, Reinke K, Ryan L, McIsaac T, Perschler P, Schnyer D, Trouard T, Gmitro A",NeuroImage,0.483,12948698,-1,-1
sequences_00006,https://pubmed.ncbi.nlm.nih.gov/16476669/,The dynamics of hippocampal activation during encoding of overlapping sequences.,"Kumaran D, Maguire EA",Neuron,0.479,16476669,-1,-1
sequences_00007,https://pubmed.ncbi.nlm.nih.gov/12843284/,Distinct mechanisms for processing spatial sequences and pitch sequences in the human auditory brain.,"Warren JD, Griffiths TD",The Journal of neuroscience : the official journal of the Society for Neuroscience,0.476,12843284,-1,-1
sequences_00008,https://pubmed.ncbi.nlm.nih.gov/20092582/,Motor foundations of higher cognition: similarities and differences in processing regular and violated perceptual sequences of different specificity.,"Bubic A, von Cramon DY, Schubotz RI",The European journal of neuroscience,0.462,20092582,-1,-1
sequences_00009,https://pubmed.ncbi.nlm.nih.gov/26919234/,The Structural Correlates of Statistical Information Processing during Speech Perception.,"Deschamps I, Hasson U, Tremblay P",PloS one,0.459,26919234,-1,-1
sequences_00010,https://pubmed.ncbi.nlm.nih.gov/15217392/,Prefrontal cortical involvement in verbal encoding strategies.,"Bor D, Cumming N, Scott CE, Owen AM",The European journal of neuroscience,0.449,15217392,-1,-1
sequences_00011,https://pubmed.ncbi.nlm.nih.gov/23142069/,Comparison of 2D and 3D single-shot ASL perfusion fMRI sequences.,"Vidorreta M, Wang Z, Rodriguez I, Pastor MA, Detre JA, Fernandez-Seara MA",NeuroImage,0.42,23142069,10.1016/j.neuroimage.2012.10.087,-1
sequences_00012,https://pubmed.ncbi.nlm.nih.gov/22433287/,Two networks involved in producing and realizing plans.,"Crescentini C, Seyed-Allaei S, Vallesi A, Shallice T",Neuropsychologia,0.405,22433287,-1,-1
sequences_00013,https://pubmed.ncbi.nlm.nih.gov/27261161/,Uncertainty and expectancy deviations require cortico-subcortical cooperation.,"Mestres-Misse A, Trampel R, Turner R, Kotz SA",NeuroImage,0.4,27261161,-1,-1
sequences_00014,https://pubmed.ncbi.nlm.nih.gov/24222405/,Translating working memory into action: Behavioral and neural evidence for using  motor representations in encoding visuo-spatial sequences.,"Langner R, Sternkopf MA, Kellermann TS, Grefkes C, Kurth F, Schneider F, Zilles K, Eickhoff SB",Human brain mapping,0.391,24222405,-1,-1
sequences_00015,https://pubmed.ncbi.nlm.nih.gov/19041965/,Listening to rhythms activates motor and premotor cortices.,"Bengtsson SL, Ullen F, Ehrsson HH, Hashimoto T, Kito T, Naito E, Forssberg H, Sadato N",Cortex; a journal devoted to the study of the nervous system and behavior,0.388,19041965,-1,-1
sequences_00016,https://pubmed.ncbi.nlm.nih.gov/21220170/,Seeing Chinese characters in action: an fMRI study of the perception of writing sequences.,"Yu H, Gong L, Qiu Y, Zhou X",Brain and language,0.388,21220170,-1,-1
sequences_00017,https://pubmed.ncbi.nlm.nih.gov/21319266/,Exploring the detection of associatively novel events using fMRI.,"Bubic A, von Cramon DY, Schubotz RI",Human brain mapping,0.383,21319266,-1,-1
sequences_00018,https://pubmed.ncbi.nlm.nih.gov/21867758/,Changing the structure of complex visuo-motor sequences selectively activates the fronto-parietal network.,"Pammi VS, Miyapuram KP, Ahmed, Samejima K, Bapi RS, Doya K",NeuroImage,0.383,21867758,-1,-1
